"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.735294117647,299.792531120332,294.326241134752,296.614042698231,300.422477100204,310.144927536232,312.990409764603,316.64656212304,320.476858345021,320.92061065776,321.70802919708,321.888412017167,317.513611615245,310.611734253667,310.497813768795,319.256688653077,325.932853268493,331.925165962583,341.974349008939,343.500847427704,344.056789309962,347.242921013413,347.714695250905,350.526435840699,348.392765594876,347.659256327374,346.219442865264,352.28516013527
"Cook","IL","Chicago","17","031",2,171.507352941176,174.663978494624,175.49088455607,175.955734406439,172.674014174227,171.81125,166.324466867132,164.616743862279,160.25641025641,160.857129958004,156.539831030385,148.109053497942,144.84465283698,142.857142857143,144.151565074135,145.129468433981,145.557029177719,144.4472602354,142.278203723987,140.990745781165,141,138.789682539683,135.135135135135,131.469298245614,131.519505231069,132.540228026199,131.970566037736,132.734630770592,132.911392405063,131.780391018196,124.867616880799,124.375,122.429906542056,121.45125534188,127.964873879508,127.201601861993,126.440711724871,127.483894478169,134.136269786648,142.285921013839,144.847020933977,146.502835538752,143.482490017912,142.168372260769,143.892339544513,139.367816091954,131.805273833671,132.777777777778,128.56502050581,146.088019559902,155.586993622564,162.176636185068,167.226890756303,166.666666666667,166.533977855642,164.796515173558,161.043490975111,157.894736842105,152.426160337553,142.26512275511,145.885765669404,158.224780701754,166.666111111111,169.235314578958,170.732142857143,172.715078348881,174,170.100085623942,167.39143992378,162.876459741856,156.25,156.666666666667,161.040812864401,169.975
"Harris","TX","Houston","48","201",3,73.7483085250338,74.8875884887917,75.2688172043011,75.504736721771,75.1737207833228,74.6820768136558,73.5992523555633,73.4002509410289,74.1332949624235,73.4654731457801,73.9355992844365,73.1092327849534,72.3929236499069,72.2621887916006,72.3831775700935,72.1958531101674,72.4467060858606,72.7554179566563,72.2637702626005,72.0032485110991,70.7220358571888,71.4285714285714,69.8635371179039,69.8035160289555,69.6970877041795,69.5328031809145,70.1858828624537,71.0295942198219,71.1908476339053,71.4285714285714,71.2412306845798,71.4387852376413,71.360608943863,71.2250712250712,73.5534712113367,73.8535117466675,73.8799283154122,76.1607761607762,77.7851021753461,79.1173304628633,80.2310654685494,80.5946637323778,81.2698412698413,82.0576033108397,82.4651882413615,84.0010770059235,83.3774878420076,83.9147286821705,84.2586544741999,85.9034082549354,87.7709489008247,90.0163666121113,90.5625886854106,91.335453100159,91.7119565217391,92.6751592356688,93.0058646853194,94.404915912031,95.3618421052632,98.5658021133525,100.330308631309,103.069312065259,103.648068669528,106.762796753661,104.045383192105,102.739726027397,106.114649681529,108.121095627102,110.257824543539,111.060933448574,110.770410118819,112.509197939662,113.210086239756,110.053816046967
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.587979094077,123.461078242372,123.550710609619,124.771963514162,125.723270440252,126.713459950454,125.545851528384,126.221498371335,124.889759921607,125.191674192594,124.283989698656,126.881456913787,125.105881581666,125.919305413687,129.306426332288,129.766066838046,131.845259273566,134.132420091324,134.035087719298,133.781093331571,131.46246596655,133.975130365022,135.216645622669,137.18085106383,138.724860566259,138.972205438066,140.434500731819,143.794147325933
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.903914590747,265.78073089701,266.828380836871,272.014466163824,277.628444745787,280.343007915567,282.96510294202,286.859962985811,287.513691128149,287.755102040816,287.983785865039,285.433070866142,283.614283409699,279.791713171797,283.917224170286,285.840215420244,290.520628683694,292.059458524283,298.2823554756,294.565769426105,305.728871242201,307.635829662261,308.006037146806,305.321188878236,305.256899911942,305.728871242201,306.148703048973,310.606060606061
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.11278565589,349.753694581281,349.674837418709,349.155855976647,349.674837418709,354.409317803661,358.210824552833,360.611668340234,362.898511489459,364.590653903631,364.437965662455,365.499573014518,366.997792494481,364.056710313065,363.020446522716,360.438292964245,363.477482820815,368.796712962163,371.10588121118,373.676902936142,376.249771210835,378.650995216519,379.89497799755,381.546134663342,382.758620689655,380.997177798683,381.52884151227,385.642857142857,387.272470465905,389.931406392531
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.103009859886,132.589828634605,136.585365853659,147.401689203661,144.159292035398,142.663785873316,144.628099173554,144.336346818476,149.167413402033,148.703456886556,150.280183392766,150.214592274678,150.564819795589,154.257553970098,155.40308234219,163.834124245039,165.436654366544,163.178994918125,168.719463774755,173.896536925159,174.129032258065,164.922698702352,165.704341796458,178.571428571429,180.427466386998,183.440366972477,183.264177040111,191.588785046729,194.500423011844,200.680955772729,202.761936575066
"Dallas","TX","Dallas-Fort Worth","48","113",8,76.2146892655367,76.7022696929239,78.1480379846648,79.1446673706441,78.125,77.7472527472527,77.3049645390071,76.875,77.0562770562771,76.4750132751195,75.0165138224349,72.3781388478582,70.7248870197728,69.7777777777778,69.060773480663,68.4983677910773,70.3230343450842,71.0110584518168,69.7175851701363,68.4210526315789,66.9014084507042,66.8764752163651,65.7120743034056,63.4887005649718,64.1361256544503,65.3076923076923,64.0243902439024,63.2102272727273,64.7319638545168,67.2884512577673,67.1442260565141,66.0660660660661,65.4870302405007,66.6186181759291,76.1531997747757,76.224546777029,75.4362025012838,76.6666666666667,79.9428571428571,82.094175960347,83.431686415511,83.4223038400853,84.3482905982906,83.5989375830013,84.0258541089566,84.2911877394636,83.7312599681021,83.2072617246596,81.1243386243386,80.7899461400359,84.9082256968049,87.4840189332943,89.4058697208304,87.1062992125984,87.6951871657754,90.3903622190779,88.5757748260594,88.3839382939293,86.9152970922882,88.8888888888889,88.8192267502612,92.9753949160525,95.9956116291827,97.6331360946746,99.3864798140219,99.6935868512612,99.3444621689413,100.401836969001,102.042711234912,102.739726027397,102.759466719309,101.481481481481,102.738731856379,104.592546238353
"Queens","NY","New York","36","081",9,,,,,,295,297.222222222222,299.335387323944,300.779220779221,303.117782909931,300.324675324675,293.184488836663,293.582887700535,287.774725274725,293.248777015919,293.582887700535,296.114673708035,293.382352941176,292.424242424242,290.262387737375,286.667589370452,282.157715077507,271.320679434565,267.349531275925,260.434782608696,257.159516912329,258.640605920499,256.25,257.758620689655,251.146563140202,247.993505154639,240.041654014445,237.35119047619,236.858552631579,266.006097560976,268.429487179487,268.214743589744,269.610660356096,275.297619047619,280.46875,276.170811357243,283.333333333333,277.81746031746,283.620689655172,293.382352941176,292.721518987342,291.545189504373,298.50671641791,301.724137931034,301.919720767888,307.5,309.541150764749,314.912280701754,318.181818181818,326.889137972262,332.275132275132,329.183449285976,329.083333333333,325.681818181818,319.386222910217,329.340119760479,317.675159235669,326.363636363636,329.003463203463,342.661336379212,349.444444444444,354.090909090909,359.5,369.047619047619,375,378.030303030303,377.640845070423,385.177692018072,388.888095238095
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.925416990753,169.430314619474,168.340815563038,171.647737076622,172.101222826087,172.955974842767,173.992673992674,173.423423423423,172.777175549533,173.061666065633,173.640167364017,174.129353233831,173.491838164078,173.779585798817,175.764525993884,179.536862003781,179.42523923445,181.938511547912,182.926829268293,182.653318118184,182.871396895787,182.677175665026,183.408943616332,184.426229508197,187.802181007435,188.461538461538,190.030211480363,190.615102639296
"San Bernardino","CA","Riverside","06","071",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.55776185893,135.022697149563,135.279805352798,137.797364528708,142.522034720624,143.884892086331,147.51598622725,150.744119059049,154.989041953663,153.899279341112,153.950978119273,153.723404255319,153.751537515375,152.740341419587,157.394511503147,156.205771150545,158.019801980198,160.308217682935,162.683823529412,164.044943820225,164.262820512821,163.591635916359,164.249146757679,166.666666666667,166.926503340757,166.460513796384,166.703724291273,166.666666666667
