"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.270986816262,293.43259417325,278.615298715801,278.602815815625,279.744346116028,290.312450934213,300.272227295711,303.677023314473,306.978137166816,304.301075268817,303.87235568304,301.260964912281,299.245994344958,273.813367775266,284.221525600836,294.403832375399,303.598617755682,307.97318927571,319.724545007378,326.836949469053,326.761029411765,325.319805910895,326.156161640117,326.058394574487,324.134199134199,317.640454984952,320.995,327.777777777778
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.844218192487,138.924083556856,147.659090909091,146.617692072238,147.32770745429,145.945945945946,142.808934761079,145.406172401561,140.167086129754,116.6,122.734598346805,133.516317016317,147.02462380301,146.122239342578,152.288246076187,154.058823529412,153.273714468221,147.431791516821,149.912739965096,152.375,153.170268344811,141.255605381166,141.25,155.433124598587
"Harris","TX","Houston","48","201",3,89.1150169596053,90.0863687570409,90.0687729148562,87.8030677882237,88.3255502024079,87.4518950437318,86.1650485436893,85.5672313960969,84.0286425902864,82.8075317962783,82.5084635045963,82.5133809099019,81.9006685768863,82.0689655172414,82.612302641486,83.0161725067385,84.2393480125822,84.4651531151003,82.9021738075834,81.2652676526567,80.837366701037,81.0374780827157,79.4552655254487,79.9576298649461,78.3179297597043,79.3650793650794,82.6761084959408,84.561270443233,84.8590732185117,87.5106085320144,86.4576599870718,83.3548529219473,83.4835630965005,82.8389896009067,83.9623701207526,84.4327597195666,84.8343986054619,90.620320855615,91.6191048362872,92.6709154113557,93.5229829636773,95.5129137868316,95.4915205564912,94.4302809573361,95.9379840449944,98.8317283324886,96.9434306569343,99.1454555864182,99.3278319930829,102.613472897476,102.973554371423,105.46390353598,106.068765224635,107.351751868052,106.574539363484,108.546119235096,109.992254066615,109.375,109.144186046512,108.565974707707,110.113803230543,110.793560606061,112.006588579795,113.254679512334,111.77347242921,111.307676272169,111.9290307216,111.758104516843,111.551136363636,113.087492620933,112.668096533661,113.781269384507,113.781269384507,109.223286012994
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.398859572299,132.431409649953,131.330345421505,131.953842866301,135.266839078701,128.223833257816,130.554001119194,127.40178276659,127.906429807862,124.624777410328,123.760740251157,122.578972182933,124.819306059364,125.748035770212,124.674191893279,130.744667032957,132.83896464372,135.899962249906,134.679899210299,130.949565572856,132.710280373832,130.338346824557,127.693283608425,126.725439329317,128.684116465574,132.256706614964,133.880533907614,135.191912809983,144.965282304804
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.735294117647,268.643031784841,268.180291676501,270.910436713545,280.35899312808,280.854402774418,288.641998165473,292.949021464646,289.001873160289,285.522552137675,286.685699340889,287.450354430171,288.196721311475,284.106830122592,274.436775553214,281.294661086158,289.676966292135,304.117037804246,303.555355535554,311.508257657742,303.376235348196,313.534597814106,312.3912370885,314.392175128086,315.214446952596,317.034242004668,319.854248398433,318.058870326173,319.767511036779
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,308.731118736303,308.866279069767,310.850635577274,308.056872037915,307.128726504627,302.128991859737,300.437662909936,301.323265635081,299.37308036235,291.850220264317,289.142595954463,283.745329963516,274.542429284526,272.882513661202,266.800689259047,262.609842438581,264.214046822742,258.771510006529,256.883814640698,253.721879307245,251.883393383557,254.214226612327,250.727614824018,241.752609236146,243.527941176471,240.894199267682,243.891843300705,245.452547064511,255.314726840855,258.284600389864,260.196462985354,261.56015037594,259.538524927895,260.790714544795,295.69775601564,295.79980348529,306.733167082294,320.450209843571,329.934641866072,335.748479751585,341.530054644809,344.935869084476,347.6693278393,342.672413793103,345.316280677497,345.319012965904,345.573686236395,347.726056714821,351.033954557059,351.888224033483,354.627354627355,358.187134502924,358.681022880215,359.277749151186,358.26773862187,358.502538071066,362.596185962877,361.184671756383,354.837346852556,353.78428957557,361.458504575182,362.591911764706,361.883364933015,361.330788110172,364.986530146911,370.448011854779,373.984893146647,378.856025421657,377.100840336134,375.059500895221,371.515092879257,376.387936691558,379.804673875131,377.320046439628
"Kings","NY","New York","36","047",7,235.271013354281,235.66775254555,235.270049099836,235.143442622951,232.94462033268,233.559322033898,236.723672367237,236.794171220401,236.672233737135,225.587878541192,224.038461538462,221.759644740494,218.832544845259,216.967330410425,216.450216450216,214.015925736672,212.695681094209,212.998102466793,217.086834733894,212.264150943396,212.817028985507,212.5,211.726384364821,210.606403297145,214.035087719298,213.571428571429,210.740740740741,211.619896275342,211.885521885522,216,211.560693641618,211.68649277893,214.814814814815,214.796472059743,232.959239130435,232.142857142857,235.507246376812,239.6,244.014732965009,248.489942554882,250.400641025641,259.315821624924,263.795845175261,271.886487829111,273.809523809524,279.255319148936,288.428228815065,289.204545454545,293.196672608437,297.026591230552,302.993029930299,297.149140250159,306.734263841633,312.442576258728,314.745124871707,314.159891598916,313.438438438438,320.652173913043,324.587662337662,330.943892708599,336.581709145427,347.222222222222,333.686440677966,341.981132075472,360.283521303258,353.958333333333,362.052077890049,369.704086294699,378.898312571782,393.636363636364,416.666666666667,412.25,428.077455048409,431.347150259067
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.106239119067,201.329772509789,224.038270637687,225.957564067236,227.78712054523,228.441097885684,222.078577550814,223.289560155847,205.674736558171,202.931869722278,198.148148148148,198.70164281929,200.947459086994,205.458723598781,212.044105173876,216.15641571497,224.833188279663,240.212912087912,253.965070797736,253.900709219858,227.35362755524,237.058989556873,242.238033635188,241.960555816122,247.598939449534,258.54108956602,266.3772691397,268.858503610386,270.549143057013,283.081893859554
"Dallas","TX","Dallas-Fort Worth","48","113",9,118.165467625899,120.599875026036,124.832639095507,127.351844849957,125.981563673609,121.109918749042,127.269542798694,122.792083422005,114.45999892203,110.692102928128,104.472883162584,98.2279588711442,95.3053330753614,101.271367948872,98.6183121796213,105.515347721823,109.838747370881,97.8915662650602,95.0268297039179,91.2630173630914,97.2530408707912,95.7719410634209,92.0097254004577,88.3655863837724,95.0300200133422,101.212762611561,107.194202601489,105.312794718642,108.572309238012,107.879924953096,109.638921991934,99.3673006849267,101.654096646915,99.3428931560094,110.433087785871,104.721832632071,102.649006622517,110.53412462908,125.347956861045,136.433093211089,134.316770186335,132.394758851408,129.366106080207,131.402337274821,138.923039095156,136.020151133501,135.123880907766,130.65851237643,127.864024120505,130.019535489473,141.28494943486,145.198219207123,142.569272056357,142.258537607375,137.449777965743,144.90969764169,140.104409242542,140.889089986306,140.193998181267,138.200328407225,136.387434554974,138.130337046245,155.682601445247,154.635147315228,159.33735193048,160.065748321163,158.942795076032,155.795261634253,150.226686267761,158.376124385287,154.599300486618,151.35442318621,147.886610373945,159.079793578584
"Queens","NY","New York","36","081",10,,,,,,,262.328256278924,263.866912267987,262.179487179487,262.272540983607,259.782025941142,259.509299023957,259.336122366066,254.862508383635,258.045977011494,255.921589980942,257.710098962994,257.644375748444,256.178707224335,253.800719054956,252.439767168541,249.881908360888,246.913580246914,243.450889127581,243.125,239.442857142857,236.875,236.875,237.859712230216,236.842105263158,236.637931034483,232.235405790223,228.522509578544,224.014336917563,258.918918918919,258.073817762399,260.612764816305,262.873671044403,261.59794468409,258.048780487805,260.401570048309,261.869654969036,261.740080087368,266.975308641975,269.545133437991,272.106814753874,269.897959183673,275.320454955768,279.545454545455,282.643938725636,283.862770830117,285.652958152958,291.633333333333,292.361720807726,299.472222222222,329.612137983848,318.363570313974,305.851063829787,302.255225522552,299.615942028986,303.722526154141,310.9375,321.071428571429,326.162372303312,328.042328042328,327.097674825175,327.910052910053,331.564986737401,346.527777777778,352.547606793618,348.522385613612,342.985074626866,333.125,339.68253968254
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.909090909091,138.856476079347,137.922956793337,140.204545473481,140.757569748418,140.460803596516,143.025038323965,144.62898473078,143.000086505538,143.830128205128,143.764002987304,143.654519971969,141.773476327491,140.776876798326,141.641484373854,145.307750118867,146.36678200692,145.614438109969,147.450110864745,148.379242910726,148.880597014925,148.208030180544,148.027559055118,148.271181959083,149.928886008266,148.347642681553,149.677259350467,152.380952380952
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.312504719474,144.691318327974,142.849031396126,141.008626410086,147.89534326526,153.040427082343,156.719341778765,158.670520231214,156.229286751072,154.592871157619,154.078413699865,154.507405022537,150.469285188386,149.226268301907,153.594026418806,151.02457986068,153.949903660886,153.54527938343,153.728838823238,157.447955636896,161.657032755299,159.751989351047,160.342717258262,163.866831005441,163.22384380955,160.44873467258,160.606060606061,162.34458259325
"Clark","NV","Las Vegas","32","003",13,95.8706873132301,97.4324324324324,94.1797815947372,92.5696594427245,88.9813425713679,87.0213823968175,85.5650159182505,82.5763216679077,81.3733096301699,81.3344361731458,77.0925110132159,74.106463878327,72.176540137851,70.6819126819127,68.1486388541639,64.6950092421442,65.5136268343816,66.4044289044289,67.3722346762571,68.2104122881411,67.8533183982378,66.8738049713193,67.2546078446302,66.3046900645127,66.5595452117695,68.4941552779307,69.278786177009,71.6455394793492,76.2338425381904,76.5475430759413,75.3313942570426,77.4075045919706,77.4576209824066,78.1902552204176,82.6188016528926,83.873250763454,86.4011996001333,85.9320046893318,88.1168177240685,91.7934205592348,91.6627646224356,94.1480102351829,98.5528728619565,101.741765480896,102.479349356453,103.401828520619,104.282558790703,103.10033926261,100.828729281768,102.320780205823,104.638995465644,107.874015748031,108.227589068043,108.709175738725,108.8053425674,109.763880025526,110.338210602063,110.401989225031,109.839222630523,109.893404397069,110.33062425279,112.189294793334,113.004130322563,113.684410646388,114.927147234765,114.678899082569,115.336211839904,115.880539559386,116.059008148858,114.822368687638,114.429862526635,115.016536380036,115.884680610514,116.092607419269
"King","WA","Seattle","53","033",14,200.446428571429,200.383470695971,194.866419136632,191.315439219166,194.310954063604,191.907051282051,189.857594936709,189.77188723427,185.504298287072,179.338645124856,175.097276264591,168.568129330254,157.977272727273,154,153.261381475667,146.470588235294,147.03431372549,144.99354005168,148.514691637068,150.516795865633,153.002129867422,148.99536667772,148.311660777385,147.058823529412,146.268656716418,153.75,159.975,166.011450381679,167.673944330843,167.286546239102,167.715654952077,167.715654952077,170.061475409836,170.776091081594,182.672233820459,176.912409807626,177.824267782427,183.130081300813,192.943140262396,198.946036191297,208.322916666667,210.994570582428,211.465256797583,208.309037900875,208.307291666667,204.165877496647,203.296703296703,201.201572127321,199.99375,202.022058823529,206.230052781036,211.502538071066,214.981070352128,225.939718806222,227.168473728107,221.25974352527,225.078242677824,226.680186470612,222.350050111788,211.511576293456,215.701737640724,222.772277227723,227.255244755245,237.407126948775,237.41425389755,244.468660745385,241.599863125185,239.246068455134,241.746220915872,242.051851162021,240.788681517158,241.150089187123,242.094017094017,247.727272727273
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5797743755036,73.542746464709,79.6376811594203,73.7864229352972,77.7980467450428,71.0683805076557,80.6569965754922,83.4924423229913,74.0326481257557,81.9640720087592,83.7264150943396,86.23108641044
"Tarrant","TX","Dallas-Fort Worth","48","439",16,86.133548734518,85.968617984309,87.6246966837422,88.0198989857859,86.3446569722896,86.7106176266482,88.3446678655259,85.5788775900504,80.8924684072827,80.9506015595361,78.7682333873582,77.7921332184898,75.6518082422204,75.3647454853236,75.7499210609409,77.7362440191388,79.3925042348955,76.7644362969752,77.2301161899654,76.9744318181818,83.5023866348449,82.8637719588996,82.895652173913,80.6245200921423,81.3208101930764,82.6110509209101,81.799591002045,83.5073068893528,83.5073068893528,86.1026033690658,83.8646532438479,80.3039332538737,79.8852275026866,82.2887850930179,88.2627888860036,85.9807157494145,87.4972373079421,88.3911624527698,97.1212666426772,100.237404378792,100.42628590821,99.2075891890018,95.0938474428407,93.3622105750932,93.7077096581857,90.9106024616713,90.7429542577686,93.6914428482199,94.9451273612644,98.8597258675999,101.257422284317,103.179364127175,104.720896946565,104.339186064193,102.6714368638,106.201004364226,102.848852545503,101.692415290907,102.215189873418,107.170080990948,110.619469026549,114.938044758539,126.9287109375,128.900325027086,122.416223517227,118.664582541366,116.518820121213,110.134073253122,110.873285221832,112.686354588876,112.147663551402,112.101178499569,112.799193751575,118.007285227901
"Santa Clara","CA","San Jose","06","085",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.709055876686,434.974747474747,448.497854077253,439.903691573866,415.519581245598,418.410041841004,409.681597794511,410.148133987752,395.785651821301,398.118951550166,460.70460704607,483.483725062596,487.746847489888,483.210137275607,477.081661776578,450.094080551815,443.703703703704,439.087817563513,439.659039928219,420.680898049319,420.585097342702,429.146117040854,454.669996346774,454.353338968724,470.188828286628,484.10008071025,484.12490160063,475.238922675934,468.820471706543,473.225105292219,471.75220584802,476.798142816086,471.430260270721,477.156495056256,506.756756756757
"Broward","FL","Miami-Fort Lauderdale","12","011",18,174.916438733219,171.803941384538,166.759310728182,162.432200970597,162.157287157287,160.570592538405,162.094682230869,160.700287431408,162.294181593362,161.203633610901,160.876993166287,160.739519761697,158.769518913063,159.020725635629,153.832977573985,152.510196813754,152.594099694812,152.785711198453,152.94744160178,153.83704405495,151.197720400093,149.326849940614,149.016386951502,146.941349590078,147.777970200191,149.253731343284,153.560250391236,149.859345762891,149.835181300569,147.435897435897,147.684729064039,149.222488038278,148.628018837122,147.097466258937,162.367986394463,163.474240422721,169.435205522435,170.471516961809,174.995387318435,173.956931359354,177.642878294344,179.864683368739,176.801801801802,168.363764044944,171.368442008841,177.194227584575,174.892029107088,178.942507504041,178.619574009167,178.280036212392,177.194227584575,180.23390036452,179.990613993743,182.815356489945,179.78848413631,179.357266936885,185.384059715868,187.476002999625,184.91021173948,185.406387951182,187.656318630217,192.348090307384,192.0098340504,193.845165980131,191.125145421306,191.125145421306,193.350448816178,193.215001431434,192.254889536603,193.082605775688,195.359153728033,191.320578628091,192.980713249865,190.920554854981
"Bexar","TX","San Antonio","48","029",19,92.3968030754761,93.2853717026379,92.8826174600713,92.7030502392344,92.9437493867138,92.8306198229077,92.0172532781228,92.7816694188874,91.7010545621275,89.4683026584867,89.621869021136,89.0178234759022,87.6322751322751,87.6322751322751,85.7510113300491,87.1875,88.0756284271676,87.6272124847043,87.3725306355382,87.5027197749693,87.2328162048855,85.7328482328482,87.6427464164593,85.9134095497784,86.6809584788863,85.871359223301,88.0547333556934,88.9781859931114,89.8539872706851,92.2298664508296,91.741223534047,90.7561625582945,91.9282511210762,92.6621587778613,94.8127479324024,94.2587832047986,93.9375568354047,97.3657269077972,101.220302224621,102.169506374387,102.649379932356,103.346180798879,103.051211452525,103.517964071856,104.885057471264,104.330610795455,104.823397691484,105.067605633803,105.485356313105,106.823952639583,105.112816723349,105.917975589005,105.663199530218,106.409304627567,105.661434977578,108.142180514598,107.87445287092,107.488475177305,106.960486534089,107.928692699491,107.6370944588,109.648202072464,109.002106371775,111.249714113121,109.328756674294,110.045786951678,109.394850701846,108.829568788501,107.104194857916,106.741566137464,108.19917633845,106.695537190083,107.55448627229,111.554636233951
"New York","NY","New York","36","061",20,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1348.90717754992,1392.55139871925,1505.71416071429,1393.7984496124,1354.96300292857,1494.73168341093,1525.28322741089,1510.92261904762,1516.66666666667,1538.74779541446,1391.30434782609,1533.69337979094,1488.35319609967,1533.10104529617,1487.68336562414,1442.59259259259,1466.66666666667,1604.03434486003,1605.50458715596,1827.49270987875,1817.67676767677,1873.75,1959.28548177083,2045.45454545455,2056.68859649123,1980.75834748161,1932.63390392049,1971.42857142857,2000.57442129259,2109.375,2177.77777777778,2279.52574748587,2211.06060606061,2254.95307612096,2309.24110618021,2250,2297.70090793421,2297.70090793421,2238.7983706721,2285.26637957401,2297.70090793421,2366.82450429121,2431.18401206637,2402.92801108919,2430.83312940153,2453.31380446723,2410.35714285714
"Philadelphia","PA","Philadelphia","42","101",21,97.0175257731959,101.295045045045,98.9583333333333,99.0548548046921,97.9011194029851,95.938599496686,92.3241642922283,91.9792394901434,91.6020951007734,92.5131941525384,92.4337957124842,89.954627207325,88.0281690140845,91.234596908939,90.5797101449275,90.5104433077579,93.4579439252336,91.959972394755,90,88.7103174603175,89.1744548286604,89.7282542019384,89.7435897435897,88.8888888888889,88.9990855950278,89.5416666666667,92.093253968254,97.3084886128364,98.3242258652095,105.009627727856,98.4375,100.590846221552,100.590846221552,96.551724137931,96.551724137931,89.7345823575332,88.9001778003556,94.106463878327,97.8835978835979,98.8066791830233,100.031756113052,107.076706413824,108.231046931408,106.561782980135,105.052083333333,104.166666666667,103.542284671379,101.284374839418,98.7581331331331,104.117270105735,113.030331813576,110.359114111414,115.448219517692,114.784688995215,112.945535464466,111.824368305817,114.593301435407,114.95,115.113888888889,114.747360796255,110.771276595745,111.891435678749,115.054564489112,121.950349263782,126.651982378855,121.038732394366,119.993141289438,118.450797266515,110.740740740741,112.368972746331,110.096153846154,112.915255603935,113.519046742731,119.226656798621
"Alameda","CA","San Francisco","06","001",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.062487539077,277.48818923927,275.836704670835,289.127663734115,309.663599643367,320.192853091322,337.174855491329,339.456869009585,333.258157389635,330.162626871567,327.583096391269,328.310864393339,327.44629748566,321.25109617071,331.462644686075,333.962879920279,339.880295592386,338.975950387231,357.02693930542,358.191426893717,352.971208397168,354.034602695798,351.488458370827,352.048495234961,351.828566815181,345.526171457501,358.365776576425,360.323886639676
