"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.270331372921,314.323150643905,311.644083107498,309.980806142035,314.392680409331,311.982491134752,319.72972972973,326.368355481728,330.122035562592,328.452839867242,328.421731123389,329.181494661922,329.722723967252,327.324478178368,321.468926553672,321.430990512446,334.64005702067,338.333899773505,345.026429601153,348.381007495591,348.122094379648,347.360610628896,353.874883286648,354.139920200566,355.989410146871,350.454832769945,352.236323754122,359.712230215827,365.014734774067
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.714285714286,131.705882352941,134.576923076923,141.50843248007,150,155.444444444444,159.370960792762,163.11427528295,163.888888888889,161.461538461538,163.374485596708,159.96,156.21875,151.775210084034,149.975,166.583333333333,178.287097299056,188.421052631579,187.405615432677,185.571428571429,182.038834951456,180.540540540541,178.871548619448,174.791186635945,171.403642524354,163.888888888889,162.75,171.150543789353,180.909090909091,180.081852147586,182.539682539683,182.63266712612,185.021650017431,178.571428571429,176.417233560091,172.727272727273,169.022740116187,167.513049450549,173.869565217391,185.085836909871
"Harris","TX","Houston","48","201",3,93.167701863354,93.9542483660131,96.1392884178653,95.4935622317597,93.2403433476395,93.1446974925236,90.8004778972521,89.5038097723936,90.2406327244372,90.2527075812274,93.2741116751269,91.1158010019074,92.9267791208697,89.9452789699571,90.730036256661,90.6207324643079,90.8834951456311,88.4206763637196,87.1248789932236,85.1136363636364,84.4295302013423,85.1517166846787,85.4623154623155,85.6666666666667,86.6372980910426,86.0262008733624,85.463179617172,87.2890852769679,88.1918027554379,86.993711952679,85.43210610444,86.2413574479911,81.1657838983051,80.55,81.2445079086116,85.5027322404372,85.7219497240957,87.3709293089754,88.9096185737977,84.8208300380371,85.7560282409986,88.4975832380757,86.8638074149364,91.7372881355932,97.2942770100039,96.6386554621849,102.666666666667,101.215189873418,104.478744071767,105.218409089972,108.552631578947,109.860093271153,114.247311827957,120.861797162375,114.911906791702,114.911906791702,120.869966681546,120.861797162375,132.045009784736,136.075081028352,137.209302325581,144.642857142857,149.522747288097,157.972413763803,150.972364380757,137.763030875301,152.795729551348,159.742413288504,162.5,159.671532846715,157.362112525156,163.407776202421,165.06968641115,169.226118500605
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4,126.4,127.769886363636,127.566601246615,127.093596059113,128.270422255031,128.823529411765,128.919860627178,128.835331539026,127.97619047619,129.147286821705,131.503759398496,133.42464922206,131.672394043528,134.778420038536,136.468957422697,135.447801143816,137.643254211109,138.592750533049,137.313724395825,131.509695290859,136.765672776818,140.860962032673,143.769968051118,146.771037181996,148.363636363636,150.04935834156,149.884704073789
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.065504498629,290.599516762307,294.172734314485,298.640057137505,307.447581753577,312.939521800281,315.423438388555,321.631878557875,320.044818581245,321.814254859611,318.510945238977,311.261550140041,310.344827586207,305.059523809524,312.479893267009,316.356382978723,324.612403100775,327.457592800334,332.285073839662,321.481481481481,341.025641025641,340.751043115438,340.253411306043,336.032388663968,338.499184339315,341.337453888388,344,344.551282051282
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.371278458844,325.726927252986,325.699745547074,327.448533998752,328.692962103635,331.003678402522,334.302325581395,337.311325348135,337.86078098472,338.981920903955,342.494714587738,339.285714285714,340.455128205128,337.748344370861,336.129142853446,340.755943588104,341.246993524514,344.854070660522,350.181868459117,353.929232197415,354.451119606772,354.655294953802,356.106334444639,354.51197053407,353.951890034364,356.428571428571,358.253588516746,363.942307692308
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.885941644562,221.34670487106,231.893687707641,233.333333333333,230.179028132992,226.517496622878,229.807777473977,237.19512195122,217.235334882394,216.826285368687,230.104219948849,253.006329113924,249.587723394033,255.935709111695,257.603092783505,250.566738806044,254.610733182162,250.082508250825,257.234083601286,251.501501501502,259.259259259259,268.365817091454,272.804314329738,297.522546917084,307.294835292304,305.039787798408,314.724026135967,313.494937420897,302.906827612222,295.183858876167,290.023201856148,306.923076923077,314.599538366228,326.94248234107,326.577579599928,349.792181069959,352.173653669459,356.279352717001,354.358379062896
"Dallas","TX","Dallas-Fort Worth","48","113",8,127.539503386005,127.235099337748,126.479336700826,127.110206989651,125.990491283677,126.505647590361,126.643192488263,122.364990830963,122.120418848168,120.666344760985,119.395457418892,114.754332073094,111.92,115.727002967359,113.170441001192,112.247191011236,112.693935119887,112.781954887218,110.295850945107,107.296137339056,107.210965435042,109.328603971673,109.819121447028,110.311412868883,112.572933091741,113.650876581911,115.199161425577,115.175482472594,115.709617180205,114.80185977875,112.903225806452,111.827195467422,110.686476201895,113.410937341322,118.798228477556,118.834080717489,121.109040074557,121.982090673128,124.943181818182,130.330710955711,132.113821138211,130.520504731861,132.475,130.980842238928,135.602094240838,134.31698201512,135.135135135135,130.160320641283,126.704545454545,127.635960044395,127.891156462585,133.65539452496,141.379871197889,130.078125,127.2,135.505735140772,131.064734498507,131.270903010033,133.678756476684,135.036496350365,140.314341846758,139.958376690947,145.872848948375,150.126126126126,149.893617021277,145,142.549447341466,144.594233552265,150.051759834369,150.884696605727,150.380952380952,158.312447786132,168.049332113527,167.963949201147
"Queens","NY","New York","36","081",9,,,,,,315.384615384615,311.25,295.850666666667,284.591025641026,292.315789473684,291.411666666667,281.176470588235,284.521420608377,255.383076923077,256.972222222222,242.142857142857,242.124060150376,247.712418300654,255,264.444444444444,262.5,262.163742690058,260.899653979239,260,259.333333333333,261.25,265.555555555556,280,275.415415415415,271.818181818182,269.411764705882,269,265.833333333333,265.972222222222,268.903903903904,266.511621315193,270.228235294118,275.471698113208,280.769230769231,280.104166666667,286.821705426357,284.281221922731,288.888444444444,289.473684210526,291.853658536585,280,289.585326953748,286.306818181818,287.653333333333,289.090909090909,298.75,303.809523809524,309.52380952381,330.156657963446,327.81746031746,335.262083049694,335.262083049694,332.5,320.629876244283,324.861337917204,340.492831541219,335.772248974496,348.602812803104,305.333333333333,326.201923076923,360,360.685854255971,375.6,389.878472222222,408.303085299456,423.889961389961,420,460,477.366255144033
"Riverside","CA","Riverside","06","065",10,161.863873686859,158.928894083313,163.076923076923,161.904761904762,159.682311621967,158.399366085578,152.328767123288,155.312420567874,151.73116089613,149.336283185841,151.256983240223,148.851063829787,146.108803363195,141.183723797781,138.83547008547,139.225181598063,135.684432342366,132.311685081426,130.543113379946,128.468160695472,129.262347055766,129.452054794521,131.848284166165,131.649173742549,132.86614006736,133.781447952648,131.643177239263,132.683467603112,133.343028607004,133.247856617907,131.205673758865,133.550406321826,134.641407307172,138.606469960896,150.368421052632,153.122592449923,156.026058631922,160.891089108911,160.887096774194,162.878787878788,164.461920386091,164.977166174023,163.813908070029,164.305349506938,164.457332228666,167.22916552847,172.5,174.524025385313,176.099269901083,177.800962918713,176.798378926039,177.740863787375,180.958072395648,178.879310344828,177.814938684504,177.189570789269,177.927519319029,178.857951864087,180.652019844082,180.579501915709,181.022696790335,181.171233200354,182.551319648094,183.422870299309,184.536906800763,185.217247097844,184.48098663926,183.407984456072,184.554230550823,185.379405620325,187.523710063927,188.041768531421,186.983632112237,185.023113382356
"San Bernardino","CA","Riverside","06","071",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.344827586207,169.428950116942,173.651373955325,177.700118063754,180.578139114724,184.903344605422,184.866723989682,191.570881226054,193.482688391039,194.219519480141,195.21002210759,192.385807946367,191.146881287726,189.303307529909,193.458980044346,191.493506493506,191.841467541212,194.78021978022,196.928497233375,199.769878828852,199.87597192275,201.310797174571,202.086049543677,204.624782525075,204.78952741,204.366741321389,209.150326797386,211.285533977798
"Clark","NV","Las Vegas","32","003",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4632102644671,88.7784090909091,88.9691373640273,87.2142661872016,88.7036040882195,89.5372233400402,91.991666991667,92.8381962864722,93.9224929754238,92.7246790299572,94.9209954043428,95.3100158982512,95.1374207188161,94.5082848071463,95.6483899042646,96.2176509621765,98.7883651019789,99.4318181818182,99.547011351634,99.8519615099926,100.588588759782,101.518784972022,102.219806184296,103.230856556927,104.27435387674,105.987815947493,105.451005840363,106.932793527223,107.883369330454
"King","WA","Seattle","53","033",13,281.432748538012,283.005985188198,280.542394014963,274.472291562656,273.63184079602,271.302578018996,266.949152542373,259.4723183391,253.142356998078,249.989583333333,243.861788617886,236.400709219858,228.612371234455,221.015415968733,217.330857098792,202.586206896552,196.392857142857,192.057680846143,188.087774294671,184.472817133443,188.727076591154,180.616740088106,176.788617886179,171.122994652406,167.900763358779,172.420124114665,179.882943143813,177.870315288519,180.00600240096,182.904411764706,185.479597244303,180.731922398589,180.789133247089,173.84370015949,193.953068592058,194.060305230758,199.198552430364,213.947368421053,220.350919988849,226.119455362156,229.436400360059,233.636363636364,235.623003194888,238.55748373102,240.910310688465,237.662337662338,232.208588957055,228.548516439455,223.482428115016,231.671348314607,239.878514776509,243.942831714198,236.272727272727,255.474452554745,255.603933160898,254.745222929936,257.830171130952,255.83659796741,244.784793814433,226.376968503937,233.277591973244,250.161420500404,260.633484162896,268.911917098446,271.328671328671,270.954198473282,270.46783625731,269.091118400303,277.6165507593,278.711014291546,277.659628812293,280.132042202714,290.40404040404,299.515418502203
"Wayne","MI","Detroit","26","163",14,73.4705882352941,73.9,73.6888888888889,71.875,69.9,65.0235046363914,64.6601941747573,63.695652173913,64.1216216216216,64.5634234645618,65.1607789855072,62.6950274266635,60,59.96,61.1587107303142,59.92,64.5539906103286,59.9679743795036,60.8950843727073,61.1578947368421,58.748545572075,58.748545572075,61.7599807599808,59.8458904109589,60.2127659574468,57.7577184720042,57.0285714285714,58.4919472913616,61.3671274961598,63.982683982684,62.6571793669618,63.6363636363636,67.6907049317884,69.001386962552,65.1474789353548,62.9119233073697,63.8211382113821,65.4633499385392,69.593147751606,74.4211429973019,78.0833333333333,76.3755458515284,76.9230769230769,76.8584356819651,82.3880597014925,81.9964871194379,82.9501915708812,86.6,85.2434967834865,89.6383866481224,95.4626865671642,96.4827586206897,100.133029916885,98.2410155728135,97.5963945918878,99.0092470277411,99.7844898347359,96.6042154566745,95.5797108080139,96.3987138263666,92.4880661058845,95.4545454545455,96.5497682888987,94.3251688729625,100.87795446407,101.818181818182,102.529987320609,101.899773737734,101.157184185149,100.179098864408,100.403719700877,98.1525784157363,103.125144270404,105.083260297984
"Tarrant","TX","Dallas-Fort Worth","48","439",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.146305991856,139.060568603214,127.083138647478,120.566860465116,116.759968102073,121.712767858778,113.51085336153,107.49548289328,114.019087633815,126.050420168067,126.868624062528,132.883168999865,128.343973248214
"Santa Clara","CA","San Jose","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.618510158014,390.848944355921,386.046511627907,386.168032786885,391.894299287411,394.301470588235,389.150943396226,393.356643356643,399.797570850202,410.361842105263,415.307820299501,418.183824340726,421.773595027488,421.599496221662,421.599496221662,420.253943740731,419.058553386912,411.8607907743,407.577497129736,413.180751759597,428.51323456344,443.272207648898,448.87459807074,463.777089783282,472,479.699248120301,479.710021734203,485.627799227799,479.489536199095,477.446217904233,471.428571428571,481.96269395127,496.557562076749
"Broward","FL","Miami-Fort Lauderdale","12","011",17,110.714285714286,111.042183622829,107.221006564551,104.125,102.459016393443,96.6666666666667,94.2028985507246,94.525641025641,94.7526397866118,93.1786896264022,93.5087719298246,90.8017676767677,90.0199203187251,92.3156718799872,89.171974522293,88.6716115981119,91.6666666666667,92.2337550996275,92.7411290322581,92.8571428571429,95.380168963984,99.0853658536585,99.4358974358974,100,95.6521739130435,94.5,96.1737331954498,93.9906890883122,89.1152132399745,90.3739722253617,93.7014997581035,99.0046235138705,98.6031913123792,94.3204877508855,107.55991325108,106.937871617522,111.045751633987,112.717948717949,113.225,117.717003567182,120.468059646539,119.607843137255,117.777777777778,117.1875,119.845387763635,120.816326530612,123.483146067416,124.868421052632,125.952380952381,126.07476635514,126.190476190476,125,125,124.300890485862,124.376554726368,123.525026624068,124.90728021978,124.599157202323,125.780798410405,126.363636363636,127.694719471947,129.586235966515,128.205128205128,126.404494382022,128.029420173834,128.102564102564,131.11846946284,130.925507900677,130.353817504655,132.075471698113,140.783833435395,141.193064182195,141.304347826087,143.04347826087
"New York","NY","New York","36","061",18,975,956.989247311828,964.463758067977,979.763854763855,979.72972972973,972.083748753739,971.485411140584,967.183306117086,958.333333333333,963.245614035088,963.333333333333,962.933118452861,962.166558230319,863.423423423423,975.494540783558,977.859778597786,978.571428571429,976.470588235294,970,975.756053451221,978.260869565217,996.666666666667,997.926038378504,1000,1000.6559246283,1030.92783505155,1040.7418699187,1050.94383890938,1063.20093294786,1065.41678744461,1063.20093294786,1068.75934230194,1052.70306981798,1063.51550960118,1099.45054945055,1109.06155350619,1102.01060052355,1111.94299610043,1157.95724465558,1163.02476263236,1177.13004484305,1180,1198.19968179541,1227.59158222915,1260.0898918783,1287.51974723539,1352.33196661986,1362.22910216718,1391.8168356722,1384.41307895454,1382.19866822982,1388.88888888889,1447.45122718691,1434.72906403941,1475.0082462619,1494.47774842512,1543.40836012862,1587.00980392157,1632.38575476865,1644.15156507414,1660.48237476809,1684.52895419188,1666.66666666667,1689.11335578002,1700,1710.58410188845,1725.8382642998,1756.06943932469,1784.76213282248,1793.2953268452,1825.21087160262,1849.36835002652,1914.65750060181,1895.04373177843
"Philadelphia","PA","Philadelphia","42","101",19,99.444532421887,102.053571428571,109.7539543058,109.268707482993,109.520547945205,109.947356876508,110.243055555556,106.208316659997,110.07174145698,107.358667545505,106.257884137738,102.042483660131,102.53125818277,104.834093918601,104.1015625,102.127810863836,106.482303795803,104.407192575406,99.95,98.6842105263158,97.4673456694138,95.3993055555556,93.6936936936937,87.2684199041988,89.4353845526466,93.9379235195968,92.5902777777778,92.6900584795322,94.9263812993321,97.2345569370436,93.1616341030195,90.2083333333333,90.7656777402736,93.0975104782104,96.8217054263566,95.0934977142301,94.9559686888454,96.7171717171717,101.957539478201,104.165625,107.628398791541,110.789980732177,105.936395759717,102.235665648466,102.040816326531,102.867647058824,102.251966766875,100.533135595055,98.9871086556169,100.91869212963,105.263157894737,109.795107370226,110.220588235294,110.775400418675,108.035714285714,105.574324324324,105.606617647059,105.010927225453,103.370248214006,100.789473684211,97.7092703648176,101.187233749822,107.204116638079,112.236351827163,114.214285714286,113.230994152047,109.953703703704,107.001647446458,106.674718196457,106.463068181818,106.060606060606,101.759324419423,100,98.0060483870968
"Alameda","CA","San Francisco","06","001",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.128878281623,338.459713020757,341.344487854595,341.879418115695,350.154858178126,362.05316223648,363.871422917573,363.247863247863,368.368860510806,365.934797072522,369.688888888889,370.873784822188,365.57798369239,369.108461101647,373.014925373134,378.504672897196,383.634268581913,391.949394381381,401.315789473684,403.151065801668,415.549597855228,418.580966262252,418.211068211068,414.392029088162,414.254143646409,416.52754590985,422.297297297297,430.366349721805
