"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,182.293354943274,181.315900463939,185.518828360729,187.874473666045,187.516962010561,183.91982950894,184.151785714286,185.495982367735,186.875,184.928340268146,183.270507009196,176.24867616129,174.639917695473,173.439425393266,172.388889811233,175.092487361975,179.444364046562,177.421821682753,175.15923566879,175.757575757576,172.214259170781,174.63924963925,172.634703196347,170.156467026414,168.669131238447,169.412185944896,170.378787878788,171.851421938479,175.962293794187,179.758425568959,181.453478575039,178.374001320995,178.826895565093,185.263150813536,185.643015521064,189.150606709493,193.021258320807,196.325231481481,204.590707964602,209.259259259259,213.706705969049,218.156434897274,224.192912268755,223.347853830504,223.813786929275,226.19344773791,237.573099415205,235.204103132257,231.166832249518,232.410824108241,235.490102389078,239.304347826087,243.794754389046,249.909819463013,251.088169642857,256.521739130435,257.087628865979,257.772229381443,258.862183318315,253.829663825758,256.290048375551,259.661835748792,260.926288323549,263.229670653383,273.392375818252,277.836134453782,278.409090909091,280.144665461121,287.181594083813,286.209987426522,285.054347826087,283.428728859302,285.132279018149,285.967206477627
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8773234200743,69.8595724003887,69.7823000473261,68.0228633641807,73.2511303800366,74.4993879986275,76.9216867331991,74.7986191024166,76.7988665970755,77.3538961038961,78.3710093048233,75.7627952755905,79.5062464669305,78.4361471861472,74.8640632723678,80.4424333836099,80.4424333836099,79.458519622454,79.6998031496063,79.2368681863231,82.2658180919427,83.0094339622642,83.0188679245283,83.114004255359,89.0333521763708,91.1407199625993,103.503081573935,102.748414376321,100.62358276644,96.2361696522655,102.880658436214,106.802754401694,106.605882400661,103.923205342237,102.546135045219,103.923205342237,108.269553854769
"San Diego","CA","San Diego","06","073",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.826681246583,275.043669298367,270.75,285.285285285285,285.714285714286,286.998733642887,314.454545454545,295.044378698225,310.118798730846,327.350427350427,320.965431082271,303.970223325062,289.353718637993,305.576250176574,311.223364189212,317.787227496484,310.38374717833,308.787205778571,305.316091954023,341.092772725529,340,327.011118378025,345.853477129044,338.718820861678,315.384615384615,316.666666666667,331.479897348161
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",4,270.170244263508,267.880214443768,266.622222222222,266.622222222222,267.502292876796,256.81721557645,262.398190045249,257.028112449799,252.159043768256,249.734227037694,249.825087456272,247.74975,251.45579671784,243.849752930342,250.185160895418,243.738546120953,244.760213143872,242.313705054716,242.802944257247,242.17227959771,240.331196581197,250.495646349632,261.492237431465,242.065626681011,241.384807909331,267.131976446493,257.387539254535,262.901529636711,265.567533291059,266.946588581007,267.07172820838,271.341817379797,270.729166666667,287.543477944917,287.317171717172,279.430805653758,261.312562545557,278.796771826853,277.504806900527,277.587777498082,289.550986151909,289.913374062892,310.107166778299,312.269646933261,317.186392629341,316.882937367847,310.907749077491,311.350553505535,308.747002398082,317.883712712544,319.576457645765,314.39849904775,321.195394830298,322.592873388931,326.609331167872,333.848958333333,336.178700245878,386.153846153846,353.150821699283,345.023696682464,350.10298661174,350.262167463174,350.548511995141,354.166666666667,352.957737148914,365.463739475332,350.407830342577,375.357483317445,361.757105943152,362.247887323944,366.846361185984,378.676470588235,358.060962174073,358.520062532569
"Kings","NY","New York","36","047",5,243.055555555556,245.780988274707,246.371821299489,246.212121212121,243.34300393212,243.89566395664,245.447347585115,242.761813084889,244.668930263237,236.842105263158,234.905445431761,230.158333333333,227.239568057876,223.344778229265,225,224.171539961014,225.10661195137,226.973684210526,228.518890920171,223.27380952381,224.293059125964,222.185185185185,224.326016742469,225.027541706012,225.943646996279,226.419082125604,222.76688453159,226.485315483603,227.682186234818,230.00955165692,228.070175438596,227.272272727273,230.625,230.9375,242.541003505916,241.277890466531,244.021739130435,244.755244755245,251.802634994808,256.827731092437,259.134615384615,263.647642679901,267.451012683496,272.677595628415,275.9320578857,285.732116950937,301.28141025641,299.123188405797,302.354100946372,303.716216216216,306.129032258065,309.710743801653,317.735424838308,320.666626974676,324.858757062147,330.882352941176,333.333333333333,338.888888888889,338.145896656535,341.508438818565,351.876675603217,354.166666666667,353.982192050374,361.349385203029,377.106603958456,381.202290076336,380.53281068525,383.956809415525,394.643083270974,405.639783194889,412.515566625156,415.899417562724,416.666666666667,425.728920409771
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.377458798511,136.729222520107,144.447191949256,155.401057220381,159.403669724771,145.241363052987,147.435897435897,155.941571259376,158.031849254696,160.501597753462,174.157354001442,181.389320891654,180.925745562293,181.572292638385,181.234688878001
"Queens","NY","New York","36","081",7,,,,,,,264.61038961039,266.576176373807,263.975155279503,264.291870152255,264.549270072993,262.102272727273,261.065834617871,256.666666666667,258.499730167296,256.944444444444,259.540310918294,259.695460844189,256.546052631579,254.310694332952,253.731343283582,252.521043771044,252.386141834743,250.877754354264,250.877754354264,250,250.456204379562,252.327131848884,254.303599374022,254.608139768404,255.156950672646,252.234993614304,249.853031449714,245.984264539132,259.833333333333,256.410256410256,256.756756756757,262.560447517299,266.903567447046,270.208333333333,275.320454955768,276.675517521532,279.500430663221,280.794959223847,285.9375,285.738357843137,281.641604010025,284.035270448314,286.444444444444,286.561264822134,289.079078815921,289.991582491583,296.286715620828,297.185307572192,302.98353909465,306.861888111888,309.285714285714,309.442529327022,305.982704402516,305.738150218765,310.041436464088,310.323383084577,315.754738267148,326.569435637286,329.67032967033,332.666666666667,334.522727272727,341.804979253112,352.935294117647,354.623154623155,357.462686567164,353.067047075606,350.210674157303,358.099181576826
"Riverside","CA","Riverside","06","065",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.705893513331,145.684979137691,140.641361256545,145.138888888889,143.283582089552,144.810267857143,143.020022883295,146.125167032247,140.388768898488,145.299145299145,147.5,142.301041666667,142.96875,144.146714922049,138.636045371797,140.506884449244,140.916808149406,149.572615384615,151.454545454545,150.025461051473,153.419051044331,153.419051044331,156.089450315381,148.606113054584,150.129639175258,159.212920837125,156.666666666667,159.582763736098,165.864332603939,162.475,163.325982443912,164.082532051282,164.473684210526,165.139142201565
"San Bernardino","CA","Riverside","06","071",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2025442223505,104.971919095015,106.095052506225,101.962783583992,104.860972222222,116.659583510412,116.808510638298,115.027829313544,113.557692307692,113.333333333333,117.064385411977,122.222222222222,120.563905791179,119.78551751279,121.116614137776,124.260005081663,125.65703022339,120.357861835135,113.152289669862,112.362385321101,112.714792323029,115.713507625272,114.788312462731,125.558035714286,121.125757035981,121.132323897301,123.071663019694,117.5
"Clark","NV","Las Vegas","32","003",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,59.873933450821,59.6745680475864,60.2446727063927,62.1546961325967,62.2810948680433,62.2653316645807,62.2653316645807,63.3333333333333,63.3333333333333,62.5793702324686,62.6118067978533,63.1313131313131,65.0759219088937,65.5739670581629,67.645532894951,66.0315040650407,60.0971798154897,57.7622146524989,63.6693165819918,63.0997474747475,63.0997474747475,63.1009615384615,60.2678571428571,62.4107682120169,63.6842105263158,62.0260021668472
"Tarrant","TX","Dallas-Fort Worth","48","439",11,60.3705917513449,61.0632183908046,62.4479166666667,62.6740947075209,62.0503597122302,61.359286694825,59.4257368779729,60.0109110747409,60.929347166606,60.8821822402786,59.3348486184042,59.0123456790123,57.2802905670201,56.6441798941799,57.2781655034895,56.2697007792496,55.7530864197531,55.8852140077821,56.0427126341337,56.6037735849057,57.8153564899452,56.9095589067223,54.3582375478927,54.4692413506294,48.2967601102941,52.1396481960211,51.5513569921291,53.1382978723404,53.1382978723404,52.8688524590164,52.908263346278,53.1400387944979,52.49343832021,52.49343832021,51.5743756786102,54.3582375478927,54.3975528448594,52.4514400317764,53.6358947911294,56.5112606912617,57.4324324324324,58.2999280501593,59.1301234310713,60.8159039043078,60.5885747259088,60.5331408661391,61.0432330827068,60.5280272003528,63.0952380952381,61.9751908396947,62.2632103688933,61.1265074211503,61.8131868131868,61.8941888264407,62.0434960409653,62.0263628154736,63.6331001858837,62.111801242236,63.9005557953007,68.8164011971835,68.7203297107377,68.6553330375816,76.9913591476091,75.8162198580914,72.4252773650624,74.775234741784,77.9026217228464,78.2979017705141,76.9230769230769,75.8798033380774,77.0547945205479,75.4189944134078,71.3799635126509,73.9640039447732
"Santa Clara","CA","San Jose","06","085",12,272.388059701493,268.338727076591,270.833333333333,262.991011133936,264.954984922973,253.564104919006,250.766372503484,250.034789836915,251.414458913336,267.93930762489,256.147540983607,253.053699008988,247.527567043049,243.063742068477,256.578443389,256.147540983607,256.147540983607,251.611013473931,247.41592920354,248.341625207297,239.143282078723,239.61661341853,248.341625207297,262.905800957956,235.556564608199,268.233358574794,268.928423665701,261.746238027682,262.801204819277,273.714059428345,269.995083154259,265.263157894737,272.65204799338,300,304.547350855236,318.0775,320.533399800598,329.074053350154,338.888888888889,349.433180643372,358.96206889039,366.223880597015,351.522985090752,332.111772789739,359.603958360831,360.471567267684,353.266888150609,357.92500979419,362.103174603175,362.077949162863,379.866848681413,383.879781420765,375.007305455714,379.73698053656,391.109530583215,366.666666666667,343.609305980292,360.645967407162,334.101382488479,391.935483870968,410.746797063055,423.968876680082,419.522041629597,443.958333333333,445.069444444444,416.211917562724,421.483744183783,450.496177905516,484.115618424129,453.7205533729,470.62423500612,467.796717171717,477.845831392641,482.698015466535
