"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.787522170193,311.058508219779,305.555555555556,308.597666780746,313.028764805415,322.808159368599,327.294729136449,330.693610049153,335.556319236678,333.941605839416,335.205233325311,334.770430069553,330.134663416689,319.145712443585,321.323474305147,334,339.053997488489,346.382556987116,356.791338582677,357.780034856366,359.989711934156,361.080707131599,360.36036036036,362.954104844991,362.215909090909,361.341237047577,362.096774193548,368.963626468268
"Cook","IL","Chicago","17","031",2,160.77404812848,163.256708841627,164.930555555556,165.310865775712,162.364130434783,160.151660123633,154.454545454545,152.439024390244,148.930558170919,146.288233355307,142.074982790149,133.744855967078,130.029887178304,128.900261223022,130.574912891986,135.051724309927,136.425297710097,134.466276814932,134.18856171088,133.26941514861,132.829046898638,130.130804557664,124.876524390244,116.796875,119.047619047619,121.212121212121,123.927613941019,126.538461538462,127.612929744057,125.286478227655,122.29506306035,120.75225284585,119.671132764921,119.688269073011,126.09561752988,123.535733476625,122.111111111111,125.842280636801,130.095108695652,134.970920633952,139.02205177373,142.133333333333,140.659057394991,140.136054421769,141.75452524611,140.224358974359,134.114583333333,133.000332667997,127.814972611077,134.765625,142.204912194056,147.817425810904,154.687274228885,157.165313073094,157.038685499073,155.928237129485,153.827815369563,151.901215209722,146.356399265156,138.539647486249,134.531590413943,141.712577796198,151.338971106413,154.563944891609,159.987195902689,161.809045226131,160.538532961931,159.648277762251,158.506678033532,158.061542701354,155.051348219928,150.812064965197,148.789101591563,153.409575292568
"Harris","TX","Houston","48","201",3,74.6220797068255,75.6172839506173,75.7705083547882,75.9431651151396,75.7398304459294,75.3138075313807,74.1791469660519,74.1279410030034,74.8619892763363,74.2247741171631,74.5394563397674,73.7074148296593,73.0800877032266,73.0882352941177,73.4064515067772,73.2165864637116,73.7226875615361,74.3,73.8597972972973,73.319668608542,71.39277057231,71.6839191141069,70.6806282722513,70.6122448979592,70.6806282722513,70.6481750624232,71.6480071652485,72.463768115942,72.873445549954,73.2856802006887,73.0483271375465,73.0368401609063,73.0660377358491,72.9405630865485,75,75.5143943308193,75.8839285714286,78.4753363228699,79.6463951133424,80.7988319231766,81.6276803118908,82.4087956021989,82.5631078252,82.844387755102,83.356024506467,85.2483542788749,84.475,85.1387206464424,85.6956639188849,88.0551053484603,89.3419170243205,91.339648173207,91.8443378827001,92.002830856334,92.478421701603,93.7866666666667,94.8093220338983,95.4734848484848,96.6271751203258,98.5863519899353,101.066390291034,103.032140691328,103.99172947898,105.821917808219,104.052044609665,102.778929904604,105.091493570722,105.971731448763,106.77673220249,108.066279467031,107.773348519362,109.624954922467,110.541496832988,107.132478533392
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.093023255814,122.91641054012,123.342202210397,124.699696991559,125.575279421433,126.404494382022,126.160192506016,126.110490173869,125.169622205089,125.293428846949,125.498007968127,126.80185444912,125.974805038992,125.186671870064,128.652775832653,131.114703455442,132.843791722296,134.33328059176,134.801104972376,134.57997698504,133.078848560701,134.245129382028,135.11720238282,136.566332218506,137.781287011449,138.076089805032,139.587082505255,142.47311827957
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.98121085595,270.631133197022,272.651515151515,275.586049170955,278.939295700942,282.985592868988,286.095733610822,288.461538461538,289.431287289182,289.028384279476,289.16412826143,288.615384615385,285.560344827586,282.632202729045,285.002767017156,288.976575387661,293.61114725153,296.251511487304,300.805987334485,298.45075985912,308.474982791258,310.403997123972,311.167945439045,310.634682916753,309.905042405855,311.358803640236,311.522335157032,315.283315292561
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.504369538077,304.347826086957,312.55746598014,322.155825496343,329.835766423358,337.841648755354,344.674535795237,349.155503785673,351.517817861857,352.918733307898,350.655719954396,352.226720647773,353.55647430907,354.806041776245,357.805459846276,360.303733727406,365.009940357853,366.171770972037,366.944796885505,366.20294599018,365.447154471545,366.559163987138,365.507075471698,363.779317094527,362.64880952381,365.493831011944,370.142899356459,373.38702963703,374.223146944083,376.57679552552,378.301064317327,380.554103502352,384.136931365207,384.920634920635,384.085213032581,384.615074441687,387.631181894384,389.485458308741,392
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.601018675722,364.982578397213,366.830065359477,362.165178571429,367.488404920347,375.693164362519,381.764705882353,382.489107481757,387.448347107438,387.587235996327,387.491582491582,392.784846732215,392.576730906495,393.939393939394,400.974750893256,400.083270487682,410.137096774194,420.69825436409,430.295566502463,432.460162809594,434.652613871636,428.095238095238,441.851682709197,454.215532036613,456.780240391155,462.250712250712,468.340611353712,469.265873015873
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.091029460444,135.747749252141,138.846737481032,146.455770357352,146.653776874236,144.936189608022,145.801910507793,144.37166941374,147.524285921415,148.514391829155,149.352853528006,150.336962156558,150.77339520495,153.100455623637,154.416502946955,158.677090334675,160.231271995978,158.264411455547,165.957446808511,168.771100607697,169.402985074627,160.977180280496,162.663606879,172.139830508475,173.626213177471,175.879396984925,176.417431391169,179.888300999412,180.255130338325,187.83542039356,193.014705882353
"Dallas","TX","Dallas-Fort Worth","48","113",9,81.442831215971,81.8852459016394,83.6576504986708,84.8330503678551,84,83.4202294056309,82.7058336781134,81.6537467700258,80.7473952747569,79.9418604651163,77.8527656491019,75.4784896861578,73.6248236953456,72.8782287822878,72.0297386339031,71.6225434165407,74.1009463722397,74.6268656716418,72.9242318902334,71.2250712250712,68.5998397871878,68.3585144012127,67.5,65.1910531220876,66.1444781049896,67.521945021945,67.1142742770178,67.0394036208733,68.1330472103004,70.5330293681168,70.5851986612626,69.0592955862684,68.6406442643163,69.93733413401,79.2751981879955,79.0196453716489,78.1078967943706,79.3650793650794,84.0528540301127,86.2609786700125,87.7875365955667,87.9249706916764,88.2794627481268,87.9241106280053,88.3244111349036,88.2686808972466,87.8007414237007,88.0245990678986,86.2716535433071,86.4825325191699,91.1732639020507,94.342205030714,96.0826753840544,93.9124236252546,95.0089881869543,96.2485459929651,96.6832504145937,96.3753213367609,94.7045707915273,96.9630442736919,96.8233587374138,102.419694576093,105.840707964602,107.968244876351,108.523608174771,109.516093624228,107.459580020916,107.664700723839,109.929078014184,111.541707080504,111.943986820428,111.044776119403,110.658319870759,113.905325443787
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.425595238095,312.491776315789,314.351851851852,317.931609589041,320.030120481928,326.252591170825,336.925287356322,343.023255813953,344.470046082949,348.041719044626,347.321428571429,347.118573797678,346.204188481675,342.745919243986,343.75,344.631311576355,346.08378870674,353.924050632911,364.263565891473,369.625970955758,374.358096393897,378.787878787879,381.783713485394,381.02566096423,380.079485540171,382.251569250836,385.824532900081,386.997046880768
