"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,370000,359000,370000,379900,395000,399000,399999.5,4e+05,405000,415000,405000,399999.5,395000,389900,4e+05,415000,429000,440000,449000,449900,449000,450000,449000,439900,439900,439900,450000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,150000,149900,169900,185000,195000,209000,209500,199999,199023.5,199000,189900,182500,174900,169900,180000,199000,199000,199900,199900,2e+05,199900,199000,192000,185000,185000,189000,199850
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142000,149899.5,150000,155000,161000,162997.5,162950,161000,159000,159500,159000,159900,159450,159900,164000,169900,174900,175000,179899,177000,169000,169900,179900,185000,189850,190000,193950,194200
"San Diego","CA","San Diego","06","073",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,309900,319000,319000,329000,332000,325000,330000,345000,349000,342500,333990,339000,335000,339000,335000,345000,349900,359000,345000,375000,375000,380000,375000,375000,373000,375000,386000
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,385000,385000,379900,389000,389000,389900,399000,399000,397900,398700,394900,396000,394900,399000,399900,409000,415000,423750,425000,424000,424900,425000,424900,424900,424000,429000,435000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280900,274900,259000,259000,255000,264900,260945,255000,250000,259900,269000,270000,290000,299000,295000,305000,305640,299900,280000,288000,320000,329900,339000,339900,369900,375000,380000,385000
"Dallas","TX","Dallas-Fort Worth","48","113",7,125000,129900,137900,135000,130000,134880,134957,129999.5,145500,136950,129900,119300,114900,119000,119000,122862.5,127900,129000,120000,110000,107900,98000,114900,113000,108750,119000,119900,119925,119900,119500,119900,117500,112000,118700,139900,145000,145500,149900,154900,159000,159000,154950,159900,159900,159925,163000,159900,150000,139900,149995,159500,162400,169900,155000,152000,160000,159000,154000,149250,152500,152500,169900,175000,187775,185950,188950,175000,175000,189700,195000,199000,205000,205000,225000
"Queens","NY","New York","36","081",8,289000,299000,294999,299000,299000,295000,289000,279900,285000,289000,288000,285000,279894,279000,279000,275400,276750,279000,269900,279000,269894,269000,264000,265000,265000,259000,259000,259000,259000,259000,259000,255500,249900,250000,259999,259000,259000,264999.5,260000,259000,259000,254450,250000,250000,258888,258000,259900,259000,260000,268000,270000,269999,269000,275000,275000,259000,270000,269000,269000,269000,269838.5,275000,274900,274950,279000,295000,295000,299000,299900,3e+05,329000,330000,359000,368888
"Riverside","CA","Riverside","06","065",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,198200,196950,199000,199900,204900,215000,209000,205000,209000,209900,210000,215000,220000,220750,225000,228650,229000,229900,229900,229999,225000,229000,229000,230000,230000,238900,239900
"San Bernardino","CA","Riverside","06","071",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,144700,145000,145000,150750,154450,157000,159000,159000,159900,164950,160000,159900,159900,165000,160000,169900,169000,169000,169949.5,174900,179000,179900,179000,179900,180000,180000,179900
