"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935000,938944,868950,849000,859000,899800,959000,950000,975000,950000,950000,925000,925000,826500,875000,9e+05,950000,995000,1050000,1125000,1118655,1100000,1099995,1100000,1099999,1080000,1100000,1122000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211000,2e+05,194500,210000,220000,235000,252500,264900,259900,255450,255000,257950,245000,219900,209900,219900,242000,250000,269900,275000,269000,269900,269000,269900,265000,250000,249000,250000
"Harris","TX","Houston","48","201",3,329900,332900,331950,325000,325000,325000,317157.5,319000,324750,319500,319450,314819,307745,309348.5,310000,315000,325000,326200,319900,310000,299900,299900,296000,299900,295000,299000,314900,324900,333601,339900,338670,325000,319900,310000,321000,329995,332000,356990,360000,364900,369900,379900,379210,379900,389990,399000,394990,399990,397990,419857,412703.5,425000,425000,432020,425000,432059.5,441508,435000,434990,432477,436990,446970,449900,456610,445276,439900,443990,439990,430000,444745,439900,440000,445000,431726
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455900,459000,450000,450000,463992.5,435000,455000,447945,449000,435000,429900,429950,443646,445245,443900,459900,468990,479900,479450,459900,459900,449997.5,452406.5,450000,459990,484900,489450,494900,524900
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884227,895000,919000,949000,950000,999000,999000,979000,946944,949000,959000,959000,949900,899000,922000,995000,1050000,1099000,1125000,1049500,1150000,1129500,1150000,1150000,1174431.5,1198000,1174863,1199000
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297585,1299000,1299000,1285000,1299000,1329500,1325000,1299900,1296500,1299000,1374990,1399000,1374500,1350000,1399000,1397000,1350000,1360000,1396000,1390000,1387500,1398844,1390000,1372000,1359995,1399444,1471950,1409995
"Kings","NY","New York","36","047",7,585000,585000,588000,585000,579000,582500,585000,580000,589000,560000,559000,550000,550000,549900,550000,550000,549000,550000,560000,550000,549999,549000,549000,539000,539000,539000,539000,539000,539000,549000,549000,549000,549000,549000,579000,579000,579000,589000,599000,599000,599000,649000,650000,659000,679999,699000,719000,720000,750000,750000,779500,769000,799000,799000,799000,799000,799000,829499.5,849000,865000,925000,899000,899000,949000,999000,950000,949000,999000,999999,1100000,1199000,1199000,1250000,1292500
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584900,575000,549900,549000,564283.5,540000,542450,499500,499000,499900,552490,615000,599000,579999,553995,595000,552990,560000,559900,559945,543500,550000,613990,619900,615990,612821.5,608597,599000,585990,599900,592990,586490,583990,620252.5
"Queens","NY","New York","36","081",9,648000,645000,639700,639000,632500,629000,625000,629000,628000,619000,610000,599000,599000,599000,599000,599000,599000,599000,599000,598000,589999,598888.5,589000,579000,579000,579000,569000,579000,589000,579499.5,575000,569000,550000,550000,595000,589000,579000,589000,585000,580475,589000,579000,589000,579000,589000,594000,579000,589000,590000,599000,599000,620000,629000,645000,649000,669000,649999,639000,625000,629000,639999,629000,641300,679000,679000,669000,679000,699000,699000,725000,719000,719000,739000,739000
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,426837.5,429900,434950,435212.5,449000,449900,450000,449900,450000,449945,449900,439900,435000,444900,449994.5,451900,450000,458994.5,465700,469900,467031,469000,465000,474053.5,469900,470645,476950
