"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469900,465000,449989,459000,464900,485000,499000,499000,499900,499888,499999,499000,498500,475000,479000,499000,509900,529000,550000,559000,559000,559950,559000,559229,550000,550000,550000,565000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193000,189000,179900,195000,209900,224000,229900,231000,230000,229000,225000,219900,210000,199000,189900,205000,224900,228000,233900,235000,231000,229900,227000,225000,220000,215000,215000,225000
"Harris","TX","Houston","48","201",3,136900,140000,144900,145000,144900,144500,140000,142900,153500,152000,154000,149990,149900,149900,149900,149900,150000,152990,150000,149900,142999,144018,139900,140000,140540,140000,144900,147000,147990,149000,148900,149000,147000,147003,159000,160000,160000,169900,174000,177500,179500,179990,179990,180144,184900,189900,185990,187990,189540,198000,199990,210000,214990,214900,214900,219000,220000,222500,228990,235000,245000,254842.5,260000,269500,259900,250000,266737.5,269500,270000,274000,273000,279000,280000,267500
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,236000,239000,245000,249000,249900,250000,249500,249000,249900,250000,249500,245000,252900,259900,265000,274000,275000,275000,269000,275000,275000,279000,280000,279900,281900,283000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,452900,459000,465000,475000,489000,459000,484900,499000,496500,490000,488000,489000,475000,479900,490000,524900,534000,549000,525000,557000,550000,559500,559921,565000,575000,569000,565000
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599990,599900,599000,599900,610000,625000,629000,635000,635000,639000,648000,639000,639000,625000,629000,648888,659000,669000,688000,697900,689000,685000,689250,690000,685000,690000,687990,690000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449999,485000,479000,498888,489000,499000,499000,499000,499000,525000,525000,515000,549000,565000,558000,595000,589499.5,609000,625000,650000,675000,679000,659000,679000,689000,675000,679000,699000,739000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,269000,269990,265000,270000,270000,270990,269900,274900,280000,282900,298000,299999,297900,309000,315000,310000,290000,295000,315900,320000,328499.5,330000,350000,358500,359900,360000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,175000,178000,187990,195000,203094,194638.5,194900,209900,199000,197000,189900,199500,199900,220000,229000,233999.5,235000,235000,225000,227150,235000,239000,239900,239000,235900,239900
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299990,299000,309000,299000,299140,310000,310000,319000,325000,329000,329999,339000,339000,334995,330000,349000,349000,349000,350000,359000,359000,365000,359000,360000,367500,369000,379999,388000,379945,389000,399000,399444,405000,410000,429000,424999,429000,439999.5,449000
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319900,323882,324000,325000,325000,329900,334900,334900,329950,330000,329900,329000,325000,326000,329990,338000,339500,339990,345900,349000,347000,345000,348945,349900,350000,350000,352000,355000
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,229900,229900,233000,240000,247350,249900,255000,258850,259000,259000,255000,250500,249900,259500,259000,260000,265000,269900,275000,278000,278000,279850,279900,279931,279999,280000,280000
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,179900,175000,179000,180000,185000,189000,190000,190000,199900,201000,202375,199900,199900,199999,209888,210106,215000,220000,220000,224500,224900,225000,225000,227500,227500,225000,225000
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385000,379000,370000,375800,387500,399000,399950,419950,424000,419000,415000,4e+05,385000,355000,372700,399000,417950,434950,440000,449950,449000,449900,449950,449950,449950,449000,444900,449000
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,68500,71000,74000,69900,69900,59900,53000,57900,64900,67648.5,69900,72000,75000,77500,75000,74900,72900,69900,65000,64900,63000
"Tarrant","TX","Dallas-Fort Worth","48","439",16,139900,141580,143900,145000,145000,145000,144500,145000,155000,149900,142908,139000,136512.5,135000,139000,139900,140990,146990,144990,140000,138500,139900,136550,134900,134900,136900,137900,138990,139175,141990,139900,136000,135000,139900,161995,163344,164900,169000,170000,174990,179900,179990,179900,179500,179000,178000,175000,177000,174950,179800,181904,188990,190000,187000,189000,192000,190000,190000,189700,195000,199000,199997,210700,214900,209900,208500,205000,205000,205000,205997.5,208500,209900,210000,209000
