"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399500,399000,389000,395000,398000,405997.5,419000,419000,419900,420000,425000,429000,425000,419000,409900,432000,449000,453500,460000,465000,459900,459250,468000,469000,459943.5,464925,469000,479000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,187000,184900,199900,219000,225000,229000,229000,227900,224900,222000,219500,214900,199938.5,199000,213000,225000,225000,225000,225000,224900,220000,219000,214900,209900,205000,210000,224900
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142500,150000,150000,160000,169900,169900,171250,175000,179525,169000,153500,172900,175477,178250,175000,179000,185000,185000,189700
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,150000,154900,154900,151777,154900,155000,155900,154000,152000,158000,160000,163500,160500,166750,169000,169000,169900,174500,170000,160000,169900,179000,180000,185400,189000,189900,189000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317000,319000,320000,325000,339000,349000,329900,339000,359900,359900,355000,349000,355000,349000,349000,349900,365000,375000,384000,364900,389000,389000,393363,389000,389000,386000,387500,399000
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389999,389250,388250,384000,390000,399000,399900,406000,403500,401750,409000,4e+05,399900,399000,399000,409000,410000,419600,429000,434950,435000,435000,429900,425894,424000,424900,429500,445000
"Kings","NY","New York","36","047",7,379450,395000,379500,389162.5,399000,395000,395000,399000,399000,399000,385000,379000,375000,349000,365000,364000,359000,350000,349000,340000,348000,349000,340000,345000,345000,365000,349000,369000,390000,379000,373000,359000,353325,349000,359000,348000,349000,349900,359000,375000,375000,365000,349000,349000,359000,368000,409000,409000,425000,425000,430000,445000,440000,449000,449000,449000,429000,465000,469000,473000,535000,505000,542500,562000,599000,607200,614300,599000,620000,625000,625000,629000,663600,699000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,260000,265000,265000,261000,270000,269000,265000,260000,265000,275000,275000,299000,305000,299000,3e+05,300600,299000,289000,285000,299900,309900,319900,323900,350000,364000,359000,359000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,169000,166000,175000,184450,189900,195000,192250,189137.5,179900,182000,187700,199900,2e+05,215000,228845,220000
"Queens","NY","New York","36","081",10,249000,249000,245000,245000,249000,249000,249000,240000,242850,245000,245000,239900,239000,239000,238888,230000,229999,229990,229000,229000,229000,225000,225000,224990,224000,224000,224900,222800,223000,225000,219900,219000,219000,219000,219800,219000,219000,219000,219900,220000,225000,220000,220000,220000,224999.5,219000,224945,225000,229000,229700,239000,239000,234900,239000,239000,240000,246880,239900,238000,239000,247000,245000,249000,249000,250000,265000,265000,270000,275000,279000,289000,289000,307000,305000
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,244900,249000,249900,249900,249000,241000,239000,239000,239900,249900,259000,269000,269000,267777,265000,269250,259900,254900,249900,250000,253500,259000,263500,269000,274990,274900,275000,275000,278500,269700,265000,269000,273000,281000,284500,283222.5,279900
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,215000,220000,232000,235000,225000,225750,239900,249900,248000,245000,244900,245000,232000,245000,245000,249000,249900,260500,265000,260000,259000,269000,274999,275000,262000,273000,275000
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,97965,97900,95000,97000,98000,99996,102900,104000,99900,105999,107000,107000,105819,106000,109800,115000,115000,114900,115000,115000,115950,119000,120000,120000,125000,125000,126000,128000
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264950,250000,244950,250000,259000,265000,268500,275000,275000,275000,275000,269950,257500,239950,250000,275000,288000,299000,299900,299500,299925,299900,310000,310000,309000,309950,315000,325000
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154900,149000,140000,140000,130000,139900,139900,139900,147700,149900,149900,149900,149900,150400,153900,155000,160000,165000
"Tarrant","TX","Dallas-Fort Worth","48","439",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186500,175000,177000,169000,160975,165000,160000,160700,169900,188000,186000,199900,180000
