"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549999,550000,559977.5,549000,549000,549000,559000,575000,589000,599000,599900,599000,599000,599000,599000,599900,615000,620000,650990,675000,678000,680200,698000,699000,699000,699950,699000,699000,699000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,155000,150000,157500,169000,162900,170000,189000,190000,189900,195000,195000,179700,169000,160000,165000,172500,180000,190000,195000,196000,199000,199000,199850,197600,189900,185000,180000
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,150000,155450,160000,167425,170000,162500,165000,174425,179000,179425,179000,185000,183450,175000,181450,183700,195000,190725,199322,199772,2e+05,200050,224900,220576,220000,219900,225000,238500,229900,262450,268500,268500,275000,289000,280000,279000,289990,298000,285000
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,142550,145900,157278,161643,165000,165000,165000,159945,169000,165000,168999.5,169900,174250,171450,169500,167000,169000,170000,169112,161000,164900,167500,169500,174900,176950,175000,185000,179975,193500,220000,224900,224900,220000,215000,210000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578950,620000,645000,689000,692500,707500,652400,725000,729000,682000,695000,699000,699900,699500,699000
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729000,729000,749450,749000,749900,771950,775000,795000,835900,829000,829000,799949.5,769000,776000,798500,824950,789995,849000,850000,869000,889000,879000,875000,898000,899000,886950,895000,854760,887450,857205,898000,930000,925000,978000,924975,949500,975000,970000,986500,1050000
"Kings","NY","New York","36","047",7,549000,549000,549000,549000,549000,549000,549000,549000,549000,529000,529000,529000,529000,529000,535000,529999.5,529200,539000,539000,534950,535999,529000,529000,539000,535000,539000,535000,535000,538500,549000,545000,539999,549000,549000,560000,569000,565000,579000,595000,599000,595000,599000,629000,639990,649998,669000,688000,699000,715000,729000,749000,749000,750000,779000,789999.5,798000,789000,799000,799000,820000,859000,865000,875000,899000,929000,9e+05,899000,9e+05,958000,998000,999000,999000,1095000,1100000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,267695,256000,264900,255000,260000,260000,275000,289900,279000,270000,295000,279450,295000,299000,325000,299000,299287.5,319900,319900,339000,350000,380000,380000,398900,365000
"Queens","NY","New York","36","081",9,590000,590000,595000,589000,580000,575000,570000,575000,569000,559990,559000,550000,549838.5,549000,549000,539700,549000,549990,549000,545000,539600,544000,539800,539000,539000,539000,529999.5,539000,549000,549000,549000,544990,529000,519000,539000,530000,530000,539999,540000,549000,554500,549000,559000,559000,559000,559000,545500,549500,559000,559000,569000,595000,599000,613000,626500,629000,625000,620000,599000,599000,609000,599000,599999,629000,649999,649450,679000,695000,699000,707000,719000,719999.5,729000,729000
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259250,250000,275000,292950,316500,319000,339900,342400,339900,324900,325000,319000,291950,299250,297050,304900,299900,299450,325000,325000,311200,339000,325000,342450,349000,335000,349000,344500,329950,329450,349000,368500,362500,365000,377000,357500,375000,360000,365000,350000
