"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498887.5,495000,475000,485000,495000,519000,529900,539900,549000,548000,549000,535000,525000,498000,499900,529000,540000,568000,599000,599500,599900,599900,599000,599000,599000,595000,598000,599000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189900,179000,189900,2e+05,219900,229900,239000,237000,232825,228500,220000,209900,195000,188000,199900,220900,229900,239900,240000,239900,239000,234900,234900,229900,219999,219000,227200
"Harris","TX","Houston","48","201",3,139000,144010,147000,149000,148500,147000,144900,145000,157500,155000,157000,154000,150000,151990,153497.5,154500,155900,157640,155000,152900,146778,147500,143900,144900,145000,145000,149000,149900,149950,150000,150000,150000,149900,149900,163000,165000,165950,174900,179500,183750,185000,187900,186574,187035,189500,195000,189900,190000,193000,200990,207522,217990,219990,219000,219900,224873,225000,227390,232900,240000,250000,260000,268990,275000,265397.5,259900,272000,274900,275000,279000,279000,285000,288574.5,273530
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,249900,249900,250000,259900,264000,265000,265900,262497.5,261390,264900,268000,260000,259900,269900,276570,284900,289900,293990,289992.5,285000,289900,290000,292490,297990,295000,299000,299900
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,520000,525000,529950,539000,550000,535000,549900,559000,550000,549900,549000,545000,530000,539000,549900,588000,599900,625000,599000,635900,637000,639888,635000,637000,642950,639000,629500
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715000,715000,7e+05,719900,730000,745000,749900,750000,749900,749000,750000,749000,740900,729900,749000,759000,779000,785000,799000,799000,795900,798000,799000,799000,798000,799000,799000,799000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,619000,599000,629000,649000,649000,659000,669500,659000,675000,699000,699999,699000,733500,749000,749000,749000,779000,799000,799000,799000,825000,825000,799000,799000,839000,830000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,279000,270000,275000,269000,271000,275000,279000,278000,279999,289250,289900,295745,299000,292000,312590,321490,324000,295000,299999,329900,329999,339000,339500,350000,350000,360000,365000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179950,184595,177500,179000,191000,199900,210000,199900,203094,210000,205000,2e+05,194900,205000,205900,229000,238950,239900,245000,245000,233000,235000,240000,247500,247500,240000,237990,243530
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,399999,399700,399997,399900,399000,399000,399000,399000,399000,399000,399999,410000,405000,419999,438900,449000,449000,449999,449000,450000,449000,449000,445000,439000,449000,459000,479000,469000,489000,499000,499994.5,529000,5e+05,499999,525000,539000
