"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76470588235294,1.76767676767677,1.77771171885322,1.76609105180534,1.76630434782609,1.79856115107914,1.76538461538462,1.75,1.79106694251515,1.82710883826644,1.89981096408318,1.88767550702028,1.92729275130156,1.87586206896552,1.87734668335419,1.86961166852471,1.86150799813636,1.86825974561487,1.84210526315789,1.89491916859122,1.86640926640927,1.82599355531686,1.81915462814339,1.8853305785124,1.9672131147541,2.00364049856319,2.01846204879593,2.03765756302521,2.04761904761905,2.02966314731021,2.05316899906785,2.07134082134082,2.09090909090909,2.12521539345204,2.12609970674487,2.1875,2.21659634317862,2.23809523809524,2.27416298168035,2.295,2.29508196721311,2.28136882129278,2.37005913476502,2.35,2.39757412398922,2.395
"Cook","IL","Chicago","17","031",2,,1.4125,1.49583333333333,1.39583333333333,1.45454545454545,1.34090909090909,1.35059760956175,1.54268292682927,1.57551826258638,1.6025641025641,1.62846547314578,1.5,1.53846153846154,1.55825791855204,1.61111111111111,1.61353744225084,1.65762670565302,1.65670425365636,1.66666666666667,1.68392370572207,1.6625,1.70947888589398,1.72043010752688,1.74615384615385,1.69176470588235,1.6687306501548,1.6125,1.68478260869565,1.75736961451247,1.75,1.73793103448276,1.70588235294118,1.69642857142857,1.68027210884354,1.7102615694165,1.70625,1.90131578947368,1.82274741506647,1.90773957624011,1.95321619649805,2.02153846153846,2.04180441731476,2.03616250639001,2.05555555555556,1.97746271585557,1.9875,2.00193810096154,1.90789473684211,1.826,1.84861742424242,1.875,2.02128999372647,2.12061558353777,2.26086956521739,1.95306380548303,2.22222222222222,2.15411213585127,1.8953488372093,1.77966101694915,1.91666666666667,2.23404255319149,1.97368421052632,1.95,2,1.97235246343577,1.94605785910134,1.86978260869565,2.09549071618037,2.18711138848439,2.28067785266982,2.1809220503488,2.08333333333333,2.29166666666667
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,1.04805302402651,0.870873786407767,0.900514579759863,0.900677200902935,0.941976380230937,0.924404365967225,0.941798941798942,1.05925925925926,1.07064555420219,1.03241713735277,1.02625298329356,1.07428903425097,1.07097591888466,1.10526315789474,1.12597660818713,1.10540788267644,1.11059714795009,1.10404624277457,1.03080568720379,1.08108108108108,1.07692307692308,1.08566721581549,1.12793890570896,1.09128630705394,1.19518108730438,1.21428571428571,1.36116152450091,1.37276933245208,1.33603238866397,1.21155638397018,1.35389280558776,1.18615209988649,1.15257192676548,1.18150684931507,1.32300420168067,1.30610983524108,1.31046119235096,1.2873399715505,1.35909090909091,1.36883955837444,1.29383902669915,1.30677764565993,1.30391404451266,1.3126491646778,1.3149078203773,1.34008979424335,1.35877241508714,1.36436597110754,1.36904761904762,1.37519154665958,1.39314145744029,1.38156908387911,1.57894736842105,1.54653284671533,1.56326392673381,1.49787785793762
"Maricopa","AZ","Phoenix","04","013",4,,0.858341882321795,0.920023774070218,0.912149097446748,0.939408380105193,0.93984962406015,0.934065934065934,0.944050898100766,0.960519751946265,0.99601593625498,0.972086763973361,0.892857142857143,0.880070546737213,0.874125874125874,0.918823044175227,0.904605263157895,0.89209048204279,0.876673485291253,0.864718614718615,0.86832697166819,0.858408293648461,0.868814178515008,0.874777975133215,0.86223506743738,0.87434554973822,0.882352941176471,0.878786458333333,0.875615763546798,0.87750100040016,0.880176211453744,0.893406593406593,0.891604675876727,0.885022889114954,0.883068288119738,0.878787878787879,0.882051282051282,0.888761467889908,0.888986784140969,0.890727957609401,0.890909090909091,0.882922535211268,0.899259259259259,0.900972376473924,0.907146173232524,0.908205710778906,0.897035881435257,0.909886337887575,0.914237944641096,0.916590284142988,0.910395100623674,0.923529411764706,0.940234723816813,0.945707070707071,0.942053093513419,0.941075831530217,0.944501137380378,0.94120847468476,0.945597110355043,0.959051411778084,0.96631579118682,1,1.01430726136608,1.03928845710049,1.03470931433292,1.03896103896104,1.03835978835979,1.05263157894737,1.06033186417114,1.06075216972035,1.09497206703911,1.13960113960114,1.14303210515362,1.14016172506739
"San Diego","CA","San Diego","06","073",5,,2.18802208517325,2.38257759538304,2.16917922948074,2.05433722487327,2.05444273240883,2.0017513995559,1.68461538461538,1.71130952380952,1.66240409207161,1.72131147540984,1.582193445811,1.55253643367678,1.51041666666667,1.49617439450848,1.49073327961322,1.49105367793241,1.49073327961322,1.52100051111679,1.5114002651767,1.49828767123288,1.57744874715262,1.58201058201058,1.59551649197474,1.625,1.64738363249163,1.61084681255947,1.60453091947249,1.63770491803279,1.64686383841643,1.625,1.63114754098361,1.62203067097017,1.625,1.61891891891892,1.60498091603053,1.60975609756098,1.61199547511312,1.63136818381706,1.64023372287145,1.6321155480034,1.62768621461301,1.66397849462366,1.70479302832244,1.68776371308017,1.65148063781321,1.75271739130435,1.76554174067496,1.74074074074074,1.74772302351848,1.79039301310044,1.84195075757576,1.85238095238095,1.89117451891175,1.90033783783784,1.88938381588716,1.91717791411043,1.94915254237288,1.93539703903096,1.97708795269771,2.00670498084291,1.99004909405891,2.01657458563536,2.01302259887006,2.04545454545455,2.05378101945003,2.0947348373473,2.09847036328872,2.0814734648068,2.11292938965031,2.10350584307179,2.10188356164384,2.1
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,1.72239108409321,1.65428764348413,1.65689341377289,1.64149704530532,1.64609053497942,1.67229748816398,1.60933890269519,1.61431064572426,1.62990196078431,1.64027149321267,1.64442326024786,1.60301625998924,1.5946137491141,1.60047234411058,1.61001788908766,1.61464133259094,1.63837812352664,1.63505559189012,1.63877266387727,1.62565905096661,1.61988950276243,1.63687343358396,1.66265060240964,1.68316831683168,1.69125419723915,1.69719827586207,1.69960184187736,1.71232876712329,1.71613282133531,1.73345498783455,1.73892988929889,1.75882352941176,1.73780487804878,1.73160173160173,1.74690976938168,1.74287203833868,1.75709086089474,1.77639318885449,1.76666666666667,1.7671921182266,1.76525977669304,1.74892309387832,1.77222222222222,1.78894927536232,1.8018018018018,1.80058219650964,1.8974358974359,1.89285714285714,1.88542825361513,1.89320388349515,1.91011235955056,1.89516129032258,1.912,1.90625,1.93612280742121,1.98067632850242,2.08258527827648,2.09204028486816,2.09239284566372,2.08788229124455,2.08103130755064,2.09979253112033,2.09995150339476,2.12044105173876,2.12180746561886,2.13668909300434,2.15909090909091,2.14765100671141,2.15795680238332,2.15652173913043,2.19424460431655,2.20068906115418,2.1850646721859
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,2.05399061032864,1.94174757281553,1.88968654785258,1.82882223847842,1.87011566611345,1.82142857142857,1.86589651395274,1.91737056326316,1.83961264723161,1.79487179487179,1.79110165635238,1.68975717721169,1.66889185580774,1.6779092253441,1.68776371308017,1.70258620689655,1.69133192389006,1.67696655545101,1.67617689015692,1.6878865131175,1.68918918918919,1.6803125,1.6875,1.68921779527199,1.69491525423729,1.70990566037736,1.73548345433287,1.75629360100376,1.77215189873418,1.76904934687954,1.75621305284802,1.74418604651163,1.68776371308017,1.68539325842697,1.71377029464823,1.69902912621359,1.71181802884413,1.74708818635607,1.74186325670994,1.792628400206,1.86880244088482,1.98019801980198,1.95121951219512,1.87823834196891,1.88003581020591,1.89873417721519,1.90114068441065,1.84266289065638,1.8361581920904,1.80807378373442,1.77514792899408,1.86666666666667,1.89950980392157,1.92771084337349,1.92878338278932,1.93548387096774,1.9047619047619,1.93176713223883,1.9375,1.97433366238894,2,2.08747514910537,2.12895377128954,2.19178082191781,2.25225225225225,2.25,2.27272727272727,2.20984128954829,2.22323049001815,2.21238938053097,2.19047619047619,2.20779220779221,2.23717948717949
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,1.14827586206897,1.15833333333333,1.19926199261993,1.04141471205247,1.00912778904665,1.00334448160535,0.990990990990991,0.992555831265509,0.992555831265509,1.00512444935838,0.921192509977993,0.901577247888723,0.914285714285714,0.972160218253968,1.07373994714527,1.07584722969338,1.06473702505937,1.12924071082391,1.06127458828911,1.1125,1.14573670377242,1.14217252396166,1.10929853181077,1.1496,1.15134049126142,1.15652173913043,1.17924528301887,1.24369016536118,1.20634920634921,1.233790292701,1.22857142857143,1.24696509407908,1.26028806584362,1.25714285714286,1.19179600886918,1.25691269542456,1.26934163489986,1.29032258064516,1.27815866797258,1.29310344827586,1.29192196096523,1.26849309000709,1.32798723785067,1.338199513382,1.32539682539683,1.29494771970737,1.26728110599078,1.27361705553245,1.28125,1.35269646955335,1.29323763920994,1.2216404886562,1.30391607400536,1.3013698630137,1.34597594819611,1.34638554216867,1.35658914728682,1.33928571428571,1.34521691238773,1.36417322834646,1.36004570747218,1.448738170347,1.44444444444444,1.43326885880077,1.43529594187489
"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42105263157895,2.41666666666667,2.39285714285714,2.4,2.4,2.4,2.42456896551724,2.43055555555556,2.44444444444444,2.44773455710956,2.45786383865164,2.5,2.46666666666667,2.44444444444444,2.41573033707865,2.42105263157895,2.42142857142857,2.42307692307692
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,1.26961068094652,1.25661375661376,1.35096303199751,1.3203125,1.23192287091591,1.20481927710843,1.20683966776724,1.22356048053024,1.21794871794872,1.21794871794872,1.22500598659004,1.25,1.22365339578454,1.24489795918367,1.22297297297297,1.15509465754782,1.16888429305891,1.17907614838373,1.20638085742772,1.21487603305785,1.22210743801653,1.24864277958741,1.21650014480162,1.19433198380567,1.21666666666667,1.2012012012012,1.20825588599752,1.22117039586919,1.16666666666667,1.1810261374637,1.16424497713731,1.20425365170413,1.21881550792442,1.16666666666667,1.21256038647343,1.20022865853659,1.16279069767442,1.12624987624988,1.14127082048118,1.28088803088803,1.28625954198473,1.29536290322581,1.3013698630137,1.33636363636364,1.34469796318122,1.36425648021828,1.39054429876838,1.37013441931993,1.46699266503667,1.45448308850371,1.45916754876758,1.4375,1.42886812045691,1.45322434150772,1.47166948569361,1.45675436512163,1.4726507713885,1.48698884758364,1.54949162986546,1.52275478092472,1.51610925947209
