"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,1.9,1.88888888888889,1.9,2.02702702702703,2.06530089628681,2.14167320123453,2.1551724137931,2.22389486260454,2.2,2.25,2.19428571428571,2.19428571428571,2.26086956521739,2.34782896842863,2.27272727272727,2.20752688172043,2.31864723467862,2.39907407407407,2.38486842105263,2.39398998330551,2.33333333333333,2.33333333333333,2.42782738095238,2.31086956521739,2.32558139534884,2.18216318785579,2.25047184837825,2.32558139534884,2.36236111111111,2.32229532163743,2.398,2.45454545454545,2.46231884057971,2.578125,2.54528846153846,2.57142857142857,2.58296010711977,2.578125,2.64852941176471,2.63727016979805,2.72905876049295,2.74415315150503,2.77906976744186,2.75,2.8125,2.90373221248797,2.92832681017613,2.95827975673328,2.91414728682171,2.96132703081232
"Cook","IL","Chicago","17","031",2,,,,,,,,,2.3327731092437,2.32190476190476,2.325,2.32758620689655,2.28708353260003,2.22701149425287,2.19398954703833,2.23076923076923,2.4,2.36913919413919,2.37241433021807,2.43140243902439,2.45096964586847,2.40711125158028,2.39211394561491,2.43570150322119,2.4748427672956,2.57692307692308,2.57899411049827,2.61988304093567,2.6551724137931,2.65230098452883,2.68235294117647,2.64036697247706,2.66719521932232,2.62608695652174,2.6,2.62163165983607,2.61144578313253,2.58880308880309,2.63418803418803,2.66243762790591,2.729522417154,2.81310993088762,2.88333471841325,2.74123981698471,2.87704918032787,2.80514705882353,2.68037974683544,2.56900212314225,2.68235294117647,2.82344428364689,2.75088339222615,2.71428571428571,2.75262431155952,2.74465240641711,2.73981540508329,2.63893469392785,2.70015060240964,2.71287128712871,2.72400190437326
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,1.21,1.17082533589251,1.17647058823529,1.23318224984892,1.23054518103538,1.17468165598221,1.1568998716303,1.14564831261101,1.15163147792706,1.18589743589744,1.1981981981982,1.2,1.15492962908664,1.18951418951419,1.16666666666667,1.1759595959596,1.17234848484848,1.16599337062358,1.16666666666667,1.16666666666667,1.16666666666667,1.16666666666667,1.16666666666667,1.18027777777778,1.17586956521739,1.21737421383648,1.25555555555556,1.19253208868145,1.22763080293201,1.23263850709225,1.23728813559322,1.3125,1.27910714285714,1.36320013959169,1.30517598343685,1.33279310344828,1.33670186335404,1.36228138205941,1.38736842105263,1.4047619047619,1.375,1.42602495543672,1.53333333333333
"San Diego","CA","San Diego","06","073",4,,,,,,,,,2.33012820512821,2.28964613368283,2.12764675052411,1.99375,1.9249167935917,2.06521739130435,2.14123006833713,2.10805610724926,2.15909090909091,2.14539295392954,2.15909090909091,2.15909090909091,2.05,2.06458333333333,2.1281045751634,2.16173120728929,2.16173120728929,2.1231884057971,2.17954545454545,2.08696247482421,2.01085481682497,1.9988864142539,2.09302325581395,2.17310606060606,2.09302325581395,2.16186252771619,2.17391304347826,2.42307692307692,2.48,2.41666666666667,2.47857142857143,2.6,2.59171707771056,2.39,2.54286796935808,2.625,2.65624535488666,2.67640170822427,2.72608244365362,2.72734266163727,2.79716778107669,2.73685769389723,2.9993481095176,2.91820270527061,2.99710930354745,2.92142857142857,2.96589163822526,3.1205373646686,3.20702402957486,3.10536044362292,2.90126582278481
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",5,,,,,,,,,,,2.4,2.51428571428571,2.55217391304348,2.64132553606238,2.60416666666667,2.55217391304348,2.66444444444444,2.71357709750567,2.65494505494505,2.64778325123153,2.64172335600907,2.69570052288518,2.5796178343949,2.56739130434783,2.56739130434783,2.51358024691358,2.62857142857143,2.65238879736409,2.64415156507413,2.6962952149906,2.51960784313725,2.45420168067227,2.59861111111111,2.70518521716605,2.65555555555556,2.66666666666667,2.67710049423394,2.68533772652389,2.68945634266886,2.69357495881384,2.61041666666667,2.61180326743547,2.63994374120956,2.66085068144376,2.74787478282452,2.93333333333333,2.93296089385475,2.890123720487,2.81617647058824,2.91965408805031,2.94320987654321,2.94444444444444,2.99307958477509,2.99307958477509,2.97,2.96739130434783,2.88336192109777,2.90330589254766,2.89126853377265
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,1.90110969262496,2.13448922211809,2.36686390532544,2.39330637915544,2.43420146065867,2.48868778280543,2.4390243902439,2.54545454545455,2.27678571428571,2.28421999125578,2.26824457593688,2.27793696275072,2.35042735042735,2.44444444444444,2.39028213166144,2.43349525792274,2.44897959183673,2.53193696528895,2.56436705727018,2.6,2.53333333333333,2.34042553191489,2.32945736434109,2.40963855421687,2.5,2.5,2.5,2.421647819063,2.47422680412371,2.59672619047619,2.67405063291139,2.67175572519084,2.67175572519084,2.54513662979831,2.57147438608362,2.59541984732824,2.58333333333333,2.5092092293089,2.5,2.5,2.66548253404381,2.71276595744681,2.66666666666667,2.67241379310345,2.66666666666667,2.67843250630782,2.64150943396226,2.66457680250784,2.69576379974326,2.77777777777778,2.76523297491039,2.77091111646393,2.93485589994562,2.93255131964809,2.91005291005291,2.875,2.80985169491525,2.8140243902439,2.8
"Dallas","TX","Dallas-Fort Worth","48","113",7,,,,,,,,,,,,,,,,,,1.62790697674419,1.54340277777778,1.50343642611684,1.55172413793103,1.51688045074475,1.54340277777778,1.50593471810089,1.51919083873403,1.51896673120929,1.56481481481481,1.58969804618117,1.56621888281724,1.60860655737705,1.65413533834586,1.67713787085515,1.67713787085515,1.6908309840247,1.77464788732394,1.60715532286213,1.58215010141988,1.52225671780961,1.56612051826969,1.70098039215686,1.76532769556025,1.80343511450382,1.77266384778013,1.7837054631829,1.75291524017014,1.77563829787234,1.82251908396947,1.79626711631828,1.73361522198732,1.82560282598679,1.84160613397902,1.82701177279905,1.83228605625374,1.82875264270613,1.82875264270613,1.91358024691358,1.89594356261023,1.89087947882736,1.91730279898219
"Queens","NY","New York","36","081",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.06666666666667,3.09436758893281,3.0333701386333,3.1,3.1046218487395,3.11111111111111,3,3.06069958847737,3.22437333889207,3.15442561205273,3.05,3.11248808388942
"King","WA","Seattle","53","033",9,,,,,,,,,,,,,1.85,2.0004347826087,2.10922787193974,2.068669527897,2.246,2.20063820238394,2.18583523592085,2.24056603773585,2.21346469622332,2.25788688361518,2.2890880790081,2.21428571428571,2.172,2.20183486238532,2.29522184300341,2.25961538461538,2.3156792918139,2.34117647058824,2.36201298701299,2.37025887890458,2.53061224489796,2.50594307074654,2.40947075208914,2.5,2.44949485590607,2.46062992125984,2.46276267948481,2.53883861236802,2.66129032258065,2.64539380606645,2.70950868060604,2.759081337194,2.765625,2.72407732864675,2.69745470830979,2.66716553328993,2.68589743589744,2.70848056537102,2.73907741251326,2.81772151898734,2.81425891181989,2.89388253147943,2.91803278688525,2.91734972677596,2.87966804979253,2.87101227940269,2.8742746615087
"Wayne","MI","Detroit","26","163",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.88,0.854448217317487,0.8675,0.842105263157895,0.9,0.846153846153846,0.86,0.908333333333333,1,1,1,1,0.975
