"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,1375,1450,1500,1495,1485,1450,1347.5,1312.5,1350,1375,1250,1295,1295,1295,1300,1295,1295,1260,1204,1195,1195,1150,1195,1250,1300,1300,1300,1307.5,1300,1325,1350,1385,1379.5,1327,1345,1430,1475,1450,1475,1450,1400,1385,1350,1395,1295,1400,1395,1350,1345,1395,1495,1495,1525,1574,1593,1595,1595,1620,1625,1695,1695,1695,1700,1745,1745,1782,1795,1750,1825,1795,1840,1895
"Cook","IL","Chicago","17","031",2,1250,1150,1200,1147.5,1150,1095,1085,1225,1345,1344.5,1350,1200,1250,1240,1250,1250,1333,1295,1270,1295,1279,1275,1310.5,1334,1281,1225,1200,1255,1300,1300,1300,1375,1425,1395,1425,1420,1534.5,1450,1494,1505,1548,1550,1550,1525,1500,1545,1600,1590,1500,1475,1450,1435,1485,1600,1450,1632,1655,1629,1425,1549,1620,1450,1450,1469.5,1450,1402,1434,1595,1650,1739,1650,1600,1680
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1028,997.5,1035,1119.5,1125,1107.5,1100,1135,1150,1085,1080,1075,1100,1100,1124,1150,1150,1149,1135,1150,1150,1289,1281,1295,1235
"Maricopa","AZ","Phoenix","04","013",4,,650,750,800,795,775,797.5,707.5,750,757.5,750,679,675,675,700,700,699,675,675,680,669,660,667,670,683,695,680,679.5,679,687,700,699,700,700,695,690,699,699,699,699,698,699,699,700,699,696.5,720,750,739,730,741.5,733,746,720,735,730,735,745,754,759,770,788,805,800,800,800,815,825,820,825,925,917,900
"San Diego","CA","San Diego","06","073",5,,,,,,,,,1183,1234,1278,1200,1192.5,1125,1125,1147.5,1195,1200,1250,1300,1250,1200,1220,1250,1250,1295,1246.5,1240,1250,1245,1250,1293,1285,1300,1295,1225,1245,1245,1244,1225,1199,1100,1175,1295,1250,1175,1300,1350,1300,1295,1350,1500,1495,1475,1500,1500,1500,1550,1509.5,1593,1625,1563.5,1595,1597.5,1602.5,1629,1662.5,1695,1645,1619,1650,1650,1650
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,1395,1367.5,1400,1395,1397,1570,1600,1395,1300,1345,1310,1262,1300,1300,1297,1295,1325,1300,1350,1350,1300,1300,1350,1350,1335,1345,1350,1350,1363.5,1371,1365,1403.5,1365,1350,1365,1380,1399,1427,1399,1395,1400,1375,1400,1495,1500,1487.5,1624,1600,1590,1585,1590,1600,1600,1595,1625,1675,1725,1725,1730,1730,1740,1720,1715,1720,1720,1730,1735,1745,1765,1765,1795,1800,1815
"Kings","NY","New York","36","047",7,,,,,,,,,,,,1549,1500,1600,1650,1650,1600,1547,1525,1500,1495,1450,1450,1500,1450,1550,1600,1650,1650,1700,1700,1700,1700,1650,1600,1600,1695,1700,1700,1790,1800,1845,1900,1995,1995,1995,1995,1895,1850,1900,1900,1950,2000,1950,1965,2095,2100,2100,2050,2000,2050,2100,2200,2350,2200,2095,2100,2200,2185,2125,2100,2100,2100
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,1450,1400,1400,1400,1400,1300,1350,1495,1450,1450,1450,1415,1400,1400,1400,1449,1450,1400,1400,1450,1400,1450,1500,1499,1500,1500,1500,1550,1550,1525,1522.5,1500,1500,1495,1500,1500,1500,1550,1595,1600,1650,1750,1750,1650,1675,1699,1700,1690,1695,1650,1600,1675,1690,1700,1700,1685,1650,1700,1700,1700,1750,1800,1800,1812,1880,1850,1899,1850,1850,1875,1850,1877,1890
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,674,665,700,805,839,895,950,864.5,916,949,910,860,936,937,950,1018,1100,1005,1030,1034,1000,1039.5,1054,990,1060,1095,1124,1120,1150,1104,1100,1128,1100,1135,1095,1057.5,1044,1059,1140,1149,1119,1100,1100,1125,1125,1139,1150,1150,1186,1166,1200,1199,1199,1205
"Queens","NY","New York","36","081",10,1200,1200,1300,1275,1300,1250,1250,1300,1300,1300,1375,1300,1300,1355,1375,1395,1400,1425,1450,1450,1450,1450,1450,1495,1450,1500,1500,1525,1495,1500,1500,1525,1575,1575,1550,1550,1595,1600,1600,1625,1675,1725,1750,1750,1750,1700,1750,1750,1750,1750,1750,1800,1800,1850,1800,1800,1800,1800,1780,1775,1775,1788,1795,1800,1800,1832,1850,1850,1800,1825,1850,1850,1850
"Riverside","CA","Riverside","06","065",11,,,,,,1100,1000,900,995,975,965,897.5,937.5,895,977.5,1050,1023,895,875,870,895,885,900,940,900,925,900,874,895,895,885,895,949,996,960,950,970,960,950,940,875,850,850,850,850,850,850,850,850,825,850,925,895,905,895,920,935,950,960,970,995,1050,1080,1070,1075,1095,1100,1050,1090,1140,1140,1148,1167.5
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,1070.5,882,850,859,795,850,845,895,945,930,895,896,930,870,824,795,842.5,800,730,750,727.5,700,712.5,700,700,725,725,700,700,775,750,770,750,800,780,800,804,822.5,825,850,895,850,850,850,995,1050,1050,975
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,650,634,612,650,650,650,700,750,700,675,675,699,650,637,650,626,650,650,625,600,630,630,638,650,650,650,630,645,645,650,667.5,695,699,695,675,650,650,675,700,695,695,695,699,700,700,725,726,742,750,750,750,750,780,782.5,780,789,803,825,825,800,800,839,889,873.5,850
"King","WA","Seattle","53","033",14,,,995,1025,1100,1100,1072.5,1037.5,1091.5,1034.5,950,950,978.5,975,972.5,995,1000,995,1050,1050,1075,1050,1050,1060,1050,1095,1105,1100,1191,1160,1205,1244.5,1267,1260,1250,1210,1265,1304,1320,1325,1350,1363,1370,1450,1425,1405,1475,1450,1430,1438,1485,1550,1595,1620,1600,1600,1561.5,1575,1560,1585.5,1627,1621,1626.5,1624,1645,1669.5,1685,1675,1650,1550,1625,1639,1699
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,597.5,605,605,625,602.5,650,639,639,612.5,597.5,595,500,525,550,567.5,560,575,586.5,575,550,550,592.5,575,570,570,550,545,550,585,550,560,550,550,550,550,550,550,550,550,550,550,550,560,599,600,629,639.5,600,575,599,600,580,585,590,575,575,550,550,525,550,550,550,550,575
"Tarrant","TX","Dallas-Fort Worth","48","439",16,,,,,,,,,,,,,647.5,650,629,634.5,650,659,550,550,570,590,575,589,625,645,636,660,650,650,660,669,660,667,660,656,656,679.5,686.5,705,699,698,689,747,725.5,680,751,785,768.5,755,787.5,765.5,776,750,766.5,757,789,799,805,815,835,818,850,818,822,845,869,875.5,900,899,897,900,922.5
"Santa Clara","CA","San Jose","06","085",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,1890,1745,1738,1695,1754.5,1809,1823,1849.5,1838,1920,1904,1865,1840,1825,1950.5,1990,1915,1900,2007.5,2100,2194,2238,2260,2300,2299,2290,2305,2335,2375,2395,2425,2470,2507.5,2570,2585,2537.5,2500,2502,2482.5,2519,2510
"Broward","FL","Miami-Fort Lauderdale","12","011",18,,900,980,950,950,1000,1000,997.5,982,975,1000,1000,1000,1000,1000,1000,975,994,995,995,968,975,960,950,989,1048.5,1000,1000,1050,1020,1020,1000,1020,1050,1040,1050,1050,1050,1050,1050,1020,1050,1050,1050,1050,1050,1095,1050,1025,1008,1040,1100,1100,1100,1095,1100,1112,1110.5,1150,1150,1191.5,1200,1200,1200,1245,1200,1200,1200,1200,1255,1275,1250,1250
"Bexar","TX","San Antonio","48","029",19,,,,,,,,,,,,650,604.5,595,599,595,600,639.5,650,660,625,655,675,679,715.5,730,695,693,689,699,730,725,708,713,699,710,715,734,750,732,734,727,750,765,775,775,790,799,800,800,800,775,795,785,787,780.5,775,775,787,785,790,775,773.5,775,775,783,794,795,799,849,849,825,804
"New York","NY","New York","36","061",20,2450,2500,2800,2750,2850,2925,3100,3000,2800,2850,2736,2500,2400,2595,2695,2700,2650,2700,2700,2700,2795,2850,2800,2800,2850,2835,2850,2870,2895,2885,2895,2900,2995,2995,2995,2900,2900,2925,2950,2931,2901,2895,2900,2990,2975,2925,2900,2900,2900,2900,2900,2950,2945,3215,3200,3195,3190,3195,3200,3185,3200,3200,3240,3195,3195,3195,3200,3200,3200,3200,3200,3195,3200
"Philadelphia","PA","Philadelphia","42","101",21,,1450,1350,1412.5,1575,1550,1600,1410,1401.5,1420,1375,1291.5,1285,1250,1250,1150,1150,1100,1100,1100,1000,1050,1050,1000,1130,1195,1250,1200,1250,1200,1195,1150,1179.5,1118,1100,1075,1200,1195,1177.5,1250,1150,1188.5,1150,1250,1233.5,1250,1250,1050,1093.5,1055,1125,1300,1300,1295,1250,1200,1200,1199,1152.5,1150,1150,1200,1300,1275,1260,1200,1245,1195,1177.5,1250,1195,1219,1250
"Alameda","CA","San Francisco","06","001",22,,,,,,,,,975,1130,1099,1100,1100,1090,1100,1100,1115,1150,1200.5,1200,1190,1227.5,1200,1195,1243.5,1300,1260,1285,1330,1250,1245,1275,1327,1335,1339,1320,1400,1420,1445,1362,1375,1450,1455,1600,1640,1565,1600,1588,1494.5,1447.5,1550,1795,1800,1839,1850,1802.5,1818.5,1784,1800,1759.5,1946,1919,1945,1995,2050,2145,2149.5,2100,2082,2150.5,2140.5,2182,2192.5
"Middlesex","MA","Boston","25","017",23,,,,,,,,,,,,,,,,,,,,1550,1500,1505,1504,1500,1535,1600,1700,1800,1750,1680,1609,1645,1660,1669.5,1678,1725,1700,1695,1700,1705,1700,1750,1795,1730,1700,1700,1700,1695,1726,1712.5,1750,1795,1800,1850,1800,1785,1795,1800,1774,1750,1750,1755,1895,1900,1950,2000,2000,1995,1950,1900,1850,1875,1908
"Suffolk","NY","New York","36","103",24,1172.5,1100,1100,1150,1200,1200,1200,1200,1160,1175,1200,1200,1200,1200,1200,1200,1250,1250,1200,1200,1300,1345,1350,1365,1370,1350,1330,1365,1370,1395,1415,1377,1375,1397.5,1355,1300,1359,1379.5,1400,1400,1400,1429,1485,1450,1450,1450,1469.5,1450,1450,1446,1450,1500,1500,1580,1575,1572.5,1600,1550,1515,1565,1554.5,1565,1570,1525,1500,1565,1600,1555,1500,1550,1559,1550,1587.5
