"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,2400,2462.5,2475,2492.5,2500,2500,2400,2450,2495,2495,2425,2400,2395,2400,2400,2400,2398,2350,2275,2295,2250,2200,2250,2295,2300,2250,2300,2300,2250,2200,2220,2195,2155,2100,2100,2150,2195,2200,2200,2200,2200,2200,2250,2290,2200,2300,2210,2200,2200,2250,2300,2400,2495,2495,2500,2500,2500,2500,2587.5,2500,2595,2700,2742,2750,2798,2795,2800,2800,2800,2800,2825,2875
"Cook","IL","Chicago","17","031",2,,,1699.5,1750,1672.5,1600,1697.5,1700,1795,1800,1800,1762.5,1700,1750,1750,1800,1870,1800,1800,1800,1795,1695,1600,1600,1600,1650,1700,1650,1650,1700,1700,1700,1650,1650,1599,1600,1600,1616,1700,1650,1800,1800,1895,1800,1715,1700,1695,1720,1650,1695,1700,1750,1900,2000,2028,1900,1950,1875,1750,1700,1700,1795,1800,1895,1981,2000,1995,1900,1925,1900,1972,1850,1800,1900
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1220,1250,1295,1295,1350,1275,1350,1300,1363,1370,1400,1350,1375,1335,1324.5,1350,1400,1400,1422.5,1435,1400,1425,1450,1450,1450,1450,1500,1516.5,1525,1519,1510,1500,1500,1500,1500,1505,1500,1549
"Maricopa","AZ","Phoenix","04","013",4,,,1400,1375,1300,1375,1297.5,1250,1250,1275,1250,1225,1100,1100,1100,1150,1150,1100,1100,1100,1095,1075,1050,1050,1092,1095,1100,1100,1100,1141,1100,1099,1100,1097,1095,1095,1099,1100,1100,1100,1100,1100,1100,1095,1100,1100,1099,1100,1100,1095,1100,1100,1195,1195,1170,1195,1195,1195,1185,1175,1195,1200,1249.5,1250,1250,1260,1250,1250,1250,1250,1235,1295,1295,1295
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,2700,2725,2700,2350,2325,2295,2300,2300,2295,2200,2100,2100,2150,2100,2100,2100,2100,2100,2000,2000,2100,2120.5,2100,2100,2050,2050,2000,2000,2015,2063,2100,2100,2145,2195,2195,2200,2200,2150,2200,2200,2188,2150,2195,2295,2300,2295,2350,2350,2350,2395,2395,2397,2400,2400,2400,2400,2400,2400,2400,2400,2400,2450,2495,2500,2500
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,2562.5,2695,2700,2625,2700,2750,2675,2550,2600,2600,2500,2500,2500,2600,2600,2600,2575,2600,2550,2550,2500,2550,2500,2550,2500,2500,2596,2550,2577.5,2600,2550,2506,2500,2500,2500,2570,2595,2600,2650,2650,2650,2600,2695,2700,2695,2695,2695,2660,2650,2650,2750,2800,2800,2795,2790,2795,2800,2795,2800,2800,2800,2840,2850,2900,2900,2900,2900,2880,2875,2900,2900,2907.5
"Kings","NY","New York","36","047",7,,,,,,,2000,1850,1950,1900,1800,1962.5,1800,1752.5,1800,1800,1800,2000,2100,2100,2050,2050,2100,2100,2175,2100,2200,2200,2200,2200,2300,2300,2350,2300,2250,2300,2350,2375,2400,2450,2600,2699,2700,2700,2700,2600,2600,2600,2600,2600,2600,2600,2600,2700,2695,2700,2700,2700,2700,2600,2695,2700,2699,2700,2800,2800,2800,2850,2850,2833,2850,2800,2800,2800
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,2400,2200,2200,1900,1950,2000,1950,2000,2000,2000,1999,2000,1995,1900,1900,1900,1980,2000,2000,1980,2000,1999,1900,1895,1900,1850,1895,1900,1900,1950,1900,2000,2000,2200,2050,2000,2000,2100,2100,2041.5,2050,2000,2000,2150,2100,2200,2150,2172.5,2150,2000,2000,2100,2200,2300,2300,2300,2350,2495,2400,2295,2300,2350,2400,2400,2400
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,1250,1200,1272.5,1250,1275,1250,1397.5,1275,1250,1250,1195,1200,1200,1200,1200,1200,1195,1175,1150,1167.5,1195,1195,1195,1210,1195,1200,1225,1200,1199,1195,1195,1195,1200,1299,1250,1270,1254.5,1295,1250.5,1251.5,1250,1250,1295,1295,1300,1275,1250,1250,1295,1350,1300,1300,1300,1300,1295,1300,1300,1344,1350,1395,1375,1375,1395,1397,1450,1350,1350,1350,1395,1400,1395
"Queens","NY","New York","36","081",10,,1750,1750,1800,1800,1800,1800,1800,1800,1800,1750,1800,1800,1800,1800,1800,1800,1800,1800,1850,1850,1850,1800,1800,1850,1800,1850,1900,1900,1900,1900,1900,1900,1900,1900,1950,1950,1999,2000,2000,2100,2150,2200,2200,2250,2300,2399,2350,2300,2300,2300,2400,2499,2500,2500,2400,2495,2450,2400,2400,2400,2400,2450,2400,2500,2500,2525,2600,2600,2550,2500,2500,2500,2595
