"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2400,2500,2500,2500,2525,2695,2750,2995,2895,3000,2950,2625,3000,2739,2550,2595,2695,3000,3200,3197.5,3300,3500,3350,3350,3125,3200,3250,3395,3800,3950,3800,3600,3700,3695,3797.5,3250,3300,3425,3500
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2474.5,2425,2300,2300,2276.5,2250,2059.5,2300,2275,2500,2700,2661,2574.5,2412,2262.5,2304,2150,1975,1700
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2294.5,2199.5,2150,2000,2000,1995,2000,1995,2089,2095,2300,2497.5,2500,2500,2400,2495,2495,2450,2472,2450
"Maricopa","AZ","Phoenix","04","013",4,,2900,3000,3000,3000,2700,2650,2600,2597.5,2600,2600,2400,2200,2000,2095,2150,2095,1945,1950,1895,1895,1895,1882.5,1850,1950,1995,1900,1995,1995,1962.5,1995,1950,1900,1850,1875,1895,1890,1950,1995,1990,1900,1900,1800,1800,1800,1750,1750,1735,1695,1700,1735,1995,1985,1950,2000,1995,1950,1985,1995,2000,2095,2250,2200,2197.5,2200,2195,2095,2075,2137.5,2000,2095,2195,2200
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,3000,3197.5,3125,3200,2650,2800,3025,2950,2950,2892.5,2795,2700,2695,2695,2800,2800,2950,3000,3000,3100,3200,3200,3100,3050,3195,3000,2997,2900,2992.5,3500,3600,3625,3400,3450,3450,3500,3500,3700,3800,3650,3800,3695,3800,3500,3500,3550,3550,3495,3500,3600,3672.5
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,5300,5000,5850,5850,6500,6250,6200,6000,6000,5975,5500,4972.5,5000,5400,5900,5500,5000,4600,4700,4500,4700,4500,4500,4500,4397.5,4900,4700,4500,4550,4500,4500,4500,4200,4300,4325,4500,4625,4500,4800,4550,4800,4797.5,4600,4750,4300,4500,4500,4500,4500,4495,4500,4500,4500,4300,4400,4444,4500,4444,4500,4750,4600,4500,4550,4800,4500,4887.5,4800,4950,4995,4900,4950,4950,4797.5
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,4000,3995,3800,3999,3900,3800,3600,3661,3850,3600,3650,3899.5,3999,4000,4162,4250,4200,4100,4000,4125,4200,4209
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.5,2047.5,1925,2195,2200,2195,2200,2222.5,2349,2390,2364.5,2095,2224.5,2200,2195,2100,2197.5,2300,2287.5,2195
"Riverside","CA","Riverside","06","065",9,,,2775,2500,2495,2500,2575,2497.5,2500,2400,2485,2190,2250,2250,2295,2300,2200,2200,2150,2150,2100,2200,2175,2195,2200,2150,2100,2050,2150,2150,2100,2100,2100,2190,2100,2100,2150,2150,2095,2100,2000,2150,2162.5,2195,2150,2100,2150,2150,2100,2150,2144.5,2195,2200,2200,2250,2250,2200,2195,2200,2250,2295,2300,2300,2300,2300,2299,2300,2350,2400,2400,2400,2450,2350
"San Bernardino","CA","Riverside","06","071",10,,,,,,,,,,,,,,1987.5,1975,2100,2200,1835,2000,2097.5,2000,1800,1772.5,1900,1895,1975,1750,1622.5,1750,1900,1750,1600,1600,1697.5,1775,1700,1677.5,1700,1900,1795,1695,1775,1900,1879,1950,1775,1795,1950,1949.5,1995,2000,2062.5,2000,2100,1995,2017.5,1825,1997.5,1995,2180,1997.5,2180,2157.5,2225,2400,2350,2400,2364.5,2250,2300,2390,2475,2370
