"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,2300,2300,2395,2455,2500,2600,2775,2600,2500,2495,2500,2497.5,2495,2400,2450,2495,2495,2450,2395,2300,2295,2200,2195,2200,2200,2200,2150,2200,2200,2150,2000,2150,1995,1995,1900,2000,2000,1995,1999,2065,2000,1975,1900,2100,2250,2100,2300,2250,2250,2250,2250,2350,2400,2500,2500,2500,2500,2500,2575,2600,2550,2595,2700,2750,2795,2800,2800,2800,2800,2800,2799,2800,2850
"Cook","IL","Chicago","17","031",2,,1585,1535,1500,1500,1500,1550,1562.5,1600,1600,1638,1650,1500,1500,1550,1595,1600,1600,1600,1600,1600,1600,1550,1550,1562.5,1575,1600,1545,1550,1600,1590,1595,1531,1535,1500,1535,1530,1525,1545,1525,1568,1575,1600,1600,1602,1625,1600,1650,1605,1600,1600,1600,1685,1700,1700,1700,1700,1700,1700,1699,1680,1675,1700,1698,1699,1700,1700,1700,1695,1660,1674,1650,1650,1675
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1375,1400,1420,1450,1450,1450,1450,1450,1450,1465,1475,1499,1522.5,1550,1550,1550,1525,1500,1500,1500,1525,1525,1550
"Maricopa","AZ","Phoenix","04","013",4,,,1500,1500,1450,1395,1350,1395,1300,1300,1300,1300,1200,1195,1195,1200,1200,1195,1150,1150,1125,1100,1100,1100,1100,1100,1145,1150,1150,1150,1150,1100,1100,1100,1100,1100,1100,1100,1100,1125,1125,1110,1100,1095,1145,1150,1150,1150,1150,1150,1150,1150,1200,1200,1200,1225,1200,1200,1225,1250,1250,1295,1300,1325,1325,1325,1300,1299,1298,1295,1300,1325,1350,1350
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,2700,2500,2600,2150,2200,2200,2250,2250,2250,2195,2100,2100,2100,2045,2000,2000,2000,2000,1900,1895,1995,1995,1995,1995,1995,1995,1950,1950,1900,1900,1950,1975,1995,1995,1899,2150,2195,2150,2200,2200,2150,2150,2120,2200,2250,2250,2295,2300,2300,2300,2300,2300,2350,2295,2295,2295,2295,2300,2300,2300,2300,2350,2375,2395,2395
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,2450,2500,2550,2595,2800,2800,2650,2475,2500,2500,2495,2400,2492.5,2500,2500,2500,2500,2575,2500,2500,2400,2495,2450,2500,2450,2400,2500,2500,2500,2500,2495,2480,2400,2400,2400,2450,2400,2500,2500,2500,2500,2400,2592.5,2600,2600,2650,2650,2650,2600,2600,2700,2750,2700,2750,2750,2750,2750,2750,2750,2750,2795,2795,2800,2800,2850,2895,2850,2800,2800,2850,2895,2900
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,2000,2000,2000,2100,2100,2100,2197,1900,1800,1800,1800,1800,1800,1850,1900,1950,1995,2000,1950,1899,1899,1900,1975,1975,2000,2200,2200,2200,2300,2350,2400,2450,2500,2500,2510,2550,2500,2500,2500,2555,2600,2600,2700,2600,2400,2600,2550,2550,2599,2600,2700,2700,2700,2700,2700,2700,2700,2750,2700
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,1900,1900,1850,1900,1950,2100,2000,1900,1875,1900,1750,1700,1700,1700,1750,1775,1800,1800,1800,1800,1800,1800,1800,1800,1850,1842.5,1850,1900,1850,1800,1800,1800,1800,1800,1800,1850,1900,1900,1900,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,2000,2000,2100,2000,2050,2000,2000,2000,2000,2100,2195,2200,2200,2250,2300,2300,2200,2200,2250,2300,2300,2300
"Dallas","TX","Dallas-Fort Worth","48","113",9,,1195,1250,1297.5,1225,1200,1250,1262.5,1250,1375,1300,1337.5,1300,1250,1242.5,1250,1200,1250,1250,1200,1195,1175,1150,1195,1170,1200,1195,1050,1150,1195,1150,1100,1150,1150,1195,1175,1131.5,1150,1195,1170,1195,1250,1250,1223.5,1250,1275,1250,1295,1250,1250,1250,1250,1300,1300,1325,1329,1300,1300,1300,1310,1345,1350,1375,1395,1395,1395,1400,1400,1395,1400,1395,1395,1400,1400
"Queens","NY","New York","36","081",10,,1600,1600,1700,1650,1650,1600,1600,1600,1650,1600,1600,1650,1650,1600,1600,1650,1600,1600,1625,1600,1600,1600,1600,1600,1600,1650,1625,1625,1600,1575,1600,1650,1700,1695,1700,1700,1680,1700,1700,1750,1800,1890,1925,2000,1950,1991,2000,2000,1950,1950,1950,2000,2000,2000,2005,2055,2000,2100,2100,2100,2100,2100,2100,2150,2225,2200,2225,2267.5,2200,2200,2200,2200,2200
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,2200,2100,2200,2200,2000,1900,1850,1825,1850,1850,1850,1800,1800,1795,1650,1650,1695,1695,1650,1650,1695,1695,1675,1690,1695,1695,1695,1700,1700,1700,1695,1750,1750,1700,1750,1750,1700,1695,1675,1795,1800,1799,1800,1850,1800,1800,1850,1850,1850,1895,1900,1900,1900,1900,1900,1929,1927.5,1950,1995,1995,1995
"San Bernardino","CA","Riverside","06","071",12,,1412.5,1497.5,1400,1462.5,1450,1425,1500,1495,1495,1550,1500,1425,1377.5,1371,1350,1320,1325,1300,1300,1250,1280,1250,1250,1250,1250,1295,1295,1250,1250,1285.5,1295,1295,1299,1300,1300,1300,1300,1300,1300,1349.5,1295,1295,1350,1350,1395,1350,1350,1350,1319,1350,1350,1395,1395,1350,1350,1350,1325,1300,1350,1395,1395,1395,1399.5,1395,1450,1469,1450,1450,1425,1459.5,1400,1495.5,1495
"Clark","NV","Las Vegas","32","003",13,,,1250,1195,1200,1050,1150,1200,1200,1200,1195,1100,1175,1150,1100,1150,1200,1195,1195,1195,1150,1150,1100,1120,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1099,1100,1100,1100,1100,1100,1100,1145,1150,1150,1150,1150,1150,1150,1150,1150,1150,1190,1195,1199,1200,1200,1200,1200,1200,1200,1200,1200,1245,1200,1200,1250,1250,1250,1250,1250,1250,1250,1250
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,1675,1650,1650,1750,1750,1750,1650,1650,1600,1550,1550,1500,1500,1595,1595,1600,1650,1650,1675,1645,1605,1595,1525,1525,1550,1550,1595,1595,1695,1661,1650,1750,1825,1850,1845,1800,1800,1800,1850,1895,1895,1995,2000,1995,1950,1950,1900,1900,1900,1913,1975,2000,2100,2195,2200,2150,2150,2100,2150,2105,2150
"Wayne","MI","Detroit","26","163",15,,950,985,1000,1050,1050,950,1000,1000,950,957.5,950,850,850,860,900,950,900,900,925,900,750,750,750,750,775,750,775,795,750,750,775,795,790,750,750,750,750,800,789,800,773,790,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
"Tarrant","TX","Dallas-Fort Worth","48","439",16,,,1350,1400,1450,1395,1300,1349.5,1350,1350,1300,1295,1275,1295,1275,1295,1295,1295,1275,1250,1200,1200,1195,1200,1200,1250,1225,1195,1197,1250,1200,1200,1195,1195,1225,1200,1195,1195,1195,1195,1200,1275,1275,1250,1295,1295,1275,1295,1295,1275,1275,1289.5,1325,1350,1350,1325,1325,1325,1349,1350,1350,1375,1395,1395,1400,1395,1400,1400,1395,1395,1395,1395,1395,1400
"Santa Clara","CA","San Jose","06","085",17,,,,,,,,,,,2487.5,2600,2195,2197.5,2300,2395,2387.5,2400,2485,2449,2350,2400,2400,2300,2250,2295,2325,2300,2250,2350,2400,2350,2395,2400,2300,2350,2375,2300,2296,2350,2400,2400,2500,2433,2600,2787.5,2750,2800,2700,2695,2700,2750,2995,3000,3100,3200,3195,3097.5,3095,3000,3000,3150,3200,3250,3399.5,3500,3500,3500,3500,3500,3400,3330,3400,3495
"Broward","FL","Miami-Fort Lauderdale","12","011",18,,1290,1350,1450,1475,1595,1750,1800,1650,1500,1482.5,1500,1590,1550,1575,1600,1600,1700,1700,1700,1700,1625,1600,1600,1530,1550,1590,1500,1500,1575,1525,1600,1500,1550,1550,1500,1550,1599,1600,1600,1600,1600,1600,1647,1660,1700,1700,1700,1650,1650,1650,1650,1669,1695,1700,1695,1699,1675,1695,1669,1690,1650,1698,1695,1700,1700,1750,1795,1750,1750,1795,1800,1800,1800
"Bexar","TX","San Antonio","48","029",19,,,,,,,,1200,1199.5,1199,1112.5,1200,1095,1095,1100,1100,1150,1175,1195,1150,1150,1100,1100,1100,1125,1150,1150,1025,1025,1105,1125,1125,1095,1090,1099,1050,891,915,899,926,919,1002,950,960,1006,1100,1095,1095,1095,1095,1100,1125,1109,1150,1195,1150,1145,1133,1100,1100,1100,1133,1150,1135,1150,1164.5,1150,1150,1130,1134,1150,1145,1150,1150
"New York","NY","New York","36","061",20,,,,,,,,,,,,,,,2849,2900,2950,3000,3100,3175,3175,3195,3195,3095,3000,3100,3000,3000,3100,3150,3100,3150,3200,3226,3200,3200,3150,3150,3127,3150,3199,3100,3000,3100,3200,3300,3395,3390,3395,3395,3400,3400,3400,3465,3400,3425,3436,3450,3425,3425,3495,3450,3450,3495,3499,3500,3500,3500,3500,3500,3500,3500,3500,3500
"Philadelphia","PA","Philadelphia","42","101",21,,,,,,,,,,,,,,1350,1450,1495,1450,1450,1450,1400,1350,1300,1300,1300,1250,1300,1395,1400,1400,1350,1300,1250,1200,1200,1200,1150,1150,1200,1275,1300,1395,1350,1295,1260,1289,1250,1212.5,1200,1200,1200,1250,1295,1500,1495,1495,1450,1395,1350,1325,1300,1350,1400,1475,1525,1590,1500,1500,1500,1450,1400,1400,1395,1400,1400
"Alameda","CA","San Francisco","06","001",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2495,2450,2450,2425,2400,2400,2499,2500,2700,2800,2800,2800,2800,2795,2795,2795,2800
"Middlesex","MA","Boston","25","017",23,,,,,,,,,,,,,,1800,1700,1700,1795,1900,1980,1950,1950,1900,1905,1950,1900,1850,1900,2000,2000,2200,2200,2125,2175.5,2200,2150,2050,2100,2105,2125,2169,2181,2200,2228,2200,2100,2250,2200,2200,2175,2150,2106,2150,2350,2400,2400,2382,2300,2287.5,2250,2259.5,2300,2300,2370,2495,2500,2500,2500,2500,2472.5,2400,2400,2400,2400,2450
"Sacramento","CA","Sacramento","06","067",24,,,,,,,,,,,,,1195,1200,1200,1225,1275,1250,1250,1275,1250,1250,1225,1200,1195,1200,1200,1200,1200,1250,1250,1250,1250,1250,1250,1235,1236,1250,1250,1225,1275,1250,1240,1250,1245,1275,1275,1295,1295,1295,1295,1295,1300,1295,1300,1300,1300,1350,1350,1345,1350,1350,1350,1350,1350,1350,1363,1395,1395,1395,1400,1425,1400,1430
"Bronx","NY","New York","36","005",25,,,,,,,,,,,2050,2050,1700,1500,1495,1450,1495,1450,1450,1450,1450,1450,1295,1400,1387,1400,1435,1475,1490,1495,1450,1400,1318.5,1300,1275,1293,1300,1300,1300,1350,1400,1450,1400,1350,1375,1400,1400,1400,1400,1400,1450,1450,1450,1475,1480,1450,1475,1450,1450,1475,1500,1465,1500,1500,1500,1500,1550,1595,1592.5,1600,1595,1600,1600,1550
"Nassau","NY","New York","36","059",26,,,,,,,,,,,,,,2400,2490,2500,2600,2900,2850,2800,2700,2400,2300,2300,2300,2300,2300,2300,2400,2290,2350,2300,2300,2300,2400,2500,2500,2500,2500,2500,2500,2500,2450,2400,2500,2500,2500,2500,2500,2500,2500,2500,2750,2700,2800,2700,2700,2700,2700,2679.5,2700,2800,2900,2850,2900,3000,3000,3000,3000,2900,2850,2850,2850,2900
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",27,,1700,1600,1700,1750,1750,1947.5,2000,1900,1800,1800,1991.5,1750,1650,1600,1600,1600,1650,1600,1600,1600,1600,1600,1500,1500,1550,1500,1500,1500,1500,1500,1500,1500,1507,1500,1500,1450,1400,1400,1475,1500,1500,1599,1600,1750,1825,1800,1900,1875,1800,1800,1750,1800,1750,1795,1795,1795,1795,1800,1800,1750,1750,1795,1800,1795,1800,1800,1850,1900,1900,1900,1900,1850,1800
"Cuyahoga","OH","Cleveland","39","035",28,,,1200,1200,1100,1100,1225,1300,1200,1200,1150,1050,1000,1000,995,995,1050,1050,1100,1050,1000,965,950,965,975,975,1000,975,975,975,950,950,950,950,950,897,875,866,900,900,900,900,875,900,975,1050,1000,1075,1000,1000,995,1000,1050,1100,1100,1100,1075,1050,1050,1000,1000,1000,1075,1100,1150,1195,1100,1100,1150,1150,1190,1150,1150,1225
"Hillsborough","FL","Tampa","12","057",29,912.5,900,950,1095,1100,995,995,1150,1150,1150,1150,1150,1200,1195,1150,1175,1175,1175,1175,1200,1180,1125,1100,1125,1100,1100,1100,1100,1100,1162.5,1175,1195,1191.5,1150,1150,1150,1150,1195,1195,1200,1250,1250,1269,1300,1295,1295,1250,1295,1250,1250,1250,1250,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1325,1349,1350,1350,1350,1355,1350,1350,1375,1350,1350,1361
"Allegheny","PA","Pittsburgh","42","003",30,,,,,,,,,,,,,,,975,1072.5,1100,1000,959,917.5,950,875,868,895,950,940,985,900,950,995,980,995,1000,1000,995,900,995,1100,1100,1100,1100,1100,1100,1099,1200,1200,1150,1150,1200,1150,1199.5,1200,1250,1300,1300,1250,1200,1100,1100,1100,1100,1150,1200,1250,1200,1267.5,1295,1250,1199,1150,1195,1199,1200,1200
"Oakland","MI","Detroit","26","125",31,,1300,1450,1350,1350,1450,1400,1400,1397.5,1350,1300,1250,1250,1200,1200,1250,1300,1275,1250,1250,1250,1100,1000,1100,1150,1100,1100,1150,1200,1200,1200,1200,1167.5,1150,1200,1175,1150,1150,1150,1195,1200,1250,1250,1295,1275,1250,1300,1250,1250,1250,1250,1250,1300,1300,1300,1350,1350,1350,1300,1300,1325,1325,1300,1350,1350,1400,1377.5,1400,1395,1375,1385,1395,1400,1350
"Franklin","OH","Columbus","39","049",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1000,1075,1000,995,995,995,1095,1075,999.5,1000,1100,1100,1085,1097,1100,1099,1125,1095,1150,1150,1147,1100,1160,1150,1200,1150,1150,1192.5
"Hennepin","MN","Minneapolis-St Paul","27","053",33,,,,,,,,,,1550,1672.5,1647.5,1395,1395,1400,1475,1450,1400,1422.5,1405,1395,1395,1389,1350,1395,1395,1395,1375,1350,1395,1395,1350,1499,1500,1398,1495,1495,1495,1495,1450,1490,1475,1410,1425,1475,1495,1500,1495,1495,1495,1495,1495,1450,1495,1495,1495,1495,1495,1500,1499,1495,1495,1495,1545,1550,1550,1550,1550,1550,1500,1575,1562.5,1595,1595
"Orange","FL","Orlando","12","095",34,,,1250,1250,1100,995,1050,1100,1150,1150,1100,1095,1050,1050,1100,1100,1100,1117,1100,1100,1100,1095,1095,1095,1095,1100,1100,1100,1100,1150,1175,1150,1150,1150,1100,1100,1147,1150,1150,1200,1247,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1295,1300,1300,1300,1295,1295,1295,1300,1300,1300,1350,1350,1350,1375,1395,1395,1375,1375,1395,1375,1375,1395
"Fairfax","VA","Washington","51","059",35,,1800,1850,1925,1900,1950,2100,2100,2000,2000,1995,1995,1950,1950,1900,1950,2000,2100,2100,2000,2012.5,2000,2000,1995,1990,1950,1995,2000,2100,2200,2150,2100,2100,2000,2000,2000,2000,2000,2000,2000,2100,2150,2150,2100,2100,2075,2000,2000,2000,2000,2000,2000,2150,2200,2200,2200,2150,2100,2100,2100,2100,2095,2100,2100,2180,2200,2250,2200,2200,2100,2100,2150,2100,2100
"Contra Costa","CA","San Francisco","06","013",36,,,,1900,1900,2000,1800,1850,1600,1550,1585,1600,1725,1750,1800,1895,1850,1850,1900,1895,1800,1800,1800,1795,1775,1795,1800,1780,1795,1800,1800,1750,1750,1795,1800,1800,1800,1795,1795,1775,1750,1779.5,1800,1795,1895,1900,1900,1950,1975,1950,1975,1975,2000,2100,2100,2195,2150,2150,2150,2150,2175,2150,2150,2200,2300,2300,2350,2350,2300,2350,2349,2350,2395,2387.5
"Salt Lake","UT","Salt Lake City","49","035",37,,,,,,,,,,,,,,,1250,1200,1250,1295,1250,1200,1200,1150,1195,1150,1125,1100,1100,1175,1150,1195,1195,1200,1225,1250,1250,1275,1200,1200,1250,1250,1195,1195,1195,1200,1250,1295,1295,1275,1275,1295,1295,1295,1295,1305,1350,1307.5,1302.5,1325,1295,1300,1295,1300,1350,1350,1325,1350,1350,1320,1320,1350,1385,1390,1395,1367.5
"Travis","TX","Austin","48","453",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1018,1090,1141.5,1300,1183,1233,1295,1383,1395,1350,1350,1375,1400,1461.5,1425,1450,1495,1495,1450,1415,1400,1400,1400,1400,1422.5,1487,1500,1550,1575,1583,1575,1595,1599,1567.5,1575,1595
"Saint Louis","MO","St. Louis","29","189",39,,,,,,,,,,,,,,995,1050,1100,1100,1050,975,985,950,975,975,975,1100,982.5,1000,1000,1000,1000,1000,1000,950,900,900,875,895,875,895,895,895,875,899,900,900,930,900,950,900,875,890,900,925,950,950,975,975,950,950,940,925,900,895,900,900,925,925,910,900,925,900,900,950,975
"Pima","AZ","Tucson","04","019",40,,,1200,1150,1125,1150,1165,1200,1150,1100,1150,1150,1095,1093.5,1095,1100,1100,1095,1075,1095,1095,1050,1050,1050,1095,1050,1095,1095,1095,1100,1075,1050,1050,1050,1050,1050,1050,1050,1050,1075,1075,1095,1075,1050,1050,1050,1050,1050,1075,1050,1050,1050,1095,1100,1100,1095,1075,1050,1050,1050,1050,1050,1075,1095,1100,1100,1095,1095,1095,1098.5,1100,1100,1100,1100
