"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2450,2495,2402,2500,2595,2595,2595,2650,2650,2690,2695,2675,2695,2700,2698
"Cook","IL","Chicago","17","031",2,,1450,1475,1493.5,1450,1450,1482.5,1550,1600,1600,1675,1495,1500,1550,1600,1600,1600,1600,1600,1600,1600,1600,1595,1600,1600,1650,1600,1550,1600,1600,1619,1620,1650,1600,1600,1600,1625,1606,1600,1600,1600,1600,1600,1635,1695,1688,1695,1675,1675,1675,1695,1750,1750,1750,1750,1750,1750,1750,1750,1700,1715,1750,1710,1725,1750,1750,1750,1700,1699,1700,1700,1700,1750
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,1282,1264,1230,1277.5,1269,1250,1250,1250,1277.5,1249,1250,1273,1265,1250,1250,1263,1264,1261.5,1260,1400,1370,1350,1350,1350,1350,1325,1350,1375,1395,1400
"Maricopa","AZ","Phoenix","04","013",4,,1250,1400,1300,1162.5,1100,1200,1200,1200,1200,1200,1100,1095,1050,1100,1075,1050,995,995,999,1000,999,1000,1000,999,995,950,950,971.5,975,950,975,975,995,995,995,990,998.5,999,975,950,950,925,975,1000,995,1000,1000,1000,1000,1000,1099,1075,1075,1075,1066,1075,1095,1100,1100,1199,1200,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1250
"San Diego","CA","San Diego","06","073",5,,,,,,,,,2450,2200,2350,1962.5,1995,1895,1925,1895,1850,1800,1800,1800,1850,1850,1850,1800,1800,1800,1675,1625,1695,1695,1695,1700,1700,1750,1750,1700,1700,1700,1700,1700,1700,1695,1649,1850,1900,1895,1950,1985,1950,1900,1900,1984,1999,1995,2000,2100,2100,2075,2050,2075,2095,2000,1995,1995,1995,2000,2075,2100,2100,2100,2100,2100,2100
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,1950,1925,1990,1900,1995,2150,2195,2100,2000,2050,2000,2000,1995,2000,1995,1995,2015,2100,2100,2000,2000,2000,2000,2000,2000,1995,1950,2000,2100,2100,2075,2100,2100,2042.5,2040,2000,2050,2010,2050,2100,2100,2075,1875,2125,2200,2200,2200,2200,2200,2200,2195,2250,2250,2275,2300,2350,2300,2300,2300,2300,2300,2300,2300,2350,2400,2400,2400,2400,2400,2399,2400,2400,2400
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1800,1800,1800,1845,1910,1950,1950,1922,1900,1887.5,1850,1900,1950,2000,2095,2200,2200,2199,2275,2300,2450,2500,2500,2600,2600,2600,2600,2662.5,2700,2700,2700,2665,2650,2650,2600,2650,2600,2650,2627.5,2700,2800,2800,2850,2800,2800,2800,2800,2880,2822
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,1800,1800,1775,1800,1800,1825,1950,1800,1800,1850,1695,1650,1650,1650,1700,1700,1700,1700,1700,1750,1750,1739,1700,1750,1795,1799,1790,1800,1800,1795,1750,1750,1750,1790,1799,1800,1850,1825,1850,1907.5,2000,1950,1900,1900,1900,1900,1900,1900,1890,1850,1900,1900,1990,1950,1900,1900,1950,1900,1950,2000,2100,2100,2200,2200,2250,2300,2177.5,2200,2200,2250,2250,2300
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1350,1356.5,1360,1275,1250,1250,1250,1300,1300,1350,1350,1300,1300,1350,1300,1350,1350,1395,1400,1400,1350,1400,1395,1375,1400,1400,1400,1400,1400
"Queens","NY","New York","36","081",10,,1550,1600,1600,1600,1525,1500,1550,1600,1550,1550,1500,1500,1450,1497.5,1500,1495,1500,1525,1580,1600,1600,1585,1595,1575,1575,1550,1550,1575,1550,1600,1650,1650,1650,1683,1690,1650,1675,1700,1750,1799.5,1850,1900,1950,1800,1850,1850,1812.5,1800,1800,1800,1900,1900,1900,1925,1900,1900,1900,1900,1900,1925,1950,1950,1995,2075,2000,2027.5,2100,2100,2060,2100,2002.5,2049
