"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,1450,1450,1450,1495,1500,1495,1495,1495,1445,1475,1450,1495,1530,1585,1595,1595,1580,1580,1595,1600,1607,1599,1545,1550,1636.5,1675,1660,1695,1650,1655,1650,1697.5,1700,1595,1700,1700,1663.5,1650,1695,1795,1800,1850,1860,1875,1895,1900,1927,1950,1965,1995,2000,2025.5,2085,2095,2100,2100,2100,2100,2099.5,2150,2200
"Cook","IL","Chicago","17","031",2,1645,1349.5,1300,1345,1300,1325,1300,1300,1349,1450,1490,1500,1350,1350,1315,1350,1375,1410,1390,1355,1387,1360,1355,1390,1396,1375,1350,1350,1385,1400,1403,1435,1475,1500,1450,1470,1465,1574,1522,1540,1575,1600,1600,1600,1589,1550,1564,1600,1575,1520,1523,1535,1575,1602,1675,1600,1680,1683.5,1636.5,1500,1578,1675,1587,1595,1600,1600,1600,1600,1650,1690,1739,1657,1625,1700
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,966.5,929,925,970,975,1020,1051,1030.5,1040,1034,955,1000,999,1010,1095,1089,1199,1170,1300,1302,1295,1170,1325,1175,1107,1155,1287.5,1295,1295,1261,1295,1302,1250,1250,1250,1265,1295,1326,1340,1350,1329,1335,1350,1332,1425,1415,1435,1404
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,900,899,995,975,900,850,831,850,829,814,825,819,824,825,815,815,815,825,830,830,824,825,810,799,819,825,833.5,850,866,849,850,895,895,866,899,910,905,900,915,950,950,939,944.5,950,950,950,950,970,995,1000,1050,1025,1044,1010,1035,1025,1003,971,1119,1114,1125
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,1800,1650,1775,1575,1575,1500,1550,1550,1525,1550,1595,1600,1525,1525,1550,1527,1500,1535,1500,1499,1525,1500,1500,1517,1465,1480,1475,1439,1444,1459,1485,1485,1520,1450,1525,1695,1625,1500,1695,1725,1675,1650,1695,1805,1845,1800,1845,1835,1825,1840,1810,1825,1850,1835,1840,1847,1850,1875,1900,1915,1900,1884,1850,1866,1895
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,1867.5,1900,1850,1895,2095,2100,1800,1800,1800,1850,1700,1725,1750,1795,1799,1800,1800,1830,1775.5,1700,1690,1731,1675,1645,1626.5,1640,1638.5,1650,1655,1690,1700,1625,1600,1610,1602,1650,1680,1650,1695,1719,1700,1727,1895,1863.5,1847.5,1900,1885,1870,1870,1850,1922.5,1929,1950,1950,1970,1990,1985,1995,1995,2005,1995,1995,1985,2000,2000,2035,2025,2050,2040,2060,2059,2070.5
"Kings","NY","New York","36","047",7,,,1700,2000,1995,2100,1975,1900,1900,1755,1700,1872.5,1650,1600,1680,1750,1750,1800,1800,1800,1800,1750,1700,1700,1750,1750,1800,1825,1900,1950,2000,2000,1950,1900,1900,1850,1875,1971,2000,2000,2199,2200,2200,2300,2350,2300,2300,2300,2250,2200,2200,2200,2300,2400,2315,2350,2400,2400,2400,2368,2350,2400,2400,2495,2566,2500,2500,2500,2500,2500,2500,2489.5,2450,2450
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,1850,1850,1800,1800,1850,1800,1872.5,1800,1800,1800,1650,1650,1650,1650,1650,1675,1650,1695,1700,1700,1700,1700,1700,1725,1750,1750,1750,1800,1750,1750,1700,1700,1700,1750,1750,1750,1800,1800,1800,1900,1990,1950,1900,1900,1900,1950,1950,1975,1950,1950,1975,1950,1975,1950,1925,1900,1900,1900,1900,1950,2000,2050,2100,2150,2199,2199,2100,2100,2150,2195,2200,2200
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,995,1000,989,969,981,985,838.5,829,810,850,950,950,965,1025,960,1025,1060.5,1038,975,1050,1034,1060,1126,1244,1143,1160,1164,1131,1172,1191,1115,1215,1299,1298,1275,1310,1267,1265,1290,1250,1261,1245,1214,1200,1205,1279,1283,1280,1255,1250,1276,1261,1261,1276,1295,1300,1295,1299,1309,1310,1350
"Queens","NY","New York","36","081",10,,,1600,1650,1600,1600,1600,1600,1600,1600,1575,1595,1597.5,1550,1525,1525,1525,1550,1550,1595,1550,1550,1569.5,1550,1550,1550,1600,1600,1600,1600,1625,1650,1650,1695,1650,1650,1650,1650,1650,1675,1700,1795,1850,1900,1950,1950,1900,1925,1900,1900,1900,1900,2025,2088,2025,2000,2000,2000,2000,1950,1950,1950,1975,1999,2000,2000,2079.5,2100,2100,2100,2100,2100,2100,2100
