"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,2700,2700,2800,2800,2850,2975,2995,2800,2800,2800,2800,2700,2792.5,2695,2795,2750,2750,2687.5,2500,2400,2400,2350,2350,2350,2350,2350,2350,2400,2400,2295,2195,2250,2100,2110,2050,2100,2108,2100,2150,2200,2279.5,2250,2200,2300,2295,2100,2350,2300,2250,2250,2295,2400,2500,2600,2600,2600,2600,2600,2675,2680,2600,2650,2800,2895,2950,2950,2950,2950,2900,2900,2850,2900,2995
"Cook","IL","Chicago","17","031",2,,1645,1600,1600,1600,1650,1650,1612.5,1600,1662.5,1700,1650,1600,1572.5,1530,1572.5,1600,1600,1600,1600,1600,1550,1500,1500,1500,1500.5,1550,1495,1512.5,1575,1552.5,1550,1490,1480,1452.5,1495,1495,1450,1495,1479,1525,1500,1575,1600,1573,1570,1561,1600,1575,1550,1550,1550,1600,1620,1625,1641,1650,1650,1649,1623.5,1629.5,1608,1610,1650,1650,1640.5,1650,1668,1650,1625,1625,1600,1599,1600
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1319,1395,1430,1450,1450,1495,1475,1495,1495,1495,1498,1499,1500,1550,1575,1595,1575,1560.5,1550,1550,1550,1550,1550,1575
"Maricopa","AZ","Phoenix","04","013",4,,,1600,1500,1450,1500,1400,1400,1395,1400,1395,1350,1200,1200,1200,1200,1200,1200,1195,1195,1150,1150,1100,1100,1150,1150,1175,1195,1200,1200,1199,1169,1150,1150,1112,1125,1150,1150,1150,1175,1195,1195,1195,1100,1195,1180,1175,1195,1175,1150,1175,1195,1250,1250,1250,1272.5,1250,1250,1250,1250,1275,1300,1340,1350,1350,1350,1349,1300,1300,1300,1349,1350,1360,1375
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,2500,2500,2500,2650,2500,2447.5,2300,2250,2272.5,2200,2200,2195,2200,2200,2100,2150,2250,2275,2250,2200,2200,2175,2100,2150,2150,2150,2200,2300,2302.5,2350,2395,2400,2395,2300,2400,2350,2295,2295,2295,2495,2500,2500,2500,2500,2500,2500,2500,2550,2550,2500,2500,2500,2500,2500,2500,2500,2500,2500,2600,2650,2680
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,3300,3497,3400,3400,3500,3300,3200,3000,3200,3150,2950,2900,2875,2995,2995,2995,2900,2900,2800,2800,2750,2885,2800,2900,2700,2700,2850,2850,2900,2850,2790,2750,2600,2700,2750,2800,2795,2850,2950,2950,3000,2900,2950,2900,2895,2900,2900,2900,2900,2900,3000,3100,3100,3100,3150,3150,3150,3150,3141.5,3200,3150,3200,3200,3200,3250,3300,3200,3200,3200,3297,3250,3300
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,1950,1900,1850,1900,1900,1920,1900,1850,1800,1725,1750,1800,1800,1900,1900,1925,2000,2000,1950,1900,1900,1950,1975,1950,2000,2100,2250,2400,2500,2500,2400,2400,2500,2500,2500,2500,2500,2500,2450,2500,2500,2550,2775,2500,2300,2515,2500,2500,2500,2600,2600,2595,2500,2595,2525,2550,2600,2600,2562
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,2400,2500,2500,2500,2395,2395,2297.5,2200,2000,2195,2000,1900,1900,1950,2000,2100,2050,2000,2000,2000,2000,2000,2000,2100,2150,2100,2125,2100,2100,1950,1900,2000,2000,1950,1995,2000,2000,2050,2100,2140,2200,2200,2175,2200,2200,2200,2200,2200,2200,2200,2300,2300,2300,2250,2300,2300,2200,2200,2200,2300,2300,2350,2300,2300,2350,2300,2295,2295,2300,2400,2400,2400
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,1200,1250,1250,1295,1295,1250,1250,1375,1300,1300,1300,1250,1250,1275,1275,1295,1250,1225,1200,1195,1195,1200,1200,1200,1200,1095,1200,1200,1200,1200,1195,1195,1195,1195,1195,1200,1200,1200,1200,1250,1250,1250,1250,1250,1250,1275,1250,1250,1250,1250,1295,1295,1325,1325,1320,1300,1300,1315,1325,1325,1375,1395,1395,1400,1400,1450,1400,1399.5,1395,1395,1400,1400
"Queens","NY","New York","36","081",10,,1600,1600,1700,1650,1650,1650,1650,1650,1655,1650,1650,1700,1700,1650,1692.5,1700,1700,1700,1700,1650,1600,1600,1650,1650,1695,1760,1725,1700,1650,1600,1600,1650,1700,1700,1700,1750,1700,1750,1700,1800,1950,2100,2100,2137.5,2065,2100,2100,2100,2055,2000,2000,2100,2100,2100,2200,2200,2200,2200,2295,2250,2300,2300,2300,2300,2400,2450,2400,2405,2400,2300,2400,2400,2400
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,2175,2082.5,2172.5,2150,2000,1900,1850,1825,1845,1850,1800,1795,1795,1769,1695,1695,1700,1700,1695,1675,1695,1695,1695,1695,1699,1700,1700,1750,1750,1750,1749,1769,1750,1700,1750,1750,1700,1699,1695,1800,1800,1795,1800,1800,1799,1795,1806.5,1806,1837,1845,1895,1895,1880,1895,1895,1895,1895,1900,1900,1900,1900
"San Bernardino","CA","Riverside","06","071",12,,1500,1550,1575,1600,1472.5,1412.5,1500,1500,1547.5,1600,1600,1495,1395,1395,1375,1350,1350,1350,1300,1280,1295,1279,1295,1250,1275,1300,1325,1300,1295,1300,1325,1300,1320,1350,1350,1355,1350,1395,1350,1400,1350,1350,1445,1400,1399,1350,1350,1350,1350,1350,1350,1395,1400,1375,1350,1350,1320,1325,1350,1375,1375,1395,1399,1395,1450,1450,1405,1400,1412.5,1450,1400,1495,1495
"Clark","NV","Las Vegas","32","003",13,,1350,1325,1225,1250,1175,1200,1200,1250,1225,1200,1195,1200,1200,1200,1200,1250,1250,1245,1225,1200,1200,1200,1195,1195,1195,1195,1195,1195,1195,1195,1195,1180,1150,1150,1150,1150,1150,1190,1195,1195,1195,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1295,1295,1295,1295,1300,1300,1300,1300,1300,1295,1295,1300
