"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,,,,,,,,,,,,,,,,950,900,850,850,850,850,875,925,925,937.5,900,900,925,965,945,950,950,975,1035,1095,1090,1100,1095,1049,1075,995,1050,925,999,1000,995,975,1000,1095,1100,1150,1175,1154,1150,1195,1200,1200,1250,1275,1300,1250,1350,1350,1375,1375,1350,1397
"Maricopa","AZ","Phoenix","04","013",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,585,549,525,523,535,570,598,577,539,550,575,595,644,625,545,595,600,623.5,619,619,619,605,619,619,619,619,609,609,615,622,639,623.5,600,627,649,645,650,665,725
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",3,,,,,,,,,,,,,,,,,,,,1150,1145,1174,1161,1173,1194,1186,1203,1200,1181,1191,1200,1201,1209,1199,1208,1200,1242,1235,1250,1249,1250,1280,1227,1100,1251.5,1355,1450,1355,1345.5,1300,1300,1385,1325,1310,1395,1560,1522.5,1557.5,1565,1535,1550,1490,1440,1592.5,1625,1680,1637.5,1680,1700
"Kings","NY","New York","36","047",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1999,1995,1995,2000,2000,2050,1976,2000,2145,2100,1995,1995,2000,1995,2040,2200,2100,2000,2100,2100,2150,2125
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",5,,,,,,,,,,,,,,,,,,,1150,1025,1000,1100,1150,1242.5,1200,1250,1250,1250,1200,1239,1200,1100,1100,1267,1300,1300,1400,1350,1359,1350,1450,1400,1400,1300,1350,1450,1412.5,1400,1350,1350,1500,1450,1475,1350,1350,1350,1350,1400,1400,1500,1500,1500,1550,1550,1475.5,1400,1450,1500,1400
"Dallas","TX","Dallas-Fort Worth","48","113",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,968,960,940,924.5,936,945,919,989.5,1000,961.5,925,950,1013.5,1004.5,1005,974,950,974,942.5,929.5,942.5,984.5,1025,1025,1070
"Queens","NY","New York","36","081",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1825,1700,1575,1550,1500,1500,1550,1550,1535,1535,1550,1550,1640,1600,1600,1650
"King","WA","Seattle","53","033",8,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,1055,1080,1095,1141,1135.5,1129,1110,1089,1100,1164,1144,1095,1095,1138.5,1175,1245,1185,1210,1225,1211.5,1195,1173,1205,1250,1331,1390,1398,1397,1376,1395,1381,1359,1377.5,1376.5,1399.5,1380,1400,1418.5,1422.5,1424,1395,1339
"Santa Clara","CA","San Jose","06","085",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477.5,1380.5,1323,1250,1338,1428,1512,1458,1450,1460,1505,1515,1505,1544.5,1405,1598,1589.5,1598,1533,1650,1765,1704,1796,1992.5,2062.5,2042,2035,2075,2075,2115,2125,2115,2110,2223,2300,2359,2332,2329,2310
"Broward","FL","Miami-Fort Lauderdale","12","011",10,,,,,,,,,,,,,,900,950,900,849,807.5,897.5,900,800,807.5,862.5,825,900,900,900,900,900,900,850,900,940,915,903,890,900,900,895,875,875,852.5,800,800,900,837.5,800,800,825,850,895,875,900,900,950,950,915,975,900,950,999,1099,1020,950,950,950,950,900,975
"Bexar","TX","San Antonio","48","029",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,815,784,795,815,729,719,699,677,692.5,724,718,704,699,691,706
"New York","NY","New York","36","061",12,2000,1995,1895,2062.5,2060,2225,2200,2250,2200,2300,2250,2100,2100,2100,2150,2150,2200,2200,2250,2250,2250,2200,2225,2250,2250,2250,2295,2295,2250,2295,2300,2300,2300,2300,2300,2295,2295,2299,2300,2300,2295,2300,2300,2300,2300,2300,2300,2300,2300,2300,2350,2350,2450,2400,2450,2450,2480,2495,2500,2500,2495.5,2500,2470,2450,2450,2456,2488,2455,2450
"Alameda","CA","San Francisco","06","001",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1575,1460,1550,1510.5,1497.5,1550,1625,1654,1600,1650,1694,1650,1654,1685,1652,1750,1847
"Middlesex","MA","Boston","25","017",14,,,,,,,,,,,,,,,,,,,,,1300,1345,1387,1300,1350,1500,1500,1475,1400,1300,1275,1275,1265,1350,1315,1300,1262,1262,1299.5,1375,1400,1400,1400,1425,1432,1425,1300,1400,1400,1400,1400,1450,1575,1500,1650,1667.5,1500,1500,1450,1450,1450,1500,1500,1637.5,1650,1650,1700,1650,1650
"Sacramento","CA","Sacramento","06","067",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,665.5,650,695,750,709.5,655,624.5,700,695,642,650,667.5,650,675,650,625,630,675,675,675,725,620,685,675,697.5,695,691.5,695,745,790,750,795,772.5,862.5,795,875
"Bronx","NY","New York","36","005",16,,,,,,,,,,,,,,,,,,,,,,,900,900,925,950,950,950,950,950,925,950,950,925,925,950,975,975,975,975,995,1000,1000,1000,1000,1000,1000,1000,1000,1050,1050,1050,1070,1095,1100,1100,1100,1100,1100,1100,1100,1135,1123,1150,1175,1175,1150,1150,1200
"Nassau","NY","New York","36","059",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1850,1650,1615,1615,1800,1949,2000,1997,1870,1864.5,1770,1870,2005,2000,2000,2000,1950,2100,2250,2500,2678,2500,2450
"Hennepin","MN","Minneapolis-St Paul","27","053",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,995,890,862.5,890,995,937.5,945,845,835,815,940,950,875,917.5,1000,980,1000,1045,1057,1095
"Fairfax","VA","Washington","51","059",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.5,1500,1499,1407.5,1442.5,1476,1470,1434,1374,1435,1394.5,1404,1467.5,1360,1340,1357,1384,1355,1305,1305,1355,1433.5,1448,1479.5,1437,1425
"Travis","TX","Austin","48","453",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,635,725,770,765,729.5,775,765,775,775,756,735,750,795,812,830,850,850,849,850,850,825,775,811.5,840,821.5,847,825,825,835,821.5,865,842,925
"Pima","AZ","Tucson","04","019",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,400,399,425,450,435,450,450,450,425,450,437.5,450,454.5,450,425,450,450,472.5,450,450,450,450,457,475,460
"Montgomery","MD","Washington","24","031",22,,,,,,,,,,,,,,,,,,,,,1540,1490,1500,1480.5,1500,1472.5,1559,1453,1500,1500,1545,1515,1525,1540,1540,1550,1550,1525,1453,1453,1412.5,1400,1370,1340,1347.5,1350,1345,1345,1345,1347.5,1390,1400,1392.5,1400,1400,1385,1388,1386.5,1385,1400,1420,1460,1398,1442.5,1468.5,1439,1409,1410,1430
"Honolulu","HI","Urban Honolulu, HI","15","003",23,,,,,,,,,,,,,,,,,,,,912.5,1000,1000,1000,1000,1000,1050,1000,1000,1100,1175,1237.5,1100,1100,1000,995,1100,1000,1085,1100,1100,1200,1150,1150,985,1100,1100,1100,1100,1100,1100,1245,1175,1200,1200,1200,1200,1150,1300,1125,1245,1250,1250,1212.5,1245,1222.5,1250,1200,1222.5,1245
