"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06",37,1,3.03,3.63,2.98,2.88,2.57,2.22,2.55,1.93,2.4,2.7,2.39,2.25,2.7,2.73,2.23,1.96,1.82,1.77,1.88,1.94,1.98,1.85,2.38,2.84,2.66,3.48,2.51,2.73,2.04,2.5,1.91,2.27,1.99,2.12,2.14,2.26,1.84,2.06,2.03,2.07,1.82,1.71,1.82,1.7,1.92,1.94,2.18,2.09,1.97,2.25,1.84,1.73,1.81,2.06,3.75,2.29,2.3,2.49,3.26,2.91,3.6,3.98,3.96,4.14,3.46,1.94,1.75,2.15,2.15,2.22,2.91,2.87,3.29,4.24,3.03,4.17,3.97,4.75,4.34,5.22,6.96,7.59,9.3,11.05,12.94,15.48,15.63,15.6,16.52,18.62,20.81,21.64,26.31,27.15,29.7,31.83,32.69,31.59,28.88,32,29.68,26.38,27.76,29.84,27,32.85,30.83,31.44,33.64,34.86,33.06,34.31,32.14,34.49,34.09,34.66,32.03,33.86,35.36,33.32,38.09,38.44,39.39,30.33,35.37,35.41,31.61,33.47,33.28,37.29,35.65,38.71,39.75,35.54,41.54,33.2,32.49,30.73,31.23,31.19,30.09,30.35,30.35,28.83,27.27,26.4,23.42,19.97,20.52,17.15,16.1,14.93,14.68,15.36,15.2,15.5,13.48,12.8,12.4,11.08,11.14,11.88,10.38,9.95,9.98,9.76,9.48,10.07,9.36,10.49,8.71,8.87,8.39,7.32,7.74,7.88,8.51,7.85,7.87,7.28,7.32
"Cook","IL","Chicago","17",31,2,2.17,2.47,1.96,3.46,1.98,2.18,2.05,1.81,1.98,2.03,1.87,1.98,2.89,1.98,2.92,2.81,2.59,2.02,1.72,1.63,1.82,1.79,2.28,1.95,2.32,3.43,3.04,2.82,2.89,1.68,2.19,2.84,2.26,2.21,2.88,2.66,2.77,2.74,3.08,2.46,2.45,2.44,2.65,2.06,2.37,2.42,2.37,2.7,2.93,3.37,3.03,3.06,2.73,3.44,2.87,2.92,2.68,3.07,3.47,4.32,3.48,3.71,4,3.4,3.26,3.79,4.16,3.27,3.75,4.63,4.27,5.57,5.33,5.32,5,6.31,4.96,5.26,5.59,5.72,6.36,7.38,8.65,10.26,10.76,15.27,13.55,14.39,13.37,13.72,13.6,15.05,16.32,19.64,20.62,22.93,26.67,30.25,31.56,30.56,30.96,30.06,28.58,27.97,31.2,30.01,33.82,32.29,38.64,40.82,40.08,37.06,36.69,35.47,37.24,39.41,38.36,44.21,41.57,38.71,43.67,46.64,46.31,44.31,46.36,42.75,41.73,42.49,46.45,43.04,46.05,45.01,47.76,50.13,52.66,50.1,49.59,49.66,47.72,48.04,48.53,50.1,49.26,47.88,50.18,53.37,53.85,49.41,45.3,44.54,41.13,39.33,41.16,39.5,36.83,37.04,37.3,38.04,37.92,37.32,34.1,30.8,33.09,32.16,30.01,32.78,30.51,31.31,31.74,32.21,32.84,30.97,30.37,26.08,26.67,26.04,26.76,25.93,27.51,27.8,29.34
"Harris","TX","Houston","48",201,3,5.79,6.26,4.45,5.97,4.57,6.04,6.17,5.29,6.07,5.94,6.8,6.11,6.32,6.48,6.7,6,6.39,6.08,5.39,5.51,7.1,5.21,6.28,6.42,6.4,5.31,4.51,5.43,5.83,5.89,6.19,5.72,6.63,5.69,6.38,6.22,2.78,3.46,2.52,2.99,2.34,2.89,2.86,2.94,2.35,2.56,3.22,3.84,2.65,2.56,2.05,2.62,3.52,2.6,2.19,1.7,3.12,2.54,3,3.32,2.73,4.95,3.64,2.68,4.21,3.11,3.36,3.3,3.45,4.66,4.2,5.63,8.54,5.82,5.64,6.08,6.78,7.18,7.36,8.16,6.94,8.16,8.32,7.46,13.41,13,15.13,14.87,14.98,14.43,14.04,15.51,16.83,14.81,15.59,15.67,16.67,18.01,17.96,15.91,19.08,15.88,17.78,17.09,17.16,13.14,16.41,17.78,19.77,16.18,16,19.74,20.17,19.47,22.85,21.28,22.35,21.02,23.5,24.7,23.94,26.35,25.87,26.6,24.98,24.5,24.59,24.81,27.09,25.15,25.28,27.7,27.27,27.02,28.06,25.19,25.25,25.57,24.9,27,25.25,25.56,24.54,28.48,26.9,23.07,20.18,23.87,22.38,21.29,20.97,22.7,22.58,21.89,19.43,18.14,19.81,19.45,19.43,17.31,18.64,11.08,16.32,18.01,19.88,16.15,15.14,14.24,20.28,14.14,16.42,15.12,11.81,11.37,13.41,13.39,13.43,14.05,10.92,12.59,10
"Maricopa","AZ","Phoenix","04",13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,45.28,47.71,48.17,47.55,46.89,45.27,40,37.79,39.48,36.9,37.14,31.44,31.64,28.72,27.86,27.34,23.26,26.2,25.47,25.53,24.23,24.76,24,17.9,18.85,20.85,19.93,18.29,19.48,18.74,20.18,20.04,20.36,19.32,20.5,19.79,18.8,21.54,17.7,19.85,18.52,18.77,17.05,16.78,17.02,16.2,16.88
"San Diego","CA","San Diego","06",73,5,9.11,9.01,8.8,6.36,7.71,7.3,7.15,7.43,6.85,6.7,8.55,6.82,5.02,5.22,4.2,3.42,3.69,2.64,3.14,3.65,4.09,2.79,4.25,4.54,3.65,3.72,3.47,3.05,2.69,2.05,2.56,2.78,3.11,3.2,3.11,3.5,2.84,2.82,2.8,2.87,2.19,2.27,2.21,2.8,3.35,3.85,3.96,3.99,3.42,3.2,2.54,2.87,2.46,3.59,3.73,4.23,3.68,3.39,4.6,6.14,4.67,3.85,5.08,5.24,4.81,7.04,8.16,8.34,8.79,9.63,9.47,11.3,10.77,12.14,10.61,12.75,13.51,13.46,14.76,15.69,17.56,18.61,18.51,21.62,26.47,27.73,28.92,27.04,39.31,28.28,33.06,33.98,39.26,42.8,43.96,45.86,47.98,50.96,48.38,46.29,44.34,44.05,39.64,39.41,41.76,41.18,42.95,42.58,47.93,48.05,43.42,46.97,43.71,43.48,40.92,42.38,42.34,42.56,42.98,41.36,47.15,46.09,45.4,43.54,45.44,42.82,41.47,45.17,45,45.28,42.28,44.36,47,47.84,42.27,43.99,38.57,39.64,37.78,39.77,39.52,36.82,36.91,35.11,35.01,35.07,26.93,26.04,24.85,21.53,21.21,19.33,19.45,20.99,18.83,22.5,19.69,17.04,16.6,16.77,14.55,17.08,14.37,13.27,13.21,14.28,14.11,15.73,13.1,13.08,12.83,12.54,13.1,10.93,11.25,12.54,11.02,11.42,12.47,10.87,10.16
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06",59,6,3.51,1.13,1.53,1.51,1.06,1.07,1.45,1.02,1.63,1.53,2.13,1.57,5.02,1.96,1.28,1.34,1.27,1.31,1.36,1.22,1.43,1.4,1.3,1.58,4.94,1.13,1.36,1.41,1.3,1.42,1.2,1.28,1.53,1.57,1.39,1.19,3.34,0.91,1.69,1.22,1.12,0.96,1.1,1.46,1.57,1.78,1.67,1.76,5.21,1.61,1.23,1.56,1.32,1.09,1.97,1.47,1.31,1.87,1.88,1.52,3.85,1.97,1.79,1.21,1.46,2.05,2.44,2.24,2.67,3.3,5.44,6.03,4.42,5.11,6.49,5.72,6.67,7.85,8.17,7.65,11.6,13.28,12.9,19.59,20.54,23.49,21.08,24.23,26.81,29.36,27.69,29.57,32.51,35.76,39.36,41.64,44.28,43.76,39.6,40.78,35.84,35.22,33.26,37.12,34.72,35.82,34.3,39.35,42.45,43.44,40.42,38.14,34.83,38.85,37.6,34.28,37.23,37.89,37.31,38.98,40.73,43.3,38.61,38.66,38.74,36.48,38.5,38,36.61,38.28,41.59,43.55,39.28,45.43,40.98,39.11,38.14,36.28,33.83,33.85,34.28,32.13,32.83,32.94,31.48,29.24,25.62,22.51,19.11,18.59,17.3,16.61,16.61,15.72,16.73,16.51,15.7,13.81,13.62,14.23,12.79,12.75,12.73,12.68,12.42,13.21,10.43,13.05,13.53,11.22,11.61,12.18,11.56,9.83,11.95,10.72,9.14,9.7,13.44,12.57,10.17
"Kings","NY","New York","36",47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,11.46,14.71,10.69,10.44,10.92,11.01,22.26,13.08,13.79,16.26,15.02,14.84,15.43,10.74,11.96,8.21,12.05,9.67,10.62,7.47,10.19,12.67,11.25,11.71,13.17,5.88,7.62,7.25,7.54,5.92,6.05,6.57,8.13,7.99,7.29,7.83,7.6,8.23,8.36,5.18,14.57,5.44,7.31,6.8,3.3,6.36,6.15,6.14,5.15,3.45,4.56,5.09,4.94,5.05,3.05,2.79,3.88,7.46
"Miami-Dade","FL","Miami-Fort Lauderdale","12",86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.17,39.7,37.56,43.33,40.47,41.83,39.13,44.71,44.21,40.29,48.61,53.75,52.25,51.02,46,46.72,45.98,42.09,41.34,52.56,50.35,48.98,50.2,52.52,55.83,50.43,47.49,48.27,44.6,37.81,46.48,43.58,48.18,47.6,53.24,46.19,49.24,43.61,39.31,37.57,39.48,37.5,40.79,37.56,40.52,38.03,34.04,41.48,34.2,31.34,30.3,28.72,28.85,24.81,25.91,23.71,25.81,19.34,25.33,24.85,23.34,16.28,19.14,21.81,16.17,16.81,18.27,18.15,17.76,16.36,17.61,17.53,16.38,17.94,12.99,14.69,15.42,15.02,16.34,15.06,13.77,14.36,17.36,10.99
"Dallas","TX","Dallas-Fort Worth","48",113,9,3.44,3.44,3,2.73,3.56,2.69,2.75,3.53,3.34,2.74,2.84,3.64,4.3,3.65,3.6,2.86,3,3.24,2.74,4.77,3.68,4.15,3.83,3.86,3.52,2.74,3.83,3.74,4.59,3.53,3.78,4.26,3.86,3.96,4.97,4.43,3.15,2.16,3.07,2.57,3.49,3.76,2.6,2.16,2.25,2.2,2.51,2.92,2.65,2.7,8.09,2.33,4.19,3.19,3.45,3.74,3.66,2.89,5.68,4.45,3.55,3.39,4.5,3.92,4.11,4.75,4.29,3.36,4.47,4.92,5.19,3.92,6.04,7.18,6.55,5.4,7.44,4.81,4.88,4.95,5.02,4.6,7.31,6.37,9.16,8.27,8.53,7.78,7.84,11.32,9.48,8,9.49,13.54,10.13,13.73,12.77,15.89,10.42,12.01,13.1,14.54,12.83,13.96,11.8,13.07,15.04,12.83,13.73,15.62,18.5,19.51,20.11,20.49,20.03,23.4,21.07,23.73,23.68,26.46,26.15,25.31,24.23,26.08,21.59,27.2,26.08,26.04,29.26,29.08,28.74,26.69,30.77,29,29.73,26.43,26.03,28.21,26.44,25.31,28.73,27.5,26.43,23.89,28.16,25.97,23.93,20.66,20.67,17.82,17.43,17.84,18.74,18.14,19.8,18.67,18.71,17.97,17.91,14.42,16.1,16.42,14.83,12.7,13.52,13.81,13.36,12.55,14.62,13.53,12.67,12.14,12.05,15.65,14.31,15.57,15.34,13.05,11.5,8.07,7.26
"Queens","NY","New York","36",81,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.37,1.63,0.7,0.33,1.32,0.55,1.68,0.73,0.23,0,0.87,1.54,2.41,0.95,1.36,1.54,1.01,0.62,2.05,1.36,1.48,1.84,2.51,0.55,2.56,1.87,1.17,2.11,1.56,2.75,2.3,1.63,1.86,1.48,1.61,2.17,1.65,1.99,1.79,2.48,2.34,1.9,1.98,3.93,3.55,2.19,3.21,3.98,4.43,3.19,4.35,3.9,3.47,5.13,6.18,6.17,7.26,8.83,10.43,10.43,8.54,10.39,10.87,10.32,12.03,12.47,15.36,11.15,15.68,14.74,12.5,15.52,13.9,16.1,10.9,15.29,15.71,15.42,13.04,12.05,19.1,19.84,16.43,15.91,18.16,15.04,16.8,16.98,18.31,13.97,14.73,14.68,17.63,18.03,16.2,19.65,13.08,16.63,18.33,17.18,17.59,15.98,16.43,18,19.49,18.32,23.5,14.68,17.66,19.01,16.36,15.32,16.59,13.41,18.39,15.03,20.5,17.67,19.18,15.03,15.81,16.61,14.86,15.49,16.81,16.75,16.27,14.98,17.49,11.76,14.45,15.51,14.26,10.6,11.64,11.66,13.03,12.21,10.33,13.29,14.51,13.88,12.28,17.23,12.52,8.16,10.03,10.39,9.01,10.7,9.05,9.07
