"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,335300,333400,331400,328800,326000,323600,323000,323800,326100,328800,331600,333500,335300,337000,339000,341300,343400,345200,346700,348400,351400,355200,359100,362900,366900,370800,374300,377100,380300,383600,387600,392800,397200,398600,400800,404700,408000,410700,414600,419200,422600,425600,428400,432300,436300,439100,440500,442500,444100,444500,444700,446500,450100,455000,459000,461800,464500,468600,473400,478400,482300,484300,485100,486600,488500,491100,495100,499600,503900,509000,514000,517900,522300,528200,535400,543800,552800,560700,567300,573900,581900,590400,598900,607500,617400,627600,636700,645300,654200,663300,672900,682800,692500,702600,713200,725200,740700,758400,775300,789300,801300,811300,820300,828600,836800,844400,853100,863100,873700,885800,899400,913700,927300,939500,950400,961200,971500,980000,987100,993400,996400,997800,1000200,1002400,1002700,1003900,1005400,1004000,998200,993600,991100,988100,985800,984900,982000,977200,972300,966300,958700,949900,941400,932700,923900,912500,899000,885800,873000,859500,847900,838800,830800,822700,816300,812900,809400,803600,797100,790900,787200,786900,787200,787800,790300,794200,797900,799200,798900,798700,798100,794700,790600,786500,784100,781300,777500,774000,772300,769000,764400,760600,759000,757500,754700,751100,748400,746500,744400,742900,741500,741600,742900,743700,744700,748600,754600,761800,768500,774700,781200,788100,794500,802600,813100,826500,839800,852100,862700,871200,876400,882700,890100,899900,909200,915700,920200,928900,938500,944900,946800,947800,949100,950800,955100,961400,967200,972500,978800,983900,987500,990400,994000,998800,1002900,1003700,1002200,1000000,999700,1001500,1003500
139,"Cook","IL","Chicago","17","031",2,256200,257500,258000,258000,257700,257400,257200,257000,256600,257100,257300,257300,257700,259000,260600,261800,262600,263500,264000,264600,265900,268000,270100,271800,273800,275300,275900,277200,280300,282500,284300,285300,286800,289200,291700,293500,296400,299800,301400,300900,300900,303600,308000,311600,313700,316200,319200,323100,325600,326200,326500,328500,330500,332700,335800,339700,343900,348500,353500,357900,361300,363700,366400,369100,371000,373000,376100,379200,381400,382800,383600,383600,383200,383900,385600,387200,389000,390800,393200,397200,401300,404100,408000,413600,418300,423900,432900,443400,450000,449900,444700,440800,440900,442400,443700,446800,451100,454400,456000,458100,461200,466500,473100,479500,483900,486300,488400,490700,492600,495600,499100,501300,503800,507700,511600,514800,517900,521700,526000,528800,530400,531900,533700,536100,537900,539500,543000,545700,546700,547400,547200,545500,544600,543800,542000,539400,538700,539500,538800,535900,532000,528100,524700,521000,517700,515000,510900,505500,502700,503000,502600,499900,498100,498700,498200,495800,493300,490200,486200,484100,483100,479900,476800,475800,474700,472700,470600,468600,466100,464000,461800,458300,453100,448100,443800,441300,438300,433700,431200,429600,426300,422100,420300,419200,417100,413100,409500,407300,406600,406700,406300,406200,407600,408400,408900,410000,410800,410700,411200,412100,413100,414200,415000,416400,418500,421100,423300,425300,427800,431500,435300,437400,438900,441000,442700,445400,449400,453100,455200,457800,460500,463500,466000,468400,469900,469000,466300,464200,464800,467900,471700,473500,472300,469300,465200,461100,458400,458000,458400
1090,"Harris","TX","Houston","48","201",3,169100,167900,166800,165800,165000,164300,164200,164600,165500,166300,167100,168000,169100,170300,171700,173200,174200,174800,175000,174700,174800,175500,175700,176000,177200,178600,179600,181100,182500,184000,185500,186500,187000,188400,190100,191900,193600,195400,197300,198300,199500,201300,203000,203400,202800,201300,199600,198200,197300,196900,196800,197400,198700,200500,201900,203500,204600,204300,203000,201800,201200,201500,202400,203600,204100,203500,203100,203600,203600,203100,203000,203300,204500,206100,207100,207000,206300,206000,206900,208300,209200,210100,211100,211700,211000,210100,209800,210500,211300,211700,211100,210700,212400,216300,221600,227400,232400,235700,237900,239500,240400,241100,242800,245100,247300,249500,251400,252400,252600,251600,251100,251600,252600,253400,253500,253500,254700,255900,256200,257000,258900,260700,262500,264200,266200,267700,268200,267000,266100,265600,265800,266200,267300,268500,269600,269500,268800,268600,269700,271200,272400,271000,267600,263600,260800,258200,256500,257000,261100,266600,272100,277500,284200,290600,296500,302200,308600,313800,316700,317800,320200,323400,325300,325000,320900,313700,310200,310600,307300,306800,310500,312200,307700,302500,298900,298000,295300,298500,298400,293700,292400,294500,291000,292900,297500,298600,296300,294400,292400,291700,294400,300200,304100,307900,313400,313700,308800,306000,304700,303900,306500,309700,311800,314700,318700,320100,320600,320800,322100,324700,331100,338800,345400,347900,351100,349700,342100,334000,331500,331900,334800,338400,341800,343300,344100,343900,343500,344200,347800,350200,351300,352100,352700,350500,346600,342500,340100,338900,338200
2402,"Maricopa","AZ","Phoenix","04","013",4,198800,197200,196800,196900,197300,198500,199600,200400,201300,201900,201500,201300,201700,202400,203500,204800,205500,205800,207100,208800,210400,212300,214400,216100,217500,219100,220000,220800,221400,222400,222900,223700,225100,227000,228800,231300,233600,235400,236100,236500,237400,238400,238500,238800,241100,243600,245700,247600,249700,251700,253900,255700,256500,256800,257200,258000,259200,260900,262600,263700,264400,265600,267300,269000,270300,271300,271800,272100,272500,273500,275400,277700,279700,280500,280800,281900,283800,285300,287000,290300,293600,295400,296000,296700,297700,299800,302300,303900,304100,304500,306700,310400,314000,317500,320800,323900,327700,331900,335600,339600,347400,359700,371700,377700,381100,387900,399100,412300,426400,440500,456100,473900,489200,499900,509000,520200,529300,533800,535700,537400,538600,539900,541600,542400,541800,539500,537100,536000,535300,533900,531300,527600,523200,518900,514200,510200,506800,502500,497500,492100,486100,477700,468100,458600,450000,442200,433500,423700,414300,405200,396000,386200,379600,376200,371800,364800,357400,349800,343000,338300,335000,332600,330200,328200,326100,324400,322800,321300,319700,317900,315100,310900,305800,300700,296200,292500,289500,287900,289000,290800,291000,290400,290100,290000,290100,291200,293700,297000,300600,304100,307100,310600,314800,319800,325500,331300,336900,343000,349300,354200,357500,360000,362800,367500,374400,381600,387500,391800,395500,396500,396300,396700,397600,396600,395200,394900,395400,395500,394600,393600,392700,393200,394600,396400,397800,399300,400700,401300,400800,400400,401100,402100,403600,405500,407500,409600,411800,413200,413900
2841,"San Diego","CA","San Diego","06","073",5,299000,294600,291700,289200,286600,284900,283600,282600,282300,282500,283500,284900,286400,288900,292500,295300,297600,301500,305400,308000,311100,315600,319000,321200,324700,328900,331900,334300,337500,340400,344100,349200,354100,355700,356400,358100,361600,364600,367400,370200,373300,376400,378800,381500,386700,392800,398700,405200,411600,416700,422100,428100,434500,440000,443800,445200,446300,449200,454000,459700,465100,469400,472200,476200,480200,482300,484200,489100,495300,501400,506200,509500,513400,518700,525000,532600,540200,548700,559000,569400,577500,583100,587800,592700,596100,599500,603700,610000,618300,629700,642900,656000,666100,676800,689700,704700,722800,742800,762400,778300,790100,799100,806500,811900,817500,825300,833400,840100,843600,844800,845700,847000,848100,848900,849100,849400,850100,850300,850700,851400,851600,851000,847600,843100,840700,837200,830200,823300,819100,816300,813600,808800,804100,801200,798500,794100,788800,782700,777700,775000,772100,765700,756000,744300,731700,720400,711900,704800,695400,686600,680100,672300,664300,659800,656700,652300,648600,645400,643000,641900,643500,646700,649600,652600,655800,657700,659900,662600,664100,664600,664100,661300,657300,652300,646700,641400,635500,629400,624100,621200,619600,617500,614300,612500,612700,614200,615900,616000,614900,614100,615300,617000,619700,624100,629800,634900,639500,643800,647700,651900,657500,664300,671200,678500,686700,695100,704200,714500,722800,727600,731900,737300,743300,748000,749900,754000,761000,765700,766400,766300,766500,768500,772100,777300,782400,786200,789600,792200,792700,792700,792900,793400,794000,795600,798300,801500,804000,806400,808100
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,307100,306800,306200,305900,306400,306900,307100,307400,308900,311400,312900,311700,310000,310600,313000,315900,319400,323500,326600,329700,333700,338700,342000,351500,,,,365700,374100,374200,375800,378500,381800,385300,387100,387000,386400,389200,392800,394200,395800,399900,403500,406600,409900,413600,417700,421700,424900,428500,431800,433300,435000,439000,443400,448000,453000,458400,462600,465700,468600,470900,471300,473400,478100,483200,486700,491000,496700,501800,505900,510000,516300,524400,532300,539100,547100,557200,567800,576900,584700,593800,604500,614000,621000,628600,637800,646600,655400,665400,677900,691400,704200,716600,730300,746400,765500,784700,802500,820000,834700,844100,850300,855300,857000,860300,867000,873600,879700,887000,893500,899500,907000,916300,926600,935500,941400,945100,949300,956100,960200,961200,960000,956900,952600,949300,944600,939000,933700,930200,928600,928200,926500,920800,913100,906500,899000,886900,875200,866900,861900,855400,844800,830000,816700,806900,799600,793000,788600,786300,784400,781500,779900,777200,771200,765700,762100,759900,759800,761000,762200,763700,763100,761400,759700,758700,757700,755400,752600,750400,748200,744400,740000,735800,732900,730200,726700,721900,717500,713200,708800,704200,700000,697600,695700,694300,692600,690900,690000,690800,692100,694800,697800,699900,702200,706400,711300,715700,719900,725400,733400,743700,755100,766500,779600,792500,804400,814600,824000,832000,842100,850600,853900,854800,857100,862600,869800,874400,874100,872300,869800,868100,867700,869400,871700,874600,879700,884300,886200,887900,890000,891400,893300,896500,900100,904200,907300,910300,913100
581,"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531000,535000,533600,532300,537200,544700,543600,538700,541900,554000,565100,579300,592400,601900,613800,630700,650000,663900,663700,664500,677100,692300,702800,715800,732300,748800,760800,771900,785300,798300,805800,804000,801100,801500,805000,809300,811700,814300,820300,822600,818200,815400,811400,809300,806800,806300,808400,818300,825600,831200,835500,841200,842500,845600,845900,836000,826400,827700,822300,805300,793100,789400,784500,773100,766100,763200,761600,759100,759900,758500,756700,753100,753700,756800,759400,760900,761000,759800,757900,757000,756500,757400,758800,762600,762700,757300,757700,763400,760800,752100,748500,750000,751700,751300,749200,747900,749600,750100,750200,751200,754000,758300,763300,768100,775300,780700,786100,793600,798500,799900,803100,806900,812500,817300,822900,830900,841800,855000,869200,879000,884800,893000,903400,918800,942400,973000,995300,1006300,1012800,1022400,1036400,1054700,1070400,1079200,1080400,1080300,1087700,1100500,1110500,1122100,1129500,1130300,1134700,1144600,1148800,1154700,1163200
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,264400,267100,269400,270300,269200,268300,267600,266300,265800,266200,267200,266800,265600,264700,264800,265500,266000,265600,265700,266400,266300,267100,268500,269600,270000,270200,270200,271400,273700,275900,277700,279200,280500,282100,284200,285800,286400,287100,287100,286900,288000,291100,293900,296700,299200,301400,303500,306800,310100,311900,312100,312900,315200,318400,322100,325500,327600,330300,333700,336100,336900,338500,342200,348000,355200,361300,363800,363800,363700,364500,367200,372100,379000,386300,392700,396500,399100,401100,405100,411400,418900,424400,428000,430300,430500,431700,437000,445500,452400,457300,462600,469500,476900,484800,495000,506500,518200,527900,535600,541800,547900,555100,563200,572800,585500,599000,608500,617400,631900,649000,663300,674500,686100,699800,714200,726100,735000,743200,752900,762500,770300,776200,782200,787900,792700,795700,799200,802800,805300,806900,809400,810300,807500,804000,802400,801700,800200,798100,790800,778100,763900,752300,739400,724700,710000,696100,680400,664300,649800,635100,620800,607200,592800,579800,567800,554300,541900,533600,527800,521500,515500,512700,513800,515900,519000,521700,522400,522900,526100,528100,525000,520000,515100,509800,505500,501700,497500,495100,494100,492400,489700,487700,487400,488600,489000,488000,485200,483200,482900,482900,484300,490000,495400,497900,499100,503300,509900,514000,514700,517500,524900,533300,540300,545400,549900,554800,560800,566500,568900,572100,577500,584300,589900,594100,599800,601500,597700,595200,597900,599300,599800,599300,601800,607000,611000,611700,609400,608900,610100,611700,614600,620900,629000,638500,646700,651500,653100,649900,645600
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,212600,211600,211900,212100,212300,213000,213600,213900,213900,214100,214900,215900,216300,216600,216700,217700,219600,222000,224100,225200,225300,225900,227100,228700,230800,233000,235000,237800,241200,244600,247100,249500,251800,253600,254500,254700,255400,256400,256900,257600,258500,259100,259800,261500,264600,268600,271300,272400,273700,276000,279000,281200,283400,285200,286500,287000,287400,289000,292000,294700,296100,297000,299000,301900,304200,305000,305300,306100,307600,308600,308400,308100,308900,310000,309600,307500,306500,307300,308900,310100,311100,312000,315000,320200,324600,326900,329100,330800,330500,330200,331500,333500,333800,333300,333600,334300,335300,337000,339700,341800,343400,344600,345500,346200,347900,349400,349900,351000,353600,355700,356000,358000,361600,364500,366500,369200,371300,373100,374700,376000,377500,379100,380700,382200,383500,384800,386400,387500,388500,389500,388400,385000,380500,377600,376000,375100,374000,372700,370300,367800,365900,364100,362600,361300,360100,358700,357000,354800,353400,353000,352400,351200,350300,349900,349700,349100,347700,345900,345200,345200,344900,344700,345600,345500,344600,344300,345500,347200,348800,349000,347500,345500,343900,342800,342400,343300,344700,345400,344900,344600,345400,347600,350400,352000,352000,351000,350700,352400,355100,357800,360700,364200,368000,372600,377500,382200,385300,387300,389300,392200,393100,393000,394700,397500,398300,398800,399800,400900,403200,406200,407900,408700,410800,414000,416200,418100,421900,426300,430600,435800,441800,446500,449700,451200,452600,454300,457300,460500,462400
1347,"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470300,478700,485900,490000,494000,500500,500600,496800,499700,510300,519200,527300,534600,543100,552300,563700,576300,590200,596500,598400,603800,613600,622500,632900,642300,650100,658500,668800,678800,686300,688800,687500,688500,693100,697100,699400,701200,701300,701300,702100,702600,702900,700500,696100,691600,688300,685300,686100,688700,691600,692700,692800,694300,697400,698700,698000,696000,693600,690700,686000,679900,675500,671500,666700,662200,657300,651700,644600,639300,638600,641300,642000,641400,641300,642900,643900,644200,644900,644800,645700,647700,648800,647800,646800,646500,646100,645100,645100,644400,642500,640800,639600,637800,634700,631400,629900,630000,628400,625500,623900,625900,628300,629500,629900,630400,629400,629600,632300,634300,636200,640300,643400,642900,642500,645500,651800,660500,668100,673100,679700,689300,696200,699500,704700,712300,721700,729400,735400,742100,750400,758200,764000,766600,768300,771100,772900,773400,777800,784100,788700,790000,794600,799100,800300,803500,811600,818500,823300
