"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,284900,284300,283500,282600,282000,281700,281700,282100,283500,285800,288200,289700,291100,292900,294800,296600,298600,300600,302600,305100,308300,312100,315600,319500,323700,327300,330600,334400,338600,342800,347000,350600,352700,353800,355500,358100,360600,363200,366100,368700,370600,372600,375100,377900,380700,383800,387300,390500,393400,396100,398400,401000,404100,407200,410400,414300,418100,422300,426600,430100,432000,433300,434700,436600,439000,441900,445000,448700,453200,457800,462100,466800,472000,477700,484300,492500,501100,509300,517000,524400,531800,539600,547300,554100,561400,568900,575600,582100,590600,600600,610800,622200,634500,645800,656200,668300,683300,699500,715100,728300,738700,746500,753200,759100,765000,772200,781100,790700,800800,812600,825900,838800,849200,857700,865900,874600,882200,887100,890800,894400,896900,897900,899600,901000,900200,897200,894400,891000,885600,881100,879300,878200,876800,874700,870200,865800,863400,861300,857000,850300,843100,836000,828600,818800,806700,795000,784100,773100,763700,758200,753500,746300,739900,737300,735100,730900,727000,724500,723700,724600,726300,728700,731900,735700,739700,741600,741700,741800,741400,739100,735500,731100,728000,724900,721600,719600,719300,717700,714300,711100,709100,706400,702800,699500,696600,694100,692600,692100,691000,690700,691800,693000,694700,698800,704200,710100,715600,720900,727300,735300,743500,752100,762600,776100,788400,799100,810600,821700,829700,837100,843500,850600,857800,863400,867100,873000,880000,885700,888400,889900,891500,893200,896400,901200,905100,909000,915700,923500,929900,934500,938600,943400,948700,952500,955400,959100,964300,969900,974600
139,"Cook","IL","Chicago","17","031",2,208500,209100,209400,209100,208800,208500,208600,209100,209700,210600,211700,212200,212300,212400,212700,213100,213800,214400,214800,215400,216200,216900,217700,218400,218800,219600,220600,221700,222500,223700,225900,228000,229300,231000,232800,234400,236200,238400,240100,242000,244100,246700,249400,251700,253800,256200,258700,261000,263100,265100,266600,267900,269800,272400,275100,277700,280500,283200,285600,288000,290600,292500,294200,296300,299100,302100,305000,307700,310000,312200,314000,315600,316900,317300,317900,319400,321300,322800,324600,326400,328000,329200,331100,334000,336900,341700,348700,354300,356700,356400,354300,353000,353500,355200,357500,360200,363100,365500,367200,369400,372100,374900,377500,380700,384600,388100,390900,393700,396800,399600,401600,403400,406100,409700,413700,416900,419000,420300,421600,423200,424800,426100,427400,428900,429600,430200,431500,432400,431800,431300,430700,429100,427200,425400,423200,421600,420400,419400,418200,416700,415000,413600,412300,409900,406700,402900,398900,394500,391000,388500,386900,384800,383300,382600,382000,380200,378300,375900,373500,371000,368900,367400,365700,363900,362400,361000,358600,356600,355300,354500,353400,352100,349900,346900,343500,341200,339100,335900,333500,331900,329500,327000,325300,323600,322100,320400,318400,316700,315400,314000,312600,312200,312600,313100,313900,315400,316600,316900,317300,318400,319700,321500,323300,325400,328900,333100,337400,341200,344800,348300,351600,353500,354900,357100,360100,362000,362300,362300,362500,362900,363400,364500,365700,366900,367400,366900,365900,364800,365100,366900,369000,370200,370900,371500,372300,373300,374100,375200,376400
1090,"Harris","TX","Houston","48","201",3,137600,137100,136600,136500,136900,137200,137300,137700,138800,139900,141200,142500,143600,144600,145600,146300,146500,146400,146600,147100,147900,148900,149700,150600,151600,152600,154300,156200,157400,158200,159200,160000,160500,161300,162700,164600,166000,167200,168500,169300,170200,171000,171300,171700,172400,172300,170800,169500,169300,169700,170000,170400,171100,172100,173200,174200,174700,174200,173300,172800,173000,173500,173800,174100,174800,175900,177600,179000,179400,179300,178700,177800,176900,176500,177000,177900,178400,178900,179500,180200,180300,180500,181300,182100,182600,183100,183400,183600,184000,184200,183600,183100,184300,187600,192000,195900,199100,201400,202900,203700,204500,205500,206500,207400,208500,209700,210700,212100,213100,213200,213300,214000,214500,214700,215200,215600,216200,216900,218100,219500,221000,221900,222900,224200,225100,225400,225700,226200,227100,227500,227700,228300,229700,231300,232700,233000,232900,233600,234900,236200,236300,233600,229800,226200,223200,220700,219300,219700,222400,225800,229200,232700,236900,240600,243900,247300,250900,253900,255600,256900,258300,258500,257000,255800,254500,251500,249500,250000,249500,250200,251700,251700,249500,248400,247500,245700,244000,246300,247400,244600,243800,245300,244700,244600,244900,244900,243800,242200,241700,244800,248700,251000,251800,252700,254900,256700,256100,255000,257200,260800,262400,262800,265600,269000,271400,272900,274700,276900,279700,282300,285200,288200,290900,291800,293600,295400,295400,295000,296600,299200,302800,306500,309300,311900,314800,316300,316800,319200,323200,325000,325400,326100,327000,327000,326300,325400,325400,325400,324800
2402,"Maricopa","AZ","Phoenix","04","013",4,176200,175700,175500,175300,175500,176200,176600,177000,178100,179400,180300,180800,181500,182400,183300,184100,185100,186000,187100,188100,189100,190400,192000,193200,194000,195300,196300,197000,197400,198100,198800,199800,201300,203100,205100,207300,209200,210700,212100,213500,214700,215300,215700,216500,217900,219100,220100,221700,223700,225500,227000,228200,229000,230000,231200,232300,233500,234800,235900,236800,237700,238500,239300,240100,240900,241500,242300,243000,243400,244300,245700,247100,248300,249100,249600,250500,251700,252900,254600,257100,259400,261000,262100,262700,263200,264500,266800,268800,270300,271600,273500,275800,277600,279600,282000,285100,288800,292900,297400,302800,309800,318500,326900,334300,342200,351300,362100,374900,388500,402000,415400,429000,441800,452900,462100,470300,477200,482100,484800,485800,485600,485300,484700,484100,482900,480900,478700,477200,475400,472800,469500,466000,462500,459400,456500,453800,450800,446800,442800,439000,433900,426900,419200,411500,404300,397600,390500,382900,375500,368800,362200,354400,348300,345300,342100,336600,330700,325000,320200,316800,314600,313100,311600,310500,308900,307300,306000,304800,303400,301800,299300,295500,290900,286100,281700,278500,276600,276100,277400,279200,279400,278500,277900,277700,277700,278700,280600,283000,286100,289400,292400,295800,300000,304800,309800,314900,319800,325400,331100,335500,337900,339400,340900,344800,351700,359200,364900,368700,371700,371900,370800,370700,371300,370500,369800,369600,369600,369100,368600,368500,368400,369100,370800,373200,375400,377500,379200,379600,379400,379300,379900,381200,383300,385900,388900,391600,393700,394600,394600
2841,"San Diego","CA","San Diego","06","073",5,269500,267400,266400,265800,264700,264100,264200,264500,265300,266600,267500,268400,269800,272100,274300,275900,277900,281100,284500,287500,290500,294200,298200,302100,306100,310000,313300,317100,322200,326400,330000,334300,338300,340500,342400,344500,346600,348800,351300,353700,356000,357800,359300,361700,366000,371300,376600,382100,388100,394100,399800,405700,411700,417300,422600,426900,430400,434100,439000,445000,450000,453700,456500,459500,462500,465200,467700,471700,477000,482300,485500,487400,490900,496200,503100,511100,519000,527000,535400,543600,550900,557200,563400,570000,574600,577600,581500,587700,595300,604700,616200,627300,637500,649900,664200,678400,695300,714400,732600,747500,758600,766800,772800,776700,779100,782500,788500,794400,797500,799000,800700,801700,803400,805100,806500,807600,807800,806900,805100,803700,803100,802400,798100,792600,788800,785500,780700,777600,775900,773500,771100,768800,765400,762100,760100,758500,756000,752300,748600,746400,742400,734900,724400,713400,703100,694500,687300,680200,671600,664000,658500,651500,647200,648200,649100,646800,644500,642400,641500,642400,645700,649900,653200,655900,658100,659000,660000,661400,662300,662800,662000,659200,654900,649000,642800,638000,633000,627700,623500,621200,619000,616200,613100,610700,610100,610900,612000,611800,611500,611800,614300,617300,620500,624900,630300,635100,639700,644800,650000,655600,661700,668100,674600,682700,692300,701100,709300,717900,726100,731600,736100,740700,746200,750300,752400,755400,760200,763200,763700,764000,764100,764800,766800,770500,774400,777800,781800,785600,787800,788800,789900,791700,793900,797900,804000,810100,814300,817800,820600
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,302500,304700,307300,309500,311300,312400,313200,314000,316300,319800,321700,320700,319300,319700,321200,323100,326300,330000,333200,336000,338900,342000,344400,352500,,,,365200,374500,377200,379700,382400,386400,390400,393300,395800,399200,404900,410000,411300,411300,413800,418900,423600,427700,432000,435600,436900,439000,444500,449200,451100,452200,454300,456400,460100,465200,471400,477700,483100,487100,489800,491400,493300,496900,501200,505100,509500,514700,519200,524000,529200,534200,540300,547500,555000,563400,574200,585600,595100,602200,610800,621300,631000,638700,646000,654200,663500,674100,685700,698200,711800,726700,741300,755000,771100,790100,809500,828100,846600,862200,872800,880500,885900,887000,887200,890500,895200,901700,910800,920600,930000,939900,950800,961000,970100,977800,984200,990700,999300,1006700,1008800,1007100,1003200,998400,994200,989700,983800,978700,975400,973900,973000,971800,968300,961900,955900,949400,938700,927400,921000,916400,910600,899700,884200,870400,861400,853200,844000,835600,827500,821700,817900,817200,816100,812600,808400,803400,797600,793900,793900,796400,800300,800400,797500,793500,790000,787700,784500,779400,773800,769500,764300,758600,754000,751900,749400,746000,741000,736300,732400,728200,724000,720400,718600,718000,718700,719200,720500,722500,723900,724700,727400,731300,736300,742800,749100,755100,761700,767700,773800,781400,790300,802400,817400,832000,844100,857700,871300,880700,885100,891500,897300,899500,900900,904300,911100,921200,929200,928700,923000,918000,914100,909400,903400,896400,890300,890700,893300,895400,894100,894500,897600,903700,913600,925700,936000,946400,960900,973900
581,"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602900,611200,614600,615500,613700,610800,603200,596700,597600,606900,615400,617700,614400,615500,624400,636200,645200,649300,650000,653500,662300,672000,678300,684500,691100,696800,704000,710700,718000,726700,734100,736200,735700,734000,733900,737300,743100,749600,753400,756200,758000,758600,755800,754100,754500,758100,762100,765700,765700,766100,768500,772000,776100,781500,784000,782700,778000,773100,766800,759400,753000,744800,732000,719100,710100,703900,698100,693000,691400,692300,694200,699200,706500,714100,719200,720900,720300,719700,718900,718100,718400,720100,722900,724700,725000,725800,731000,735900,735400,731000,728500,729300,732900,735700,736000,735600,735600,736800,741100,747200,753600,760800,768900,777400,786700,794900,801300,806200,811700,817800,822900,827100,831900,839400,849600,860400,869600,879800,892400,905700,916400,926700,934800,952300,981300,1008900,1026200,1038500,1042600,1042100,1045200,1052500,1063700,1075500,1084600,1087700,1094200,1107100,1121200,1133600,1148000,1167300,1190000,1206500,1209600,1208800,1209900
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,171900,171600,171700,171800,172000,172100,172100,172200,172400,173000,173600,173900,173600,173200,173200,173300,173400,173800,174300,174600,174700,175100,176000,176400,176700,177100,176900,176900,177600,178500,179200,179900,180100,180400,180600,181500,182600,183800,184500,185100,185900,186700,187500,188600,189900,191300,192900,194300,195300,196500,198000,199700,201200,202700,204500,206000,207100,208600,210700,213200,216100,218900,221500,224300,227500,230800,233600,236500,239700,243000,246100,248800,251600,254800,258400,261800,264900,267900,270700,273700,277000,280200,282600,285000,287300,290100,293700,297400,300200,303000,306600,310600,315000,319500,323900,328200,333400,339100,344900,350900,357700,364400,370800,377500,384500,391600,399600,409900,421100,430900,439900,449600,459900,469400,478200,486400,494100,501900,510500,518800,526700,533600,538500,539400,538400,538300,541100,545600,547600,546700,545500,543500,540000,537500,535200,533600,532400,530200,524800,518000,510800,504100,494900,482800,469300,455900,444300,434700,425800,416400,406200,395300,385900,379300,373700,367400,361000,355600,351000,346400,343200,342800,342800,342100,342200,342100,341100,340000,339700,339200,338000,336800,335200,331600,328400,327400,326400,325100,324100,324300,325400,326600,326900,327300,327700,328500,329700,330700,331700,333500,336700,340800,344900,348500,352200,356100,359900,363000,365800,369300,373500,377300,381000,386100,392000,397400,403000,408500,411000,413700,418600,423600,426900,430700,435200,438700,440700,442700,444500,445200,447500,450300,454000,457800,460500,461100,461600,462300,462400,464000,468500,473300,476600,479400,481900,484300,487300,489500,490900
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,138300,140000,141300,142400,142900,143200,143900,144700,145300,146100,147200,148200,149100,149500,149200,148800,149300,150100,150800,151900,153500,155300,157100,158800,160100,161800,163600,165100,166600,168400,169900,171000,171700,172800,174400,175200,175200,175700,176900,178000,178600,178900,179300,180200,181500,183200,184500,185200,185900,187000,188600,190500,192500,194000,195300,196000,196000,195800,195900,196300,196700,197300,198100,199100,200200,201300,202400,203400,204700,205800,206700,207400,207800,207400,206800,206200,205600,205400,205800,206300,206700,206700,207400,209400,211900,214200,216600,219000,220400,221300,222100,223000,223600,224400,225300,225700,226300,227100,227900,228600,229700,230500,230900,231600,233100,234700,235800,237100,238800,239700,239500,239600,240500,242000,243600,244600,244700,245200,246400,247500,248000,248500,249500,250600,251500,252400,253300,254300,254900,255500,255300,253800,251600,250100,249200,248200,247300,246900,246200,245100,244200,243500,243100,242700,242400,241900,240900,239600,238400,237500,237100,237300,237700,237800,237500,237300,237400,237500,237800,238000,237800,237100,236500,235900,235400,234900,234100,233500,233600,233300,232700,232300,231500,230000,228900,228500,228700,228900,228900,229000,229600,230600,231800,233100,234500,235300,236000,237300,239300,241400,243600,245400,247200,249100,250900,253000,255500,258000,260200,261900,261600,260200,260900,263400,264300,265900,269400,273200,275800,277900,279800,281600,284200,287900,290700,292400,295300,299400,303600,308000,312400,316600,320100,322500,324200,326200,329100,332900,336100
1347,"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505700,510900,510700,509100,510100,515400,515100,511300,511100,517700,524800,531100,534500,541200,552000,563800,575000,586100,589600,589300,594600,605800,615300,625600,634800,642600,651500,660500,668200,675400,675900,671900,672200,676800,678500,679200,679000,677600,676000,675500,674800,674400,670700,663500,658400,658100,658700,658300,658500,659200,659900,659600,660700,663000,662800,659500,656300,653300,649000,645000,640700,636300,631900,627600,622400,617100,612900,609600,606700,605300,605700,607100,609600,612200,614300,615500,616300,616600,617400,619400,621800,623000,622900,621900,620500,620200,620900,621100,620300,618800,616100,613900,612800,612400,611500,610500,610000,610200,610100,609800,610400,611700,613200,614600,616100,616400,616200,616600,618100,619500,620500,621800,625100,630200,636100,641300,646100,650600,655000,660000,665200,669700,674100,681000,686700,687900,686800,688900,693600,699500,705200,710200,713000,714000,715600,719000,722200,725500,729400,733100,735500,738400,743500,751900,760600,767200,773200,779000
