"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,1.5,1.498,1.498,1.498,1.5,1.5,1.5,1.502,1.502,1.502,1.5,1.498,1.498,1.496,1.496,1.496,1.5,1.504,1.506,1.506,1.504,1.504,1.504,1.506,1.506,1.512,1.518,1.522,1.528,1.53,1.536,1.542,1.546,1.55,1.556,1.564,1.568,1.572,1.572,1.572,1.572,1.576,1.58,1.586,1.596,1.608,1.622,1.638,1.654,1.668,1.68,1.692,1.708,1.718,1.726,1.734,1.74,1.746,1.75,1.752,1.756,1.762,1.77,1.778
139,"Cook","IL","Chicago","17","031",2,1.182,1.188,1.192,1.19,1.184,1.18,1.174,1.168,1.162,1.156,1.152,1.146,1.144,1.136,1.134,1.138,1.14,1.142,1.144,1.148,1.152,1.148,1.148,1.15,1.158,1.16,1.158,1.158,1.162,1.172,1.18,1.188,1.19,1.192,1.194,1.202,1.212,1.22,1.228,1.232,1.234,1.23,1.226,1.224,1.228,1.234,1.242,1.244,1.248,1.246,1.246,1.244,1.246,1.25,1.252,1.256,1.26,1.268,1.27,1.268,1.266,1.266,1.266,1.268
1090,"Harris","TX","Houston","48","201",3,0.73,0.728,0.726,0.726,0.728,0.73,0.728,0.724,0.72,0.716,0.712,0.71,0.71,0.71,0.712,0.714,0.716,0.718,0.72,0.722,0.724,0.726,0.73,0.732,0.732,0.732,0.736,0.742,0.748,0.75,0.754,0.76,0.764,0.766,0.77,0.774,0.782,0.786,0.79,0.79,0.788,0.788,0.792,0.796,0.802,0.808,0.816,0.822,0.83,0.836,0.84,0.844,0.848,0.852,0.854,0.856,0.86,0.862,0.864,0.864,0.862,0.864,0.864,0.864
2402,"Maricopa","AZ","Phoenix","04","013",4,0.752,0.752,0.75,0.75,0.748,0.746,0.742,0.74,0.74,0.738,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.738,0.738,0.738,0.74,0.742,0.744,0.746,0.75,0.75,0.752,0.754,0.754,0.754,0.754,0.752,0.752,0.752,0.754,0.756,0.756,0.758,0.756,0.756,0.756,0.756,0.758,0.76,0.764,0.77,0.774,0.778,0.78,0.784,0.788,0.794,0.798,0.804,0.808,0.812,0.814,0.812,0.81,0.81,0.81,0.81
2841,"San Diego","CA","San Diego","06","073",5,1.358,1.36,1.358,1.356,1.356,1.356,1.356,1.356,1.354,1.352,1.35,1.348,1.348,1.35,1.35,1.35,1.35,1.346,1.346,1.348,1.348,1.35,1.352,1.356,1.358,1.36,1.362,1.364,1.368,1.374,1.38,1.388,1.392,1.394,1.398,1.402,1.408,1.412,1.416,1.418,1.422,1.426,1.426,1.426,1.428,1.436,1.446,1.458,1.468,1.476,1.486,1.496,1.506,1.516,1.522,1.53,1.538,1.544,1.548,1.55,1.55,1.552,1.556,1.562
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,1.532,1.532,1.534,1.536,1.538,1.538,1.538,1.54,1.542,1.546,1.548,1.552,1.554,1.556,1.558,1.564,1.57,1.576,1.58,1.584,1.584,1.586,1.586,1.588,1.59,1.592,1.594,1.598,1.602,1.608,1.614,1.62,1.626,1.63,1.634,1.642,1.65,1.654,1.658,1.662,1.666,1.67,1.674,1.676,1.68,1.684,1.692,1.7,1.71,1.722,1.732,1.74,1.746,1.752,1.76,1.766,1.776,1.784,1.79,1.794,1.796,1.8,1.804,1.81
581,"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,1.256,1.252,1.252,1.26,1.266,1.28,1.296,1.308,1.314,1.318,1.32,1.326,1.328,1.336,1.344,1.356,1.366,1.38,1.388,1.402,1.412,1.424,1.428,1.43,1.436,1.452,1.476,1.502,1.52,1.526,1.532,1.538,1.548,1.562,1.574,1.59,1.598,1.598,1.602,1.616,1.624,1.628,1.638,1.648,1.664,1.676,1.69,1.706,1.72,1.734,1.742
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,1.164,1.164,1.166,1.168,1.172,1.174,1.176,1.182,1.184,1.186,1.188,1.188,1.192,1.194,1.196,1.2,1.204,1.208,1.214,1.218,1.222,1.222,1.224,1.224,1.228,1.234,1.24,1.244,1.246,1.25,1.252,1.256,1.258,1.262,1.272,1.28,1.292,1.3,1.31,1.316,1.322,1.326,1.33,1.33,1.334,1.34,1.346,1.354,1.36,1.364,1.368,1.374,1.384,1.392,1.4,1.408,1.416,1.426,1.432,1.436,1.44,1.442,1.448,1.452
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,0.746,0.754,0.764,0.768,0.77,0.768,0.766,0.764,0.76,0.758,0.76,0.76,0.764,0.762,0.76,0.76,0.76,0.762,0.766,0.77,0.774,0.778,0.78,0.784,0.79,0.794,0.796,0.8,0.802,0.808,0.812,0.814,0.816,0.82,0.822,0.826,0.832,0.834,0.836,0.838,0.84,0.842,0.842,0.844,0.846,0.85,0.854,0.858,0.866,0.87,0.874,0.878,0.882,0.886,0.892,0.898,0.902,0.906,0.908,0.908,0.91,0.91,0.91,0.912
1347,"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,1.244,1.248,1.25,1.252,1.256,1.262,1.274,1.28,1.282,1.28,1.282,1.304,1.318,1.326,1.328,1.332,1.34,1.35,1.356,1.362,1.374,1.388,1.404,1.426,1.438,1.454,1.462,1.464,1.462,1.462,1.464,1.478,1.494,1.514,1.522,1.528,1.524,1.526,1.536,1.544,1.554,1.562,1.574,1.584,1.606,1.624,1.642,1.652,1.654,1.652,1.648
