"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-02-29,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA",0,2431,0.00496072757337743,0.0129166666666667,0.0464916056823074,2120277
2016-02-29,"Cook","IL","Chicago",1,1647,0.00121580547112462,0.00121580547112462,0.00672371638141809,1612905
2016-02-29,"Harris","TX","Houston",2,1503,0.00266844563042028,0.00737265415549598,0.0401384083044983,1138236
2016-02-29,"Maricopa","AZ","Phoenix",3,1282,0.00234558248631744,0.00470219435736677,0.0380566801619433,1325545
2016-02-29,"San Diego","CA","San Diego",4,2338,0.00515907136715391,0.0116832540025963,0.034971226206286,821358
2016-02-29,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA",5,2772,0.00362056480811007,0.010572366022603,0.0281899109792285,827653
2016-02-29,"Kings","NY","New York",6,2332,0.00344234079173838,0.0219106047326906,0.0892106492293321,406938
2016-02-29,"Miami-Dade","FL","Miami-Fort Lauderdale",7,1970,0.00305498981670061,0.0097385955920041,0.0614224137931034,958232
2016-02-29,"Dallas","TX","Dallas-Fort Worth",8,1352,0.00148148148148148,0.00520446096654275,0.0384024577572965,616171
2016-02-29,"Queens","NY","New York",9,2239,-0.000446428571428571,0.00403587443946188,0.0556341348420556,467061
2016-02-29,"Riverside","CA","Riverside",10,1791,0.00167785234899329,0.0039237668161435,0.0234285714285714,638973
2016-02-29,"San Bernardino","CA","Riverside",11,1511,0.00465425531914894,0.00733333333333333,0.0442294402211472,549203
2016-02-29,"Clark","NV","Las Vegas",12,1210,-0.000825763831544178,-0.00165016501650165,0.0125523012552301,673685
2016-02-29,"King","WA","Seattle",13,2218,0.00635208711433757,0.0146386093321134,0.106234413965087,658184
2016-02-29,"Wayne","MI","Detroit",14,838,0.001194743130227,0.00239234449760766,0,725438
2016-02-29,"Tarrant","TX","Dallas-Fort Worth",15,1398,0.0021505376344086,0.00720461095100865,0.0302137067059691,541074
2016-02-29,"Santa Clara","CA","San Jose",16,3473,0.00346720600982375,0.0128317293671624,0.0782365724930146,452092
2016-02-29,"Broward","FL","Miami-Fort Lauderdale",17,1710,0.00175746924428822,0.00588235294117647,0.0332326283987915,802851
2016-02-29,"Bexar","TX","San Antonio",18,1250,0.0016025641025641,0.00321027287319422,0.037344398340249,517239
2016-02-29,"New York","NY","New York",19,3736,0.00403117441547971,0.00403117441547971,-0.00133654103180968,442250
2016-02-29,"Philadelphia","PA","Philadelphia",20,1188,0,0.00592718035563082,0.00337837837837838,514764
2016-02-29,"Alameda","CA","San Francisco",21,2920,0.00689655172413793,0.0191972076788831,0.135744846363283,419206
2016-02-29,"Middlesex","MA","Boston",22,2388,0.00251889168765743,0.00759493670886076,0.0492091388400703,473585
2016-02-29,"Suffolk","NY","New York",23,2982,0.0146308268118408,0.0361362056984017,0.197109594540345,490436
2016-02-29,"Sacramento","CA","Sacramento",24,1499,0.00334672021419009,0.00942760942760943,0.0489853044086774,415475
2016-02-29,"Bronx","NY","New York",25,1832,0.00273672687465791,0.0155210643015521,0.0638792102206736,122129
2016-02-29,"Nassau","NY","New York",26,2744,0.00292397660818713,0.0117994100294985,0.0858725761772853,401351
2016-02-29,"Palm Beach","FL","Miami-Fort Lauderdale",27,1799,0.00278706800445931,0.0089736399326977,0.0192634560906516,629212
2016-02-29,"Cuyahoga","OH","Cleveland",28,1095,0.00366636113657195,0.00735970561177553,0.00182982616651418,436736
2016-02-29,"Hillsborough","FL","Tampa",29,1340,0.00149476831091181,0.00374531835205993,0.0268199233716475,417281
2016-02-29,"Allegheny","PA","Pittsburgh",30,1153,0.00260869565217391,0.00698689956331878,0.0221631205673759,468679
2016-02-29,"Oakland","MI","Detroit",31,1570,0.000637348629700446,-0.00380710659898477,0.0148674854557207,442222
2016-02-29,"Franklin","OH","Columbus",32,1240,0.000807102502017756,0.00404858299595142,0.0324729392173189,401059
2016-02-29,"Hennepin","MN","Minneapolis-St Paul",33,1555,0.00193298969072165,-0.00128452151573539,0.0277594183740912,397270
2016-02-29,"Orange","FL","Orlando",34,1357,0.000737463126843658,0.00369822485207101,0.0390505359877489,392307
2016-02-29,"Fairfax","VA","Washington",35,2443,-0.00122649223221586,-0.00326397388820889,-0.00610252237591538,340202
2016-02-29,"Contra Costa","CA","San Francisco",36,2485,0.00161225312374043,0.00688816855753647,0.0642398286937901,337049
2016-02-29,"Salt Lake","UT","Salt Lake City",37,1447,0.00486111111111111,0.00555941626129257,0.0306267806267806,327480
2016-02-29,"Travis","TX","Austin",38,1780,0.0028169014084507,0.00792751981879955,0.0348837209302326,314031
2016-02-29,"Saint Louis","MO","St. Louis",39,1206,0.00416319733555371,0,-0.00165562913907285,384985
