"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,1955,1945,1930,1915,1900,1888,1887,1886,1887,1880,1875,1867,1856,1849,1845,1848,1853,1859,1856,1856,1852,1847,1842,1842,1842,1851,1861,1868,1884,1898,1914,1919,1918,1917,1924,1940,1946,1950,1945,1944,1944,1942,1932,1931,1947,1975,2009,2033,2056,2080,2107,2129,2151,2167,2188,2209,2224,2231,2231,2227,2227,2237,2253,2266
139,"Cook","IL","Chicago","17","031",2,1535,1535,1528,1523,1520,1515,1508,1500,1496,1495,1494,1491,1492,1495,1497,1499,1505,1506,1507,1502,1502,1504,1509,1517,1518,1519,1518,1520,1527,1539,1552,1563,1561,1561,1562,1567,1567,1568,1578,1587,1594,1593,1597,1604,1615,1621,1631,1637,1646,1644,1638,1631,1631,1629,1625,1624,1626,1625,1617,1606,1601,1603,1609,1614
1090,"Harris","TX","Houston","48","201",3,1074,1065,1059,1056,1061,1062,1058,1050,1043,1033,1023,1012,1008,1006,1001,996,993,989,983,984,987,1000,1011,1016,1010,1007,1017,1037,1055,1068,1083,1101,1113,1120,1128,1145,1167,1188,1199,1200,1198,1200,1204,1207,1211,1219,1235,1248,1261,1268,1271,1273,1280,1287,1295,1301,1305,1304,1301,1295,1295,1298,1303,1306
2402,"Maricopa","AZ","Phoenix","04","013",4,993,989,985,982,978,974,970,966,960,953,946,942,939,938,939,941,941,941,940,939,936,935,937,940,946,950,952,953,953,956,961,968,972,976,977,978,981,986,991,991,989,987,986,984,989,997,1008,1019,1027,1033,1035,1042,1052,1063,1074,1081,1088,1093,1096,1095,1091,1090,1092,1097
2841,"San Diego","CA","San Diego","06","073",5,1782,1782,1770,1751,1728,1712,1701,1695,1691,1687,1686,1689,1690,1695,1699,1700,1696,1690,1687,1690,1689,1685,1681,1681,1682,1685,1691,1700,1711,1720,1724,1731,1736,1742,1749,1757,1761,1762,1764,1768,1780,1789,1796,1799,1811,1829,1851,1864,1868,1875,1886,1903,1930,1954,1975,1986,1992,1994,1994,1996,1999,2008,2021,2033
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,2051,2044,2042,2036,2030,2022,2012,2010,2004,1994,1977,1966,1964,1969,1975,1980,1989,1997,2006,2014,2021,2030,2035,2035,2032,2028,2024,2023,2031,2041,2057,2070,2080,2081,2083,2089,2099,2111,2117,2125,2133,2141,2147,2155,2170,2186,2209,2226,2246,2262,2279,2287,2300,2301,2300,2294,2289,2295,2306,2320,2324,2324,2324,2331
581,"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,1661,1667,1673,1680,1686,1695,1711,1731,1745,1751,1750,1744,1757,1776,1794,1817,1833,1859,1887,1915,1925,1939,1944,1953,1969,1996,2022,2045,2055,2058,2065,2076,2095,2113,2134,2145,2162,2169,2184,2217,2239,2250,2246,2235,2241,2257,2287,2310,2333,2347,2354
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,1435,1438,1444,1444,1441,1440,1441,1444,1447,1449,1454,1459,1464,1467,1468,1476,1486,1497,1505,1509,1513,1518,1523,1529,1535,1539,1546,1554,1565,1574,1580,1586,1591,1599,1610,1625,1643,1660,1673,1680,1684,1684,1686,1689,1690,1695,1698,1702,1706,1708,1711,1717,1729,1739,1753,1765,1781,1790,1796,1798,1801,1807,1814,1819
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,1014,1033,1054,1060,1053,1041,1033,1030,1029,1028,1027,1025,1032,1027,1022,1020,1021,1023,1026,1030,1041,1052,1065,1073,1085,1087,1091,1102,1118,1130,1140,1146,1146,1148,1148,1153,1164,1168,1170,1171,1173,1176,1181,1184,1188,1190,1195,1201,1214,1218,1218,1218,1225,1235,1243,1250,1254,1257,1260,1260,1263,1262,1263,1267
1347,"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,1641,1643,1653,1672,1687,1699,1714,1723,1721,1708,1700,1704,1714,1725,1729,1739,1747,1761,1776,1792,1807,1819,1836,1862,1897,1927,1947,1956,1969,1983,1994,2012,2027,2058,2072,2080,2080,2091,2113,2133,2138,2138,2136,2132,2150,2170,2197,2207,2214,2217,2215
