"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"United States",,"Country",,1,144,145.75,146.25,139.75,125.75,115,110.5,109.5,112.25,116.5,120,123.75,128.5,131.25,129.75,124.5,117.5,113.25,113.25,116,120.5,124.25,126.75,129.75,132,132.25,129.25,120.5,110.5,106.5,107.75,110.5,113.5,115.75,118,122,126,126.25,119.5,107.5,97.75,93.75,93,93.75,95.75,98.5,101.75,106.5,112.5,115.25,109.75,98.5,90,87.25,88.25,91.5,95.75,99.75,103.25,108.25,114,115,106.5,93,85,83.75,85.5,88.5,91.25,94.25,98
"Ada","ID","County","""Boise City, ID""",166,148,155.25,145.125,130.25,120.5,109.375,103.5,107.375,109.375,106.875,105.75,103.375,101.625,103.5,100.75,96.25,93,87.5,84.5,86.5,90.25,94.5,100.25,105.625,102.625,92.875,86.75,84.75,81.75,73.875,68.875,71.75,78,87.75,97.25,97.875,97.5,103,96,76.875,66.25,65.125,66.5,68,70.5,75.625,82.75,91.375,99.5,102.75,91.5,71.25,62.25,64.25,70.25,76.25,79.25,82.5,86.25,92.5,97.125,90,75.125,64.75,62.75,64,65.25,67.25,70.25,73.5,76
"Bay","FL","County","""Panama City, FL""",337,222,235.75,211.25,203,196.25,166.5,145.25,141.75,149.25,162.75,175.25,181.5,175,159.25,140.25,110.75,91.3333333333333,108.5,136,138.625,129.5,125.625,132.625,138.5,142.625,139.875,143.625,157.375,154.875,139.75,132,130.25,132,134,133.25,135,138.5,144.5,146.25,136.125,122,116.625,122,121.75,114.5,114.875,119.375,120.625,122.625,123,117.75,112.5,111,111.5,113,114.5,114.5,116.5,123,127.75,122.5,116,117,114.375,108.75,110.375,113.125,109.25,112.875,125.5,130
"Lee","FL","County","""Cape Coral-Fort Myers, FL""",101,179.5,157.375,146.5,152.5,152,135.5,120,112.25,112.5,116.25,116.75,114.25,112.5,116.75,126.5,136.75,144.75,140.5,114.25,88,86.75,98,106,113.875,121.75,123.625,124.5,124.75,121.125,123.5,127.875,129.5,127.125,117,109.375,110.75,117.25,120,121.25,123.75,125,127.25,123.25,111.25,100.5,96.75,97.25,99,102.75,106,107.5,106,106.25,112.5,116.25,116,114,109.25,103.5,100.875,103.75,105.875,101.75,97.5,101.25,107.75,111,113.5,110.75,101,96
"Bell","TX","County","""Killeen-Temple, TX""",202,130.5,140.125,119.875,100.5,98.75,103.75,107.375,111.875,118,123.875,138.625,151.75,147.75,131.5,117.875,119.5,123,122.5,127.75,130.75,129.625,130.25,129.125,128.75,136,146.75,147.125,139.625,129.125,113.875,106.875,114.25,133.625,143.625,136.25,129.25,124.125,128.625,132.125,128.25,132.5,133.75,121.25,108,109,112,106.5,107,106,95.25,88.375,87.625,92,96.375,97.375,97.25,98,105,110.5,100.25,85.3333333333333,89,96.6666666666667,95.75,100.75,105.5,115.25,120,107.375,101.5,114
"Cass","ND","County","""Fargo, ND-MN""",374,111.5,125.875,138.5,152.875,140.25,115.875,109.25,106,101.25,106.75,114.75,111.666666666667,109.5,130.666666666667,142.75,141,128.5,112,101.875,108.875,119.125,124.375,127.5,132,139.75,145.875,143.75,128.25,105.5,96,95.375,98.375,103.375,96.125,90.25,96.625,108.5,130.5,141.75,116.75,87.125,75.5,70.875,71.25,74.25,73.25,74.25,83.875,95.25,102.75,94.625,74.125,65.875,68,68.25,70.5,73.125,70.75,68.125,72.25,82.75,86.25,78,71.5,69.625,67.5,66.375,68.5,71.25,73,76
"Clay","FL","County","""Jacksonville, FL""",305,185,185.5,195.125,184.75,167.25,158.25,141.75,124.125,117.125,130.5,149.625,146.375,139.375,144.5,145.5,145.75,148.25,138.75,128.25,130.5,144,155.5,154.125,144.5,139.625,143.25,143.875,143,141.625,135.25,129.25,130.25,136.875,142.5,143.25,143,145,143,131.875,120.75,111.375,98,96.125,106.75,114.75,116.75,114.25,119.5,133.75,137.75,126.5,113.75,108.125,107.875,104.375,102.125,107,109.75,108.5,108.25,115,118.5,113.5,111,105.625,98.75,100.25,104.375,104.875,106.875,116
"Clay","MO","County","""Kansas City, MO-KS""",270,159,137.875,127.25,126.125,119.875,111.625,113.75,116.75,112.5,117.375,130.625,151.5,174.25,170,148.625,134,127,127.5,133.25,129.5,119.75,122.5,134.375,139.25,138,143.5,138.375,115,100,103.125,114,122.375,119.75,120,130.375,127.25,118.125,121.25,124.25,115,108.25,108.75,101.625,95.625,100,107.25,114.875,117.875,115.5,121.25,120.25,100.5,89.5,93.5,97.5,98.75,100,106.25,110.125,103.75,102.625,105.625,96.125,83,76.875,76.625,79.75,81,79.75,79.25,82
"Cobb","GA","County","""Atlanta-Sandy Springs-Roswell, GA""",86,182,171,161.25,151.25,133.5,121.25,119.75,119.25,123.25,131.5,141.5,155.5,159,151,145.75,135,121.625,117.25,121.875,129.25,134.375,138.5,138.375,132.5,128.375,131.75,134.625,126.25,110.25,106,115.5,120.25,119.875,121.5,127.125,133.75,134.5,134.75,131.25,117.5,104,96.5,96.5,99.75,100.25,98.625,96.5,97.375,104.25,111,105.5,92.25,83.625,81.25,81.875,85,92,99.5,102,103,104.25,103,97.5,86.25,78.875,79.25,81.375,81.75,81.25,84,89
"Cook","IL","County","""Chicago-Naperville-Elgin, IL-IN-WI""",2,193,190.75,193.25,194.375,177.75,151.125,135.375,129.375,131.625,140.625,150.5,159.25,161.75,157.75,154.5,147.875,135.5,129.125,130.25,134.75,142.5,149,151,152.25,156,158.75,157.25,151.25,139.5,129.25,127.75,130,133,135.25,135.75,139,144,146.25,143.5,132.5,119.25,114,113.375,112.75,114.125,114,111,112.25,120.75,129.5,127.25,111.75,96.5,94,100.75,108.5,113.25,113.75,114.25,119.25,127.25,132.75,126.25,110,99.5,99.25,104.25,109.5,113.25,115.5,115
