geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,321.6831
"Cook County,IL",41.7376587,-87.697554,201.6508
"Maricopa County,AZ",33.2917968,-112.4291464,128.2312
"San Diego County,CA",32.7157305,-117.1610966,264.0747
"Orange County,CA",33.7174708,-117.8311428,314.0593
"Kings County,NY",40.6781784,-73.9441579,361.3379
"Miami-Dade County,FL",25.7616798,-80.1917902,172.2616
"Dallas County,TX",32.8024682,-96.83509989999999,83.699
"Queens County,NY",40.7282239,-73.7948516,334.1671
"Riverside County,CA",33.9532966,-117.3961192,141.3595
"San Bernardino County,CA",34.9592083,-116.419389,160.8501
"Clark County,NV",36.0795613,-115.094045,133.1873
"King County,WA",47.5480339,-121.9836029,232.5446
"Wayne County,MI",42.2790746,-83.33618799999999,95.9845
"Tarrant County,TX",32.7732044,-97.35165579999999,78.3263
"Santa Clara County,CA",37.3336581,-121.8907041,440.3162
"Broward County,FL",26.190096,-80.365865,148.7151
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,144.4497
"Alameda County,CA",37.6016892,-121.7195459,343.8985
"Middlesex County,MA",42.467206,-71.2874209,233.9939
"Suffolk County,NY",40.9848784,-72.61511689999999,240.8215
"Sacramento County,CA",38.47467,-121.3541631,159.056
"Bronx County,NY",40.8370495,-73.86542949999999,257.0123
"Nassau County,NY",40.6546145,-73.55941279999999,304.57599999999996
"Palm Beach County,FL",26.6514503,-80.2767327,146.0101
"Cuyahoga County,OH",41.433923,-81.67582,88.7841
"Hillsborough County,FL",27.9903597,-82.3017728,114.7632
"Allegheny County,PA",40.4450813,-80.0087746,94.6385
"Oakland County,MI",42.59219239999999,-83.33618799999999,110.7862
"Franklin County,OH",40.0154745,-82.99316069999999,104.0943
"Hennepin County,MN",45.0208911,-93.5094574,160.5209
"Orange County,FL",28.4844995,-81.2518833,125.0969
"Fairfax County,VA",38.9085472,-77.2405153,263.9337
"Contra Costa County,CA",37.8534093,-121.9017954,292.9661
"Saint Louis County,MO",38.6103023,-90.4125181,133.6649
"Pima County,AZ",32.057499,-111.6660725,128.4759
"Montgomery County,MD",39.1547426,-77.2405153,281.589
"Honolulu County,HI",21.3069857,-157.8584319,382.3677
"Westchester County,NY",41.1220194,-73.7948516,308.4344
"Milwaukee County,WI",43.03879490000001,-87.9065334,123.7627
"Fresno County,CA",36.9858984,-119.2320784,137.5461
"Shelby County,TN",35.1268552,-89.9253233,82.1867
"Fulton County,GA",33.8033965,-84.3962535,114.6516
"Mecklenburg County,NC",35.2632655,-80.8543847,105.1008
"Erie County,NY",42.9023958,-78.8661589,88.51700000000001
"Du Page County,IL",41.8243831,-88.0900762,172.0556
"Fairfield County,CT",41.2559654,-73.37086959999999,254.2881
"Pinellas County,FL",27.876394,-82.7778579,127.0012
"Bergen County,NJ",40.9262762,-74.07701,276.4508
"Wake County,NC",35.8031909,-78.5660852,113.1411
"Hartford County,CT",41.7924343,-72.8042797,157.6669
"Duval County,FL",30.3500511,-81.6035062,109.0971
"Prince Georges County,MD",38.78492110000001,-76.8720961,183.9169
"New Haven County,CT",41.3266911,-72.8042797,173.3205
"Macomb County,MI",42.7168759,-82.82097399999999,96.2882
"Kern County,CA",35.4937274,-118.8596804,128.0228
"Ventura County,CA",34.3704884,-119.1390642,276.4077
"Middlesex County,NJ",40.4111363,-74.35874729999999,211.7734
"Gwinnett County,GA",33.9190653,-84.01674229999999,86.8742
