"RegionName","CBSA Title","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex"
"New York","""New York-Newark-Jersey City, NY-NJ-PA""",1,8.23545076705059,147,8.23300970873786
"Los Angeles-Long Beach-Anaheim","""Los Angeles-Long Beach-Anaheim, CA""",2,8.78305905427354,71,1.18446601941748
"Chicago","""Chicago-Naperville-Elgin, IL-IN-WI""",3,12.1510870310678,110,9.16504854368932
"Dallas-Fort Worth","""Dallas-Fort Worth-Arlington, TX""",4,10.4853981859862,59,2.29126213592233
"Philadelphia","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",5,13.1592799242025,110,9.28155339805825
"Houston","""Houston-The Woodlands-Sugar Land, TX""",6,13.153992798136,76,5.00970873786408
"Washington","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",7,12.4643558709841,85,6.19417475728155
"Miami-Fort Lauderdale","""Miami-Fort Lauderdale-West Palm Beach, FL""",8,11.2401421267008,103,7.70873786407767
"Atlanta","""Atlanta-Sandy Springs-Roswell, GA""",9,10.4366649902696,91,4.81553398058252
"Boston","""Boston-Cambridge-Newton, MA-NH""",10,9.83381780288488,75,2.36893203883495
"San Francisco","""San Francisco-Oakland-Hayward, CA""",11,5.0125313283208,47,0.0388349514563107
"Detroit","""Detroit-Warren-Dearborn, MI""",12,12.9943502824859,93,7.47572815533981
"Riverside","""Riverside-San Bernardino-Ontario, CA""",13,11.0707242566026,83,4.42718446601942
"Phoenix","""Phoenix-Mesa-Scottsdale, AZ""",14,14.605407909212,69,4.67961165048544
"Seattle","""Seattle-Tacoma-Bellevue, WA""",15,7.4489999335504,57,0.271844660194175
"Minneapolis-St Paul","""Minneapolis-St. Paul-Bloomington, MN-WI""",16,11.5992970123023,87,5.53398058252427
"San Diego","""San Diego-Carlsbad, CA""",17,9.23331494760066,66,1.4368932038835
"St. Louis","""St. Louis, MO-IL""",18,11.8945598524706,83,5.30097087378641
"Tampa","""Tampa-St. Petersburg-Clearwater, FL""",19,13.8421680305959,92,7.51456310679612
"Baltimore","""Baltimore-Columbia-Towson, MD""",20,14.7547840635784,106,9.12621359223301
"Denver","""Denver-Aurora-Lakewood, CO""",21,7.56310406305715,58,0.368932038834951
"Pittsburgh","""Pittsburgh, PA""",22,9.09607731665719,96,3.59223300970874
"Portland","""Portland-Vancouver-Hillsboro, OR-WA""",23,7.85773366418528,60,0.504854368932039
"Charlotte","""Charlotte-Concord-Gastonia, NC-SC""",24,9.17645099508702,89,2.9126213592233
"Sacramento","""Sacramento--Roseville--Arden-Arcade, CA""",25,7.38418223701049,68,0.349514563106796
"San Antonio","""San Antonio-New Braunfels, TX""",26,11.7867271695973,80,4.75728155339806
"Orlando","""Orlando-Kissimmee-Sanford, FL""",27,14.2420537897311,96,8.11650485436893
"Cincinnati","""Cincinnati, OH-KY-IN""",28,10.6314135157622,92,5.12621359223301
"Cleveland","""Cleveland-Elyria, OH""",29,11.8317078379725,91,6.44660194174757
"Kansas City","""Kansas City, MO-KS""",30,11.0429977551373,85,4.85436893203883
"Las Vegas","""Las Vegas-Henderson-Paradise, NV""",31,11.7758729793476,73,3.84466019417476
"Columbus","""Columbus, OH""",32,10.6392642216419,77,3.24271844660194
"Indianapolis","""Indianapolis-Carmel-Anderson, IN""",33,10.8931185944363,102,7.10679611650485
"San Jose","""San Jose-Sunnyvale-Santa Clara, CA""",34,4.88035264483627,45,0.0194174757281553
"Austin","""Austin-Round Rock, TX""",35,10.920642531767,63,2.81553398058252
"Virginia Beach","""Virginia Beach-Norfolk-Newport News, VA-NC""",36,12.3720485874164,97,7.68932038834951
"Nashville","""Nashville-Davidson--Murfreesboro--Franklin, TN""",37,8.21713821578449,74.5,0.893203883495146
"Providence","""Providence-Warwick, RI-MA""",38,10.5614358030373,95,5.61165048543689
"Milwaukee","""Milwaukee-Waukesha-West Allis, WI""",39,10.3331832507879,99,5.98058252427184
"Jacksonville","""Jacksonville, FL""",40,15.0057476346273,97,8.21359223300971
"Memphis","""Memphis, TN-MS-AR""",41,11.0443987991784,90,5.4368932038835
"Oklahoma City","""Oklahoma City, OK""",42,11.1560328490208,82,4.33009708737864
"Louisville/Jefferson County","""Louisville/Jefferson County, KY-IN""",43,10.7067787703626,74,3.10679611650485
"Hartford","""Hartford-West Hartford-East Hartford, CT""",44,12.1198765976201,105,8.54368932038835
"Richmond","""Richmond, VA""",45,11.3667740450989,85,5.24271844660194
"New Orleans","""New Orleans-Metairie, LA""",46,9.29425376012341,99,4.46601941747573
"Buffalo","""Buffalo-Cheektowaga-Niagara Falls, NY""",47,12.8388976025095,98,8
"Raleigh","""Raleigh, NC""",48,9.0843023255814,72,1.47572815533981
"Birmingham","""Birmingham-Hoover, AL""",49,7.86926637677094,105,3.00970873786408
"Salt Lake City","""Salt Lake City, UT""",50,9.01719104768083,79,1.80582524271845
"Rochester","""Rochester, NY""",51,10.8835218587588,96,6.1747572815534
"Grand Rapids","""Grand Rapids-Wyoming, MI""",52,11.9521143077814,79,4.83495145631068
"Tucson","""Tucson, AZ""",53,13.3398383049902,95,7.8252427184466
"Urban Honolulu","""Urban Honolulu, HI""",54,7.58079847908745,73,0.543689320388349
"Tulsa","""Tulsa, OK""",55,10.6373937677054,89,4.69902912621359
"Fresno","""Fresno, CA""",56,10.7705779334501,79,3.49514563106796
"Worcester","""Worcester, MA-CT""",57,13.1816472358029,90,7.06796116504854
"Stamford","""Bridgeport-Stamford-Norwalk, CT""",58,8.34261838440111,116,5.6504854368932
"Albuquerque","""Albuquerque, NM""",59,13.3081217359986,93,7.57281553398058
"Albany","""Albany-Schenectady-Troy, NY""",60,9.00354071825999,119,7.55339805825243
"Omaha","""Omaha-Council Bluffs, NE-IA""",61,11.3754815318378,69,3.32038834951456
"New Haven","""New Haven-Milford, CT""",62,11.175367302282,114,8.99029126213592
"Bakersfield","""Bakersfield, CA""",63,12.1260343730108,89,6.40776699029126
"Knoxville","""Knoxville, TN""",64,7.98991808443604,108,3.6504854368932
"Greenville","""Greenville-Anderson-Mauldin, SC""",65,8.78947368421053,92,2.69902912621359
"Ventura","""Oxnard-Thousand Oaks-Ventura, CA""",66,9.95099886920467,71,2.15533980582524
"Allentown","""Allentown-Bethlehem-Easton, PA-NJ""",67,13.0096121975472,110,9.2621359223301
"El Paso","""El Paso, TX""",68,9.51364175563464,118,8.15533980582524
"Baton Rouge","""Baton Rouge, LA""",69,8.69078701976874,90,2.38834951456311
"Dayton","""Dayton, OH""",70,11.7009345794393,98,7.2621359223301
"McAllen","""McAllen-Edinburg-Mission, TX""",71,8.3843329253366,134,7.86407766990291
"Columbia","""Columbia, SC""",72,10.6345095500162,116,8.66019417475728
"Greensboro","""Greensboro-High Point, NC""",73,8.19882141942096,116,5.37864077669903
"Akron","""Akron, OH""",74,11.7955738078941,88.5,6
"North Port-Sarasota-Bradenton","""North Port-Sarasota-Bradenton, FL""",75,12.0824053452116,92,6.7378640776699
"Little Rock","""Little Rock-North Little Rock-Conway, AR""",76,10.6390977443609,108,7.90291262135922
"Stockton","""Stockton-Lodi, CA""",77,7.87247885491217,72,0.660194174757282
"Charleston","""Charleston-North Charleston, SC""",78,10.2174297330741,99,5.72815533980583
"Syracuse","""Syracuse, NY""",79,12.1382842509603,110,9.14563106796117
"Colorado Springs","""Colorado Springs, CO""",80,9.80441960883922,71,2.01941747572816
"Winston-Salem","""Winston-Salem, NC""",81,8.07469089073934,116,5.10679611650485
"Wichita","""Wichita, KS""",82,11.499176276771,80,4.48543689320388
"Springfield","""Springfield, MA""",83,12.5197098707032,95,7.53398058252427
"Fort Myers","""Cape Coral-Fort Myers, FL""",84,12.6611957796014,106,8.79611650485437
"Boise City","""Boise City, ID""",85,12.7318295739348,73,4.5631067961165
"Toledo","""Toledo, OH""",86,9.92863791498604,90,3.92233009708738
"Madison","""Madison, WI""",87,6.19035336600464,84,0.407766990291262
"Lakeland","""Lakeland-Winter Haven, FL""",88,13.7442922374429,107,9.10679611650485
"Ogden","""Ogden-Clearfield, UT""",89,8.45371856607812,76,1.16504854368932
"Daytona Beach","""Deltona-Daytona Beach-Ormond Beach, FL""",90,14.1875698993449,105,8.95145631067961
"Des Moines","""Des Moines-West Des Moines, IA""",91,8.84505896705978,84,2.11650485436893
"Jackson","""Jackson, MS""",92,8.2701062215478,99,2.93203883495146
"Youngstown","""Youngstown-Warren-Boardman, OH-PA""",93,10.3285077951002,104,6.62135922330097
"Augusta","""Augusta-Richmond County, GA-SC""",94,7.8101402373247,109,3.45631067961165
"Scranton","""Scranton--Wilkes-Barre--Hazleton, PA""",95,10.1172273190622,132,9.35922330097087
"Harrisburg","""Harrisburg-Carlisle, PA""",96,10.9786526199057,98,6.52427184466019
"Melbourne","""Palm Bay-Melbourne-Titusville, FL""",97,12.4410509768695,88,6.33009708737864
"Chattanooga","""Chattanooga, TN-GA""",98,9.6404793608522,93,4.05825242718447
"Spokane","""Spokane-Spokane Valley, WA""",99,9.09369259032456,83,2.21359223300971
"Provo","""Provo-Orem, UT""",100,9.27070457354759,76,1.84466019417476
"Lancaster","""Lancaster, PA""",101,12.0759837177748,100,7.98058252427184
"Modesto","""Modesto, CA""",102,9.64207450693937,74,2.13592233009709
"Portland","""Portland-South Portland, ME""",103,8.7280701754386,101,3.63106796116505
"Durham","""Durham-Chapel Hill, NC""",104,8.49233071455294,83,1.6504854368932
"Santa Rosa","""Santa Rosa, CA""",105,8.85022692889561,55,0.970873786407767
