"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"United States",,"Country",,1,144,145.75,146.25,139.75,125.75,115,110.5,109.5,112.25,116.5,120,123.75,128.5,131.25,129.75,124.5,117.5,113.25,113.25,116,120.5,124.25,126.75,129.75,132,132.25,129.25,120.5,110.5,106.5,107.75,110.5,113.5,115.75,118,122,126,126.25,119.5,107.5,97.75,93.75,93,93.75,95.75,98.5,101.75,106.5,112.5,115.25,109.75,98.5,90,87.25,88.25,91.5,95.75,99.75,103.25,108.25,114,115,106.5,93,85,83.75,85.5,88.5,91.25,94.25,98
"Abilene, TX","TX","Metro","""Abilene, TX""",217,123,106.25,101.375,96.75,85.75,82.5,95.625,108.5,106,100.75,104.375,118.375,135.875,136.875,125,114.75,105.875,94.25,84,90.25,102.75,105.5,112.875,123.5,129.125,128.375,113.125,100.75,100,92.625,86,88.25,96,110.75,113.875,112.75,122.75,120.5,107.75,98,87.125,78.75,72.625,70,74,77.875,76,77.875,89,92.25,82.5,70.5,65.375,68.75,71.625,69,66.5,70.125,78.125,86.125,89.125,79.75,66,65.25,70.125,69.875,69.75,70.625,71.125,72.5,76
"Akron, OH","OH","Metro","""Akron, OH""",74,150,163.5,172.5,168.5,145.125,120.375,108.875,112.125,128.5,138.75,138.25,133.75,122.75,119.75,126,127.75,124.625,120.75,116.875,116.75,123.75,130.875,137.75,140.875,136,136.375,140.875,141,131.375,113.875,109.25,118,125.75,130.75,137,142,152.75,164.25,154.125,130,108.625,98.375,97,94.625,93.625,99.25,108.375,116.25,124.125,130.125,121.375,103,90.5,83.375,82.5,87,90.75,94,100.125,111,122.75,123.875,111.125,96.375,86.625,81.75,81.875,85.25,88.875,91.875,98.5
"Albany, OR","OR","Metro","""Albany, OR""",244,147,143.666666666667,137,123.166666666667,111,109.75,121.25,130.125,136.25,132,131.5,136.375,136.875,149.25,151.375,131.125,114,114.875,130.875,137.625,128.625,128,131.5,124.875,123.75,127.125,128.5,123.25,110,106.625,106,97.375,100.25,114.875,130.75,139.625,138.625,145.75,153.625,145.25,124.75,105.375,99.75,101.125,108,118.625,117.5,125.625,145.25,151.375,146.5,131.375,108.75,89,82.75,87.75,92.125,99.5,114.75,122.25,121.625,117.5,104.75,97.125,91,81.375,79.75,84.75,88.5,93.5,111
"Albany, NY","NY","Metro","""Albany-Schenectady-Troy, NY""",60,156,161.5,161.75,151.125,128.75,118.625,121.25,123.25,129,136.625,144.25,155.25,163.75,162.5,160.125,158.625,143.875,121.5,112.75,121.25,132.75,143.375,154.75,160.125,167.125,183.75,190.625,185.875,177.125,154.875,137.625,138.25,143.75,147.25,150.75,161.25,175.5,181,180.125,178.5,162.875,136.75,122.5,121.75,126.25,133.375,142.75,153.875,163.25,168.75,170.5,168,152.5,128.25,116.5,118.75,125.75,132.5,140.5,151,162.625,176.375,183.125,181.375,162.25,126.75,109.5,113,119,127.75,142
"Albuquerque, NM","NM","Metro","""Albuquerque, NM""",59,130,131,129.5,121.75,110.75,105.25,105.25,108.75,112,115.5,121.25,124,124.125,125,128.875,132.625,130.25,125.375,119.75,112.5,115.5,127.125,130.25,129.875,137.5,144.875,135.5,115.625,101.75,92.25,90,96.25,105,112.5,117.5,121.25,119.75,115.5,112,103.75,96,96,93.75,94.375,102.75,107.875,107.5,108,115.25,118.875,110.75,99.125,91.25,86.5,87,94,103,109.25,112.5,118.5,126.5,126.625,118.75,106.875,91.75,84.25,86.75,90.125,92.875,97.5,103.5
"Allentown, PA","PA","Metro","""Allentown-Bethlehem-Easton, PA-NJ""",67,164,163.25,161.875,157.75,138.25,115.75,109.5,112.875,118,128.75,140.125,149.875,161.125,161.25,158.5,165.125,159.375,140.875,131.875,135,140.125,143.75,154.125,167.5,167.75,163.75,168,161.75,140.875,127.25,123.125,125,134.5,139.75,142.25,151.75,163,168.75,158.75,135.625,118.5,113.125,111.75,111.625,115.25,120.375,122.375,125.375,133.125,139.125,143.625,143.75,128.125,109.25,103.5,110,119,120.75,123.5,135,144.25,147,147.75,141,125.5,110,104.25,105.75,108.5,113.75,120
"Amarillo, TX","TX","Metro","""Amarillo, TX""",175,130,150.75,152.25,132,107.75,97.25,97.75,96.625,98.5,103.625,106.625,118.875,122.875,113,105.75,101,100,97.875,98.5,102.125,107.5,111.5,112.25,128.125,152.75,159.75,144.25,120.875,108.5,106.625,101.75,98.75,99.75,97.25,97.5,102.25,115.625,128.375,118.875,101.375,90.75,86.375,88.25,94.75,98.25,95.875,100.25,111.75,120.5,118.5,109.5,100.75,89,82.875,89.375,95.75,92.875,87.625,84.75,92,106.5,112.75,107.25,95.5,85,77,74.875,77.125,78.375,80.625,90
"Anchorage, AK","AK","Metro","""Anchorage, AK""",130,130,144.875,140.25,117.125,99.875,91.75,86.625,90.625,96.5,99.25,104.25,116.625,134.75,140.75,125.125,105.875,99.625,96.375,89.5,90.625,95.375,99.625,111.625,122.5,127.75,131.75,125.625,106,86.125,78,78,81.5,87.375,94,103.875,118.5,129.5,124,104.375,85,75,73.25,75.375,78.625,81.875,88.375,99.875,109.75,112.125,105,88.75,73.25,67.625,68.5,71.5,74,76.25,83.25,94.5,103.25,101.75,86.75,70.75,65.75,66.25,68.5,70.5,71.25,75,81.375,88.5
"Ann Arbor, MI","MI","Metro","""Ann Arbor, MI""",143,157.5,180.125,181.75,155.5,126.25,113.25,112.5,110,108.5,116,128.5,135,130.75,125,121.75,118,108.25,101.125,103.875,109.625,118.875,131.5,139.75,141.375,136.375,132.125,136.125,125.5,104,96.875,99.25,104,103.5,101.125,112.75,131,136.5,134.5,124.5,100,83.25,82.5,85.25,86.5,85.25,85.5,89.5,96.625,106,110,102.25,86.875,76.25,75.75,79.25,84.125,90.25,95.625,102.125,112.25,123.125,125.125,112.75,96.5,85,77.375,75.75,78.75,83.5,89.5,95
"Appleton, WI","WI","Metro","""Appleton, WI""",183,165,167.25,158.875,127.75,98,93.25,103.125,111.375,119.375,128.5,132.625,135.125,145.75,149.375,141.75,138.625,139.625,144.375,140,123.625,119.5,128.75,141.5,145,137.75,144.875,151.75,138.625,125,119.5,120.75,126,131.25,132.5,131.125,136.75,139.875,136.5,143.75,144,123.5,105.75,98.5,99.5,101.5,104.5,111.75,113.5,121,140.375,148.5,132.125,107.625,100.5,105,104,106.625,113.25,113,111.375,120,137.125,131.75,103,88.125,87.125,89.625,96.375,100.75,99.875,92.5
"Asheville, NC","NC","Metro","""Asheville, NC""",116,233,231.5,233.125,222.5,195.375,180.25,161.125,149.25,151.25,151.5,156,150.625,145.75,154.875,162.625,157.25,136,114.5,105.875,116,138.875,152.5,157.125,166.75,180.125,188.125,190.375,174.375,141.625,126.375,131.875,135.625,140.75,152.625,159.75,161.625,164.25,168.5,171.875,158.875,125.875,105.625,104,105.625,112.625,116.875,117.375,124.5,143.5,156.125,151.5,142.875,124.875,106,101.625,105.75,116.125,125.25,128.375,139.375,152.5,151.875,144.625,125.5,97.375,84.75,86.5,94.75,104.75,115,131
"Athens, GA","GA","Metro","""Athens-Clarke County, GA""",199,172,190.5,193.5,179.5,150.5,120,123.75,151.75,156.75,147.5,147.25,148.125,161.25,176.625,169.875,156.5,147.875,145.25,152.25,152,140.5,141.5,149.5,166.5,179.5,164.333333333333,135,148,160.75,143.5,115.375,123.75,140.875,144.5,153.25,160.375,159.75,151.625,142.25,140.25,135,131.5,131.75,136.75,146.75,141.625,141,139.625,119.25,118.5,133,136.5,123.75,110.375,113.625,125.375,142.125,156,158,150.25,142.625,147.5,144.125,114,94.75,101,106.5,110.75,120.625,123.5,112
"Atlanta, GA","GA","Metro","""Atlanta-Sandy Springs-Roswell, GA""",9,177,172.25,169,161.75,145.75,129.75,120.75,117.25,120.5,126,131.25,138.25,143.75,143,137.25,131.5,126.75,126,129.25,131.75,135.5,137.5,133.5,128,124.5,126.25,127,118,108,106.75,109.75,112,114.75,116.75,118,121,123.5,123,116.5,104.5,96,94,94,94.75,97.25,100,101.25,102.5,105.5,108.5,104.75,93.75,86.25,85.375,87,90.625,94.75,97.125,98.25,100.875,106,108.75,101.5,88.25,81.5,82.5,85.5,87.75,90.25,94.75,100
"Atlantic City, NJ","NJ","Metro","""Atlantic City-Hammonton, NJ""",162,209.5,220.875,233,215.75,175.75,151.875,156.75,159.125,153.25,153.75,160.875,166.875,169.25,172.625,178.125,179.375,165.375,153.875,152.25,154.5,166.5,180.875,187.375,188.125,196.75,202.375,200.875,215.125,224.5,200.25,169.625,159.25,164.375,180,194.375,206,211.75,209.875,217.625,214.375,192.75,177,168.875,160.375,156.75,162.125,162.875,163.5,167.375,168.625,177,187.875,177,153.25,146.875,152.25,155.875,158.5,164.5,175.25,180.875,190.625,202,196.75,185.875,173.875,164.625,168.5,173.125,169.75,170
"Augusta, GA","GA","Metro","""Augusta-Richmond County, GA-SC""",94,171,157.75,148.25,147.25,145.125,140,135.375,134.75,149,163.75,162.25,155,163.25,170.125,153.5,140.875,140.25,139.5,141.875,147.25,159.875,169.25,170.25,171.5,171,172.625,169.5,160.375,150,135,127.25,137.75,150,155.5,161.5,159.25,152.75,151.75,148,140.5,132.25,125.375,122.75,120.375,121,131,139.75,136.25,138.5,147,147,143.5,131.25,116.5,112.25,114.375,115.625,117.625,124.625,129.25,131,134.25,132.375,126,120.125,110.75,101,100.375,105.5,109.625,116
"Austin, TX","TX","Metro","""Austin-Round Rock, TX""",35,119,117,108.25,96.625,92.75,96.375,100.75,102.875,106.5,113.875,118.5,120.5,125.5,129,123.5,110.5,99.25,96.75,98.5,101.25,107.25,111.875,113,113.125,113.75,113.625,104,87.125,78,77,78,81.375,87.25,94.125,99,101.75,104,101.5,89,74.25,69.5,71,70.5,69.75,71.875,76.125,80.5,87.625,95.125,90.5,75.5,65,62.5,64.75,68.75,70.25,72.125,76.75,79.375,80,80.5,75,64,57.75,57.5,57.5,57.25,59.25,62.5,66.5,73
"Bakersfield, CA","CA","Metro","""Bakersfield, CA""",63,116,123.75,119,112.75,105.75,97.625,92,89.625,92.75,97.5,98,100.75,107,106.5,100.75,96.25,93.25,92,92,91.125,92,95.5,97.625,99.125,98,94.5,91.375,88.25,88,87.75,87.25,88.75,90,91.25,93.125,95.75,95.25,91.5,89.125,87.375,86.5,84.375,78.75,75.25,74,74.375,79,84,87.25,84.375,76.25,73,71.25,70.25,74,76.75,77.5,79,83.25,90.5,97.25,95.75,85.625,79.5,80.625,83.75,83.75,81.5,83.875,89.5,96
"Baltimore, MD","MD","Metro","""Baltimore-Columbia-Towson, MD""",20,180,185.625,183.75,179.375,168,142.25,123.5,125.5,134,138.375,141.25,146.375,152.625,159.5,164.625,161.25,146.25,129.5,125.75,133.25,142.5,150.875,155.25,156.375,156.75,157.25,158.375,147.5,126.25,115.25,115.875,121.25,127.75,134.75,140.5,142.75,145.5,149.25,149,134.25,111.25,99.25,99,102.5,106,109.25,111.25,114.75,122.75,130.75,134.75,125.5,105.75,94.75,95.75,102.25,109.75,114.75,118.5,124.25,133,138,134.25,122.75,106,95.5,97,104,110,115.25,124
"Cape Cod, MA","MA","Metro","""Barnstable Town, MA""",185,328,267.75,237,221.75,199.75,161.5,137,135.875,137.75,147.75,161.25,178.375,215.75,232,212.5,185.5,151.375,135.25,141.5,149.25,160.625,175,183,184.75,189,200.75,212.875,209.5,199.5,184.25,159.625,147.25,147.5,150.375,158.75,172,189.875,198.375,190,172.25,139.375,113.375,112.375,123.625,135.875,134.75,130.125,134,142.375,161.25,174,161.75,137.75,116.25,107.875,116.5,127.125,135.5,142.25,146,155,165.75,172,162.5,132,102.25,93,99.5,109,119,130
"Baton Rouge, LA","LA","Metro","""Baton Rouge, LA""",69,152,154.25,131.125,113.25,106.125,100.5,100,103,103.125,103.25,106.25,115.375,132.875,137.5,130.75,135.125,131.5,117.5,114.5,114,113.375,116.25,116.625,116.5,123,134.25,137.75,123.5,104.25,98.5,105,108.375,107.5,112.625,119.625,129,140.75,142.25,132.875,120.5,108.75,104.75,106,102.125,96.875,99.125,106.125,109.625,113.25,121.875,119.25,104.625,94,84.125,80,84.75,92.25,101.125,105,108.625,115.875,118.75,118.75,114.25,100.875,89.5,86.75,87.25,88.75,88.25,79
"Battle Creek, MI","MI","Metro","""Battle Creek, MI""",236,137,164.75,165.75,167.25,178.875,176.5,154.625,138.5,139.125,139.125,125.166666666667,115.75,124.333333333333,121.75,124.125,133.5,130.5,126.25,138.875,134.5,113,106.5,118,139.75,145.75,132,120.5,119.75,126.5,128.5,131,132.25,131.875,146.25,162.125,163.875,161.375,165.875,168.625,153.875,132,123.375,132.125,140.875,139.125,138.875,148.75,163.375,175.5,173.375,166.375,163.75,159.875,157.25,145.875,140.125,142.375,139.875,141.5,147.125,151.5,159.25,167,154.375,123.625,105.875,114.125,127.125,131.5,131,
"Beaumont, TX","TX","Metro","""Beaumont-Port Arthur, TX""",127,152,129.75,110.625,105.25,110.125,109.75,114.5,125,134.625,143,137.5,135.5,152.25,155.5,132.75,119.875,123.25,129.25,140.25,148.625,156,164.125,166.5,154.875,137.125,136.625,145.875,140.625,123.75,120,123.75,121.75,122.5,129.5,139.5,145.25,144.25,145.5,146.25,135.5,127.875,128,120.375,116.875,119.25,113.875,116.75,123.5,123.625,133.5,143.125,130.375,111.75,105.625,105.5,108.25,105.625,103.875,110.625,112.375,114.5,122.5,128,123,107.25,99.625,100.625,98.375,96.5,96,97
"Bellingham, WA","WA","Metro","""Bellingham, WA""",191,137,150.625,156.5,149.625,128.25,112.875,113.25,125,136.75,138.125,139.75,150.75,170.5,183.5,174.5,150.25,129.25,120.75,119.375,124.75,130.375,132.5,134,154.5,170.333333333333,164.25,147.125,125.375,119.375,113.375,102.5,102.25,106.5,113.75,129.5,143.875,141.5,136.875,128.75,107.25,92.375,85.25,80.875,85.375,96.375,105.5,113.625,124.5,140,143.125,120,96.75,86,82.125,84.375,91.625,99.875,108.75,121,135.75,144.875,136.75,115.625,88.75,70,67.5,72,77.5,81.25,86.25,96
"Bend, OR","OR","Metro","""Bend-Redmond, OR""",222,167,189.5,211,201.25,165.375,130.125,114.875,112,111.75,113.125,113.75,118.125,120.375,119.125,117.375,110.25,102.25,99.75,100,101.25,107.75,115,111.75,102.5,103,110.5,111,104.75,99.25,94.75,90.75,91.75,96.375,105.75,118.625,124.625,121.75,118.375,113.5,101.375,89.75,81,75.875,76.625,78.375,81,88.25,104.25,116.5,114.5,105.75,90.75,76,70,73.75,82.5,90.75,98.5,105,116.125,129.25,122.5,95.25,75.375,72.75,74.5,74.25,76.125,80.125,83.125,84
"Binghamton, NY","NY","Metro","""Binghamton, NY""",176,176,171.25,175.625,165.625,156.375,143.875,125.25,124,146.125,169,170.125,170,174.25,170.75,162.5,162.5,166.5,147.75,126,131,146,153.5,164,172.375,181,188.625,172.375,160.25,167.375,158.25,133.25,127.25,141.25,143.625,139.25,151,165.625,179.125,186.75,186,186.125,164.25,135.25,130.5,143.75,155.75,153.75,157.25,172.625,183.25,192.125,203.875,197.25,170,142.5,128.75,136.25,149.375,162.75,176.5,182.625,191.25,193.375,184.625,178,165.125,142,127.125,132.5,139.875,133
"Birmingham, AL","AL","Metro","""Birmingham-Hoover, AL""",49,167.5,152.625,156,165.75,164.75,146.25,128.5,126,128.375,134.5,151.125,163.75,164.25,156.5,140,121.25,110,115.375,130.25,138.75,137,137.375,144.625,144.625,145.375,154.375,157.875,158.5,154.375,139.75,131.25,135.5,140.75,140.75,142.375,148.75,157.875,163.375,162.5,158.375,144.25,129.75,126,126.75,126.25,127,129.75,134.25,147.625,161.5,163.625,149,125,114,116.5,119.75,122.75,122.75,123.5,132.75,139,136.5,127.25,109.25,98,98.25,97.25,97.75,105,112.75,116
"Boise City, ID","ID","Metro","""Boise City, ID""",85,141.5,145.375,136,128.25,121.25,110.375,105.5,106.625,106.25,103.5,102.5,101.75,101.5,102.875,100,94.875,91,87.5,86.5,89,91.75,94.625,97.75,100.125,100,94.75,88,85.5,84.75,77.75,73,78.25,85.25,91.5,96.5,96.25,99,104,95,78.5,69.75,68,68.75,70.25,72.75,77.5,85.75,97,105.5,105,93.25,77.75,69,68.5,74.5,80.875,83.5,86.125,90,96.25,102,95.25,79.25,69,66,66.25,67.5,69.5,72.75,76.375,80.5
"Boston, MA","MA","Metro","""Boston-Cambridge-Newton, MA-NH""",10,154,156.25,156.5,147.5,125.25,109.75,107,111.75,121.5,125,119.5,118.5,129.25,143,145,126.75,102.75,92.75,97.25,109.5,123.25,129,129.75,136,146.25,156.75,151.75,124.75,101.75,95.25,97,101.25,105.25,106.5,106,112,125.75,134.375,123.75,99.875,84,80.75,81.5,83.375,85.25,84.625,84.75,90.25,100.5,105.25,96,83.25,77.5,77,78.5,81,82.75,82.5,83.5,90.75,103,110.75,105.25,87.75,72.5,69,71.5,74.75,77.625,79,79
"Boulder, CO","CO","Metro","""Boulder, CO""",157,156,176.25,153.375,118.75,104.5,101.375,98.5,99.625,105.75,113.75,118,124.25,137.625,145,138.375,117.25,99.5,99.375,103.25,103.125,105.5,118,136.25,140.5,141.875,149.5,138,113.75,92.125,81,82.5,83.5,84.5,90.5,96.25,100.5,104.125,99.25,83.375,70,66.5,65,62.75,63.5,65.75,68.25,73.5,81.25,84.5,77,64.5,56,54.75,56.75,58.5,62.375,66.5,67,69.25,75.125,76.75,73.125,64.75,54.125,50.5,53,54.5,54.25,55.25,57.75,59
"Bremerton, WA","WA","Metro","""Bremerton-Silverdale, WA""",178,123,137.5,137.875,127.25,109.625,102.375,107.5,109.125,111.625,119.5,129,138.75,146.125,143.625,130.625,115.625,107.25,105.5,103.5,107.625,117.5,120.125,121,127.375,128.75,131.25,129.625,114.125,107.625,107.75,104.75,103.75,105.75,116.25,129,131.5,130.25,132.25,122.75,101.5,90.5,90,90.625,92,94.625,101.25,107,112.125,120.5,123.125,124.25,125,109.75,86.25,78,85,93.875,100.125,105.125,113.375,118.875,110.125,92.125,75.625,67.75,66.75,67,71,75.25,77.25,82
