"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Metro","New York, NY",,"NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",1,5.09398496240602,82.99,3.9014,2.7347,381200,0.315789473684211,1.76187933796049,0.0132869884575026,27.9,0.115207877325876,0.137984071066396,159
"Metro","Los Angeles-Long Beach-Anaheim, CA",,"CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",2,7.5,91.76,5.0435,1.8118,554700,0.380021715526602,6.06118546845124,0.0162520281233098,48.4,0.0706471703909771,0.0368923259218131,77
"Metro","Chicago, IL",,"IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",3,0.432330827067669,67.59,,,193000,0.207684319833853,2.60499734183945,0.024740932642487,80.3,0.205680309759282,0.0531164067678639,118
"Metro","Dallas-Fort Worth, TX",,"TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",4,9.51127819548872,91.62,5.1685,3.1752,177200,0.681818181818182,14.028314028314,0.0595203160270881,49.8,0.0576398649338492,0.0238762219331537,67
"Metro","Philadelphia, PA",,"PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",5,1.80451127819549,78.01,6.7286,2.7639,203100,0.098570724494825,1.09507217521155,0.0127326440177253,41.8,0.154758168796435,0.0820051448880005,120
"Metro","Houston, TX",,"TX","Houston, TX","""Houston-The Woodlands-Sugar Land, TX""",6,8.7406015037594,87.21,,,170100,0.531914893617021,7.86303107165504,0.0358906525573193,44.7,0.0624397383443711,0.0206250693759397,86
"Metro","Washington, DC",,"DC","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",7,1.99248120300752,81.23,6.649,3.2226,357800,0.0559284116331096,0.420993544765647,0.00437115707098945,39.2,0.156526596239353,0.0485802612625612,95
"Metro","Miami-Fort Lauderdale, FL",,"FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",8,2.46240601503759,83.1,,,225700,0.579322638146168,10.4207436399217,-0.00591050066459897,84.6,0.146727018141871,0.0808713865125644,105
"Metro","Atlanta, GA",,"GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",9,3.17669172932331,73.53,,,160000,0.439422473320778,5.54089709762533,0.04449375,71.4,0.185838764062027,0.0417748385230051,100
"Metro","Boston, MA",,"MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",10,5.15037593984962,89.8,,,382900,0.314383023316741,5.62758620689655,0.0173961869939931,21.1,0.0714937855300099,0.0455640952666609,80
"Metro","San Francisco, CA",,"CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",11,8.98496240601504,93.3,4.2948,1.0674,785800,0.679051889814222,12.2731818831262,0.0341639093917028,51.1,0.0467472811572983,0.0286798649624008,50
"Metro","Detroit, MI",,"MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,5.95864661654135,81.37,,,121800,0.495049504950495,6.19006102877071,0.0397454844006568,159.8,0.165587089452441,0.0275977899233017,100
