"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,399713,399900,399900,399900,399000,399000,398900,395000,399000,389900,375000,359000,349900,349900,348700,341940,349500,349000,349500,345000,345000,339900,335000,327542.5,329000,335000,340000,345000,349900,349000,344900,340000,342000,349000,399900,399900,399900,415000,419900,425000,429900,429999,429900,425000,429000,426690,425000,424000,420000,430000,435900,444561,445000,444900,439290,437500,439000,435000,429900,429000,429900,439900,449000,449990,459000,465000,459000,450000,449990,450000,450000,449900,449900,460000
"New York, NY",1,579000,579000,589000,585000,585000,579000,575000,574900,575000,567000,555500,549000,529000,525000,539000,548990,549900,549000,549000,549000,539900,539500,539000,529000,539000,539000,549000,559000,569900,559000,549900,549000,549000,549000,599000,590000,589000,598800,599000,599000,599000,599990,6e+05,599000,599990,599000,599000,625000,619000,605000,609000,649000,695000,709000,699000,699000,679900,699000,649000,650000,669000,649000,659000,720000,719000,675000,689900,699000,729000,750000,787000,774999.5,809000,829000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1075000,995000,975000,989000,1050000,1099000,1099900,1099794,1090000,1099000,1085000,1088800,943900,1e+06,1049000,1099000,1120000,1195000,1225000,1200000,1199999,1199000,1199000,1199000,1199000,1225000,1225000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,285000,268000,298781.5,309000,324500,349900,350000,335000,329900,329000,329000,319987,299000,279900,296000,324949.5,329000,339900,344250,339900,344994,340000,344900,335000,320000,309900,329900
"Dallas-Fort Worth, TX",4,373000,374250,374900,375000,375000,374900,375000,370000,365000,358000,349942.5,339900,329900,329900,334900,349900,352500,339900,339000,329000,349900,349000,345000,338169,349600,350745,366900,369900,375000,380000,374900,359900,364000,369279,399999.5,408889,409250,422990,439810.5,444900,449900,440000,443487,439000,445900,435945,439990,450000,449900,451075.5,464875,479000,475000,469900,475000,486900,479990,485882,481165.5,489990,495990,499999,525000,529507.5,513470,509850,499900,499900,495947,499950,499000,489000,493900,505899.5
"Philadelphia, PA",5,435000,432450,435000,429166.5,434900,425000,425000,421900,425000,419900,4e+05,399000,385000,395000,379900,379950,395000,385000,389900,385000,375000,385000,389900,379000,398695,399250,415500,419410.5,439999.5,429000,429900,424900,418950,425000,469000,450000,449900,469900,484900,487000,519900,542450,480000,469900,464900,467000,456675,474900,449900,450000,485000,519000,535000,525000,479117,474000,497500,465000,472000,479900,444000,450000,489450,499000,530000,529700,499000,499000,494900,489900,480000,470000,459900,480000
"Houston, TX",6,355000,359900,360000,359900,357200,353341,349900,349000,344900,337172,335000,333000,329900,333032,332794,339520,340000,339500,336990,328096,325900,329900,325000,330557,325000,325000,335450,345000,348990,349000,345000,340000,340000,340000,350000,362490,360000,374629.5,379990,385000,395000,4e+05,405610,402995,409900,417684.5,419900,425000,422680,434692,436990,452490,449900,455990,458800,459993,469000,466934.5,460000,465000,474900,477000,479000,485000,479900,476900,475000,474900,465000,469925,467990,459990,474925,459950
"Washington, DC",7,575000,574200,565000,588747.5,589000,588947.5,575000,549995,550000,560000,550000,525000,499900,5e+05,525000,550000,571900,569000,549900,549900,550000,550000,549900,529900,574900,619900,619500,649924.5,679900,675000,659000,649900,650000,669900,729000,729000,699900,699994.5,739999,775000,795000,799900,799000,775000,799000,789000,775000,762499.5,744950,775000,779000,778000,784999,774945,759900,749990,749900,749900,734492,714945,699999,729000,748636.5,750000,759000,750000,729000,725000,749000,749900,749900,745000,738450,775000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695000,749000,750000,751850,780000,749000,759000,759000,677990,694450,699000,699000,750000,750950,749000,731850.5,749000,719900,7e+05,699000,699000,705000,725000,724900,748000,750000,795000,809995,799991,774999.5,774000,789000,799000,799000,830000,859000,892220,879000,895000
"Atlanta, GA",9,379000,379000,379900,384900,379900,375000,375000,375000,352500,349000,325000,302000,3e+05,299900,299900,3e+05,309900,3e+05,299900,290000,297000,299000,282900,275000,279800,280000,295000,3e+05,314100,319900,308570,303000,306089,307951.5,359900,364700,365000,369900,379000,389400,395000,399900,399900,395000,390900,385000,384512,380000,379900,385000,386391.5,402900,408900,399500,395900,398785,399900,395775,379999,389900,392400,400850,409000,403857.5,419900,423009.5,398406,389900,385000,390716,391597.5,379900,378464.5,410000
"Boston, MA",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579900,599000,6e+05,629900,662450,669000,695000,669900,619900,649000,639000,635000,599000,594900,624000,649900,675000,679900,650000,649000,629900,649000,642450,646400,6e+05,609000,649900,694700,699000,699000,679900,659900,649900,659000,659900,665000,649900,649250,665000
