"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,181500,187000,189900,195000,199000,199900,199900,199000,199500,199000,198000,195500,194900,199000,2e+05,209900,215000,215000,215000,215000,214900,213995,210000,205000,209900,214900,219000,223000,228000,229000,229000,227900,229000,228000,227000,225000,225000,225000
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,350000,359000,365000,369900,374990,369900,369000,360000,365000,365000,369900,369000,369000,370950,379500,389000,398800,399000,399000,398000,396719,399000,394000,394900,398000,399000,399000,399900,399900,409000,416000,409000,408997.5,410000,409000,399999,419000,419900
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510750,5e+05,499000,499999,515000,530000,540000,549000,549900,549900,549900,545000,539900,515000,525000,545300,559000,575000,599000,599900,599900,599900,599900,599900,599000,599000,599000,599999
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,190000,189000,199000,209900,219900,225000,229900,227500,225000,220900,219900,215000,204900,199900,213900,224900,229000,235000,238500,235000,234900,229900,229900,225000,219900,219900,229000
"Dallas-Fort Worth, TX",4,159990,162000,164900,166000,165990,167990,164900,165000,179000,174000,167900,159990,159900,159900,159900,160000,165990,169900,169900,164900,159900,159900,159000,155000,157550,159900,159506.5,159900,162500,165000,163990,159900,158500,160000,185000,189000,186900,189900,199500,203990,209500,209990,209900,208000,207900,208990,204500,209900,207000,210305,219000,224900,229900,225000,225000,234000,230000,234900,230000,244400,249000,255000,267750,268000,260550,259900,255880,258900,259900,265000,265691,274900,274990,269000
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,199000,199900,209000,214500,219900,222500,216500,209900,209990,209900,205000,209900,199900,201000,214900,220000,225000,225000,219900,219000,219900,215000,210000,199999,199900,209900,219000,224900,229000,225000,223000,219900,219900,215000,214900,205894,199999,2e+05
"Houston, TX",6,155000,159000,159900,160000,159900,159995,159000,159900,171990,169900,170000,169500,167500,167400,165000,165000,168750,169999,169900,169900,159308,159900,155990,159000,159900,159950,163500,165000,167000,167632.5,165000,165925,165000,166000,179000,183900,184900,192997.5,198000,199900,204299,208990,209000,209000,210000,218050,212130,214900,215000,224900,229000,237990,239990,240000,242000,247000,249995,250000,256990,269000,275073.5,280000,286000,293000,285000,277000,289000,292500,291990,296990,297255,3e+05,299990,287012.5
"Washington, DC",7,264900,274900,280000,295000,289900,285000,284900,279000,294000,290000,284900,270000,260000,269000,274900,275000,285000,294900,275000,287000,285000,285000,278500,270000,274900,279900,289900,299900,315000,319900,314900,306490,3e+05,309500,339990,330000,330000,343900,350000,365000,375000,375000,374900,367945,369000,365990,359900,355900,349990,359900,370377,379900,389900,389900,385000,379900,379990,379900,375000,367000,359990,367055,379900,389000,391995,389900,372500,379900,384900,379999,375000,374900,379000,378999.5
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254994,250000,249900,250000,249900,250000,250000,257327.5,250000,254900,259000,259000,264900,265000,264500,272650,279900,275000,268000,270000,284999,289000,294500,295000,3e+05,304900,3e+05,305000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900,177500,172000,179000,189900,199000,199900,207000,208000,2e+05,199900,199000,194500,185000,189900,194900,195000,199900,201490,205990,205000,210000,209900,210000,209000,209900,209900,204900
"Boston, MA",10,280000,309900,314900,318000,319000,319900,315000,310000,319900,319900,318999.5,299900,299900,307000,304900,312000,319900,319000,309900,3e+05,302660,299900,292000,282000,289900,293000,299900,315000,319900,319900,314900,304900,305450,309900,339900,329984,334900,342000,349900,359900,369900,374900,369900,359900,365000,369000,365000,359900,359000,374900,379000,389000,389900,389900,384900,379900,384900,386900,384900,379000,379000,379900,389900,399000,399900,399900,399000,390000,399000,399900,399900,399000,395000,399900
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,599000,630000,645000,665000,688000,679888,669000,650000,650000,650000,635000,599923,605000,659000,699000,709888,738000,739000,725000,699900,718944,739000,738000,719925,699625,749000
