"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,192500,195000,195000,192000,190000,189000,180000,179000,178900,174500,169900,164900,162000,164500,163000,159900,163500,163200,160000,160000,162000,160000,159900,159000,158500,159000,159900,159900,159900,159900,159000,155900,158000,158000,175000,175000,178256,179900,184950,189000,189900,189900,189900,189900,190000,189900,194900,190000,190515,195900,199000,199999,206200,209000,207000,209000,209900,209900,209900,205000,209900,210000,214900,217000,219900,220000,220000,224000,225000,225000,229000,229000,229900,233899
"New York, NY",1,320000,318250,299900,304900,329000,324900,315000,315000,324000,325000,324900,319000,319000,289000,315000,315000,309000,299000,290000,285000,279900,279000,277000,275000,278000,279900,275000,289000,285238,285000,280000,275000,279000,275000,279500,279000,284994.5,285000,289997,299000,298999,290000,289000,288000,289000,289900,324800,320000,335000,329000,345000,355497.5,365000,399000,385000,389000,384900,380000,383500,395990,439000,410000,415000,419000,424000,440000,435000,429000,450000,475000,475000,479000,550000,565000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,389000,389000,395000,399900,409900,415000,414995,415000,419999,420000,419000,408500,4e+05,425000,430000,444000,449000,450000,449944,449900,450000,450000,449000,449000,454000,465000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164900,159900,158000,169900,179900,189000,194900,195000,194000,189900,189900,189000,184900,176900,174900,184650,190000,190000,195000,198000,195000,189900,189900,189000,184900,180000,185000,194650
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,179900,179900,189900,195950,199000,199900,199900,199000,194900,195000,199900,205000,209900,216000,226500,225000
"Philadelphia, PA",5,149900,154900,159900,159000,157900,156000,156500,149900,154825,149900,147825,140000,140000,145000,144900,140000,148900,145000,139900,139900,139415.5,134900,134900,125000,129662.5,132000,129900,129900,131000,134500,129900,125000,125000,127500,130000,129900,129900,134900,141968,145000,150000,154900,144900,139900,139400,139900,139900,139000,135000,138833,144999,149900,149900,149900,146900,144900,144900,142900,139900,138000,134900,139900,148500,154000,155000,154900,149900,147950,148250,148900,145000,139900,139000,139000
"Houston, TX",6,115865,115000,115900,115000,112500,112027.5,110000,106800,109900,110000,114900,113888,112000,111947.5,110000,109900,109900,104900,104900,104000,105000,109000,104000,104000,100250,104945,104945,110000,112990,110000,109500,110000,105000,1e+05,105000,109500,107950,115000,115000,109900,112900,112000,109979.5,114950,119900,120000,126450,124900,129900,135000,144900,149000,149900,150000,149500,149500,159000,159500,169900,175500,177500,179900,179900,189000,175000,160000,179900,181800,189000,185000,189700,199000,195000,195000
"Washington, DC",7,242000,246999,250722,264342.5,259000,250000,249000,248900,239900,235000,229000,220000,214900,215000,219000,219900,225000,230000,215000,229000,232900,235000,225000,219900,215000,219900,229500,235000,240000,249000,245000,239900,239000,239900,254900,249900,250000,260000,274900,279900,287000,289500,285000,285000,289900,289000,284000,278500,275000,282900,290000,296000,299990,3e+05,299900,299000,299900,299900,295000,285000,280000,285000,289999,295000,299500,299000,279900,292500,298500,297000,289997,289900,288900,289999
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156000,169000,175000,177000,179900,179500,179000,179000,175000,177000,180000,189900,189900,190000,189999,189900,189900,190000,190000,189000,190000,195000,198500,207000,210000,205000,209900,205000,199999,207000,205000,211500,219900,224900,225000,240000,245000,239900,243000
"Atlanta, GA",9,145000,145000,149900,149500,148500,144870,144900,139900,138800,130000,129000,125000,124900,124500,124900,119900,119000,116500,115000,110000,112500,117000,112250,110000,114900,112500,114850,112500,115900,118000,114000,114900,119900,120000,128900,127900,131900,137362,139900,142940,145000,146900,148000,145000,149000,144900,147500,139900,139999,144900,149900,149900,149000,155000,158000,159000,159900,159900,157000,150000,159000,164850,172000,173900,172499.5,174900,169000,189900,190000,195900,196500,197450,195000,199000
