"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,179000,169000,179900,179900,179000,179010.5,175000,174900,170000,169000,170000,189000,191250,190000,199000,195050,199000,199900,199900,199900,2e+05,199999,209000,216000,210000,203900,210000,219000,214900,215500,219000,216300,214900,215488,214900,214900,210000,209900,212500,215000,215000,220000,229900,225000,224000,220000,219900,218500,215000,219000,215000
"New York, NY",1,490000,489000,495000,489000,489000,489000,489000,489000,490000,489000,484950,479000,479000,475000,479000,479000,479000,479000,479000,479000,479000,475000,475000,475000,469000,475000,474999.5,475000,475000,474900,475000,475000,475000,470000,488000,489000,489900,499000,499000,499000,499000,499000,499000,505000,510000,519000,525000,529000,529000,529000,529000,535000,549000,550000,559000,565000,569000,559000,554139,549999,549999,549000,549000,569000,579000,579000,589000,599000,599900,619000,635000,638000,649000,649000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439444,447600,450000,469000,475000,499000,515000,525000,558500,568995,578500,589900,575000,595000,574950,576000,575000,599000,615495,626500,649000,649000,639950,639950,629000,629000,640000,649850,650000,679850,695000,699000,699000,720000,7e+05,709990,725000,719900,709995,720000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159500,154700,150000,157740,164945,159900,167990,177900,179500,179900,183100,182650,174900,164949.5,159900,160000,169999,180000,189999,194950,190000,197000,190000,198476,190000,185000,185000,180000
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,158000,159900,158250,159900,164500,164986.5,155000,158000,148000,153000,149000,160000,164900,164900,170000,158950,150000,159000,150000,149450,145000,160000,169000,169950,169950,185000,185000,180000,179900,177900,176950,179500,180000,194500,179000,182700
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,189884,184999,189900,188495,189900,189450,199000,209000,199900,189995,194990,189995,190000,179990,189000,189900,194900,199900,199900,197445,194900,199900,199990,199900,199900,199000,196900,199450,199900,2e+05,199994.5,199900,199000,199250,199900,199900,199900,199000,209900,210000,214000,199999,199994,199900,199900,199900,195000,189900,189900,194300,189900
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,150000,153000,160000,164900,168975,160995,164990,169500,175000,175000,178450,185000,183450,178745,178990,185000,196000,194450,198925,195000,199000,195500,197000,199900,2e+05,2e+05,218694,218888,217500,249900,249900,249450,249950,272130,250000,249950,260000,265000,254450
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341995,346990,346995,344990,350000,360000,359000,360000,359990,369990,379000,368142.5,359990,372450,376990,382900,376357,385595,399250,389900,398750,379990,385000,396811,375000,375000,371495,372990,374000,384990,398715,394990,364990,384990,399990,399450,393990,402449.5,396990,412516
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000,249000,250000,250000,249000,249900,250000,250000,250000,259900,256000,249900,256900,255990,269000,279900,279700,269000,270000,282450,288500,298000,299500,321000,321500,329000,309000
"Boston, MA",9,325000,325900,335000,349900,349900,349900,349900,349000,348000,340000,339000,325000,322500,309500,309000,309000,329900,339450,334900,330250,329000,308325.5,314950,299917,299900,309000,325000,339000,339900,349900,340000,339900,334900,335000,339900,339000,339000,339900,350000,365115,375000,395000,389900,389000,389995,395000,383995,375000,369900,379900,389900,399900,417394,414997.5,414000,399999,409850,419900,415000,399900,399900,399900,424900,439900,444950,449000,449900,439900,445000,449000,439000,430000,419900,419000
