"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,183900,189000,189900,197500,199900,199900,199900,199900,199900,199900,198755.5,197000,194900,199500,203900,210000,215000,218000,217900,215000,215000,214900,210000,205000,209900,214900,219697,224900,229000,229900,229500,229000,229000,228500,226500,225000,224900,224900
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369000,369000,379000,379999,385000,389000,389000,384900,379000,379000,379000,379000,379000,379000,379990,389000,398000,399000,399880,399000,399000,399000,399000,395000,390990,389000,391992.5,398000,399000,399000,399900,409000,399999,399900,399900,399000,399000,399000,399000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571700,569000,549900,560000,578000,599000,615000,625000,625000,620000,619900,599989,599000,570000,589000,605000,629000,649000,675000,679900,679000,677845,675000,674900,670000,665000,665000,675000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,199900,199000,209000,219900,228900,235000,239900,238045,234900,229900,229000,224900,215000,214863.5,224000,234900,239900,249000,249900,249000,246990,243500,240000,239000,229900,229900,239000
"Dallas-Fort Worth, TX",4,160000,162500,165000,167500,167900,169000,165000,167500,179900,174990,169500,162500,159977,159999,160000,163646,168990,171990,171000,165000,159900,159900,159500,155000,158500,159900,159900,160000,163990,167500,164900,160000,159000,161990,187990,189900,189000,191990,199990,207800,210000,212990,210000,210000,209900,209990,206990,210900,209900,214900,220000,226990,232995,227900,229000,234900,235000,238500,235000,247990,249999.5,259000,270000,270000,265000,264900,259900,259990,260000,269000,269900,275000,275000,269900
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,219000,220000,225000,229900,239000,239500,230000,229000,229000,229000,225000,229900,220950,224990,230000,239900,244000,244900,239900,237987,239900,235610,229999,224900,224900,229900,238362.5,240000,247000,245000,239999,239500,239900,234900,230000,225000,224900,224900
"Houston, TX",6,158000,159990,163990,164900,164500,164900,160000,162000,175000,174900,174900,170000,169900,169900,169000,169417,169900,174950,174900,172500,160000,163375,159900,160000,162795,164900,166240,169900,169900,169900,169900,169900,169500,169900,183000,188990,189200,198900,200475,208000,210950,215000,215000,215000,217990,224450,218990,219900,220000,229000,234000,244000,246990,247990,249000,250000,255000,259000,260000,274630,280000,285000,290000,298000,289900,280925,292970,296990,295998,299900,299900,305540,305000,290000
"Washington, DC",7,275000,285945,299000,307900,299990,299900,299950,299000,324900,325000,319900,299990,295000,299900,299999,3e+05,319900,327000,309900,310000,315000,312990,3e+05,299900,3e+05,312000,324900,339900,350000,355900,349900,345000,339999,347990,377990,369000,367945,379900,389990,399999,419000,420000,415000,402255,407700,4e+05,399900,399900,394990,399900,415000,425000,435947.5,433945,429000,424900,424900,424900,415000,404900,399990,410900,425000,437000,440000,439900,425000,429000,429900,426900,423945,419000,424900,425000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299900,299900,300990,3e+05,305000,310000,319000,314456.5,310000,312000,310000,314032.5,314285,315000,329000,339000,335000,317663,324900,339000,339900,339900,339900,349900,349933,359000,363000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,182500,175875,184900,195942,2e+05,207000,214900,214900,209900,204900,199999,199000,189900,194900,199900,199900,203162.5,210000,214900,214000,215000,214990,214900,210000,211800,212990,206846
