"RegionName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46794871794872,1.41025641025641,1.42142857142857,1.4,1.37765957446809,1.36738906088751,1.36875,1.45,1.46428571428571,1.45289769885231,1.45833333333333,1.46666666666667,1.5,1.5,1.5,1.49414519906323,1.49937074660322,1.5,1.5,1.52428930304462
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89285714285714,1.96296296296296,2.01098902737194,2.05531613220352,2.06691542288557,2.09220647773279,2.12666666666667,2.16666666666667,2.17886178861789,2.17647058823529,2.18,2.19256434699714,2.21039182282794,2.21594427244582,2.23358449946179,2.25,2.26582278481013,2.28848821081831,2.29625550660793,2.30348598769651,2.34560906515581,2.34,2.37811901070596,2.37587657784011
"Chicago, IL",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96386946386946,1.96011816838996,2.02797202797203,1.99056183624529,1.95387700534759,1.86369829081001,2.18473702437813,2.26890756302521,2.352,2.22330097087379,2.07777777777778,2.32155949367089
"Dallas-Fort Worth, TX",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03799847590434,1.05873015873016,1.05449595776275,1.04777567065703,1.04863221884498,1.07779452985645,1.07601675341401,1.06894958604376,1.09637561779242,1.13186039303917,1.13589743589744,1.13500784929356,1.18142546133112,1.2,1.19214659685864,1.17571059431525,1.15429602692141,1.15276837211593,1.15900131406045,1.21123417721519,1.17720726361929,1.13336239465272,1.19620440397181,1.19426751592357,1.21020759890325,1.21837549933422,1.23752884339857,1.24708047172674,1.25399936020473,1.26363636363636,1.26918224752539,1.2992843201041,1.30501837931341,1.30901287553648,1.31138392857143
"Philadelphia, PA",4,,,,,,,,,,,,,,,,,,1.06228279255728,1.07529411764706,1.13411351853469,1.03317103129934,0.914634146341463,0.94765927180897,0.991666666666667,0.92,0.943813131313131,0.969170303912059,0.998888888888889,1,1.14227166276347,1.21834569561683,1.30813876469614,1.2843137254902,1.25,1.23114254876262,1.23972602739726,1.25291375291375,1.30801687763713,1.25154894671623,1.25384615384615,1.25,1.24289099526066,1.28571428571429,1.35454545454545,1.35581966695105,1.36398281596452,1.35095673876872,1.33138888888889,1.3125,1.31047607416906,1.28833594566353,1.29008882655446,1.32193494578816,1.375,1.395,1.4125,1.4,1.39396741189845,1.38461538461538,1.37142857142857,1.3716814159292,1.44545454545455,1.42048780487805,1.46606055619549,1.50187734668335
"Houston, TX",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18423383525244,1.15299145299145,1.17846153846154,1.25996677740864,1.26852747415783,1.26560370009737,1.24432809773124,1.30853174603175,1.32571821794451,1.25272331154684,1.2565445026178,1.26649916247906,1.27232796486091,1.28372853638594,1.29910972608565,1.33011962178985,1.34079126734964,1.35123966942149,1.35208012326656,1.37135574705668,1.35948905109489,1.55240443896424,1.51575827329055,1.53883885825015,1.47193585337915
"Washington, DC",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98148294672803,1.81630434782609,1.80708668005355,1.81631665447098,1.9572192513369,2.04316153496481,1.98129356983285,1.93885778957628,1.85314685314685,1.91408450704225,1.92,1.91256830601093,1.9566597465035,2.06981270540187,2.09051724137931,2.25210084033613,2.27906976744186,2.16926703409521,2.10790020790021,2.09256701452834,2.04757893377234,2.04361636044221,2.13716108452951,2.13694553163731,2.18092657342657,2.15403446003201,2.15899581589958,2.16260162601626,2.16233108108108,2.16482716798059,2.14381323305578,2.08263069139966,2.06669165417291,2.08684863523573,2.12666666666667
"Miami-Fort Lauderdale, FL",7,,,,,,,,,,1.08622215565601,1.10657690602837,1.1063829787234,1.06609808102345,1.04968509447166,1.02941176470588,1.05555555555556,1.07142857142857,1.1,1.08125910341479,1.10634920634921,1.10294117647059,1.08873873873874,1.10344827586207,1.10561969607263,1.06,1.0625,1.07142857142857,1.0829945799458,1.09483727810651,1.15021247588798,1.18868009289813,1.21149894895114,1.22226069559865,1.2945914844649,1.304,1.35204081632653,1.36274509803922,1.46470588235294,1.42300091213135,1.37362637362637,1.35970333745365,1.34343434343434,1.33451957295374,1.33998519353377,1.36561142147734,1.38461538461538,1.39240506329114,1.425,1.42380952380952,1.42218377547097,1.46739130434783,1.46866840731071,1.51636747624076,1.59121171770972,1.5625,1.51114649681529,1.55674342105263,1.54599761051374,1.55969634230504,1.58620689655172,1.62037037037037,1.66666666666667,1.65123456790123,1.65193340060545,1.68331348172411
"Atlanta, GA",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13341232227488,1.08820882088209,1.12142857142857,1.10260383181175,1.07388316151203,1.09581646423752,1.057433901978,1.11603650586701,1.09625,1.11103448275862,1.15507153692168,1.15658362989324,1.17424242424242,1.23809523809524,1.27937649880096,1.25851851851852,1.28061224489796,1.26100173121966,1.23993426458505,1.34529914529915,1.31258582257171,1.3314818756639,1.32911392405063
"Boston, MA",9,,,,,,,,,,,,,,1.70241286863271,1.66666666666667,1.72413793103448,1.64583333333333,1.78125,1.90909090909091,2,2.10666666666667,2.02702702702703,1.86507537688442,1.94418604651163,1.91001697792869,1.92774725274725,2,1.93103448275862,2.04545454545455,1.94054054054054,1.88933333333333,2.05298013245033,2.01508980521123,2.3070987654321,2.26510067114094,2.25,2.23076923076923,2.26139601139601,2.1875,2.02055817948811,2.19933333333333,2.19230769230769,2.25,2.36363636363636,2.4,2.40887981987053,2.29591836734694,2.23209352801894,2.21006178287732,2.17391304347826,2.10526315789474,2.27743271221532,2.31983846814905,2.38515759074624,2.48203111031647,2.44444444444444,2.4,2.42105263157895,2.33333333333333,2.26567164179104,2.22222222222222,2.26415094339623,2.32213608957795,2.41529113879689,2.46153846153846
