"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,850,850,850,934,1000,1100,1295,1300,1300,1300,1300,1225,1100,1075,1114,1138.5,1150,1200,1250,1300,1270,1250,1200,1225,1200,1200,1222,1150,1250,1293,1300,1310,1321,1395,1400,1529,1614,1550,1600.5,1600,1600,1600,1600,1700,1700,1500,1500,1499,1475,1458,1425,1450,1489,1500,1500,1508,1500,1500,1500,1498,1488,1415,1442,1451,1500
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2150,2150,2230,2200,2220,2295,2350,2395,2400,2400,2400,2410,2450,2495,2495,2500,2475,2549,2500,2550,2600,2600,2525,2550,2600,2625,2550,2550,2500,2535,2550,2550,2595,2565,2195,2125,2150,2150,2135,2100,2100,2100,2125,2200,2250,2195,2100,2150,2150,2100,2100,2095,2095,2100
"Los Angeles-Long Beach-Anaheim, CA",2,,1375,1425,1415,1450,1500,1520,1365,1300,1350,1350,1250,1295,1295,1295,1300,1300,1295,1295,1275,1245,1225,1200,1250,1295,1320,1324,1325,1330,1330,1345,1385,1375,1370,1349,1350,1415,1450,1423,1436,1425,1395,1395,1395,1445,1350,1495,1485,1450,1425,1470,1540,1535,1550,1595,1625,1675,1680,1695,1695,1715,1700,1700,1720,1725,1735,1750,1750,1753,1795,1795,1819,1850
"Chicago, IL",3,,1100,1150,1100,1100,1000,995,1127.5,1250,1255,1279.5,1150,1215.5,1200,1225,1245,1310,1286,1250,1275,1250,1225,1295,1299,1235,1195,1150,1200,1270,1255,1250,1300,1380,1325,1375,1350,1495,1398,1449,1470,1500,1513,1525,1500,1477,1515,1595,1550,1455,1425,1400,1395,1425,1566,1400,1600,1630,1600,1350,1489,1595,1400,1395,1405,1397,1375,1385,1525,1600,1685.5,1600,1550,1650
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,650,654,685,714,737,777,807,775,794,795,785,775,793,796,800,827,930,825,848,850,864,880,895,850,960,1021,1055,1049,1025,999,1000,1020,969,990.5,940,925,925,939,1002,1009,1000,980,950,989,990,999,999,1015,1039,1030,1060,1059,1066,1076
"Philadelphia, PA",5,,,,,,,990,895,895,915,900,975,950,950,995,950,975,947.5,950,975,925,930,925,935,969.5,975,1000,999,995,975,995,975,990,992,950,925,950,979,981,1050,1000,979,950,950,950,990,975,925,945,950,975,1100,1100,1100,1100,1048,1050,1025,1000,1000,1015,1060,1125,1110,1100,1071,1100,1050,1050,1105,1060,1100,1110
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,975,1085,1005,990,1013,1044.5,1057,1050,1045,1050,1076,1020,1025,1020,1028,1050,1079,1099,1100,1100,1100,1110,1120,1243,1221,1241,1190
"Washington, DC",7,1300,1300,1399.5,1350,1395,1400,1370,1400,1400,1400,1412.5,1425,1399.5,1400,1425,1430,1465,1500,1715,1775,1750,1611,1632.5,1655,1690,1740,1745,1765,1795,1780,1710,1708,1705,1695,1720,1725,1723,1739,1699.5,1614,1649,1620,1695,1695,1683,1675,1639.5,1655,1649,1630,1650,1695,1700,1785,1800,1709,1695,1691,1695,1695,1726,1725,1750,1742,1740,1715,1730,1728,1715,1695,1695,1699,1725
"Miami-Fort Lauderdale, FL",8,1300,1299,1300,1275,1300,1200,1200,1300,1350,1300,1300,1299,1300,1300,1300,1290,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1225,1200,1250,1250,1250,1200,1175,1175,1195,1195,1200,1200,1225,1250,1300,1450,1425,1400,1430,1450,1450,1400,1375,1325,1300,1350,1390,1390,1395,1400,1400,1425,1400,1450,1500,1500,1500,1556,1615,1600,1650,1600,1600,1650,1600,1626,1650
"Atlanta, GA",9,999.5,975,1000,1000,1050,1000,925,900,950,975,950,877,925,912,900,892.5,861.5,850,872.5,882.5,805,810,835,799,840,797,795,825,830,835,855,830,845,822,810,802,795,795,799,825,818,835,840,900,975,940,998.5,1033,1007.5,1018,1025,1019,1050,1050,1025,1050,1025.5,1029.5,1030,1059.5,1085,1075,1083,1115,1140,1140,1150,1140,1130,1169,1169.5,1170,1179
