"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,,1043,1050,1058,1109,1200,1249,1399,1400,1400,1375,1395,1300,1249,1200,1250,1250,1250,1300,1301,1355,1325,1300,1300,1300,1295,1299,1296,1250,1299,1350,1350,1360,1350,1400,1400,1500,1599,1500,1600,1599,1575,1595,1605,1700,1750,1550,1545,1500,1500,1480,1450,1470,1500,1525,1525,1595,1575,1595,1595,1550,1518,1502,1525,1550,1575
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2575,2580,2550,2499,2499,2500,2500,2500,2595,2525,2500,2500,2500,2500,2495,2450,2400,2460
"Los Angeles-Long Beach-Anaheim, CA",2,,1950,1900,1975,1975,1995,2100,2100,1900,1895,1895,1900,1799,1800,1800,1850,1875,1875,1850,1850,1800,1750,1700,1700,1713,1750,1780,1775,1790,1780,1763,1783,1800,1790,1755,1730,1750,1797,1815,1820,1850,1850,1845,1800,1900,1900,1800,1995,1950,1920,1900,1950,1995,2035,2095,2097,2100,2150,2150,2165,2170,2168,2165,2200,2200,2220,2225,2250,2250,2290,2300,2300,2300,2350
"Chicago, IL",3,,,1300,1350,1350,1375,1325,1306.5,1350,1400,1413,1500,1450,1500,1500,1545,1550,1600,1600,1575,1595,1525,1495,1495,1495,1490,1450,1400,1450,1500,1495,1495,1500,1500,1450,1500,1475,1550,1500,1500,1600,1650,1672,1680,1670,1600,1600,1700,1550,1500,1531,1550,1600,1625,1700,1600,1695,1660,1600,1500,1500,1650,1575,1600,1620,1600,1600,1600,1650,1650,1700,1637,1600,1700
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,975,995,950,975,975,995,950,915,899,899,950,953,964.5,1004,968,995,1007.5,999,995,1010,1020,1019,1090,1185,1095,1125,1110,1151,1181,1187,1065,1205,1340,1350,1350,1300,1250,1280,1327,1250,1255,1239,1227,1200,1199,1253,1273,1257,1250,1245,1267,1275,1280,1291,1300,1295,1309,1315,1330,1361.5,1380
"Philadelphia, PA",5,,1250,1250,1200,1250,1292.5,1300,1300,1250,1225,1200,1200,1200,1200,1200,1225,1250,1250,1250,1237,1225,1200,1200,1230,1250,1250,1265,1295,1300,1295,1275,1250,1244,1230,1210,1200,1200,1200,1250,1250,1300,1295,1250,1250,1295,1250,1250,1270,1250,1240,1225,1250,1300,1310,1300,1300,1299,1300,1300,1295,1275,1299,1300,1325,1350,1350,1326,1350,1320,1300,1320,1300,1350,1375
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,1210,1337,1205,1155,1205,1279,1279,1277.5,1265,1289,1319,1249,1257,1269,1260.5,1299,1350,1370,1395,1395,1375.5,1369,1369,1489,1470,1490,1475
"Washington, DC",7,,1525,1550,1550,1530,1595,1550,1500,1530,1535,1550,1600,1589,1550,1550,1600,1617.5,1650,1650,1700,1750,1710,1665.5,1700,1700,1710,1760,1800,1875,1850,1785,1740,1728.5,1782,1800,1850,1880,1900,1915,1885,1800,1848,1850,1900,1900,1890,1883,1835,1859,1850,1835,1860,1924,1946,2000,2000,1950,1900,1900,1895,1900,1950,1920,1951.5,1950,1950,1949,1950,1945,1900,1875,1850,1900,1922
"Miami-Fort Lauderdale, FL",8,,,1700,1800,1782.5,1800,1695,1500,1750,1750,1725,1700,1600,1595,1550,1550,1525,1500,1500,1500,1500,1500,1500,1500,1450,1450,1499,1450,1450,1500,1475,1495,1450,1400,1400,1400,1425,1425,1450,1460,1500,1500,1625,1600,1600,1650,1650,1700,1660,1650,1600,1600,1650,1600,1600,1610,1650,1650,1600,1600,1625,1650,1700,1700,1750,1800,1800,1850,1800,1800,1850,1850,1850,1860
"Boston, MA",9,,,,,,,,,,,,,,,,,,1825,1875,1847.5,1850,1800,1800,1755,1800,1850,1895,1995,2100,1995,1975,1894,1850,1850,1900,1900,1985,2000,2038,2100,2100,2150,2250,2200,2200,2200,2200,2160,2150,2175,2200,2200,2250,2300,2275,2275,2200,2200,2200,2200,2250,2300,2300,2395,2400,2375,2370,2345,2300,2250,2250,2260,2300,2325
"San Francisco, CA",10,,,,,,,,,,,,,,1595,1600,1700,1700,1750,1780,1850,1895,1850,1800,1725,1795,1850,1925,1800,1798,1900,1900,1925,1975,1935,1975,1925,1878,1950,2004.5,1960,1990,1995,2080,2050,2321,2350,2200,2402,2336,2300,2310,2459,2772.5,2695,2600,2650,2760,2700,2721.5,2805,2819.5,2931.5,2895,3025,3064.5,3100,3100,3157,3101.5,3000,3000,3013,3253,3250
"Detroit, MI",11,,,,,,,,,,,,,,,,,,,,,,,750,799,820,805,825,845,850,805,800,850,856.5,850,840.5,779,750,805,840,800,845,845,819,849.5,950,950,925,950,925,900,900,910,1000,975,965,1000,1000,1000,975,985,999,1000,1000,1030,1000,1000,1000,1000,1000,1000,1005,1050,1000,1000
"Riverside, CA",12,,,,,,,,,,,,,,1400,1375,1400,1400,1295,1250,1200,1200,1200,1175,1200,1200,1200,1250,1199,1150,1150,1150,1160.5,1125,1175,1200,1192,1165,1200,1200,1200,1197.5,1150,1150,1150,1190,1195,1100,1194.5,1175,1100,1095,1100,1250,1200,1200,1250,1250,1200,1200,1243,1225,1255,1295,1315,1330,1350,1350,1350,1350,1350,1370,1398,1395,1395
"Phoenix, AZ",13,,,1200,1200,1200,1175,1100,1200,1150,1150,1200,1200,1000,995,995,1050,1000,975,900,895,895,895,874,890,875,869,875,855,850,859,855,869,859,850,857,850,840,856.5,863,860,875,866,850,850,895,895,850,899,900,899,895,899,939,950,925,911,900,925,932,949,950,995,995,1025,1000,1020,1007,1025,1009,1000,990,1125,1115,1122
"Seattle, WA",14,,,1250,1200,1195,1200,1237.5,1250,1250,1200,1200,1149,1100,1121,1150,1150,1175,1150,1149.5,1195,1200,1195,1195,1150,1150,1175,1150,1150,1168.5,1155,1195,1203,1200,1230,1211,1215,1195,1212,1250,1270,1279,1295,1288,1300,1395,1395,1375,1420,1400,1395,1390,1447,1544,1550,1550,1550,1595,1548.5,1595,1550,1588.5,1600,1600,1600,1626,1650,1680,1719.5,1750,1724.5,1595,1695,1700,1742
