"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,,,,,2244,2229,2250,2295,2300,2200,2200,2000,1999,2300,2350,2400,2400,2500,2600,2800,2500,2495,2400,2300,2250,2250,2200,2295,2395,2400,2400,2400,2300,2449.5,2300,2350,2300,2250,2350,2400,2395,2350,2455,2600,2600,2500,2500,2450,2300,2300,2349,2500,2500,2500,2550,2500,2500,2500,2500,2500,2495,2490,2500,2600,2600
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995,2900,3000,3200,3100,3150,3200,3400,3500,3400,3600,3499.5,3200,3500,3300,3200,3100,3200,3500,3700,3697.5,3900,3900,3850,3900,3700,3700,3800,3900,4200,4250,4200,4200,4200,4100,4100,3800,3800,3980,4000
"Chicago, IL",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756,2500,2495,2499,2382,2377,2312.5,2300,2252,2400,2400,2522.5,2700,2687.5,2590,2406,2400,2450,2400,2300,2000
"Dallas-Fort Worth, TX",3,,,,,,,,,,,,,,1999.5,2095,2095,2000,1995,1990,1975,1932.5,1907.5,1895,1850,1820,1850,1850,1850,1900,1997.5,1995,1800,1900,1997.5,1800,1797,1850,1900,1975,1895,1900,1995,2000,1992.5,1950,2000,2000,1995,1995,1995,2000,2150,2200,2250,2200,2225,2150,2150,2195,2195,2200,2200,2300,2372.5,2395,2300,2300,2295,2350,2300,2300,2300,2300
"Philadelphia, PA",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2500,2500,2450,2500,2375,2400,2450,2500,2500,2500,2500
"Houston, TX",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2650,2598,2550,2350,2300,2395,2350,2250,2290,2400,2550,2800,2800,2900,2750,2700,2750,2700,2700,2700
"Washington, DC",6,,,,,,,,,,,,,2800,2799.5,2900,3000,3195,3000,3000,2995,2900,3000,2995,2992.5,2995,2900,2995,3184,3200,3188,3100,3000,2950,2900,2900,2850,2800,2850,2900,2900,2900,3000,3100,3100,2975,2950,2900,2895,2800,2762.5,2800,3000,3097.5,3025,3000,2950,2850,2800,2850,2850,2850,2900,3000,3100,3200,3200,3050,2995,2950,2950,2995,3000,2995
"Miami-Fort Lauderdale, FL",7,,,,,,,,,,,,,,,,,,3500,3500,3500,3600,3650,3600,3600,3500,3900,3800,3800,3900,3800,3600,3599,3500,3400,3500,3500,3500,3500,3500,3500,3500,3600,3500,3500,3400,3400,3375,3250,3200,3200,3240,3500,3500,3500,3500,3500,3500,3600,3650,3600,3500,3600,3995,3800,3850,3800,3800,3750,3800,3800,3800,3800,3850
"Atlanta, GA",8,,,,,,,,,,,,,2000,1825,1900,1995,1995,2000,2000,1900,1900,1950,1975,1800,1850,1924.5,1900,1900,1900,1900,1895,1700,1750,1700,1650,1650,1600,1650,1700,1650,1680,1685,1639,1700,1665,1575,1600,1585,1527.5,1550,1600,1750,1725,1725,1700,1762.5,1800,1800,1800,1750,1767,1800,1800,1850,1955.5,2000,1980,1900,1895,1850,1800,1895,1895
"Boston, MA",9,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3800,3900,3662.5,3550,3500,3500,3400,3500,3600,3850,3825,3800,3800,3800,3800,3750,3600,3600,3600,3600,3850,4000,4000,4000,4100,4000,3900,3800,3800,3800,3900,3800,4000,4200,4200,4150,4000,4000,3900,3800,3800,3750,3574.5,3800,4125,4400,4400
