"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,1500,1500,1500,1550,1500,1495,1500,1500,1495,1500,1439,1400,1450,1500,1500,1499,1495,1500,1495,1450,1500,1500,1500,1500,1550,1500,1500,1550,1550,1575,1550,1595,1595,1650,1700,1750,1747,1795,1800,1750,1700,1650,1600,1600,1600,1600,1600,1600,1550,1550,1625,1650,1650,1650,1650,1600,1600,1600,1650,1650,1675,1695,1700,1725,1750,1750,1700,1700,1725,1750,1750,1790
"New York, NY",1,,,,,,,,,,,,,,,2500,2599,2595,2695,2750,2700,2727.5,2595,2500,2350,2500,2500,2500,2593,2600,2650,2700,2700,2795,2795,2850,2800,2850,2800,2850,2875,2795,2650,2700,2750,2800,2895,2900,2900,2900,2863,2850,2900,2950,2800,2800,2800,2800,2800,2800,2850,2850,2895,2895,2900,2946,2900,2900,2900,2850,2850,2850,2850,2850
"Los Angeles-Long Beach-Anaheim, CA",2,1950,1900,1995,2000,2000,2100,2200,2150,2100,2100,2100,2100,2095,2000,2050,2100,2100,2150,2100,2095,2000,2000,1995,1995,2000,1900,1900,1950,2000,1995,1950,2000,1900,1850,1800,1895,1944,1895,1875,1900,1875,1800,1700,1900,2200,2200,2200,2200,2200,2200,2200,2295,2300,2300,2350,2400,2387.5,2350,2400,2400,2395,2400,2500,2500,2500,2550,2500,2500,2500,2500,2550,2595,2550
"Chicago, IL",3,,1350,1350,1375,1400,1390,1385,1475,1490,1500,1537,1450,1450,1500,1537,1525,1550,1575,1575,1552.5,1550,1500,1500,1550,1550,1595,1500,1500,1550,1540,1556,1565,1595.5,1550,1550,1550,1564,1550,1550,1550,1550,1574,1575,1599,1600,1600,1600,1600,1595,1595,1595,1650,1650,1650,1650,1650,1650,1615,1650,1600,1625,1650,1650,1650,1650,1666,1675,1650,1600,1625,1600,1650,1650
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,1115,1066.5,950,970,1000,965,1000,1150,1179,1077,1095,1250,1275,1250,1200,1200,1195,1200,1200,1224,1232,1250,1210,1200,1250,1237.5,1275,1295,1300,1300,1300,1295,1325,1300,1295,1300,1324,1316.5,1350,1350
"Philadelphia, PA",5,,1300,1250,1300,1350,1300,1350,1350,1400,1392.5,1350,1299,1295,1350,1425,1425,1400,1400,1400,1350,1350,1300,1300,1295,1350,1350,1395,1400,1372.5,1350,1300,1250,1250,1270,1200,1200,1200,1250,1300,1300,1300,1250,1250,1295,1300,1300,1300,1295,1250,1300,1300,1450,1450,1475,1450,1400,1395,1350,1350,1375,1400,1450,1500,1500,1500,1490,1475,1400,1400,1400,1350,1390,1397
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,819.5,800,899,900,900,913.5,950,950,961,999.5,959,965.5,1059,1157,1200,1240,1235,1215.5,1250,1250,1235,1250,1265,1287.5,1265,1282,1285,1263,1250,1250,1265,1275,1260,1263,1422,1400,1375,1350,1350,1350,1346,1350,1377.5,1395,1400
"Washington, DC",7,1550,1600,1600,1600,1677.5,1700,1750,1700,1700,1650,1700,1700,1700,1700,1700,1750,1750,1750,1750,1750,1750,1750,1750,1700,1700,1750,1795,1800,1800,1800,1800,1800,1800,1800,1795,1765.5,1795,1800,1800,1795,1814,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1850,1850,1850,1850,1850,1825,1800,1800,1850,1820,1850,1850,1875,1900,1899,1900,1850,1850,1850,1850,1850,1850
"Miami-Fort Lauderdale, FL",8,,1600,1650,1600,1600,1600,1600,1700,1650,1650,1650,1550,1500,1500,1500,1500,1500,1500,1500,1550,1500,1550,1500,1500,1500,1520,1500,1500,1550,1500,1550,1500,1500,1500,1500,1500,1550,1590,1599,1600,1650,1700,1670,1650,1700,1700,1700,1700,1675,1650,1600,1650,1675,1700,1700,1700,1675,1690,1650,1699,1700,1750,1800,1850,1900,1900,1900,1875,1900,1950,1950,1950,1950
"Atlanta, GA",9,1100,1100,1150,1180,1200,1150,1100,1100,1100,1100,1195,1150,1150,1150,1195,1175,1175,1150,1150,1100,1095,1095,1100,1090,1095,1000,975,1000,1050,1050,1050,1000,1050,1050,1050,1050,1095,1100,1150,1100,1050,1050,1000,1050,1100,1055,1100,1095,1095,1095,1100,1100,1100,1100,1150,1150,1175,1175,1100,1100,1100,1100,1195,1200,1250,1225,1215,1250,1250,1290,1250,1250,1267
