"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682,1639,1625,1600,1577,1520,1560,1600,1600,1600,1650,1615,1625,1610,1595,1575,1500,1530,1575,1600
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2200,2200,2400,2500,2575,2600,2600,2650,2655,2700,2700,2700,2700,2700,2700,2700,2675,2750,2700,2650,2695,2800,2800,2800,2800,2850,2750,2750,2700,2700,2750,2750,2799,2895,2400,2395,2400,2400,2399,2300,2300,2375,2395,2400,2490,2425,2400,2425,2400,2400,2350,2300,2300,2350
"Los Angeles-Long Beach-Anaheim, CA",2,,1807.5,1750,1672.5,1700,1700,1662.5,1650,1600,1600,1625,1425,1450,1450,1400,1395,1382,1372.5,1395,1380,1350,1375,1362.5,1395,1395,1405,1400,1395,1395,1400,1400,1410,1395,1395,1372.5,1399,1425,1600,1605,1650,1605,1625,1650,1640,1595,1525,1686,1650,1625,1620,1675,1732.5,1745,1755,1775,1787,1849,1850,1875,1870,1895,1895,1895,1900,1927,1928.5,1950,1950,1955,1995,1995,2024,2052
"Chicago, IL",3,,1207.5,1300,1300,1212,1200,1172.5,1266,1395.5,1400,1400,1350,1299,1250,1289,1300,1400,1350,1300,1300,1300,1375,1425,1310,1281.5,1300,1395,1500,1550,1550,1525,1450,1495,1500,1500,1525,1595,1484,1450,1525,1595,1585,1585,1550,1505,1530,1600,1550,1495,1495,1500,1525,1577,1650,1534,1653,1651,1600,1400,1495,1637,1510,1500,1550,1550,1545,1500,1625,1674,1742,1637,1565,1659
"Dallas-Fort Worth, TX",4,,,950,937.5,950,850,922.5,905,925,995,995,850,875,895,878,879,895,900,864,850,836.5,809.5,753,840,950,967,977.5,975,947,820,799,795,795,844,844.5,825,805,875,910,900,900,895,956,1019,1015,1000,1050,1129,1115,1121.5,1160,1116,1149,1100,1099,1079,1089,1139,1150,1150,1150,1125,1150,1150,1159,1162,1175,1186,1190,1200,1200,1209,1235
"Philadelphia, PA",5,,995,900,985,1050,900,925,950,1000,1050,962.5,967.5,950,990,1000,1000,1061,1055,1095,1059,995,950,900,950,1000,1075,1012,1000,995,975,975,937.5,921,940,925,925,950,1100,1120,1213,1190,1150,1113,1150,1100,1169,1150,1100,1100,1100,1196,1260,1250,1250,1250,1200,1200,1228,1200,1200,1215,1260,1300,1300,1300,1275,1265,1250,1240,1300,1250,1300,1325
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149,1095,1120,1258,1269,1259,1229,1242,1269,1200,1213,1209,1211.5,1252,1280,1285,1300,1300,1298,1319,1305,1400,1395,1409,1375
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,1880,1866,1885,1935,1890,1650,1675,1600,1575,1650,1675,1674,1687.5,1820,1760,1607,1600,1625,1790,1835,1799,1775,1700,1730,1725,1714,1750,1813,1839,1885,1895,1837,1799,1800,1795,1790,1820,1810,1829,1824,1825,1815,1824,1830,1820,1779,1770,1795,1810
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,1390,1300,1250,1250,1250,1250,1299,1300,1350,1400,1400,1350,1335,1350,1300,1340,1300,1250,1295,1299,1300,1300,1350,1350,1350,1350,1490,1525,1600,1600,1650,1700,1700,1675,1650,1650,1700,1600,1600,1560,1600,1650,1600,1628,1600,1695,1700,1635.5,1600,1624,1650,1641.5,1620,1650,1700,1693,1709,1750
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1100,1105,1123,1130,1100,1115.5,1119,1130,1111,1150,1180,1185,1200,1216.5,1256.5,1244,1265,1262,1229,1325,1305,1310,1319
