"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"United States",0,,,1400,1475,1450,1500,1450,1400,1275,1300,1300,1300,1250,1270,1350,1435,1450,1450,1450,1495,1400,1295,1250,1300,1300,1300,1350,1400,1500,1425,1400,1395,1395,1361,1350,1350,1300,1414,1465,1475,1500,1465,1550,1575,1695,1800,1700,1790,1767,1750,1765,1800,1895,1900,1692,1650,1650,1606,1600,1580,1600,1635,1650,1650,1695,1693.5,1695,1695,1650,1649,1595,1600,1641,1670
"New York, NY",1,,,1850,2030,2000,2200,2000,1900,1850,2000,1950,2125,2000,1975,2300,2400,2400,2300,2395,2450,2350,2349,2395,2395,2399,2450,2495,2500,2550,2600,2600,2650,2654,2695,2675,2650,2600,2700,2700,2700,2795,2800,2750,2750,2795,2800,2700,2700,2695,2700,2700,2700,2792,2850,2440,2400,2425,2406,2400,2370,2395,2400,2400,2495,2500,2499,2450,2500,2495,2445,2400,2400,2399,2400
"Los Angeles-Long Beach-Anaheim, CA",2,,1850,1850,1900,1900,1992.5,2000,2100,1800,1800,1800,1800,1500,1550,1550,1550,1595,1600,1599,1600,1580,1519,1550,1550,1565,1590,1595,1600,1600,1600,1600,1622,1650,1610,1599,1570,1583,1650,1675,1650,1695,1675,1675,1675,1750,1757.5,1653,1795,1775,1750,1740,1750,1850,1850,1895,1900,1911,1950,1950,1960,1975,1995,1995,2000,2000,2035,2045,2075,2080,2095,2094,2089,2100,2150
"Chicago, IL",3,,,1295,1297,1295,1295,1275,1280,1299,1393,1390,1400,1312,1325,1300,1350,1355,1400,1375,1350,1366.5,1350,1350,1350,1365,1350,1347,1325,1350,1375,1385,1399,1420,1450,1400,1406,1400,1505,1486,1495,1522,1550,1560,1557,1550,1510,1525,1575,1529,1500,1500,1500,1550,1585,1645,1550,1650,1645,1599,1485,1500,1620,1550,1550,1575,1575,1569,1550,1600,1634,1686,1600,1590,1650
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,945,950,931,925,929,935,789,775,775,799,838.5,850,888,920,889,905,920,903.5,893,907,913,925,999,1099,995,1019,1015,1015,1044,1055,995,1100,1176,1187,1183,1185,1150,1150,1176.5,1130,1150,1115,1100,1095,1099,1150,1159,1160,1159,1144,1165,1161,1174.5,1179,1193.5,1195,1196,1200,1200,1210,1235
"Philadelphia, PA",5,,1250,1200,1200,1250,1300,1250,1300,1067,1100,1105,1100,1130,1100,1184.5,1260,1275,1250,1250,1200,1200,1100,1100,1150,1150,1195,1200,1247,1250,1235,1200,1200,1195,1150,1140,1105,1120,1190,1200,1200,1250,1225,1200,1200,1200,1200,1200,1200,1195,1200,1200,1200,1325,1320,1320,1300,1250,1250,1275,1250,1250,1268,1300,1350,1350,1350,1320,1320,1300,1300,1319,1295,1305,1350
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,950,925,930,965,970,1010,1030,1019,1030,1025,955,995,999,1005,1069,1050,1155,1135,1260,1269,1260,1159,1277,1148,1099,1128,1259,1263.5,1259,1235,1246,1265,1200,1221.5,1215,1219,1250,1300,1300,1319,1309,1300,1320,1305,1399,1388.5,1400,1375
"Washington, DC",7,,1550,1550,1600,1600,1650,1695,1700,1600,1600,1595,1600,1605,1600,1600,1695,1700,1700,1725,1800,1825,1795,1695,1707,1715,1725,1765,1795,1825,1825,1800,1750,1750,1765,1760,1795,1800,1800,1806,1799,1730,1750,1769,1810,1825,1802,1800,1757.5,1775,1775,1750,1775,1825,1850,1876,1889,1850,1800,1800,1800,1800,1825,1828,1850,1850,1850,1850,1850,1850,1840,1800,1800,1803,1826
"Miami-Fort Lauderdale, FL",8,,,1650,1650,1600,1600,1600,1600,1650,1600,1600,1600,1500,1500,1500,1500,1500,1500,1495,1500,1500,1480,1499,1475,1450,1490,1495,1455,1450,1500,1469.5,1480,1450,1450,1425,1450,1455,1455,1500,1500,1500,1575,1650,1650,1650,1650,1680,1700,1700,1650,1650,1600,1650,1650,1650,1650,1650,1650,1650,1650,1650,1700,1725,1700,1780,1800,1800,1829,1800,1800,1850,1850,1850,1850
"Atlanta, GA",9,,1067.5,1090,1100,1100,1195,1100,1050,995,959,990,1050,950,994,995,975,975,960,950,947,950,886,875,895,875,909,895,885,900,900,900,920,900,900,897,890,875,899,915,929,935,950,950,950,1000,1045,1006,1050,1085,1085,1085,1100,1100,1100,1100,1100,1115,1123,1130,1100,1125,1150,1154.5,1195,1200,1250,1225,1250,1250,1230,1302,1295,1295,1300
"Boston, MA",10,,,,,,,,,,,,,,,,,,1795,1810,1850,1850,1799.5,1768,1750,1850,1880,1900,2010,2100,1999,1950,1850,1850,1850,1882,1900,2000,2020,2000,2000,2050,2100,2175,2150,2150,2150,2160,2150,2165,2200,2200,2200,2245,2250,2295,2250,2200,2200,2200,2200,2348,2350,2300,2345,2340,2345,2350,2325,2300,2300,2300,2300,2429,2475
"San Francisco, CA",11,,,,,,,,,,1317.5,1385,1400,1400,1435,1450,1450,1450,1499,1550,1675,1750,1695,1695,1695,1700,1750,1826.5,1745,1750,1814,1800,1795,1800,1792.5,1810,1828,1795,1825,1895,1865,1900,1902,1951.5,1972.5,2200,2241.5,2105,2335,2335,2200,2200,2300,2535,2500,2481.5,2585,2650,2600,2595,2635,2608.5,2695,2691.5,2774.5,2835,2820,2853,2905,2900,2850,2807,2815.5,2995,3000
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1000,1055,1086.5,1050,1000,1000,1000,995,1000,1038,1000,1012.5,980,1000,1000,1000,1000,1025,1030,1000
"Riverside, CA",13,,,1800,1697.5,1550,1800,1797.5,1600,1350,1397.5,1400,1450,1197,1300,1250,1300,1300,1200,1195,1175,1150,1100,1100,1175,1152,1155,1195,1139,1105,1125,1135,1147,1149,1140,1170,1100,1085,1100,1130,1102,1100,1100,1075,1091,1125,1175,1100,1150,1150,1095,1050,1056,1196,1195,1200,1205,1250,1250,1210,1250,1225,1250,1295,1325,1345,1369,1369,1369,1350,1332,1383,1400,1400,1400
"Phoenix, AZ",14,,,,,,,,,,,,,,900,899,990,975,900,850,829,850,825,809,825,814,819,825,815,810,815,825,830,829,821,825,805,799,816,825,830,849,863,845,850,895,895,855,899,900,900,900,900,950,950,930,940,944,945,945,950,965,995,999,1045,1009,1034,1000,1025,1002,1000,966,1105,1105,1115
"Seattle, WA",15,,950,1100,1100,1150,1200,1195,1200,1195,1150,1135,1100,995,1025,1025,1025,1062.5,1090,1050,1100,1100,1095,1100,1075,1095,1100,1100,1105,1108,1120,1130,1175,1186,1195,1195,1177,1150,1185,1219,1225,1250,1250,1253,1287.5,1372,1365,1345,1380.5,1375,1350,1350,1395,1475,1495,1500,1491,1502,1475,1500,1492,1500,1540,1545.5,1550,1550,1575,1595,1625,1630.5,1600,1506,1595,1600,1641.5
"Minneapolis-St Paul, MN",16,,,,,,,,,,780,800,809,875,895,895,900,945,975,995,995,950,917,931,950,950,950,975,975,985,980,999,1054,1050,1050,1050,1095,1035,1100,1100,1100,1100,1102,1050,1091.5,1125,1100,1100,1097,1100,1120,1115,1125,1185,1187,1180,1195,1199,1195,1150,1150,1155,1195,1195,1200,1200,1245,1200,1250,1238.5,1225,1275,1285,1289,1295
"San Diego, CA",17,,,,,,,,,,1800,1650,1775,1575,1575,1500,1550,1550,1525,1550,1595,1600,1525,1525,1550,1527,1500,1535,1500,1499,1525,1500,1500,1517,1465,1480,1475,1439,1444,1459,1485,1485,1520,1450,1525,1695,1625,1500,1695,1725,1675,1650,1695,1805,1845,1800,1845,1835,1825,1840,1810,1825,1850,1835,1840,1847,1850,1875,1900,1915,1900,1884,1850,1866,1895
"St. Louis, MO",18,,,,,,,,,,805,802.5,750,715,769.5,750,800,800,795,715,695,695,745,750,750,795,770,765,760,775,785,775,795,775,755,750,750,750,775,795,795,790,760,795,795,795,795,775,795,767,775,795,800,800,795,800,800,795,795,765,800,800,800,800,829,842,850,842,835,825,815,830.5,825,843.5,842
"Tampa, FL",19,,,1200,1200,1100,1100,1000,1000,1050,1100,1100,1100,995,990,975,995,975,975,939,925,949,910,900,900,900,900,911,900,900,915,925,900,904,900,900,881,875,894,900,901,900,925,950,1000,995,975,950,975,975,975,975,975,999,1000,1010,1030,1050,1006,1010,1050,1050,1050,1088.5,1100,1100,1100,1100,1100,1100,1100,1188,1159,1163,1195
"Baltimore, MD",20,,1495,1450,1500,1450,1400,1475,1425,1295,1300,1300,1310,1275,1275,1272.5,1305,1345,1332,1250,1250,1214.5,1199,1300,1349.5,1360,1308,1295.5,1270,1275,1300,1300,1380,1386,1350,1340,1289,1326,1324,1300,1355,1375,1330,1250.5,1317,1300,1305,1350,1409,1395,1375,1379,1400,1425,1450,1465,1500,1400,1390,1375,1350,1300,1340,1376,1375,1345,1350,1350,1359,1350,1350,1350,1330,1350,1359
"Denver, CO",21,,,,,,,,,,,,,,,925,932,950,925,990,995,985,950,950,995,975,990,1015,1026.5,1060,1055,1055,1095,1115,1094,1070,1059,1050,1072,1085,1095,1086.5,1091,1125,1150,1165,1190,1200,1200,1195,1200,1202,1250,1283,1295,1300,1350,1350,1375,1365,1375,1395,1427.5,1425,1450,1475,1500,1500,1520,1510,1495,1474,1485,1470,1490
"Pittsburgh, PA",22,,,,,,,,,,,,,,,,,795,725,650,639,695,642.5,625,650,746,750,773.5,790,775,750,719,695,675,675,690,695,720,795,825,900,895,850,850,850,875,825,750,799,850,850,850,860,925,925,965,999,950,987,950,950,950,955,950,990,1000,1000,995,975,950,915,1009,995,1100,1100
"Portland, OR",23,,,,,,,,,800,800,780,786.5,750,750,775,755,792.5,795,832,850,895,850,835,850,875,860,895,890,900,895,900,910,940,905,905,905,895,920,950,940,967,1000,985,1000,1050,1007,1000,1025,1005,1000,1015,1058.5,1099,1120,1175.5,1150,1155,1150,1175,1160,1185,1195,1205,1215,1230,1295,1345,1360,1375,1352.5,1427.5,1400,1400,1428.5
"Charlotte, NC",24,,,895,900,950,950,900,900,950,950,950,975,885,895,900,875,895,900,895,885,895,850,870,879,900,875,895,850,874,895,899,905,940,925,920.5,895,865,895,937,933.5,950,950,970,950,1000,999,965,995,995,995,990,995,1050,1090,1073,1073.5,1049.5,1020,1075,1060,1095,1090,1090,1100,1108,1095,1093,1100,1100,1095,1135,1100,1125,1185
"Sacramento, CA",25,,,,,,,,,760.5,750,768,768.5,800,795,800,827.5,850,825,852.5,850,850,825,825,850,842,829,829,845,825,833.5,825,935,945,925,950,900,885,925,900,932,899,900,900,900,875,875,895,875,900,895,895,900,900,925,950,1000,983,995,988,980,995,1000,1000,1045,1075,1055,1050,1100,1100,1095,1195,1175,1195,1200
"San Antonio, TX",26,,,,,,,,,,921,900,820,754.5,760,792.5,775,775,800,795,841,825,725,725,730,750,862.5,861,823.5,800,812,819,850,850,827,836,809,799,825,890,880.5,850,860,855,875,899,900,910,940,975,969,973,975,959,1000,999,989,995,960,965,995,975,995,962.5,950,952.5,979.5,982,985,976,971.5,1008.5,1017,995,995
"Orlando, FL",27,,862.5,950,995,875,800,800,862.5,850,850,807.5,800,825,849,850,875,875,872.5,850,850,850,850,850,862.5,891,891,900,910,900,900,910,900,885,896.5,885,891,900,895,911,916,950,963,960,950,959,962,975,975,970,975,975,975,1000,1045,1025,1000,1000,1000,1000,1020,1035.5,1040,1050,1069,1075,1050,1100,1115,1134,1150,1189,1188,1195,1185
"Cleveland, OH",28,,,900,900,900,850,907.5,902,794.5,800,795,795,695,699.5,699,650,650,650,675,695,687.5,650,650,665,655,660,670,655,650,663,656.5,700,700,715,725,698.5,695,700,732.5,725,735,700,700,695,675,675,650,695,684,675,658,675,695,695,665,675,694.5,720,757.5,775,750,810,850,870,890,875,850,847,850,815,835,845,820,825
"Kansas City, MO",29,,,,,,,,,,,,,,740,740,815,850,850,875,850,850,775,750,795,750,738,765,750,750,734,728,750,740,725,725,705,700,700,710,700,740,719,725,735,750,770,755,750,750,745,750,769.5,843,784,795,800,785,784,775,775,794,815,825,838,875,900,900,895,900,875,895,875,875,895
"Las Vegas, NV",30,,895,899.5,899,899,850,895,900,850,810,795,750,800,799,795,825,850,825,850,850,825,800,795,800,795,795,795,795,795,795,795,795,795,795,800,799,795,799,825,825,825,875,900,945,950,950,945,995,1000,1000,1000,1000,1025,1050,995,950,950,950,950,995,950,950,950,989,980,995,975,975,950,950,970,999,956.5,975
"Columbus, OH",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,725,725,710,692,705,715,700,705,699,675,699,699,699,699,725,750,759,775,789,799,799,799,800,830,849.5,849,850,865,889,875,850,899,887,900,900,925,895,900,910,899,895
