"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"United States",0,,,,,,,,,,,,,,,1450,1450,1440,1500,1650,1578,1395,1395,1425.5,1450,1396,1450,1500,1475,1500,1560,1600,1600,1590,1580,1600,1580,1700,1722.5,1700,1700,1654.5,1695,1750,1800,1900,1800,1885,1850,1870,1850,1850,1890,1850,1595,1550,1600,1575,1485,1500,1525,1525,1500,1500,1500,1515,1500,1500,1500,1492,1463
"New York, NY",1,1725,1750,1800,1795,1895,1950,1912.5,1950,2000,1950,2000,2000,1900,2075,2050,2090,2075,2100,2175,2155,2100,2095,2000,2025,2100,2095,2100,2150,2150,2142,2150,2150,2195,2195,2195,2150,2195,2195,2195,2200,2200,2200,2200,2250,2250,2230,2250,2200,2250,2248,2250,2290,2290,2192.5,2100,2100,2150,2150,2100,2100,2150,2115,2195,2150,2150,2100,2150,2160,2150,2150
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,995,950,895,875,875,895,945,1000,995,1025,995,995,995,1050,1025,1050,1048,1035,1100,1150,1140,1165,1126.5,1095,1100,1025,1061.5,950,1050,1063,1050,1005,1050,1100,1150,1200,1200,1200,1240,1255,1300,1295,1300,1300,1345,1295,1395,1398,1427.5,1409,1405,1451
"Dallas-Fort Worth, TX",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.5,852.5,868,895,899,895,900,918,820,942.5,959.5,932,876,876,960,955,979.5,920,865.5,949,875,865.5,845,915,877,975,975
"Philadelphia, PA",4,,,,,,,,,,,,,,,,,,,,,,,,750,800,799,800,850,815,825,815,802.5,810,795,777.5,790,750,800,850,850,850,800,799.5,872,846,850,835,795,780,805,850,899.5,850,850,895,850,875,900,817.5,850,845,870,925,925,924,895,900,880,865,890
"Washington, DC",5,,,,,,,,,,,,,,,,,,,,2048,1777,1657,1705,1665,1650,1680,1700,1675,1675,1675,1609,1658,1659,1660,1655,1660,1670.5,1714.5,1682,1630,1620,1600,1630,1665,1629.5,1600,1534.5,1525,1504,1499,1499,1549,1560,1590,1635,1595,1579.5,1575,1600,1600,1599,1604,1586.5,1560,1587.5,1590,1600,1600,1584.5,1595
"Miami-Fort Lauderdale, FL",6,,,,,,,,,,,,1000,1100,1200,1250,1200,1200,1150,1200,1100,1000,998.5,1000,1000,1100,1100,1062,1100,1100,1100,1150,1100,990,1000,1050,1000,1000,1100,1100,1100,1125,1200,1197.5,1200,1150,1200,1300,1280,1200,1175,1127,1300,1200,1200,1200,1250,1250,1200,1250,1250,1390,1400,1400,1354.5,1400,1350,1312.5,1325,1350,1346
"Boston, MA",7,,,,,,,,,,,,,,,,,,1275,1295,1350,1300,1325,1250,1300,1300,1300,1350,1400,1375,1350,1350,1400,1405,1425,1425,1425,1400,1400,1425,1450,1450,1450,1453.5,1475,1450,1495,1475,1485,1495,1500,1500,1500,1500,1550,1550,1550,1550,1585,1595,1595,1575,1575,1575,1585,1595,1600,1600,1600,1600,1645
"San Francisco, CA",8,,,,,,,,,,,,,,,,,,,,,,1495,1395,1495,1537.5,1650,1625,1595,1635,1695,1615,1525,1500,1595,1610,1742,1747,1750,1734,1795,1750,1840,1884,1899,1995,1981,2000,2050,2043,2000,2050,2099,2016,2107.5,2200,2200,2295,2290,2255,2192.5,2212.5,2150,2200,2184.5,2200,2200,2324.5,2275,2280,2300
"Phoenix, AZ",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,585,549.5,526.5,523,529,570,598,575,535.5,549.5,570,579,644,625,550,595,600,623.5,619,619,619,610,619,619,619,619,609,609,615,622,637,617,600,627,645,644,645,645,725
