"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,10000,10000,10000,10000,10000,10000,10000,9900,9990,10000,10000,9900,10000,9951,9742,9500,9500,9100,9100,9100,9100,9000,9000,8500,8000,7900,7326,7500,7500,7400,7100,7400,7500,7600,7900,7500,7600,7400,7000,7000,7000,7000,7000,7000,7600,7900,7800,7500,7600,7500,7000,7000,7000,7000,7100,8000,8308.5,8700,8500,8000,8000,8000,7100,7175.5,7500,7900
394913,"New York, NY",1,19900,18600,16000,16000,16000,16000,16000,15100,15100,16000,15010,15000,16000,15900,15000,15000,15000,15000,15000,15000,15000,15000,14863.5,14000,14900,14900,14000,14100,14100,14000,14000,15000,14900,14900,14000,14000,14000,14000,14000,13000,14000,14000,14000,14900,15000,15000,14100,14000,15000,14900,14000,11900,13000,14000,14000,15000,15000,15000,14500,14000,14900,14900,14000,11999,14000,14000
753899,"Los Angeles-Long Beach-Anaheim, CA",2,20000,20000,19000,17400,18000,19000,16500,18700,17351,19000,19000,18000.5,16000,16000,15000,15000,15100,15003,16000,19100,19600,20000,20000,20000,20000,20000,20000,20000,20000,20000,20500,21000,24000,20100,20000,19901,19000,17000,15100,15000,15000,15000,15100,15500,15005,16000,15900,15000,15112,15000,15000,15000,15100,15007,18000,20000,20000,20000,20000,20000,20000,20000,20000,19000,20000,20000
394463,"Chicago, IL",3,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9000,9900,9999,9900,10000,9900,9600,9500,9100,9000,8600,8000,7000,7900,8000,8000,9000,9000,9000,9600,8100,8700,8600,7501,7600,8000,7900,8000,8001,9000,9100,9000,8900,9000,8500,8000,8000,8000,8000,8100,9100,9100,9100,9000,8000,8600,8000,7000,7400,7000,7500
394514,"Dallas-Fort Worth, TX",4,7000,6400,6000,5709,5600,5900,6000,5776,5500,5500,5600,5500,5500,5900,5600,6000,6000,5173,5555.5,5900,5500,5500,5100,5100,5100,5100,5100,5000,5400,5100,5100,5500,6000,5900,6000,5100,5100,5500,5500,6000,5999,5500,6000,6000,6000,6500,6000,6005,6500,6900,6000,6500,7000,8500,8996,9100,9897.5,9600,9100,8000,8900,9011,8000,7000,9446.5,9600
394974,"Philadelphia, PA",5,10000,10000,9900,9163,9900,9703,9500,9400,9900,9900,9900,9500,9600,9500,9000,8000,9100,9000,8600,8100,9000,9000,8100,8000,7750,7500.5,6409,6100,7000,7000,6100,7000,7500,7000,7200,6600,7900,7000,6000,6900,7000,7000,7000,7000,7900,7600,7100,7000,7500,7000,7000,7000,6400,6900,7000,7000,8000,7500,7000,6625,7100,7400,6500,6900,7000,7000
394692,"Houston, TX",6,7000,6100,6400,6000,6280,6900,6000,6000,6500,6000,6000,6686,6000,6000,6000,6000,6000,6000,5848,6000,6000,5900,5900,6000,5990,5600,6000,6000,6139.5,5500,6000,6000,7000,6000,6100,6400,6900,6000,6500,6100,7000,7000,6900,8100,8000,8100,9000,8000,8000,9900,9000,9367,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
395209,"Washington, DC",7,15000,12500,12000,10999,12000,11000,11500,10900,12449.5,12500,12220,11000,11680,12100,12000,10100,10900,10900,12000,12285,13900,13000,11000,11000,11000,10900,10100,10001,11000,11000,10990,14000,14000,13877,12000,10000,10090,10001,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394856,"Miami-Fort Lauderdale, FL",8,11000,10000,10000,10000,10000,10000,10400,10100,10500,10990,10900,10100,10125,10160,10000,10000,10000,10100,10860,10675,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394347,"Atlanta, GA",9,10000,10000,10000,9900,10000,10000,9900,10000,9900,10000,9900,9500,9900,9520.5,9100,9000,8900.5,9100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,9600,9900,9000,7900,8000,8000,6975,7500,7900,9000,7995,8000,6500,6900,6900,6500,6825,6000,6000,7000,7505,7600,7500,6900,6647.5,6600,6050.5,6180,6000,6000,6000
