"RegionName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"United States",0,4.52,4.82,4.36,4.14,3.83,3.56,3.56,3.58,3.83,4.24,4.39,4.59,4.74,4.71,4.44,4.26,3.81,3.65,3.71,3.78,4.11,4.23,4.49,4.72,5.15,5.56,5.46,5.4,4.87,4.41,4.42,4.42,4.52,4.72,4.87,5.11,4.95,4.92,4.5,4.39,3.93,3.74,3.68,3.81,3.95,4.19,4.49,4.7,5.29,5.14,4.75,4.84,4.57,4.47,4.58,4.67,4.89,5.23,5.9,6.36,6.81,6.51,6.24,6.05,5.7,5.52,5.62,5.94,6.62,7.12,7.54,8.45,8.89,8.64,8.21,8.11,7.99,7.69,7.73,8.55,9.39,10.14,11.1,12.45,14.16,14.51,14.41,14.64,14.42,14.4,14.76,15.44,16.99,18.25,20.52,21.99,24.01,24.61,23.61,23.63,22.75,22.27,22.45,22.69,23.27,23.6,23.89,26.64,29.48,29.41,27.95,26.55,25.82,26.03,28.24,28.71,28.93,29.19,29.79,28.41,31.54,34.18,33.17,31.83,31.16,30.41,30.24,30.86,31.41,32.26,32.92,33.89,35.02,34.93,34.01,32.38,31.1,31.11,30.5,30.47,30.31,30.77,30.66,30.42,30.6,30.29,29.12,28.18,26.59,25.64,24.74,24.43,24.67,24.59,24.56,25.26,25.28,24.61,23.77,23.28,22.26,21.54,20.97,20.94,21.12,20.92,21.33,21.57,22.24,21.77,20.85,20.21,18.97,18.56,18.19,18.23,18.16,18.17,18.25,18.07,17.3
"New York, NY",1,3.04,3.84,3.48,3.95,3.39,3.21,2.59,2.84,2.54,3.19,3.17,3.36,3.31,4,4.33,3.85,2.96,3.28,3.26,2.87,2.97,3.71,3.1,3.97,4.29,4.48,4.92,4.64,4.54,4.09,3.51,3.66,3.62,3.86,4.08,3.74,4.12,4.35,4.96,4.5,4.05,3.69,2.94,3.35,3.03,3.11,3.57,3.98,4.52,4.14,4.36,3.99,3.82,3.64,3.24,3.24,3.43,4.02,4.04,4.33,4.02,4.92,5.07,4.85,4.02,3.88,4.12,4.26,4.59,4.93,6.34,6.34,7.02,6.64,5.57,4.61,4.44,4.48,5.69,6.12,7.63,6.4,7.07,9.09,9.39,8.88,10.19,10.11,10.87,10.25,10.72,10.57,11.96,12.77,13.46,15.08,16.12,18.35,20.51,20.06,19.67,19.03,18.83,18.28,18.56,18.75,19.81,19.89,19.86,21.45,22.57,22.01,22.19,19.89,19.9,21.31,21.47,21.71,20.94,21.35,22.78,23.86,24.36,24.04,24.48,23.84,21.81,22.88,23.46,24.69,24.16,24.6,25.7,27.7,26.64,26.88,25.7,25.73,26.1,24.27,24.64,25.91,25.58,24.65,25.11,26.94,25.77,25.9,23.97,24.77,23.54,22.42,22.82,22.29,21.79,21.74,21.94,21.57,22.78,21.81,20.74,21.75,21.16,20.55,20.43,19.47,21.18,19.73,19.57,20.78,20.81,20.48,20.31,19.29,18.96,18.43,18.3,17.42,17.47,17.66,17.23
"Los Angeles-Long Beach-Anaheim, CA",2,3.18,2.84,2.49,2.43,2.1,1.86,2.21,1.64,2.16,2.35,2.31,2.05,3.42,2.49,1.92,1.76,1.65,1.63,1.72,1.71,1.81,1.71,2.06,2.47,3.35,2.74,2.13,2.3,1.8,2.15,1.68,1.94,1.85,1.97,1.93,1.95,2.28,1.72,1.93,1.81,1.61,1.49,1.64,1.64,1.83,1.9,2.05,2,2.87,2.07,1.65,1.68,1.66,1.78,3.22,2.06,2.05,2.34,2.92,2.56,3.67,3.47,3.41,3.38,2.97,1.97,1.92,2.17,2.28,2.47,3.44,3.5,3.51,4.46,3.93,4.56,4.62,5.47,5.27,5.79,8.09,8.94,10.14,12.96,14.63,17.74,17.1,18.09,19.56,21.81,22.81,24.12,28.19,29.58,32.46,34.53,35.93,35.19,31.95,34.51,31.53,28.81,29.41,31.99,29.18,33.71,31.82,33.67,36.01,37.34,35.3,35.46,32.95,35.74,35.11,34.55,33.55,35.02,35.91,34.9,38.82,39.76,39.18,32.36,36.4,35.72,33.53,34.78,34.26,37.56,37.28,40.06,39.62,38.25,41.37,35.06,34.25,32.39,32.01,31.99,31.31,30.88,31.06,29.96,28.53,27.23,24.06,20.75,20.1,17.56,16.46,15.37,15.22,15.46,15.61,15.77,14.07,13.08,12.75,11.98,11.6,12.13,11.02,10.72,10.67,10.68,9.73,10.86,10.49,10.71,9.59,9.91,9.38,8.08,8.98,8.69,8.7,8.35,9.54,8.76,7.99
"Chicago, IL",3,2.31,2.8,2.47,2.83,1.64,1.76,1.99,1.75,1.97,2.19,2.18,2.56,3.06,2.51,2.79,2.58,2.44,1.91,1.78,1.57,1.87,1.83,2.15,2.09,2.68,2.82,2.53,2.37,2.44,1.56,1.98,2.18,2.08,2.03,2.46,2.44,2.79,2.69,2.62,2.6,2.3,2.17,2.27,2.01,2.21,2.45,2.75,2.57,3.16,2.92,2.97,2.67,2.4,2.82,2.5,2.4,2.62,2.8,3.27,3.89,3.68,3.76,3.73,3.23,3.1,3.11,3.46,3.21,3.4,4.25,4.48,5.51,6.05,5.32,5.07,5.97,5.14,5.04,5.61,5.84,6.72,7.78,9.47,11.85,11.71,14.42,14.45,14.56,14.4,14.69,14.92,15.66,17.4,19.85,21.45,22.12,26.03,28.48,29.53,28.58,29.78,28.41,27.5,27.14,29.02,28.53,30.8,31.89,36.66,38.61,37.6,36.07,36.02,35.4,37.72,37.95,37.8,41.68,40.57,39.69,41.54,44.25,43.72,40.6,41.98,40.52,40.09,40.99,42.76,41.61,42.59,41.83,44.57,45.99,50.39,49.11,47.77,47.65,46.1,46.81,47.44,50.14,48.06,48.06,45.41,46.17,48.91,46.33,42.99,42.15,40.36,38.48,41.19,38.65,36.98,36.85,41.75,40.38,39.97,38.94,37.16,34.26,35.35,34.38,32.67,34.99,33.23,33.39,34.97,35.99,34.5,33.54,33.15,31.64,30.97,30.5,31.24,30.93,30.91,32.47,33.01
"Dallas-Fort Worth, TX",4,3.53,3.03,2.79,2.65,2.78,2.16,2.95,3.17,2.93,3.25,3.4,4.19,4.61,3.37,3.64,3.6,3.35,3.33,3.31,4.34,4.01,4.7,4.21,5.75,4.84,4.01,4.5,4.83,5,4.48,4.48,5.24,5.1,5.09,5.33,4.99,4.43,4.15,4.33,3.6,3.96,4.36,4.18,3.71,4.25,4.1,4.39,5.37,4.23,4.91,6.2,4.81,4.81,4.2,4.48,4.96,5.13,4.78,6.69,5.35,5.99,5.73,5.84,5.41,5.79,5.89,5.87,5.41,7.21,7.06,6.8,6.65,8.46,8.09,10.07,7.25,7.75,7.07,7.7,8.26,10.36,9.54,11.71,12.3,14.67,14.99,13.28,13.38,12.54,13.66,13.76,16.12,14.59,17.98,17.45,20.21,19.87,22.43,18.51,18.08,16.89,18.98,18.41,17.64,17.18,17.97,25.98,19.94,21.09,22.38,21.27,23.79,21.49,23.38,22.53,23.12,24.36,25.27,26.49,28.7,29.92,29.33,29.5,28.47,27.38,29.51,27.18,28.8,30.66,29.04,29.78,31.27,31.33,32.76,30.73,28.65,27.44,27.9,26.14,26.42,28.8,27.48,28.6,27.32,29.27,27.16,25.66,21.89,20.44,18.52,18.45,17.77,18.57,18.28,18.57,18.26,18.06,17.62,15.55,15.1,13.58,13.54,13,12.13,12.93,12.73,12.08,12.21,12.91,11.51,12.21,10.18,10.5,15.02,13.11,15.13,13.5,13.29,11.29,8.77,7.33
"Philadelphia, PA",5,5.85,7.23,5.27,3.01,3.05,2.78,2.34,1.96,2.24,2.68,2.7,2.52,2.57,2.58,3.31,3.2,2.71,2.72,2.17,2.23,2.53,2.25,2.45,2.53,2.69,3.08,3.3,2.71,2.67,2.31,2.4,2.57,2.71,2.62,2.5,3.39,3.91,3.73,4.06,4.49,3.85,3.03,2.86,3.79,3.26,3.53,3.7,3.76,4.37,6.29,5.96,5.66,5.25,3.99,3.59,4.13,4.61,4.89,4.85,4.1,4.93,5.81,5.11,5.36,4.46,4.21,3.62,4.27,4.3,4.32,5.43,5.9,6.16,5.76,6.77,5.86,5.82,5.09,4.35,5.08,5.53,6.32,7.03,7.07,8.37,10.21,8.55,9.22,8.28,8.57,7.76,8.7,9.04,10.78,12.19,13.26,16.3,16.5,14.33,14.36,13.83,15.33,13.75,14.09,14.22,14.19,13.14,15.16,17.99,18.45,16.68,16.69,15.02,15.6,17.41,18.61,18.23,17.74,18.07,19.88,19.84,23.12,22.23,23.78,20.91,19.64,23.15,20.42,20.99,21.22,22.36,21.49,22.81,24.17,23.5,22.56,23.15,23.35,23.23,23.38,22.15,24.12,22.99,23.21,22.55,23.53,24.23,24.31,24.6,23.29,23.96,22.42,23.42,22.5,22.35,23.06,24.32,24.53,24.26,24.24,23.06,22.37,21.13,21.27,21.38,20.63,20.5,22.69,22.1,24,21.34,21.54,22.27,21.4,19.21,20.4,20.75,21.66,21.01,20.56,25.27
"Houston, TX",6,5.5,5.69,4.79,6.2,4.49,6.1,5.86,5.12,6.04,5.97,6.46,6.44,6.68,7.25,6.47,5.9,5.97,6.58,5.19,5.75,6.98,5.86,6.77,6.73,6.9,5.58,5.56,5.96,6.3,6.31,6.56,7.03,6.74,6.08,6.81,6.78,3.52,3.35,2.72,3.22,2.45,2.97,2.69,2.73,2.71,2.61,3.18,3.92,2.78,2.7,2.33,2.99,3.4,2.69,2.56,2.54,3.53,3.15,3.25,3.63,3.18,4.92,3.9,3.12,4.11,3.72,4.35,3.62,4.43,4.93,4.83,5.95,7.96,5.69,5.78,6.37,7.42,7.68,7.91,8.17,7.83,8.37,8.56,8.15,15,14.27,15.39,15.6,15.21,14.6,14.73,16.78,16.94,16.04,16.04,17.66,18.12,19.05,19.2,17.98,19.43,18.45,19.15,18.22,18.95,15.81,17.98,18.78,19.79,17.18,18.97,20.7,21.88,19.72,23.02,22.4,22.31,22.62,24.45,24.85,25.32,27.44,26.3,26.48,25.39,25.6,24.86,25.4,25.85,26.73,28.03,28.14,28.8,27.71,29.13,26.51,25.72,26.9,25.75,26.56,25.87,25.45,24.75,26.86,26.75,24.8,21.7,24.48,24.21,21.93,22.7,23.08,22.38,21.66,21.11,20.72,20.19,21.35,20.33,19.4,19.33,14.67,17.27,18.55,19.03,16.54,15.94,15.4,19.88,14.18,17.86,14.9,13.39,12.53,14.59,13.16,12.33,13.36,11.6,13.06,9.59
"Washington, DC",7,2.75,5.5,4.66,3.29,3.43,3.1,2.3,2.74,3.28,3.71,4.19,4.24,4.43,4.16,3.51,3.69,2.88,3.17,2.8,3.02,3.41,3.86,3.94,3.48,4.35,4.07,4.64,4.09,3.84,3.64,3.61,3.66,3.97,4.43,4.48,4.41,4.2,3.72,3.31,3.26,2.82,2.3,2.57,2.86,2.53,3.19,3.41,3.5,3.78,3.38,3.57,3.64,3.03,3.68,3.28,3.38,3.93,4.39,4.77,5.59,5.49,5.71,5.28,4.75,4.17,4.51,3.9,4.44,5.06,5.64,5.98,6.69,7.29,6.88,7.41,7.15,6.04,6.43,7.2,7.73,8.79,10.67,10.97,11.93,14.51,15.87,16.39,17.56,17.24,16.6,17.04,18.86,22.01,24.38,27.62,29.08,31.68,33.75,34.77,32.65,30.82,28.79,29.69,27.13,30.58,30.95,29.98,29.23,42.83,37.04,34.06,31.33,28.49,29.8,30.93,29.14,30.02,30.61,32.33,28.96,34.64,35.52,35.5,33.55,31.55,26.5,28.32,30.85,29.42,32.49,33.37,33.47,35.4,35.47,29.28,31.51,27.64,27.92,26.2,25.01,24.34,26.21,24.32,24.14,25.88,25.65,23.01,22.5,20.79,21.67,19.39,20.65,22.61,22.27,22.29,22.1,21.51,21.67,21.4,20.92,18.79,18.66,17.27,19.4,20.31,19.05,20.04,19.99,22.06,22.05,18.57,19.96,17.51,18.02,17.78,18.11,19.19,19.92,19.91,20.46,19.84
"Miami-Fort Lauderdale, FL",8,3.96,4.16,4.35,4.72,3.77,3.58,3.8,3.13,3.39,3.39,3.79,3.84,3.37,3.2,2.92,2.92,2.95,2.74,2.82,2.92,2.83,2.56,2.84,3.07,3.47,3.16,3.16,2.92,3.09,2.96,2.55,2.66,2.54,2.68,2.84,2.84,2.91,2.93,2.59,2.5,2.04,2.16,1.9,1.61,1.57,2.1,2.99,2.51,2.38,2.61,3.39,3.54,3.67,4.05,5.99,4.95,4.96,5.14,4.56,4.87,5.15,4.92,4.22,3.28,3.38,3.07,3.39,4.11,3.91,4.39,4.94,4.94,4.29,5.35,4.89,5.4,5.86,6.6,6.65,8.15,8.28,9.89,11.49,14.38,14.28,16.55,17.87,18.04,20.03,20.67,23.99,25.63,28,31.51,36.35,32.78,40.08,40.38,40.31,39.07,40.77,42,41.83,40.73,42.35,42.54,42.47,45.4,50.03,48.89,48.28,44.72,44.55,46.39,42.56,47.68,52.27,52.01,51.3,50,53.02,52.91,50.37,48.09,48.78,47.68,45.35,48.05,47.79,49.5,48.55,51.86,49.36,48.69,45.76,41.61,41.32,42.03,40.47,42.11,42.33,43.1,42.7,41.34,41.66,38.9,35.61,33.24,32.28,32.24,30.31,29.2,27.51,30.06,25.42,27.42,27.09,26.97,22.06,23.29,23.6,21.07,21.09,20.92,21,19.28,20.01,20.59,21.19,19.77,18.4,18.28,17.34,17.19,17.57,17.73,17.41,16.78,16.91,17.1,16.75
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65,45.85,46.69,41.67,44.97,44.42,42.36,41.88,42.09,46.41,45.18,44.37,47.54,48.5,42.28,50.2,47.44,43.17,46.15,49.89,50.68,48.08,48.63,50.77,57.68,53.99,59.8,50.18,51.78,50.27,52.11,52.81,50.96,53.91,52.42,53.12,54.32,53.9,56.3,48.98,49.85,52.47,52.11,46.73,53.85,51.58,50.32,48.88,48.19,45.73,50.4,50.33,47.55,42.92,39.57,41.07,39.44,40.59,38.65,42.17,37.9,37.58,39.16,36.18,34.29,31.78,30.53,30.11,29.83,31.66,31.46,31.41,31,32.28,32.94,28.83,26.73,25.71,24.39,22.62,23.81,23.65,25.68,24.98,26.06,28.11
