"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,68500,68200,67700,67500,67400,67200,67100,67000,66900,67000,67400,67700,67800,68000,68400,68700,68900,69100,69300,69700,70200,70500,71000,71400,71500,71600,72100,72700,73200,73400,73900,74300,74600,75000,75300,75800,76300,76600,76800,77200,77700,78300,78900,79300,79600,80100,80700,81300,82000,82900,83400,83800,84300,84900,85600,86300,86900,87800,88500,89300,90100,90900,91700,92500,93300,94100,94600,95400,96300,97100,97500,98100,98800,99600,100300,101100,102100,103200,104200,105000,106000,107000,107900,108800,109700,110700,112000,113300,114200,115100,116100,117200,118400,119500,120900,122300,123800,125600,127300,129000,130700,132300,134000,135700,137300,138900,140500,142600,144300,145900,147700,149600,151300,152900,154800,156500,158200,159700,161000,162100,163200,164000,164500,164800,165100,165300,165200,165100,165000,164800,164700,164500,164300,164000,163300,162500,162000,161300,160300,159200,158000,157000,155700,153800,151700,150000,148400,147000,145500,144100,142700,141400,140100,138800,137600,136400,135000,133500,132200,131000,130200,129400,128600,128000,127300,126600,125800,125100,124800,124200,123300,122200,121400,120500,119800,119000,118100,117200,116400,115700,115000,114500,113900,113300,112700,112000,111200,110900,110800,110700,110700,111000,111600,112300,112900,113500,113600,114100,114700,115200,115500,116300,117200,117900,118600,119800,121300,122600,123800,124900,125900,126800,127800,128800,129700,130300,130600,130900,131300,131400,131800,132500,132900,133200,133600,134000,134800,136000,136900,137800,138600,139100,139500,140300,141000,141900,142600,143100,143500
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252500,254400,257300,259900,259900,259700,262600,267100,270700,274300,277500,280000,282700,285700,288900,292300,293900,294400,296800,300500,302400,302900,302700,301800,301000,300700,300300,300100,298100,295100,293400,293800,294500,295400,295100,294200,294000,294400,294000,292800,290700,288900,288100,287700,286300,284700,283300,282100,280500,277900,275200,273600,272900,272200,271200,269700,268000,266400,264400,262500,261400,260400,259300,258300,257400,257100,257000,256200,255000,253800,252900,251900,250700,249500,248200,246800,245700,244400,243100,241600,239500,237100,235300,233700,231900,230400,229300,228400,227100,225600,223500,221800,220900,220900,221000,221000,220700,220400,220400,221000,221700,222100,222500,222800,222500,223000,224600,226300,227700,229500,230600,230700,230500,230600,230500,231400,234300,236100,235700,235400,236000,236300,237000,238000,238500,238500,238900,240300,241300,241200,240500,240500,241200,242000,242300,242400,242600,243400,244500
753899,"Los Angeles-Long Beach-Anaheim, CA",2,95000,93500,92600,91800,91500,91500,91400,91300,91300,91300,91400,91500,91700,92000,92300,92500,93000,93900,94700,95700,96900,98100,99200,101100,103300,105100,105800,106400,107000,107900,109000,109800,110000,110100,110600,111400,112400,113300,113800,114300,114800,115500,116500,117800,119200,120500,121500,122400,123500,124800,126500,128400,130000,131100,132100,133500,135400,137600,139800,141600,142600,143500,144900,146400,147900,149600,151000,152600,154800,157300,159700,162000,164400,166500,169000,171800,174500,176900,179800,183500,187500,190900,194000,198000,202000,205600,208600,212500,217500,223600,229500,234700,239900,245400,251400,258500,267300,277200,286700,294800,301300,306300,309900,312500,314900,318200,321900,325300,329100,333900,339400,345500,351400,356900,362900,368400,372300,375200,378000,379900,380200,381000,383000,384500,384900,385000,384500,383000,381700,380700,379400,377300,375400,373200,370200,366700,363400,359900,356900,354200,351300,347700,342800,336600,329600,322200,314700,307600,301800,297000,292500,288700,284600,280200,276200,272800,269300,266300,263900,262300,260700,258800,257100,255800,254900,254300,254000,253400,252300,250600,248100,245400,243300,241300,239200,237600,236300,234700,233100,231700,230100,228100,226300,224300,221700,219500,218000,216600,215300,214400,213700,213300,213900,215400,217100,218600,220400,222900,225800,228500,231900,236200,240900,246200,252100,258500,265000,271100,277100,282800,287400,290700,293700,296800,299300,302300,306100,308800,309600,310100,310900,311900,312900,313900,314700,316300,318900,321500,323600,325400,327700,330800,334000,335700,336800,338600,340800,342500,343700
394463,"Chicago, IL",3,87100,86700,86000,85600,85400,85500,85400,85600,85900,86100,86200,86500,86600,86200,86100,86400,86700,87100,87500,87800,88200,88700,89200,89500,90000,90600,91000,91400,92000,93000,94000,94700,94900,95200,96000,97200,98300,99300,100200,101000,102100,103000,104000,105300,106800,107900,109100,110200,111800,113700,115900,117700,118700,119200,119900,121100,122800,124600,126000,127300,128500,129700,130800,132100,133700,135500,137400,138900,140500,142100,143000,143700,144500,145100,145800,146400,147000,147700,148300,148600,149400,150600,152100,153700,155000,156200,157300,158600,159500,160000,160200,160300,160400,160600,161200,161300,161500,162100,162800,163500,164400,165200,165900,167300,167500,166800,166900,168200,168900,169600,170500,171200,171500,172200,173000,173500,174200,175500,176500,176800,177200,177500,177400,177500,177800,177500,177000,177000,177500,178100,178300,178300,178400,178200,177800,177200,176600,176500,176700,176500,176600,176600,176400,175500,174400,173400,172500,171200,169900,168900,167500,165800,163100,159400,155800,153300,151500,149500,148000,147100,146300,145500,144800,143900,143200,142700,142000,141400,140700,139700,138500,137300,136000,134400,132600,130500,128200,126500,125400,124100,122500,120500,118400,116400,114600,112700,110500,108800,107800,107000,106200,105600,105100,104700,104100,103400,102500,101600,101300,101700,102100,102400,102700,103100,103500,104300,105500,106800,108600,110400,112600,114800,116200,117200,118000,118200,118600,119400,120100,120700,121200,121800,122200,122200,122400,122700,122900,122800,122900,123600,124700,125600,126200,126100,126000,126000,126400,126900,127200
394514,"Dallas-Fort Worth, TX",4,51300,51000,50800,50700,50600,50700,50800,50900,51000,50900,50900,50900,50600,50400,49800,49300,48600,48200,47900,47700,47600,47600,47700,47900,48100,48200,48600,49000,49500,49500,49400,49700,50100,50800,51100,51700,53100,54700,56100,56500,56600,56600,56700,56900,57100,57400,57600,57400,57000,56600,56500,56700,57100,57500,57500,57300,57300,57300,57400,57400,57500,57500,57400,57200,57100,57300,57800,58300,58600,58400,58400,58500,58700,58700,58600,59000,59500,59900,60300,60500,61000,61400,62000,62500,63000,63200,63500,64100,64400,64700,64600,64700,64700,65100,65400,65900,66600,67600,68500,69000,69400,69700,70100,70400,70500,70500,70700,71000,71400,71500,71700,71700,72000,72100,72300,72800,73300,73800,74000,74100,74200,74200,74300,74600,75000,75500,75900,75900,75800,75900,76300,76800,77100,77200,77100,77300,77400,77600,77700,77900,78300,78200,77800,76800,75800,75000,74300,73700,73300,73200,73300,73400,73700,74100,74600,75100,75500,75700,75800,75700,75500,75200,75200,75300,75000,74800,74600,74300,73700,73400,73100,72600,71900,71300,70500,69800,69000,68400,67700,67400,67100,67000,67000,66900,66600,66200,66300,66200,66200,66100,65900,66000,65800,65700,65800,66300,66900,67200,67000,67200,67700,68300,68800,69400,70000,70500,71000,71300,71900,72300,72900,73200,73700,74000,74300,74700,75200,75700,76600,77400,78200,78800,79300,80000,80500,81100,82200,84300,86700,89200,91000,92800,94500,96600,98700,100700,102500,104100,106200
394974,"Philadelphia, PA",5,73400,72700,72400,71900,71300,70900,70500,70100,69800,69700,70000,70300,70200,69900,69500,69400,69400,69300,69100,69100,69400,69900,70300,70600,70700,71100,71600,71700,71700,71900,72300,72500,72800,73100,73200,73600,74200,74600,75000,75700,76300,76700,77100,77500,77900,78300,79000,79400,79800,80400,81200,81500,82000,82700,83500,83900,84600,85500,86000,86400,87100,87600,87800,88200,88900,90000,90900,91400,91500,91700,92000,93000,94300,95400,96200,97400,98800,100300,101500,103100,104800,106500,108300,110000,111400,112700,114000,115300,116600,117900,119800,122000,123900,125300,126600,128200,130000,131800,134400,137200,139200,140200,141600,143300,145100,146500,148100,149500,151100,152900,154500,155900,157600,159300,160600,162000,163200,164300,165500,166500,167200,167800,168500,168900,169200,169500,169700,169800,170000,170800,171700,171900,172000,172300,172100,171900,172100,172300,171800,170700,169600,168600,167500,166500,165800,165400,165000,164800,164500,164100,163900,163600,163600,164100,164600,164700,164600,164000,163800,163900,163800,163800,163900,164000,163700,163100,162300,161500,161000,160700,160000,158900,157800,156800,156100,155400,154800,154300,154000,153400,151900,150200,149200,148700,148100,147400,146300,145200,144700,144500,144200,143800,143700,143600,143400,142600,141500,140900,141300,142000,142600,142900,143000,143000,143400,143900,144400,145100,145900,146700,146900,147000,147400,148500,149400,150300,151900,153900,154600,154800,155500,156100,156500,157100,156400,154500,153800,154500,155200,155500,155600,155900,156200,155800,155400,155900,156700,157000,157300
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81700,81700,82300,81900,81400,81400,82600,82600,82300,81000,82300,84300,83800,82100,79300,80000,80300,80700,80100,79300,78500,78300,78700,80100,82100,84300,87000,88500,88700,87600,87200,87600,89100,90200,90300,88800,87700,89300,92300,95100,96300,95700,95100,94900,94500,93900,93200,94000,94700,92200,86600,81200,78600,77700,76400,75600,75700,76400,76600,76500,77200,78700,80900,82500,84400,85900,86800,87500,87700,88000,87900,88900
395209,"Washington, DC",7,85700,85000,84100,83200,82800,82700,82800,82900,83000,83100,82900,82600,82100,82600,84400,86000,86100,85900,85700,85700,86000,86400,86800,87500,88100,88000,87700,87600,87900,88000,88500,89100,89400,89400,89800,90800,91900,92900,93700,94100,94500,95100,95900,96500,96900,97700,99200,100500,101300,102000,103000,104100,105200,106200,107100,108100,109400,111000,112900,114700,116500,118100,119900,122500,125400,127800,130200,132600,135000,137300,139100,141100,143300,146300,149300,152600,156000,159800,163100,166500,170000,173300,176300,179000,181000,182700,184200,185900,188400,191300,194200,197900,202400,206900,211100,215400,220600,226600,232700,238300,243900,249800,255500,260200,264900,269900,274900,280300,286600,292900,298500,303100,306300,308300,310200,311800,312300,311800,310600,309000,307100,304500,301400,297900,294300,291200,288900,286800,284800,283500,283300,283200,282800,282200,281400,280300,278800,277500,276000,274200,272300,271000,269500,267700,265900,263900,261900,260600,259800,259000,258100,257100,256400,255200,253700,252000,250500,249300,248200,247800,248200,248500,248900,249400,249800,249700,249700,249500,249500,249700,249700,249400,248800,247700,246300,245200,244400,244000,243800,243800,243200,242600,242400,242500,242800,243000,243500,243700,243400,242900,242800,242800,243000,243200,243500,243800,243900,244000,244400,245300,246700,247400,248100,249000,250400,252800,255900,258800,261500,264000,265700,266900,268600,271200,272900,273900,274800,275500,275400,275000,274000,273500,273500,273600,273200,273400,274600,276300,276700,275900,274700,273700,272900,272700,272900,273500,273900,273900,273800
394856,"Miami-Fort Lauderdale, FL",8,46200,45800,45700,45600,45500,45400,45200,44900,44800,44900,45000,45000,45000,45100,45300,45400,45600,45800,45900,46100,46400,46700,46700,46800,47000,47200,47500,47600,47600,47500,47800,48100,48200,48200,48300,48500,48800,49200,49400,49500,49700,50000,50100,50100,50400,50700,51200,51600,52100,52300,52600,53100,53400,53800,54300,54800,55200,55500,56400,57300,58000,58500,59100,59900,60600,61200,61900,62900,63700,64600,65400,66300,67200,68300,69200,70000,70800,71600,72600,73700,75000,76300,77700,79000,80400,81600,82500,83200,84400,85700,87100,88500,90200,91800,93000,94300,95800,97900,100600,103700,106800,110100,113000,115700,118800,121700,124500,127900,131800,135400,139300,143600,147800,151400,154700,157500,160000,162500,164800,166600,168000,169300,169900,170000,170200,170600,171100,171200,170400,169400,168700,168100,167200,166000,164800,163300,161700,160100,158400,156600,154300,151500,148300,145100,141500,137300,133300,129500,125100,120100,115200,110200,105600,102200,98900,94900,91000,88000,85400,82900,80500,78400,76500,75000,73800,72700,71700,70600,69400,68300,67100,65900,65000,64200,63000,62300,61900,61200,60800,60500,60400,60000,59600,59100,58700,58700,59000,59400,59700,59900,60200,60400,60700,61300,62100,63000,63900,64800,65800,67000,68100,69100,70000,71100,72600,74000,75400,77000,78500,80100,81700,83200,84600,86200,87300,88600,90400,92400,94100,95100,95700,96200,96900,97700,98300,98900,99800,101100,102200,103100,103800,104800,105900,107000,107800,108400,108700,109300,110200
394347,"Atlanta, GA",9,82200,82700,82400,82000,81700,81300,80800,80200,79900,80300,81300,82600,84200,85900,87200,87900,88500,89100,89700,90200,90500,90600,91300,92100,92800,93500,94700,96200,98000,99800,101200,102600,103800,105200,107000,108400,109000,109900,112100,114900,117400,119900,121400,122700,124600,126400,127200,127900,128800,129700,130500,131200,132000,132900,133700,134700,135900,137200,138300,139400,140100,140200,140200,139900,139600,139700,140600,141700,141700,141500,141900,142500,143000,143300,142700,141900,141600,142000,142600,142800,142700,142700,142800,142600,142500,142800,143300,143600,143600,142800,141900,141900,142500,142500,142300,142700,143200,143500,143900,144400,144900,145500,145800,145700,145700,146200,146900,147600,148000,148200,148800,149700,150100,149900,149700,149600,150000,150500,150400,149600,149300,149600,149800,150000,150500,151200,151900,152600,153200,153300,153300,153300,153400,153200,153000,152300,151800,151600,151800,151900,151300,150300,149100,147900,147100,146700,145900,144900,143300,141800,140300,138600,137100,136400,135500,134000,132200,130600,129400,128300,127400,126500,125400,124400,123600,122500,121300,120000,118500,117200,115900,114700,113400,112200,110700,108900,106500,104400,103600,103700,103000,101100,98800,96700,94900,93400,91900,90900,90800,90700,90100,89300,89100,88700,88200,88400,88700,89200,90000,90600,91000,91700,92600,93800,95000,96400,98200,100100,101700,103000,104600,106500,108300,109400,110300,111100,112600,114400,115900,116800,118300,119500,119900,120300,121100,121800,122400,122900,123500,125100,127300,129300,130700,131800,133000,134500,135600,136500,137300
