"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,203200,203300,202900,202300,202200,202000,201900,202200,202900,203700,204500,205300,206100,206900,207900,209000,209800,210800,211800,212800,214000,215500,216900,217700,217900,218200,219600,221600,223300,224400,225500,226700,228200,229700,231000,232600,234200,235800,237300,238600,239800,241100,242600,244100,245500,247200,249300,251100,252800,254800,256400,257800,259300,260900,262700,264400,266000,268000,269900,271700,273500,275300,276800,278300,279700,281300,282900,284300,285700,287200,289000,290900,292900,294600,296300,298500,301100,303500,305500,307600,309800,311900,314000,316200,318300,320200,322300,324800,327300,329600,332200,335400,338600,341600,344800,348400,352300,356600,361000,365200,369200,373100,377200,381600,385700,389400,393200,397600,402200,406700,411100,415300,419700,424200,428500,432100,435100,438000,440700,443500,446200,448600,450500,452000,453200,453700,453900,453600,454000,454600,455100,455400,455300,454700,453700,452300,450500,448100,445500,442700,438800,435400,431600,426400,420800,416200,411500,407300,403700,400500,397500,394700,392100,389400,386900,384300,381200,377700,374500,372200,371000,369500,368000,367000,366300,365100,364000,363000,362200,361700,360800,359000,356700,354800,352900,351000,349400,348200,346700,345200,344300,343700,342700,341500,341000,340900,340700,340500,340500,340700,341000,341700,342500,343800,345400,347100,347700,348700,350000,351200,352300,353900,356000,358200,360200,362600,366200,370000,373500,376600,379900,383100,386200,388600,390500,392900,396000,398500,400000,400800,401600,402200,403100,404100,405000,405600,406900,408700,410400,411700,412700,413600,414700,415400,415800,416700,417900,418800,419600
394913,"New York, NY",1,263200,263500,263400,262600,261800,261100,258500,255400,254600,256700,259700,262000,263200,264000,265100,266000,266900,267900,269200,270900,272400,273800,275700,277900,279600,281100,282600,284500,286600,288600,291100,293900,296200,298500,301300,304100,306400,308600,311800,315900,319500,322900,326500,330200,334300,338700,342300,345400,349000,353200,357400,361200,364100,367500,371700,376000,380400,385000,388600,391100,393500,396500,399900,403800,408200,413000,417600,421400,424700,427400,431200,435900,441300,446400,451100,455800,461600,467300,471800,476600,481700,487300,493500,499600,505200,510800,516200,521400,527000,532300,537300,542700,548100,552700,556900,561000,565900,571400,576300,581200,586900,593100,599900,607100,613800,619900,626700,634600,642100,648600,655600,662600,667900,672300,677300,682800,688000,692400,695200,697300,698900,700000,700600,700500,699600,698000,695900,693200,689800,686700,684900,684100,684600,685500,685300,684800,683600,681400,678800,677200,676000,674000,672100,670100,667000,662600,658000,653400,649100,645700,643300,639800,636700,635400,633100,628100,623500,620400,618000,616100,614400,613300,612300,611300,609800,608000,606700,605600,603700,602600,602500,601800,600500,599400,597500,595200,593400,591000,589200,587700,584300,579900,577500,576500,575200,574100,573300,571800,570200,568900,567700,566300,563400,561300,561000,561500,562100,563000,563400,563700,563700,563600,564100,564600,563800,564600,568400,573000,576000,579100,583000,587200,591900,597200,600300,604700,621100,635400,636000,633200,636500,637400,637700,637900,637900,638000,640000,642700,642400,640700,639400,638500,637700,637000,635900,636600,638100,639000,639600
753899,"Los Angeles-Long Beach-Anaheim, CA",2,326500,325200,323900,322200,320200,318400,318000,318700,320700,323100,325200,326500,327800,329500,331600,334100,336400,338200,340100,342700,346300,350400,354300,359900,366600,372500,374900,375700,377500,380800,384400,388600,392400,394300,396500,399300,401100,403300,407400,411700,415000,418000,420800,424200,427900,431000,433600,436400,438200,439100,440200,442400,445500,449700,453700,457000,460400,465000,469700,473900,477200,478600,479500,481700,484700,488000,492000,496600,501500,506800,511700,515700,520200,526500,534300,542700,551600,560300,568200,575600,583300,591500,600500,609400,618400,627700,636600,645700,654900,664300,674700,685500,695800,706900,718900,732500,749300,767900,785700,801200,814700,825300,834000,841400,847100,852500,859600,868200,877100,887400,898800,910600,922000,933000,943700,953700,962400,969300,975900,982300,985600,986800,988100,988800,987100,985500,984100,982100,977900,974600,972400,970400,968500,966200,961400,955000,948500,940400,930800,921000,913100,905100,895400,882700,868700,855800,844600,833800,824300,816800,810700,805000,801200,798500,794200,788500,783700,779700,777000,776800,778000,779200,780300,782000,784000,784200,783300,782100,780700,777800,774700,771400,768000,764500,761300,758200,755000,750900,746300,742100,738700,735400,731800,728600,726700,726000,724800,722900,721600,721900,723100,724400,726200,729800,734300,739500,744800,750500,756600,763200,769700,778400,789100,802300,815600,827900,838700,847700,854300,861000,869500,878800,885900,890300,894100,901400,910000,915300,916600,917500,918100,919000,921200,924600,927800,932000,937800,942600,945800,948800,951700,954900,957900,958700,958300,959000,960700,963400,966200
394463,"Chicago, IL",3,256600,255800,255500,255600,255700,255800,255800,255900,255700,256000,256500,256800,257300,258400,259200,259700,260600,261700,262500,263400,264600,266400,268600,270500,271700,272400,272500,272700,273400,274300,275400,276300,277900,280300,282200,283500,285400,287400,289100,290700,292500,294500,296800,299400,302400,305200,307800,310400,312800,314600,316500,318600,320400,322400,324500,326300,329200,333200,336200,338100,340400,342400,344400,346300,348300,350400,352500,354000,356100,359000,361300,362700,364100,365300,366600,367700,369100,371000,372900,375000,378200,381900,384600,386400,388400,391000,394700,398700,401400,402600,403400,404000,406500,409900,412700,414600,416900,419200,421900,425000,428200,430700,433400,438600,434900,424400,420200,424000,425800,427700,430100,431900,433600,435900,438600,440500,443200,446900,449600,450900,452800,454800,455900,456800,457800,458700,459400,459800,460900,463100,464900,465800,466700,467200,467000,466200,464500,462000,459500,457100,455700,454300,452100,449000,446500,444500,441900,438500,436400,435500,433500,429800,427900,428000,426800,423800,421500,418800,415800,413700,412400,411300,410400,410000,409300,408500,406700,404500,402000,399200,396400,394100,391700,388800,386100,384000,382200,380100,378500,376300,373000,370200,368200,365900,363700,362200,361000,359600,358500,357000,355400,354500,354700,354900,355100,355300,355500,355100,355200,355500,355400,355500,356900,358300,359100,360500,363300,366500,369500,372800,376200,378900,380800,382400,383700,385400,387800,389300,390000,391500,392700,392700,392400,392200,391900,391500,391600,392500,393400,393900,394100,393800,392700,391100,389600,388800,388800,388900,388900
394514,"Dallas-Fort Worth, TX",4,215500,219700,222900,225000,227000,226400,227800,229200,227500,225400,225900,226500,227600,228800,229900,231400,232800,234400,235100,235700,237200,239000,240200,240900,240700,240500,240400,240700,241600,242200,242200,242600,243700,244900,246100,247600,248600,249300,250400,251700,252600,253700,254600,256000,257900,259600,260400,260700,260300,260100,259900,259000,257800,257800,258000,258100,258600,259400,261600,265500,268800,270400,271600,272300,272900,274100,275700,277100,278300,279600,280200,279700,279500,280100,281100,282100,282900,283200,283700,284500,284400,283600,283300,283200,282800,282400,282300,282500,282900,283400,283700,283600,284100,285700,288000,290800,293300,295200,296800,298700,300800,302700,303900,305100,306700,308400,309300,310100,311500,312800,313800,315100,316600,317900,319200,320500,321500,322400,323600,324900,326300,328000,329600,330800,331700,332500,333300,334100,335200,336500,337600,338500,339400,340100,340800,341800,342800,343700,344800,346100,346300,345300,342900,340500,338400,336600,334500,332700,330900,329300,327800,326400,325100,324200,323400,322200,320700,319100,317700,316700,316400,316200,316300,316200,316100,316000,316100,315700,315200,314900,314800,314500,314100,313800,313200,312600,312000,311300,311400,312000,311700,310800,310100,309300,308700,308700,308600,308100,308400,309000,309500,309900,310200,311100,312300,313300,314200,315500,317100,318600,319900,321300,323000,325200,327600,330100,333000,336200,339100,341400,342500,342900,344000,345600,346200,348300,353600,359400,363000,366000,368400,370000,373200,378800,383800,387400,392000,396700,401400,406500,411000,414300,416800,418100,418900,420000,421500,423800,426000
394974,"Philadelphia, PA",5,216300,215300,214700,214200,213600,212700,212100,212000,212200,212600,213100,213700,214000,214100,214200,214600,214900,215500,216500,217400,218100,219300,221200,223000,223900,224700,225400,225600,225600,225600,225900,226700,227700,228800,229900,231100,232100,232500,233000,234400,236000,237500,238800,240000,240900,241900,243200,245000,246900,248900,250800,252500,254200,256100,258000,260000,262200,264400,266200,268000,269900,272200,274600,277000,279600,282100,284100,285800,288000,290400,292400,294300,296400,299000,301800,304900,308300,312100,315500,318800,322400,326300,329800,332700,335600,338800,342000,345200,348400,351800,355700,359300,362500,365400,368700,372800,376900,381000,385300,389100,392600,396100,399700,403300,407200,410800,413900,416800,420200,424000,427900,432000,436200,439900,443700,447700,450800,452700,454400,456500,458700,460000,461100,461800,462100,462000,461500,460600,459800,459700,460200,460600,460700,461200,461500,461500,460700,459400,458300,457600,456900,456100,455100,454200,453500,452600,451000,449300,448300,447500,446300,444500,443200,442900,442700,441700,440200,438600,437000,435400,434200,433600,433500,433600,432600,431000,429600,429000,428500,427900,426400,424600,422600,420400,418800,417600,416800,416000,415500,414600,412900,410500,408700,407300,406100,405200,404300,403200,402300,401700,401000,400200,399400,398600,398400,398700,398800,398500,397900,397800,398400,398600,398400,398700,399600,401300,403300,405600,408100,410600,413100,415500,418200,421000,423100,424600,426500,428500,429800,430200,430100,429800,429300,428600,427500,427000,427300,427600,427500,428000,428800,429700,431000,432300,432900,433200,433500,433700,433800
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336000,334200,339100,347600,349500,344000,336600,327600,319900,314100,315200,313100,308700,310000,313400,312200,317100,324500,328000,329400,332100,332800,329700,327000,327600,327400,326900,326700,323500,319400,319100,320600,321700,323700,326700,331000,336000,339500,339800,340100,339900,339800,341300,346300,352100,356900,359800,364200,365400,360900,355000,353000,353400,355600,358200,360200,362800,366600,369100,369700,371000,374000,375700,376100,376100,376300,375200,373100,370600,369200,368800,369200
395209,"Washington, DC",7,274100,273200,271900,270800,270000,269900,270200,270700,271400,272500,273700,274700,274500,275600,278000,279600,279700,280200,280900,282300,283800,285100,286400,287500,288000,288200,288200,288300,289100,290500,292100,293700,295400,297500,299700,301900,304000,306500,309300,312500,315700,318300,320000,321900,325200,328700,331900,335000,338800,342800,346500,350400,354400,358200,362300,366700,371300,375700,380300,385100,390100,394700,399300,404200,408800,413000,417000,420500,423500,426800,430700,434400,438200,442500,447000,451400,455900,460500,465000,469300,474000,479000,483900,488600,493300,497600,501700,506000,511100,517100,524100,531400,538500,545600,553600,562900,572600,582400,592800,604300,615800,626400,637100,648600,659900,670600,681200,691900,702800,713700,723800,732700,740100,746100,750400,753400,755000,755600,755400,753800,750500,745700,739500,732900,727000,722500,718500,714300,710600,708000,705700,703700,702000,700000,697000,693300,689200,685500,682300,678600,673500,668200,662400,656400,650300,644600,639100,633800,628600,623000,617400,612400,608500,605500,602700,599700,596800,594500,592800,592300,592900,594000,595900,598000,599000,599000,598700,598400,598800,600200,601600,602800,603500,603400,602600,601500,601000,600800,600800,601400,601900,602400,603900,606000,608200,609500,609500,609300,609600,610300,611300,612300,614000,616500,619600,622000,623500,623700,623900,625000,626600,628700,631900,635500,639400,644000,649400,655200,661100,667300,673800,680800,686600,690600,692300,692800,692300,691000,689000,686700,684800,683600,683000,682400,682500,683700,685500,687200,688100,687600,685400,682000,679100,677800,677200,676500,676000,675900,675600
394856,"Miami-Fort Lauderdale, FL",8,279100,278900,278000,275600,272700,270700,270000,269500,270000,272900,275600,275600,274500,273700,273700,274700,274300,274300,276600,279000,279900,281900,283500,283600,283000,284800,287000,288100,287600,286700,286300,288000,289700,290100,291400,294600,297400,299000,298800,297100,295800,297300,300200,302500,304400,307000,309200,312300,316700,321100,323900,324900,324900,326400,330000,334800,340300,345200,348500,351600,354100,355700,358200,362800,366800,369000,372400,376500,379600,384600,394800,402700,406000,408800,414400,426500,449200,465600,465100,459500,457700,454000,447900,444000,443500,445700,449900,453900,455900,458800,464000,469800,474700,480400,486900,494300,502800,511100,518200,523600,527700,534600,545900,558800,571900,585000,596600,608700,623500,639700,654600,667000,676300,685400,696300,707700,716200,723000,730100,737100,742300,745700,747800,748100,746400,745100,746700,749100,750300,750500,750000,747600,741700,734000,725900,718300,710700,703000,694200,684800,673400,659800,644900,631200,618400,604800,591100,578900,567500,556100,543600,529800,520100,516900,513400,506100,499600,495300,491200,486100,481600,478800,478600,479200,479300,477900,477100,476900,476900,477300,478400,479000,478400,476200,472900,469500,467100,465700,464800,463700,462300,460900,460100,460700,461700,462300,461600,461700,462300,463100,465400,470000,474200,477200,479100,481500,485000,489000,492500,496000,498600,500900,503800,507300,511700,515800,518800,521000,523600,528800,536200,543200,548600,552400,554700,556300,557700,560200,563700,566500,568200,570000,572700,575900,578600,580300,580700,580600,582100,585700,589800,593300,595500,595700,595200,595800,597400,598500,598900
394347,"Atlanta, GA",9,223100,223100,223300,223300,223200,223000,223000,223500,224100,224600,225200,226700,228300,229300,229700,230400,231400,232600,233800,235100,236400,238000,239500,240500,240800,241200,242200,243500,245000,246800,248700,250300,251900,253500,255400,257600,259900,261800,263500,265200,266000,266800,268100,269100,270000,271500,273200,274800,276700,279000,280900,282700,284500,286200,287800,288800,289500,290700,292100,293100,293800,294600,295800,297300,299100,300900,302500,304000,305400,306400,307400,308700,309800,311000,311900,312700,313800,314500,314800,315700,317100,318200,319200,320500,321900,323200,323900,324400,325200,326100,327100,328100,329200,330600,331800,332500,333200,334000,335200,336900,338700,340300,341900,343700,345800,347800,349700,351600,353500,355600,357700,359800,361700,363500,365800,368700,371500,374100,376700,378800,380800,383000,385000,386500,387800,389000,390100,391200,391800,391400,390800,391200,391900,392100,391800,391300,390500,389800,388800,387300,385500,383500,381600,379900,377900,375600,373600,371200,368000,364600,361000,356200,352100,350100,348600,345900,342900,340200,337500,335300,334300,333700,332900,332200,331100,329800,328600,327200,325500,324100,322600,321100,319300,317500,316100,315000,313900,312200,310400,309000,307600,305900,304200,303100,302300,301900,301100,300800,300900,300900,300400,300600,301600,302600,303500,304500,305600,306300,307000,308000,309200,310500,311800,313400,315100,317900,321700,326000,330100,333800,337600,341200,344000,346100,348100,349900,351900,354100,356200,357400,358300,359100,359900,361100,362500,363700,365700,368000,369800,371400,372700,373300,373500,374300,375500,376800,378200,379800,380800
