"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,0.816,0.818,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.818,0.818,0.816,0.818,0.816,0.818,0.818,0.82,0.822,0.822,0.824,0.824,0.824,0.824,0.824,0.828,0.828,0.83,0.832,0.834,0.836,0.838,0.84,0.84,0.842,0.844,0.848,0.852,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.856,0.86,0.866,0.87,0.876,0.88,0.884,0.886,0.89,0.894,0.898,0.902,0.904,0.908,0.908,0.906,0.904,0.904,0.904,0.906
394913,"New York, NY",1,,,,,,,,,,,,,,1.31,1.308,1.306,1.306,1.304,1.308,1.31,1.31,1.308,1.304,1.302,1.306,1.308,1.314,1.322,1.328,1.334,1.34,1.346,1.35,1.354,1.358,1.36,1.364,1.364,1.362,1.362,1.362,1.364,1.366,1.366,1.374,1.384,1.396,1.406,1.418,1.42,1.422,1.424,1.428,1.432,1.438,1.442,1.448,1.454,1.458,1.462,1.468,1.472,1.476,1.48
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1.508,1.508,1.508,1.508,1.51,1.51,1.512,1.512,1.514,1.514,1.512,1.512,1.514,1.512,1.514,1.514,1.52,1.524,1.526,1.526,1.526,1.524,1.526,1.528,1.53,1.534,1.54,1.544,1.55,1.554,1.558,1.564,1.57,1.574,1.578,1.586,1.592,1.596,1.596,1.596,1.598,1.602,1.606,1.612,1.62,1.63,1.642,1.656,1.67,1.684,1.696,1.706,1.72,1.728,1.736,1.744,1.752,1.758,1.762,1.764,1.768,1.772,1.782,1.788
394463,"Chicago, IL",3,1.052,1.054,1.056,1.056,1.054,1.052,1.05,1.05,1.048,1.046,1.044,1.042,1.042,1.042,1.04,1.042,1.042,1.046,1.048,1.048,1.05,1.052,1.054,1.056,1.062,1.064,1.064,1.066,1.07,1.074,1.078,1.082,1.084,1.084,1.084,1.086,1.092,1.098,1.104,1.106,1.108,1.108,1.106,1.106,1.108,1.112,1.116,1.12,1.122,1.122,1.122,1.12,1.122,1.124,1.128,1.132,1.136,1.138,1.14,1.138,1.138,1.136,1.136,1.138
394514,"Dallas-Fort Worth, TX",4,0.728,0.732,0.736,0.74,0.74,0.74,0.74,0.74,0.738,0.738,0.738,0.738,0.74,0.74,0.74,0.742,0.742,0.744,0.746,0.748,0.752,0.754,0.756,0.758,0.762,0.764,0.764,0.766,0.77,0.772,0.776,0.778,0.78,0.782,0.786,0.79,0.796,0.798,0.798,0.8,0.802,0.804,0.806,0.806,0.808,0.812,0.816,0.82,0.826,0.83,0.834,0.836,0.84,0.844,0.848,0.852,0.856,0.858,0.858,0.858,0.858,0.858,0.858,0.86
394974,"Philadelphia, PA",5,0.938,0.938,0.94,0.94,0.942,0.942,0.942,0.942,0.942,0.942,0.94,0.94,0.942,0.944,0.946,0.946,0.948,0.948,0.948,0.948,0.946,0.944,0.944,0.946,0.948,0.948,0.95,0.95,0.952,0.954,0.956,0.958,0.962,0.962,0.964,0.968,0.97,0.972,0.976,0.978,0.976,0.976,0.976,0.974,0.976,0.98,0.986,0.988,0.99,0.99,0.992,0.994,0.994,0.998,1.002,1.006,1.008,1.01,1.01,1.008,1.008,1.006,1.006,1.004
394692,"Houston, TX",6,0.742,0.74,0.74,0.74,0.742,0.744,0.742,0.74,0.736,0.732,0.728,0.726,0.726,0.728,0.73,0.732,0.734,0.736,0.738,0.74,0.742,0.744,0.748,0.748,0.75,0.75,0.752,0.756,0.76,0.764,0.768,0.77,0.774,0.776,0.78,0.784,0.79,0.796,0.8,0.802,0.8,0.8,0.802,0.806,0.814,0.82,0.828,0.834,0.84,0.846,0.85,0.854,0.856,0.86,0.862,0.866,0.868,0.87,0.872,0.872,0.872,0.872,0.872,0.874
395209,"Washington, DC",7,1.262,1.266,1.27,1.274,1.278,1.28,1.284,1.284,1.286,1.288,1.29,1.292,1.296,1.298,1.3,1.302,1.302,1.304,1.306,1.308,1.31,1.312,1.312,1.314,1.318,1.32,1.324,1.328,1.332,1.334,1.334,1.336,1.336,1.338,1.34,1.342,1.344,1.344,1.342,1.342,1.34,1.34,1.34,1.34,1.34,1.342,1.346,1.348,1.352,1.352,1.352,1.354,1.354,1.356,1.358,1.36,1.362,1.364,1.362,1.36,1.358,1.358,1.356,1.356
394856,"Miami-Fort Lauderdale, FL",8,1.104,1.104,1.104,1.106,1.108,1.108,1.11,1.11,1.112,1.112,1.114,1.114,1.116,1.116,1.116,1.118,1.122,1.128,1.132,1.138,1.14,1.142,1.144,1.146,1.148,1.152,1.154,1.156,1.158,1.16,1.162,1.166,1.17,1.172,1.178,1.186,1.196,1.204,1.21,1.214,1.22,1.224,1.226,1.226,1.228,1.23,1.234,1.24,1.244,1.248,1.252,1.256,1.262,1.268,1.274,1.28,1.286,1.294,1.298,1.3,1.302,1.306,1.31,1.316
394347,"Atlanta, GA",9,0.676,0.674,0.674,0.672,0.67,0.67,0.668,0.668,0.668,0.666,0.664,0.664,0.664,0.662,0.662,0.66,0.66,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.656,0.658,0.66,0.662,0.664,0.666,0.666,0.666,0.668,0.668,0.672,0.674,0.678,0.682,0.684,0.686,0.686,0.688,0.686,0.688,0.69,0.692,0.694,0.698,0.7,0.702,0.704,0.706,0.708,0.712,0.714,0.718,0.722,0.722,0.724,0.724,0.724,0.724,0.726
