"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-02-29,"United States",,0,1383,0.00144822592324403,0.00217391304347826,0.0259643916913947,99948404
2016-02-29,"New York, NY","NY",1,2401,0.00292397660818713,0.0122259696458685,0.0430060816681147,4976694
2016-02-29,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2507,0.00360288230584468,0.0084473049074819,0.0359504132231405,2947930
2016-02-29,"Chicago, IL","IL",3,1631,0,-0.00305623471882641,0.00431034482758621,3122801
2016-02-29,"Dallas-Fort Worth, TX","TX",4,1506,0.00132978723404255,0.00735785953177258,0.0393374741200828,1869061
2016-02-29,"Philadelphia, PA","PA",5,1554,-0.0012853470437018,-0.00192678227360308,0.0170157068062827,2023306
2016-02-29,"Houston, TX","TX",6,1575,-0.000634517766497462,-0.000634517766497462,0.038233355306526,1761543
2016-02-29,"Washington, DC","DC",7,2110,0.00142382534409112,0.000474158368895211,0.0100526567735759,1885084
2016-02-29,"Miami-Fort Lauderdale, FL","FL",8,1838,0.00382304751501912,0.011001100110011,0.043725156161272,2390295
2016-02-29,"Atlanta, GA","GA",9,1280,0.00313479623824451,0.00470957613814757,0.0355987055016181,1838983
2016-02-29,"Boston, MA","MA",10,2250,0.00178094390026714,0.00312082032991529,0.0543580131208997,1476954
2016-02-29,"San Francisco, CA","CA",11,3350,0.00179425837320574,0.00842865743527995,0.104881266490765,1232572
2016-02-29,"Detroit, MI","MI",12,1143,0.00527704485488127,0.0115044247787611,0.0214477211796247,1658445
2016-02-29,"Riverside, CA","CA",13,1695,0.00177304964539007,0.00355239786856128,0.0303951367781155,1188176
2016-02-29,"Phoenix, AZ","AZ",14,1257,0.00319233838786911,0.00721153846153846,0.0337171052631579,1457649
2016-02-29,"Seattle, WA","WA",15,1946,0.0036101083032491,0.0119604784191368,0.0721763085399449,1155925
2016-02-29,"Minneapolis-St Paul, MN","MN",16,1501,0.00200267022696929,-0.00133067198935462,0.0169376693766938,1138896
2016-02-29,"San Diego, CA","CA",17,2338,0.00515907136715391,0.0116832540025963,0.034971226206286,821358
2016-02-29,"St. Louis, MO","MO",18,1123,0,0.00267857142857143,0.00807899461400359,1036506
2016-02-29,"Tampa, FL","FL",19,1301,0.00153964588144727,0.00696594427244582,0.0366533864541833,1078896
2016-02-29,"Baltimore, MD","MD",20,1713,0.00058411214953271,-0.00116618075801749,0.00646298472385429,980095
2016-02-29,"Denver, CO","CO",21,1959,0.00255885363357216,0.00513083632632119,0.0722495894909688,872925
2016-02-29,"Pittsburgh, PA","PA",22,1098,0.00549450549450549,0.00641613198900092,0.0185528756957328,861624
2016-02-29,"Portland, OR","OR",23,1699,0.00354400472533963,0.0101070154577883,0.0870121561100448,715023
2016-02-29,"Charlotte, NC","NC",24,1220,0,-0.000819000819000819,0.0217755443886097,862451
2016-02-29,"Sacramento, CA","CA",25,1608,0.00374531835205993,0.00625782227784731,0.0414507772020725,655647
2016-02-29,"San Antonio, TX","TX",26,1297,0,-0.00460475825019187,0.0220646178092987,645693
2016-02-29,"Orlando, FL","FL",27,1345,0.000744047619047619,0.00298284862043251,0.0394126738794436,764067
2016-02-29,"Cincinnati, OH","OH",28,1221,-0.00163532297628782,-0.00407830342577488,0.0175,700034
