"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-02-29,"United States",,0,1505,0.00266489007328448,0.00467289719626168,0.0238095238095238,15198749
2016-02-29,"New York, NY","NY",1,2375,-0.000841396718552798,0.00635593220338983,0.0532150776053215,1570211
2016-02-29,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2283,0.00528401585204756,0.0151178301467319,0.0535302261190586,851617
2016-02-29,"Chicago, IL","IL",3,1556,0.00257731958762887,0.00451904454486766,-0.0076530612244898,859404
2016-02-29,"Dallas-Fort Worth, TX","TX",4,1265,0.00237717908082409,-0.000789889415481833,0.0343417825020442,145358
2016-02-29,"Philadelphia, PA","PA",5,1207,0.00332502078137988,0.0117351215423303,0.00332502078137988,528502
2016-02-29,"Houston, TX","TX",6,1322,0.00227445034116755,0.0083905415713196,0.0279937791601866,121152
2016-02-29,"Washington, DC","DC",7,1892,0.000528820729772607,0,0.0079914757591902,664631
2016-02-29,"Miami-Fort Lauderdale, FL","FL",8,1589,0.00252365930599369,0.00824873096446701,0.0460829493087558,1150430
2016-02-29,"Atlanta, GA","GA",9,1273,0.00473559589581689,0.0143426294820717,0.0434426229508197,168964
2016-02-29,"Boston, MA","MA",10,2129,0.00235404896421846,0.0047192071731949,0.0446516192345437,558084
2016-02-29,"San Francisco, CA","CA",11,3005,0.00535296085647374,0.0196810315575161,0.139120545868082,294850
2016-02-29,"Detroit, MI","MI",12,1264,0.000791765637371338,0.000791765637371338,0.0103916866506795,218869
2016-02-29,"Riverside, CA","CA",13,1543,0.00455729166666667,0.000648508430609598,0.0118032786885246,142519
2016-02-29,"Phoenix, AZ","AZ",14,1095,0.00458715596330275,0.00643382352941176,0.0549132947976879,227246
2016-02-29,"Seattle, WA","WA",15,1692,0.00355871886120996,0.00834326579261025,0.0621468926553672,226849
2016-02-29,"Minneapolis-St Paul, MN","MN",16,1335,0.00225225225225225,0.00150037509377344,0.0190839694656489,200774
2016-02-29,"San Diego, CA","CA",17,2033,0.00593765462642256,0.0170085042521261,0.0683131897004729,239035
2016-02-29,"St. Louis, MO","MO",18,928,0,-0.00322234156820623,-0.00429184549356223,113535
2016-02-29,"Tampa, FL","FL",19,1150,0.00524475524475524,0.0123239436619718,0.043557168784029,251393
2016-02-29,"Baltimore, MD","MD",20,1591,0,0.0012586532410321,-0.00125549278091651,105074
2016-02-29,"Denver, CO","CO",21,1558,0.000642260757867694,0.000642260757867694,0.0693205216197667,188878
2016-02-29,"Pittsburgh, PA","PA",22,1090,0,0.000918273645546373,0.0244360902255639,102172
2016-02-29,"Portland, OR","OR",23,1471,0.00684462696783025,0.0144827586206897,0.0856088560885609,89947
2016-02-29,"Charlotte, NC","NC",24,1161,-0.00171969045571797,-0.00343347639484979,0.0283436669619132,79688
2016-02-29,"Sacramento, CA","CA",25,1303,0.00385208012326656,0.0140077821011673,0.0715460526315789,68539
2016-02-29,"San Antonio, TX","TX",26,1130,-0.00352733686067019,-0.0122377622377622,0.0472659870250232,22574
2016-02-29,"Orlando, FL","FL",27,1094,0.0036697247706422,0.011090573012939,0.065238558909445,150113
2016-02-29,"Cincinnati, OH","OH",28,989,0.00101214574898785,0.0122824974411464,0.0216942148760331,87246
2016-02-29,"Cleveland, OH","OH",29,902,-0.00551267916207277,-0.0216919739696312,0.0273348519362187,102401
2016-02-29,"Kansas City, MO","MO",30,977,0.00308008213552361,0.00929752066115703,0.0371549893842887,62730
