"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-02-29,"United States",,0,1358,0.00147492625368732,0,0.0210526315789474,84749655
2016-02-29,"New York, NY","NY",1,2412,0.00458142440649729,0.0160067396798652,0.039207238259371,3406483
2016-02-29,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2615,0.00383877159309021,0.0123886953155246,0.0443290734824281,2096313
2016-02-29,"Chicago, IL","IL",3,1662,-0.0018018018018018,-0.00894454382826476,0.00849514563106796,2263397
2016-02-29,"Dallas-Fort Worth, TX","TX",4,1534,0.000652315720808871,0.0059016393442623,0.0428280081577158,1723703
2016-02-29,"Philadelphia, PA","PA",5,1671,-0.0035778175313059,-0.00594883997620464,0.0176613885505481,1494804
2016-02-29,"Houston, TX","TX",6,1598,0.0012531328320802,0.00376884422110553,0.0356448476992871,1640391
2016-02-29,"Washington, DC","DC",7,2266,0.00088339222614841,0.00088339222614841,0.0156880322725235,1220453
2016-02-29,"Miami-Fort Lauderdale, FL","FL",8,2105,0.00333651096282173,0.00814176245210728,0.0540811216825238,1239865
2016-02-29,"Atlanta, GA","GA",9,1280,0.00313479623824451,0.00313479623824451,0.0339256865912763,1670019
2016-02-29,"Boston, MA","MA",10,2320,0.000862812769628991,0,0.0598446779351302,918870
2016-02-29,"San Francisco, CA","CA",11,3454,0.00203075137800986,0.00935125657510228,0.0958121827411167,937722
2016-02-29,"Detroit, MI","MI",12,1104,0.00638103919781222,0.0128440366972477,0.010989010989011,1439576
2016-02-29,"Riverside, CA","CA",13,1711,0.00117027501462844,0.00234329232571763,0.0319662243667069,1045657
2016-02-29,"Phoenix, AZ","AZ",14,1296,0.00232018561484919,0.00699300699300699,0.0409638554216867,1230403
2016-02-29,"Seattle, WA","WA",15,2034,0.00444444444444444,0.0154767848227659,0.0830670926517572,929076
2016-02-29,"Minneapolis-St Paul, MN","MN",16,1544,0.0012970168612192,-0.00193923723335488,0.0198150594451783,938122
2016-02-29,"San Diego, CA","CA",17,2447,0.0036915504511895,0.00534100246507806,0.0311841550779604,582323
2016-02-29,"St. Louis, MO","MO",18,1151,0.00261324041811847,0.00699912510936133,0.0114235500878735,922971
2016-02-29,"Tampa, FL","FL",19,1348,0.000742390497401633,0.00372300819061802,0.034535686876439,827503
2016-02-29,"Baltimore, MD","MD",20,1743,0.000574052812858783,0.00230017251293847,0.0121951219512195,875021
2016-02-29,"Denver, CO","CO",21,2069,0.00242248062015504,0.000967585873246251,0.0659453889747553,684047
2016-02-29,"Pittsburgh, PA","PA",22,1098,0.00549450549450549,0.00641613198900092,0.0166666666666667,759452
2016-02-29,"Portland, OR","OR",23,1736,0.00404858299595142,0.00813008130081301,0.087719298245614,625076
2016-02-29,"Charlotte, NC","NC",24,1230,0.00162866449511401,0.00162866449511401,0.0241465445462115,782763
2016-02-29,"Sacramento, CA","CA",25,1651,0.00182038834951456,0.00425790754257908,0.039018250471995,587108
2016-02-29,"San Antonio, TX","TX",26,1301,-0.000768049155145929,-0.007627765064836,0.0187940485512921,623119
2016-02-29,"Orlando, FL","FL",27,1397,0.0014336917562724,0.00431344356578001,0.040983606557377,613954
2016-02-29,"Cincinnati, OH","OH",28,1255,0,-0.00159108989657916,0.0153721682847896,612788
2016-02-29,"Cleveland, OH","OH",29,1161,-0.00343347639484979,-0.0110732538330494,-0.00684345594525235,623735
2016-02-29,"Kansas City, MO","MO",30,1255,0.00480384307445957,0.0170178282009724,0.042358803986711,628253
2016-02-29,"Las Vegas, NV","NV",31,1264,-0.00236779794790845,-0.00315457413249211,0.0152610441767068,525226
2016-02-29,"Columbus, OH","OH",32,1312,-0.000761614623000762,-0.0015220700152207,0.0274079874706343,522501
2016-02-29,"Indianapolis, IN","IN",33,1193,0.00167926112510495,0.00252100840336134,0.00252100840336134,645861
2016-02-29,"San Jose, CA","CA",34,3554,0.00253878702397743,0.0154285714285714,0.068550811785929,358069
2016-02-29,"Austin, TX","TX",35,1711,0.00117027501462844,-0.00058411214953271,0.025779376498801,460523
2016-02-29,"Virginia Beach, VA","VA",36,1462,-0.00136612021857924,-0.00272851296043656,-0.0088135593220339,461519
2016-02-29,"Nashville, TN","TN",37,1409,0.000710227272727273,0.000710227272727273,0.0499254843517139,569797
2016-02-29,"Providence, RI","RI",38,1633,0.00554187192118227,0.0174454828660436,0.0521907216494845,375418
2016-02-29,"Milwaukee, WI","WI",39,1518,0.0106524633821571,0.0361774744027304,0.0160642570281124,304600
2016-02-29,"Jacksonville, FL","FL",40,1281,0.00078125,0.00313234142521535,0.0174741858617951,425601
2016-02-29,"Memphis, TN","TN",41,1042,-0.000958772770853308,-0.00761904761904762,-0.00667302192564347,403192
2016-02-29,"Oklahoma City, OK","OK",42,1156,-0.00258843830888697,-0.0153321976149915,-0.0136518771331058,460989
2016-02-29,"Louisville-Jefferson County, KY","KY",43,1107,0.00362647325475975,-0.0018034265103697,0.0326492537313433,502221
2016-02-29,"Hartford, CT","CT",44,1678,-0.0029708853238265,-0.00237812128418549,0.015124016938899,302208
