"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"United States",,"Country",,1,144,145.75,146.25,139.75,125.75,115,110.5,109.5,112.25,116.5,120,123.75,128.5,131.25,129.75,124.5,117.5,113.25,113.25,116,120.5,124.25,126.75,129.75,132,132.25,129.25,120.5,110.5,106.5,107.75,110.5,113.5,115.75,118,122,126,126.25,119.5,107.5,97.75,93.75,93,93.75,95.75,98.5,101.75,106.5,112.5,115.25,109.75,98.5,90,87.25,88.25,91.5,95.75,99.75,103.25,108.25,114,115,106.5,93,85,83.75,85.5,88.5,91.25,94.25,98
"Alaska","AK","State",,45,130.5,143.625,139.75,117.25,99.5,90.75,85.25,89.25,96.125,100.25,105.375,116.5,133.75,140.25,124,104.5,99.625,96,88.625,89.25,93,98.25,112.25,122,124,128.875,125,106.625,88.25,79.25,78.5,83.5,91.5,98.625,107.5,121.875,132.75,129.25,112.5,91,78,76,77.25,80.125,84.5,90.625,102.25,114.25,119.5,114.5,95.75,77.125,70.375,70.625,73.375,75.125,77.875,86.875,97.875,104.75,106,94,75.5,68,68.5,70.5,71.5,71.75,75.25,81.75,90
"Alabama","AL","State",,23,165,163.375,168.875,173.625,160,127,102.125,99.25,109.25,124,141,151.875,152.75,149.125,141.25,130.125,122,123.375,132,139.25,140,138.5,138.75,137,138,144.75,147,145.25,141,132,127.25,131.75,138.875,141.75,143.625,145.75,146,146.5,145.375,138.75,128.625,121.5,118.5,118.25,120.5,124.75,128.5,132.25,140.5,145.875,146,139.125,122.75,115.125,118.25,121.125,125,127,128.5,135.625,141.25,140.125,133.5,120,108.75,106.5,107,110.5,119.625,126.75,126
"Arkansas","AR","State",,32,133,135.875,141,143.625,137.75,123.25,109.25,106,112.75,121.75,132.25,140.25,142.125,139.75,128.875,117.25,114.75,116.75,120,123.75,129.625,135.125,137.625,144.875,156.75,161,153.125,143.5,133.625,121,117.25,123.75,130,131,134.25,143.5,149.25,151,147.75,133.5,117.25,109.75,108.5,108.25,110.25,115,120.25,128.75,136.75,138.25,133.75,125.625,116.5,109.375,110.25,116,120,121.5,123.25,129.25,135.75,140.5,141.75,130.25,111.75,104.5,105.125,103.25,102.625,105.25,110
"Arizona","AZ","State",,16,116,120.75,122,117.5,109.875,103.25,97.875,96.75,98.5,98,98.25,103.25,109,110.5,106.75,100.5,96.5,94.25,92,90.5,90.25,91.5,93.5,95.25,97,96.75,92,87.5,87,86.5,84.5,83.25,83.75,85,87,90.75,93.25,92.5,89.25,84.25,79,75.5,74.5,74.5,75,76,77.5,82,89.75,93.75,90.25,85.5,85,87.5,89.5,90,90,88.75,86.5,87.5,91.75,90.5,82.5,77.25,76.75,77,76.25,75.5,75.75,76,76
"California","CA","State",,1,111,114.75,111.75,102.75,94,90,87.75,88.5,92.5,96,99.25,102.75,106.25,107.75,103,95,92,93.5,95,95.75,97,99.5,102.25,105.25,107.25,105.75,99.5,90.75,85.25,83.75,83.75,84.5,84.75,83.75,84,87,88.75,84,74.5,67,63.75,62.75,62,61.5,62.5,65,68.5,73.875,78.5,75.125,66.25,61.75,62,63,64.25,66.25,69,71.5,74.5,80.5,86.5,82.75,70.5,63,62,62.25,63,64.25,66.25,69.5,74
"Colorado","CO","State",,22,136,141.625,139,126.625,111.75,104.75,102.75,103.25,108,112,112.75,114.625,120,124.875,125.5,119,109,102.75,100.75,102,105.75,110.75,115.25,117.75,118.25,115.75,107.75,94.75,84.5,81.5,82.25,83.5,85,87.75,91.5,96.25,99.5,95.75,84.75,73.75,67.75,65,64,65.25,68.5,72.75,77.25,82.25,87.5,86.5,75.75,64.5,59.75,58.75,58.75,60.25,63,65.75,68.75,72.75,75.75,72,62.5,56.75,57.25,59.25,59.5,59.625,61.5,64.875,70
"Connecticut","CT","State",,29,167.5,168.125,171.5,166.875,148.5,127.375,119,121.75,127.5,131.25,135.25,140,143.875,150,154.625,150.5,134.5,118.25,115.25,122.75,134.5,146.75,156.75,164.75,173,177.625,176.25,167.125,146.25,128.875,127.25,133.375,140.5,146.75,153.5,160,164.75,170.25,170.75,153.5,126.25,111,108.25,109.25,115.25,123.5,127.75,132,142.5,152.25,153.75,144.25,123,105.75,104.25,111.25,119.5,126.75,133,140.25,147.375,152.25,154.625,144.75,122.5,106.5,102.5,107,115.5,123.375,133.5
"District of Columbia","DC","State",,48,123,142.625,147.5,137.25,114.5,96.875,94.625,97.75,102.625,100.625,90,92.875,109.375,120.25,122.875,113.375,94.875,85.625,87.625,95,102.75,106,102.5,103,114.625,116.125,102.625,90,83.25,81.375,83,86.75,87.5,83,81.5,87.125,92.625,88.5,75.375,63.625,59,59.5,60.25,61.25,63.75,63.5,64.25,72.5,82.5,82.25,71,61.5,57.75,57.75,60.5,63.25,62.25,58.375,61,71.75,83,81.625,66.25,54,52.625,57.5,62.375,64.375,62.125,58.375,60
"Delaware","DE","State",,44,133,156.875,166.25,155.625,137.75,125.75,118.75,122,131.75,137.25,138.625,136.75,143.125,156,158.5,155.5,147.75,132.25,125.75,133,144.375,153.25,155.625,156.875,160.375,158.625,150.375,143.25,134.5,124.5,122.25,124.75,131.5,136,129,122,129.25,140.25,140.5,134,120.75,105.75,99.875,103,109.375,112.75,112.75,112.25,116,124.875,129.75,123.625,110.25,100.5,99,103,108.125,110.25,109.75,110.25,120.25,136,139.125,126.75,107.75,93.25,90.75,96.25,101.5,108.25,124
