"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California","State","California","All Homes",141643,140469,140746,141050,139803,139694,140696,142231,145335,148817,151809,153742,154460,157960,162889,163162,160730,160288,160822,158544,153860,150172,147684,143912,138605,131146,120575,111338,105514,99532,92789,87421,82898,78211,74668,73012,72568,71816,70384,69697,69209,67496,66732,68320,69958,70703,71419,72331,73224,74392,76546,79939,83336,85784,86555,85846,85592,85731,84543,82476,80683,78301,76542,77536,79595,80814,81250,81032,80177,78681,76502,73479,70877,69913
"Texas","State","Texas","All Homes",162484,163252,165425,165499,161563,159046,161094,166085,169663,169574,170127,171445,171652,170866,170520,171693,172964,175065,172477,161890,153453,151169,149504,146205,142586,139245,134436,129612,127699,125611,122119,120036,118969,117397,115355,113715,113109,113255,113089,112319,111086,108264,105939,105602,104607,102791,101309,100137,99006,97690,96527,96147,96142,95904,96102,96774,96781,95960,94689,93561,92736,91207,88678,86783,86221,85769,86744,89058,90425,90820,90451,89428,87702,85891
"New York","State","New York","All Homes",100259,101482,103082,101017,96595,94457,93049,91739,92302,93791,95717,97740,98797,99624,102400,107268,111652,115385,119995,122864,122262,121904,123019,122611,120249,117979,115016,111682,109944,107561,103965,101572,100658,99226,96539,94571,94361,94436,93453,91591,89092,86393,84541,83871,83784,83881,84144,84418,84600,84003,82575,82305,83103,83714,84110,84290,84255,83582,82439,81735,81511,80469,79491,80455,82548,84338,84889,84301,83403,82521,81521,80431,79461,78642
"Florida","State","Florida","All Homes",235462,234451,240053,245468,246343,248075,249713,251513,255901,258996,260905,263174,262962,262489,262725,258872,251841,251476,255437,252329,245353,241444,237291,229528,222462,215461,202906,190586,185162,180571,175104,171963,167823,162217,157439,153805,153293,156013,157841,156704,154052,148926,142939,141479,143480,146025,148763,150600,150905,151447,154867,160444,164663,165739,164072,161398,159299,157065,154191,152384,151458,146566,139496,139073,141840,141459,141307,141518,139717,136748,134410,133253,132510,132247
"Illinois","State","Illinois","All Homes",85130,86217,87993,88368,86922,86636,87331,87097,86648,86332,87050,88835,89878,91019,92480,92390,91489,91296,91607,91620,91375,91159,90438,89142,87706,85470,82517,80501,79655,78378,76010,72532,68300,65617,64613,63804,63577,63169,61849,60790,59383,56981,55675,56323,57448,57987,58156,58318,58146,57321,56334,56595,58490,60462,61567,62554,63726,64087,63490,62914,62658,62232,61870,62213,63028,63521,63351,63371,63965,64134,63339,61984,60699,59845
"Pennsylvania","State","Pennsylvania","All Homes",68322,69968,73251,74772,73406,72307,72423,73267,74526,75414,76721,78573,79768,80834,82019,82462,82549,83904,85958,85835,84183,83212,82531,81505,80304,78853,76669,74137,72512,70882,68339,66887,66884,66874,66314,65925,66871,67995,68110,68064,68034,67304,66389,66214,66381,66497,66818,67204,66927,65576,64981,66836,68741,69006,69098,69340,69104,68617,68100,67574,66952,65784,63723,62229,62962,64685,65794,65943,65629,65214,64435,63583,63140,63069
"Ohio","State","Ohio","All Homes",57482,58686,61859,65561,66670,66444,66948,67635,68040,67830,68162,69036,69158,70717,73453,73731,72408,71772,71373,70345,69294,68737,67798,66541,65804,64570,62138,59785,58461,57437,56166,55131,54512,54416,54431,54498,55406,56161,55542,54714,54545,54152,53339,52923,52853,52726,52773,53092,52887,51462,49932,49839,50530,51078,51819,52500,52647,52385,51883,51639,51636,50636,48704,47595,48140,49285,49912,50137,50226,50148,49711,49160,48732,48251
"Michigan","State","Michigan","All Homes",92007,93078,94031,92807,89786,87360,85627,83842,83160,83740,84366,84908,85672,86014,85920,85478,84380,83572,83109,81744,80170,79440,78557,77188,76132,75051,73456,72116,71555,70751,69155,67593,66450,65372,64472,63994,63711,63395,62973,62880,62630,60937,59204,59093,59547,59917,60497,60797,60223,58975,57873,58003,59633,62027,63933,64777,64563,63600,62992,62711,62025,60690,59302,58878,59295,60026,61206,62515,62881,61939,60364,58868,57609,56684
"Georgia","State","Georgia","All Homes",96477,96544,97008,97145,96097,95940,96179,95547,96031,96983,97407,97862,98216,99780,101844,102024,100646,99528,99082,97672,92723,88782,90470,90671,87983,85371,81076,76586,73901,71360,67360,63104,60392,58647,56754,55830,55859,55239,53900,53103,52899,51987,51846,53880,56461,57866,57392,56735,56695,55922,54769,54975,56450,57656,58324,58906,59936,60547,59788,59403,59425,58835,59110,60584,61775,62732,63945,64735,65361,65147,63105,61025,59483,58019
"North Carolina","State","North Carolina","All Homes",94628,95422,96721,97339,96582,96440,96214,95855,96996,97875,97900,98146,98364,99140,101316,103010,103412,104303,105444,104425,101512,99829,99329,98183,96887,95844,93835,91266,89354,86667,82875,80682,80803,81110,80784,80391,80345,80341,80201,80417,80349,79377,78822,79160,79454,79703,79780,79416,78606,77056,76128,76988,78009,78542,79037,78875,77600,75773,74206,73059,71842,70355,67514,64052,62888,63267,64169,65023,64854,63853,62818,62574,62548,62310
