"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California","State","California","All Homes",135182,133316,138727,140082,136482,140684,144386,146364,150494,154212,154955,152265,145182,150290,163839,160547,158482,160267,166309,164216,158890,154355,152160,141254,130177,127065,117106,107066,104485,101254,96076,92418,89106,82686,78050,69278,64031,65816,66853,66620,68398,69141,69317,75009,75490,76649,74410,69642,63357,67956,71992,77409,81960,88180,91845,91320,91564,91701,88930,77963,72052,71208,71570,74154,78913,82848,86252,87222,86712,84438,80535,69898,60142,63116
"Texas","State","Texas","All Homes",151846,155604,163220,168976,162502,162321,169407,170398,177952,167502,170340,165429,160862,165001,165634,174672,172980,181086,185350,165216,155853,152474,149362,140279,131310,132938,132600,128026,130509,131458,129190,125730,123908,118447,114882,107160,102251,106050,110974,112031,114170,113369,112133,113114,108853,104409,100388,94601,87753,91006,92826,96391,98112,101013,103235,103753,101467,97820,94312,87326,82224,84225,85801,85493,89100,90040,93395,96770,94632,93522,89679,84290,76532,78438
"New York","State","New York","All Homes",88968,91408,100335,102434,96071,101199,99730,97384,97679,97286,95696,93064,87592,89925,96838,107527,113921,120682,126974,131645,126904,124875,124058,118004,108652,108410,111792,108921,113361,113628,110706,107587,106646,103536,96641,88353,83011,85346,88618,91006,91277,92412,91158,90946,89450,87799,84423,79012,72970,75198,76418,80928,85722,89706,91964,91008,90924,87343,83103,75299,70684,70812,72980,79347,84561,91397,92462,91698,89371,86648,82006,74498,67976,68621
"Florida","State","Florida","All Homes",241036,234728,250952,247998,239252,242973,246443,243524,253340,258835,262072,271006,263146,269458,271413,262510,243311,243190,256341,246760,240489,239166,243788,232266,223750,224779,211932,186364,181888,176354,168654,168052,164464,159963,161166,156922,153592,163536,166684,156913,150026,146060,135486,136476,139313,144648,151806,155448,152157,158087,160810,161412,161474,162149,160112,156129,155500,156021,156576,155335,153832,156782,142214,138131,141296,135454,137380,137517,136102,135157,136218,137342,133164,140072
"Illinois","State","Illinois","All Homes",76590,79425,85873,89586,87759,90002,93794,92422,90702,87882,85778,84753,81742,83545,91401,91844,93354,94722,97461,97505,95128,93274,90388,84026,79872,79210,79440,79719,81557,83006,81094,79621,71110,67350,64642,58520,55348,57044,58572,60168,62058,60386,60415,62368,61717,60557,57804,53608,50102,50474,53036,54951,60605,64828,67047,68299,68368,66968,63392,57760,54602,55200,58414,61131,64948,68014,68599,69148,68503,67138,63516,56994,52322,52564
"Pennsylvania","State","Pennsylvania","All Homes",60126,62130,69864,75210,73045,75758,77013,77710,79418,78803,77494,76317,71812,73640,78470,81010,83038,86409,92270,90947,88270,86793,84116,78467,72648,71977,72861,71931,72936,75408,72454,71377,71764,70504,68141,62023,59281,61520,63534,66007,68901,71192,70816,71440,71025,70345,68086,64513,59508,58868,58766,64879,70088,72470,74072,74838,73890,72517,69715,64377,59596,58893,59306,58285,63860,68306,71464,71170,70459,69373,66030,60345,55408,56056
"Ohio","State","Ohio","All Homes",49301,51452,57423,66960,68134,69254,72287,71996,72858,70087,68202,66688,61037,62477,71922,73008,73620,74747,76963,74840,73448,71294,69104,62466,58832,58012,58622,58497,59555,61154,60706,60108,58432,57149,55420,50776,48066,50207,51682,53350,55558,57916,57758,57885,57114,55644,53372,50086,46234,45068,45337,48307,51560,54188,56643,57712,56994,55484,52814,48114,45160,44483,44412,45545,48518,53110,54527,55376,54422,53459,50708,45851,42072,41579
"Michigan","State","Michigan","All Homes",84626,86242,89818,90044,88084,89988,91508,90128,89053,87534,85979,81432,79246,79092,80746,82108,82984,86161,89136,88966,86026,83550,80295,73814,69370,68138,68161,67580,70450,74130,74502,74826,73058,69569,65553,61282,56505,56380,57046,58436,61863,64280,63605,67195,66253,64381,61741,58601,52970,51806,51134,53181,57677,65390,69938,72794,72421,67613,64582,59982,55070,53206,52564,53911,57634,63075,66585,71136,70559,66882,61690,56212,50198,48874
"Georgia","State","Georgia","All Homes",90992,93486,96393,100658,96654,98937,100280,96539,96757,95130,96842,97209,91776,96156,102681,104108,102509,101831,103020,99938,96129,80476,94749,88602,82188,82689,81017,77177,75810,75053,70662,64747,61064,57258,56564,53712,50655,51562,53287,54070,55187,55256,53515,57100,57266,57864,57181,54842,51121,52180,53300,55877,58374,61092,61410,61646,60978,60813,59374,57430,54156,54044,57622,62094,63590,65570,67517,67524,66742,65750,62880,59029,53808,53054
"North Carolina","State","North Carolina","All Homes",85938,90376,94337,100258,97464,102036,100370,97742,99861,99558,97294,94824,90416,92774,99968,104646,105198,109118,109709,108928,102754,101010,99553,94738,88668,90633,92834,90798,92502,91741,86404,82675,83932,82456,80890,76653,72619,74970,78342,80491,83366,83648,82159,82978,81868,81368,79848,76060,71266,71674,73320,77149,80520,82671,83205,82636,80720,77034,74243,69502,64782,64366,67688,61010,66236,66564,68391,68863,67897,65766,62142,59566,54980,56910
