"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000,489000,475000,485000,499000,519000,529900,538550,533645,525000,515000,505000,499000,470000,485000,499500,516250,525000,540000,549900,545900,549000,545000,545000,540000,539000,535000,549000
"Texas",2,214900,216000,218000,219900,219900,219929,219000,219000,224900,220990,219900,215000,212000,211420,211900,214900,219000,219900,219900,217497.5,208900,208000,205000,204900,206990,209900,210028,214990,215900,219500,215997,215000,215570,218500,229900,234900,234900,239900,244900,248000,249900,250141,250000,250000,253900,258472,255000,258900,259500,265000,269000,275000,279000,278990,279900,288000,288714,288950,288990,299721,302795,307990,306682,311990,309900,308554,309997,312967,310990,316964.5,316950,325000,322900,316000
"New York",3,399900,399000,399900,399900,399900,399000,399000,389999,399000,389000,384900,379000,374000,365000,379000,377400,375000,369900,369000,363900,359000,350000,349990,349000,349900,349000,349990,349900,349900,345000,332700,329900,329900,335000,359000,363200,363500,369900,375900,369900,364900,349900,349000,339000,339000,345000,349000,349000,355000,374990,369990,359900,355000,350000,349000,339990,340000,340000,345000,345000,344900,349900,349992.5,349900,345900,345000,329900,320000,319000,319146,319900,319900,329900,329000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285995,285557.5,289900,290000,289000,297900,296202.5,298000,294000,289990,299000,299000,299000,297000,295000,299500,299990,309500,307200,305990,309950,309990,311990,319000,317000,321990,325000,329000,329000,339900
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259900,264500,259900,269990,275000,282000,288220,289000,285000,282735,279500,277900,275000,273695,275000,284900,294900,295000,299900,299900,299000,297990,295967.5,294990,294900,289000,289000,294900
"Pennsylvania",6,275000,275000,279900,279900,279900,279000,275000,274500,272500,269000,264900,259900,259000,259900,255000,259000,259900,259900,263990,259900,254900,254900,256000,254775,254900,254900,259900,259900,263900,262000,259900,252125,249900,249900,264900,259990,259995,269900,274900,276700,289900,290990,285000,279900,283500,279990,279900,291064,280046,269920,277056.5,279900,280000,284018,279900,277900,284900,280000,279900,279000,275000,276900,285000,291900,298961,297000,290714,289900,287919,289900,289900,285058,285000,286500
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188650,189000,189900,197100,199900,205000,208585,205000,2e+05,199900,199900,199000,193100,194500,199900,206900,210000,219000,220000,219900,217000,214900,214900,210000,209900,214000,220100,224900,229000,229900,229900,229900,227985,227782.5,223900,220000,218900,219900,219990
"Michigan",8,189800,189900,189000,189000,182900,179900,179000,179000,185000,180000,175000,169882,164900,164900,164900,165000,170000,175000,175000,175000,174900,174900,174500,169900,169900,169990,179900,183000,186405,189900,190000,188890,185900,189900,215000,209900,214500,216200,224000,229900,239000,240000,239900,239900,239500,233900,229900,230000,229763.5,239875,240000,249995,259900,260000,260000,259191,258000,250000,249900,244900,247800,258900,265000,275000,279900,281900,279999,279900,279900,279900,279900,279000,279900,275000
"Georgia",9,229500,229900,229900,229900,229900,225000,224900,224900,215000,208000,197900,189900,189900,185000,185000,187000,189000,187900,185000,180000,180700,182665.5,175000,174900,175000,179000,179990,180000,185000,189500,185000,188532.5,189900,194900,220000,223000,224900,225000,229900,237000,239900,244900,245000,244400,244900,243400,239900,235000,232138,239000,247700,250000,255000,257342,255900,254000,250000,249900,248613,244000,247500,249900,250900,254301,259000,259900,256190,259900,255000,255000,254900,251854,253167.5,259900
"North Carolina",10,294800,292500,294500,294818,292100,289900,285000,284900,284000,278900,274900,267900,259900,259900,259000,259900,264900,260000,260000,259900,259900,258000,253241.5,250000,259900,259000,259900,259990,259000,257000,254900,255000,254000,254900,274000,270000,270000,274990,279900,286000,287990,289900,288945,285000,286700,285000,278500,269900,275000,280000,289900,295000,299000,297500,295000,294600,290000,289900,289900,289900,289000,289500,294900,299900,3e+05,303000,305900,309442.5,302490,308000,3e+05,299900,3e+05,312800
"New Jersey",11,4e+05,409777,419000,410000,4e+05,399900,399000,399000,395000,390000,389000,379000,365000,369900,369000,369900,379000,374500,369900,369000,365000,365000,359900,350000,359000,365000,369900,369900,369900,359000,350000,349900,349900,342200,379999,379508,379000,389000,390950,394200,399900,399770,397500,394000,389999,389900,387700,389000,389000,395000,399000,399900,409999.5,409000,409900,404950,409000,409000,409900,399999,399900,399900,409000,419900,419000,425000,429900,429000,429250,429500,424900,405950,409900,409000
"Virginia",12,309000,309900,314900,319000,319000,315000,314900,309900,315000,305900,299900,299000,290000,294900,299000,299000,299900,3e+05,3e+05,299900,299900,299900,299000,289900,289900,289990,299900,312000,314900,310000,304900,3e+05,299950,3e+05,328000,324900,322500,329000,335000,340995,349990,350000,349900,349900,345900,340990,339000,339634,335597.5,339000,349500,359900,369900,369900,365000,364990,364999,364900,359990,354900,349999.5,359900,374900,385000,389900,386990,379000,379500,379950,379900,376875,373990,370000,350000
"Washington",13,324000,322500,329000,325000,325000,328942.5,325000,325000,325000,299950,295000,284900,274950,269950,269900,264000,264000,265000,268000,274000,272000,269950,269000,260000,260000,270000,279900,282900,284990,289900,289500,285970,284900,279950,299950,299900,297950,299995,314500,324900,332900,339950,345300,343450,344900,339990,329500,329000,324900,329900,339900,349000,349950,359900,359950,359900,359900,359000,346900,334995,340000,350000,359992.5,369950,379950,379950,379000,379000,376200,379000,374990,369950,368850,364500
