"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729000,723000,698000,699900,725000,749000,765000,761000,750000,749000,749000,728900,699900,650000,689000,719900,749000,759000,789900,799000,784950,780000,775000,769925,775000,769950,775000,799000
"Texas",2,365000,365900,367250,367900,365000,365000,364900,360000,359000,350000,349900,342000,334900,335000,338608.5,348000,349900,343990,342000,334900,343000,339000,339000,335000,339000,339900,349900,354990,359900,364990,359900,354900,355000,355000,375000,380990,377995,389000,399000,399990,409900,409287.5,414900,407990,413945,414000,411900,419990,417445,426845,430983,448000,443092,444930,445495,450000,450000,450000,449900,450000,456900,465000,472900,477990,473990,473990,469990,466900,455000,460000,458400,449900,458990,465000
"New York",3,535000,533700,549000,539000,539000,529000,529000,520000,529000,519000,509000,499000,499000,495000,499000,499000,499000,499000,499000,498000,489990,489000,489000,480000,484999,489000,489250,499000,499000,489900,485000,480000,485000,489000,519000,523500,520000,529000,529000,529000,529000,519900,520000,519000,520000,529000,539000,549000,549000,549000,549000,559000,569000,574900,559000,550000,555277.5,559000,549999,549766.5,549000,549990,550000,570000,579000,570000,569900,579000,575000,579000,575000,575000,599900,599999
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479000,498894,495000,499000,504000,499000,499000,499000,475000,479500,469000,485000,485000,479900,489000,485000,489900,475000,470000,475000,468040,460000,455539,450000,465340,469000,480000,478088,475000,475000,479000,479900,489000,479990,492990,499900,510000,503390,540000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,289900,275000,297200,3e+05,310000,329900,335000,324900,319900,319900,319900,309900,295000,279000,289900,314900,322500,325000,329000,325000,328250,329500,329900,325000,313500,3e+05,325000
"Pennsylvania",6,284950,285000,290000,284500,279000,274900,269900,262000,267250,259900,249950,239000,229900,234900,225250,229900,239900,234900,239900,229900,229000,239000,239000,229900,234900,239000,247000,249900,259000,250000,249900,249000,239984.5,239000,250000,249900,247250,250000,274900,275000,289900,299650,285000,269900,279900,275000,269900,269900,249900,259900,279888,299000,312000,309900,295000,285000,287500,280000,269900,269000,250000,259000,279000,294050,319900,315000,299000,295000,295000,284840,285000,275000,269000,279000
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199500,196500,189900,195000,194700,209900,224000,224900,220000,215000,212500,210000,199900,189999,199900,209000,215000,219900,229500,239500,239900,239000,229900,220000,220000,210000,199947.5,209900
"Michigan",8,279900,275000,269900,279000,269900,263500,259900,255000,265000,264900,259900,245000,239900,229900,237732,238900,249900,249900,249900,249900,249900,249900,249900,244900,240000,240000,249000,259900,269000,269900,273947,269470,265000,275000,294472,289900,289900,289900,299000,299900,314900,324900,323500,324900,335000,329000,309900,325000,319900,320000,335000,349900,349900,350000,349900,349000,338500,324900,324999,319900,312450,325000,349000,356500,375000,374450,375000,374437.5,375000,375000,375000,375000,379875,379900
"Georgia",9,378411,379000,379900,380000,379000,372900,375000,375000,357900,349600,329150,316000,314900,304000,302040,310000,314900,3e+05,299950,298000,299900,299900,289900,280081,284760,289000,295995,299900,309000,309701,3e+05,3e+05,3e+05,299900,345000,345000,349000,350000,357000,368400,374900,375000,375000,369900,368089,361900,359900,359140.5,355900,365000,365900,379900,382500,375000,375000,378363,379000,378000,369223,374000,374550,379900,389000,389000,399000,399000,380000,377605,374500,379000,379000,369900,366299.5,389900
"North Carolina",10,454999,450000,450000,449900,449000,444900,449000,449000,445000,435000,430000,419000,399900,399000,399000,399000,399000,399000,398900,395000,399000,389000,375000,375565,384900,389900,389900,398000,379000,379000,379900,385000,385000,389900,414900,410000,410795,419995,425000,438925,425000,450000,425000,419900,419000,413900,409495,389000,4e+05,410450,415000,425000,429900,429900,425000,424900,425000,429000,425000,430000,425000,434000,439500,450000,450145,455000,450000,454900,454850,459000,454900,461969,479900,499000
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523900,519999,535000,539900,549000,550000,550000,549000,535000,536000,529900,514900,521300,525000,549000,575000,574950,599900,599000,599900,589900,595000,590000,589900,575000,576250,575000,595000,619000,612900,639999,659000,649000,649900,634950,629900,599000,599538,609000
"Virginia",12,475000,475000,479000,489900,489900,485000,479998,475000,480000,479900,469925,459000,449950,459000,465000,475000,479999,485000,479900,469999,475000,472500,449900,435000,449990,465000,464000,489950,489950,490000,479900,475000,475000,475000,499000,495000,485000,498243.5,515100,519950,539970,539950,525000,525000,515000,524900,511815,499950,499000,489900,499000,502450,525000,524900,518950,514900,524000,505000,499900,499900,496450,499900,519450,530000,539000,543250,530000,525000,529000,529500,524995,514900,499999,499900
"Washington",13,390000,390500,399000,395000,394475,390000,389700,385000,390600,369950,359950,345000,329950,325000,325000,315000,318975,319950,325000,331032,339950,339347,335900,335000,337250,344925,349900,350000,357372.5,359000,359000,350000,355000,355950,385000,381500,379000,385000,387407.5,399000,399950,4e+05,4e+05,4e+05,4e+05,409950,399500,399000,399000,399950,414700,419900,425000,435000,439000,430000,429000,435000,419995,399990,417950,425000,439000,450000,459000,469900,459450,458900,465000,468000,463450,459900,454500,450000
"Massachusetts",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,449436.5,449900,469900,499000,519000,539900,525000,499900,520000,509900,499000,488000,475000,475000,489000,517750,529900,519900,499000,490000,499000,489000,489000,455000,444750,459900,479000,499000,524000,525000,515250,499000,499900,499900,499900,495000,479000,489000
"Indiana",15,299900,299900,309900,319900,319900,319900,309000,3e+05,299900,289900,287500,269900,265000,269900,274900,259900,269000,275000,274500,254900,244900,253900,260000,248000,242000,239900,249000,254000,264900,275000,269450,259900,250000,250000,274900,271500,260000,264950,275000,274950,279900,286900,284900,279945,284900,278000,269900,274900,269500,278500,285000,294700,3e+05,3e+05,299000,299000,299900,299000,299900,299000,297700,299999,319995,325000,329900,321000,329000,315000,317397.5,299900,299900,298500,284900,289900
