"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,384900,390270,399900,419000,420000,425000,425000,425000,419000,411900,4e+05,385000,399000,409000,419990,428990,440000,449000,439990,449000,449000,449000,449000,440000,439500,449000
"Texas",2,159000,159900,160000,163583.5,163195,164900,160000,162000,170000,169500,166338,162500,159995,159900,159900,159999,164900,167900,166900,163990,157900,157295,155000,154900,155000,156900,159000,159900,159950,162990,160000,159900,159500,159900,174900,175000,175000,179900,184609,187500,189900,190810,190990,189990,191990,195000,190000,192900,191990,197990,2e+05,209900,215000,212990,214000,219000,217500,215900,216900,223000,225000,231881,239000,243000,242500,243500,245000,247000,248495,249500,249900,252500,250000,240000
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301138.5,308000,319000,320000,319000,315000,299900,299000,294000,295000,299000,304900,3e+05,310000,325000,325000,325000,329000,330000,325000,319999,319900,324000,323900,319900,329000,329999,334990,330000,329999,339000,329000,320000,319900,324900,324000,320000,339000,339900
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,199995,199900,203990,207000,209900,209000,204900,212500,214900,215000,215000,215000,215000,219000,225000,224900,224500,225000,227000,229000,235000,239500,239900,248000,249000,249000,249900
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155000,164900,171900,179900,185900,189900,189000,185000,180000,179900,175000,169900,169000,175000,185000,189900,199900,199900,199000,194900,189900,189900,185000,179900,179900,185000
"Pennsylvania",6,162000,165000,169900,169900,169900,169900,169900,169800,169900,168900,164999,162500,159990,164000,159900,159900,159900,159900,165000,159900,155000,159900,159900,156000,159000,158900,159000,159900,159900,159900,155000,150000,149900,149900,164900,160000,162500,167000,169900,171500,179500,179900,175000,169900,170000,169900,169000,173000,168000,169500,171900,179900,179990,179999,179000,175000,174900,175000,170000,169000,169000,169900,175000,179900,184900,180000,179900,175000,179900,174900,174000,169900,166000,164900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,120000,119900,124000,128000,129900,134900,135000,134900,132512,129900,129900,127000,124900,125000,129900,132000,135000,138777,139000,139000,135990,135000,132500,130000,129000,129900,129900
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,119900,117500,119900,124900,129900,135000,139000,139000,138500,135000,133500,127900,122535,124900,129000,130000,136900,139900,144900,144900,142000,139900,139500,136500,132500,129900,129900
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174900,169900,169000,164900,169000,174900,179900,180544,185000,185363.5,183776,179900,179900,176000,170800,175000,179500,179900,184900,186000,189000,189900,189900,189900,189900,189000,189000,189000,185000
"North Carolina",10,184900,185000,186900,185900,185000,184900,180000,179900,182500,176000,173500,169700,165000,164900,165000,165000,169000,169900,169900,169900,167900,165900,164900,162900,169900,169900,169900,169900,168000,165500,165000,165000,161900,163250,179000,179500,179900,181400,185000,189900,191400,197000,194900,193900,194500,194000,189900,190000,187500,189000,193000,195000,199000,199000,199000,199000,198000,195000,195000,192000,193490,198900,198900,2e+05,209900,212900,212000,210900,210000,210000,209999,209000,212400,211900
