"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,349000,345000,349000,359000,369000,368900,375000,379000,379000,379900,376000,374000,359000,359000,375000,385000,390000,399500,399000,4e+05,405000,410000,410000,4e+05,399000,399000,410000
"Texas",2,147500,148000,147500,148000,145000,145000,144000,139000,145010,145000,145000,139900,139900,140000,139900,139000,139000,138900,138500,139000,139000,139900,139900,139800,139900,139900,139900,140000,139900,139900,137900,139500,138992.5,139900,147000,149000,148000,154500,150000,152000,155000,155000,158000,159900,164700,169500,169900,165500,165000,166900,169400,172900,175000,169900,169000,195000,179000,177475,180000,180800,185000,190250,195000,198000,196900,194900,196900,199500,205000,205450,204900,209900,210000,214900
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,425000,425000,449000,499999,479000,479000,479000,495000,513240,5e+05,5e+05,535000,550000,550000,554000,640000,650000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,164900,166902,169000,169999,169900,169900,169900,169900,169900,170000,175000,176895,179000,178900,179000,179600,179000,175000,179000,179900,184000,185000,189500,189900,189900,194900,189900,189900,192000,189900,190000,199900,203500,209000,219900,224900,220000,225000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,154900,150000,164900,175000,180000,189000,189900,189000,184900,184900,181000,179900,173900,169900,179900,189000,189000,189900,191450,189900,188500,185000,183000,179900,178000,179900,189500
"Pennsylvania",6,147900,149900,157500,154900,154900,152375,151900,149420,149900,148500,144900,139900,139900,140900,139900,139900,140000,139900,139500,139500,138900,136900,137000,129900,130000,135000,134900,134900,135000,138000,134900,130000,129900,132500,135900,134900,135000,139700,144900,148975,149999,153000,149000,144070,144037.5,144900,144900,142500,139900,140950,149000,151500,154500,154000,149900,148994.5,149000,147000,146500,142900,139900,144900,149900,154900,155000,155000,152900,150000,150000,150000,149999,148000,145000,145000
"Ohio",7,124000,122000,123900,124900,122900,122000,119900,119900,119712.5,117000,114900,111600,109900,109900,109900,110000,114000,114000,111900,110000,109900,109900,108000,105900,108125,108000,109900,109900,109900,109900,109900,107500,104900,104900,110000,110000,109900,109900,110000,114900,114900,115000,114937.5,114987.5,114921.5,118154,115000,115000,115000,119500,119900,119900,119900,119900,118900,118000,116400,118900,115000,113700,114900,116500,117000,118750,118000,118900,119900,120000,119900,119900,119900,119500,119900,124900
"Michigan",8,112000,112000,109900,112500,110900,109788.5,109650,104900,104999,104900,99900,99900,99000,99849.5,99900,99900,104900,105900,106900,105000,107900,105925,105000,102994,1e+05,104900,107000,109900,115000,119900,119900,119900,119900,119900,124900,129000,129000,128900,129900,130000,139000,139900,139900,144900,149900,149950,149900,149900,149900,154995,159900,163450,163900,164900,164900,164900,165000,159900,154900,149900,152900,159900,160000,162500,169900,174900,169900,169900,169900,169900,169945,169900,169900,169900
"Georgia",9,145900,149000,149900,149900,149900,148000,148900,142500,139900,138000,133900,129900,129500,128750,129900,126900,125000,125000,124900,120000,124900,124900,122500,122900,124900,125000,125000,124900,127000,125000,124900,125000,129900,134900,139900,140000,146875,149900,149950,150900,157500,159500,159000,157900,160000,160000,165000,153499.5,154000,155000,159000,159900,154900,159000,159900,159900,159900,159900,159900,159000,159900,165000,170000,170000,169900,169900,168274,187500,189000,190000,190362.5,190427.5,189900,192900
"North Carolina",10,157250,155000,155000,155000,152900,152500,150000,145900,149500,145000,142500,139900,139000,139900,139900,139900,139900,142000,140000,139900,139900,141000,139900,139900,141945,139900,139500,139900,136601.5,135000,138000,139900,140000,144900,150000,155900,157565,159900,165000,169000,171900,179900,172000,169000,169000,169000,170000,168092,169000,160175,160000,168900,169500,159990,159000,159900,159900,156900,155000,154900,156900,159900,158600,159900,162900,164800,164800,164900,164900,165000,168900,169500,179900,180000
"New Jersey",11,279000,279000,279000,277000,272900,269000,265000,250000,259000,259000,255000,250000,249000,249000,249000,239000,239900,235000,230000,230000,230000,229900,229000,225000,225000,229000,235000,232595,235000,229900,227500,225000,227000,224999,229900,229000,229000,235000,239900,239900,249000,249900,249900,245000,249000,249000,249000,244900,249899,249000,250000,259000,255000,253800,250000,249000,249900,247000,239900,239000,239000,244900,249900,249900,249000,249000,249900,249900,250000,254900,250000,245000,245000,248000
"Virginia",12,210000,216950,222000,229000,225500,224950,221000,219887.5,219900,214900,208894,199999,199000,199500,199900,199900,204900,205000,206200,205000,209900,210000,199950,195000,192995,195000,199990,209700,215000,219900,219900,215000,210000,210000,220000,219000,219900,225000,235900,244995,250000,255000,249900,249990,249900,249900,247000,243900,239900,243500,249900,259000,267915.5,269900,268500,265000,265000,268000,262175,255000,250000,259000,264900,269490,275000,274900,259000,270000,269900,269850,264500,260000,257000,258155
"Washington",13,239999.5,247000,245000,240000,239900,235000,235000,229900,224999,215000,204950,199950,194900,189000,189000,178950,174950,170000,169000,160000,165000,164900,162000,159000,155000,159000,156950,154900,159900,159950,163000,159000,154900,150000,172000,169900,169900,179000,185000,194900,199950,203760,209000,207000,210000,209900,2e+05,199000,195000,199950,208250,215000,220000,223000,225000,225000,225000,225000,219750,205000,210000,225000,230000,237500,239900,239925,240000,244500,248150,246800,245000,239950,239950,249000
"Massachusetts",14,249000,265000,269000,269900,269000,266250,259900,259900,259900,259000,259000,249899,249900,249500,249900,250000,260000,266505,260000,259900,259999.5,259900,249900,249900,255000,259900,267250,272950,269900,269900,265000,259900,264900,262900,265000,259900,264900,269982.5,280000,289900,296997.5,299000,292000,287500,293750,289900,289900,289000,289900,299900,299000,299000,299000,294999,285000,284900,289900,294900,297000,299000,299720,3e+05,309900,309000,309900,314900,309000,299000,299900,309900,312000,305450,315000,319000
"Indiana",15,129900,129900,129900,127000,126000,126900,125000,125000,127000,126900,125000,124900,120050,120419,120000,119900,119900,119900,119800,116900,116900,117000,114900,114350,113250,113500,113500,112900,114000,114900,114900,114900,114900,114900,114900,114982.5,114900,114900,114900,117500,119900,119900,119900,119900,119425,119500,115000,113900,113050,114900,115500,119500,119900,119900,119900,119900,119900,119500,119500,117500,114900,118995,119900,119900,120000,123700,120000,119900,119900,119900,120000,119900,119900,124800
"Arizona",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,144900,145800,145000,147000,148000,149000,147500,145000,145000,149000,150000,150000,150000,155000,157500,158000,159000,160000,159900,150000,159000,164900,168000,169900,169900,172500,171000
"Tennessee",17,175000,174900,174900,174900,174900,169900,169900,168550,169000,169000,168000,163500,159900,159900,159900,159900,159900,159500,159500,158900,155551,154900,153650,149900,149900,145000,147500,149850,149900,149900,151900,147900,147135.5,147000,150000,149900,150124,154900,154900,159000,157562,159000,159000,158000,155000,154900,154000,154900,157885,154900,158000,158000,168500,169250,164900,164900,165900,169000,165900,169900,169850,169900,164897.5,164900,165000,164000,167500,169500,169000,174900,169000,166200,167500,169500
"Missouri",18,150000,150250,149900,150000,149900,148900,149900,149900,149900,149000,148480,145000,144900,139900,140000,139500,139500,139000,135000,134900,136000,135500,137000,139900,137500,137900,137900,136900,140000,134900,134900,134500,134900,133950,133900,133900,133000,132500,134500,134500,131900,130000,130000,133000,135900,135000,136500,135900,136000,138000,139500,139737,139999,138900,138254,135000,138900,137000,136900,135000,135900,139900,137900,139759.5,138800,137500,139500,138500,138500,139737,138500,138000,140000,144900
"Maryland",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,187500,184250,185000,199000,195000,199786,199900,204000,209000,209500,214900,215000,217900,219900,219900,219900,215000,215000,215000,219900,219900,226950,229500,229000,228000,225000,224900,221000,215000,214900,217000,219900,224900,224900,224900,219000,224992.5,225000,224900,224900,224900,224900,225000
"Wisconsin",20,169900,169900,168900,165000,165000,165000,168900,169900,169000,164900,164900,160900,159900,161504,159900,159900,159900,159900,157900,154900,150000,149900,149900,149900,149900,149000,149500,149900,145000,145000,145000,145000,144900,144900,149900,149900,149900,149900,149900,149900,149900,149900,149900,151000,151900,151500,149900,149900,149900,149850,149500,149900,149900,149900,149900,149900,150000,149900,149900,150000,149900,149900,150000,151900,152945,154900,157600,155000,155000,156500,159900,159900,163900,164500
"Minnesota",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,157900,154900,159900,159900,164900,169900,169900,165000,164000,164900,162200,160000,160000,159900,159900,164990,169900,174900,174900,174900,174900,174900,174500,169900,171900,173900,174900
"Colorado",22,188900,185000,185000,183850,184000,180000,179900,183000,179900,169900,165000,159000,159900,164500,160000,159900,164900,166450,175000,178500,189000,178950,179000,174000,179000,187825,180000,179900,185000,183900,183900,185000,180000,185200,210000,215000,215000,212000,209900,209000,209500,207500,214500,211200,219999,210000,217500,229900,229000,235000,229900,229500,225000,230000,230000,230000,239000,240000,245000,260000,270000,259000,258000,265000,260000,265000,270000,272410,274900,274900,275000,288395,297400,3e+05
"Alabama",23,,,,,,,,,,195000,194000,195000,195000,189000,183950,179900,175000,182000,179900,179900,185000,185000,190000,199900,186000,189000,193000,187900,187000,187000,181900,181900,185000,192800,193830,189900,179000,179900,182900,184900,179000,179000,179000,184000,187000,179000,179000,174900,174900,175000,179900,180000,185000,184900,184500,184000,189900,199000,189900,189900,199000,199000,199900,214500,214995,218950,215000,215950,214050,210000,212000,210000,205155,209900
