"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,399900,410000,419000,429000,459000,490000,495000,499000,499000,499000,499900,450000,499000,489900,495000,499997,524450,530000,549000,539000,533450,534123,544445,524995,520000,525000,528800,540000,568000,579500,580000,575000,595000,599000,599000,6e+05,599000,595000,599000
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,153150,158500,162000,164925,164000,165000,169000,175000,175000,175000,175000,175000,174900,170000,172500,170000,175000,179000,174900,174900,177530,175450,179900,182500,184900,184900,179000,180000,184900,185900,186950,189000,191500,196990,193000,189900,199000,194950,190000
"New York",3,459000,450000,469000,450000,449990,448388.5,439999,439000,442000,438000,430000,429000,425000,419500,429000,420000,419000,425000,425000,429000,425000,4e+05,420000,420000,409000,425000,419000,419000,410000,399999,399900,399999,409000,409900,429000,439000,445000,449999,449900,450000,450000,439000,449000,450000,449000,465000,479000,479000,479000,487444,498999,479000,479000,479000,479000,480000,489000,484000,489000,485000,489000,495000,495000,485000,495000,499000,499900,499000,495000,499000,480000,479000,499000,499000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,179900,178745,180517.5,184500,182000,184900,185000,188934,187970,194995,206493,239900,229900,199900,199900,2e+05,200570,205945,204995,215000,215190,219900,220000,219000,222990,224470,225000,225000,225000,220999.5,225000,229000,239000,239900,247000,250000,255380,260000,257345
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000,139000,132990,139900,149900,148900,149900,159000,160000,160632.5,159950,159265,150000,145000,144900,144900,149900,159900,170000,169900,169000,169900,165000,165000,160000,150000,150000,149000
"Pennsylvania",6,,,,,,,,,,,,,,,,,,,,,,,,124900,119900,119900,120000,122500,120000,124900,129900,127000,124900,124900,124900,120000,119900,120000,124500,125000,127450,129000,125000,125000,129900,125000,129900,129900,125000,125000,125000,125000,125000,125000,124900,125000,125000,129900,125000,125000,124900,128900,129900,129900,129900,129900,129500,125000,125000,123400,120000,119700,119000,114900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,72000,74900,75000,77500,79900,79900,79900,79900,79900,84350,79900,79000,79000,80000,79900,82000,80450,80000,79900,79900,79000,79000,75000,75000,75000,75000,79000,79000,79700,79900,79900,79900,79900,79900,79725,78899,77000
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,95000,93250,89999.5,89900,89900,89900,89900,89900,89900,89000,89900,93700,95450,98400,96450,99900,105000,106900,109450,107450,110000,109900,114900,109450,105000,105000,109900,109900,109450,114900,109900,114900,115000,114449.5,114900,104900,99945,99000,104900,114900,109900,118916,110000,110000,113950,118932,119000,116000,114900,110000,110000
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,129000,129900,134125,134900,136000,139900,135450,139900,139900,138500,139000,135000,132000,132950,130950,135000,139900,149825,143500,147650,143198,139999,134900,134900,135000,135000,139250,145500,148500,149000,149000,130000,149700,149900,149900,155000,152813,165900,145000
"New Jersey",10,299000,299000,299000,299000,290000,289900,289900,284900,289900,299000,299000,299000,289900,289900,289000,289000,289900,295000,289990,297500,289900,269000,289900,289900,289000,289995,290000,289900,280000,279900,275000,274990,275000,275000,279000,279000,274900,275000,269900,270000,275000,275000,274975,279900,279900,279000,275000,279900,279945,295000,279900,280000,299000,299000,3e+05,299392,299000,299500,298000,280000,285000,269000,264900,289000,299000,309000,3e+05,312900,319000,3e+05,3e+05,302500,299995,319000
"Virginia",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228195,227990,229900,249000,244945,244900,245000,246600,244990,234990,239000,249000,236470,239900,240000,239872.5,238000,230000,235000,235000,235000,229945,228900,225000,219900,217825,215000,217900,219900,225900,227900,228700,219900,220900,231900,220000,225000,222950,235000,229000
"Washington",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,245000,250000,261000,262450,274950,279000,289000,285000,272490,275000,269000,249900,265000,259000,249900,259000,255000,260250,269000,279000,272500,269950,270000,269970,269950,280000,284900,291750,289000,289925,289995,280000,284000,280000,275000,285000,295000,289950,285000
"Massachusetts",13,249949.5,255000,260000,269000,269900,269000,269900,264900,264900,260000,259900,249900,248900,234950,234900,238950,249900,259000,255000,259000,249900,244900,239900,229900,229937,235000,240000,249000,249900,259900,253800,254900,249900,249900,250000,249900,239900,244900,250000,269000,279400,289900,289900,294900,295000,292000,284900,274900,269000,275000,280000,299000,299900,305000,299900,299000,299000,297450,295000,284900,278000,279000,279900,299000,310000,319900,310000,299999,309900,312000,299900,299900,289900,289900
"Indiana",14,,,,,,,,,,,,,,,,,,,,,,,,84900,80000,80000,80000,86995,79900,79500,78950,79900,75000,77900,73475,78400,81700,79900,79900,79948.5,83500,85000,85000,83100,81815,84000,79900,76900,78000,78300,79900,86000,91900,89900,85000,89000,84900,84900,80000,80000,79900,79900,79900,82250,79900,79900,79000,75000,75000,74900,70000,69900,69900,69900
"Arizona",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,155000,154900,159900,170000,171900,172400,174500,170950,169000,174999,174750,175000,175000,175000,175900,175000,175000,179000,185000,175000,172950,175000,175000,179000,179900,184950,185000,185000,181900,188000,199500,205000,206500,204900,2e+05,199000
"Tennessee",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,119000,119000,119900,118900,117750,120000,124900,125000,124975,124900,123076,124900,124900,129000,127750,129000,130000,130000,130000,134900,134900,135000,130000,130000,129900,129900,127900,125000,129900,135000,129900,129900,120000,119900,115000,125000,124900,129900,129949.5
"Missouri",17,,,,,,,,,,,,,,,,,,,,,,,,121975,120000,120000,119900,121115.5,122250,119900,118025,118000,115000,117000,118500,115000,119000,117900,114900,114500,120000,119900,115000,115900,117500,115900,117500,112000,113850,114900,119900,120000,115900,120000,120000,125000,125000,124000,120000,120000,119000,119900,119000,119900,120000,120000,120000,120000,124900,124900,125000,123500,125000,125000
"Maryland",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279655,284900,280990,280058,290990,294990,295000,299900,290990,289990,297990,300990,295490,299994.5,299990,303760,310990,319302.5,319990,319995,328032,326148,325702.5,325000,325000,324995,327781,319990,315757,322740,325000,323990,315000,329000,335000,329990,319995,324798.5,329845,299900
"Wisconsin",19,119000,115000,119000,124900,124900,128950,129900,124940,129900,130000,129900,123900,119900,115949.5,119900,110000,110000,114900,119900,119900,119900,109900,115000,118700,115000,114000,114900,119900,119900,115000,114900,114900,109900,109000,114900,114885.5,109900,110000,114900,119900,120000,119900,124900,121900,119900,120000,124900,118900,114900,110000,114900,122900,124900,129900,129900,129900,129900,125000,122500,119900,119900,119900,120000,125000,130000,129900,129900,129900,125000,120000,119900,119900,119900,119900
