"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409000,4e+05,395000,399900,415000,429900,439000,443880,440000,438800,429000,424999.5,415000,392725,4e+05,419900,429000,439000,450000,459000,449900,458000,458000,459000,455888,450000,449900,455000
"Texas",2,159600,159900,162000,164900,164900,164995,162575,164000,172900,169900,168418,164500,161224,160000,160000,161990,165000,169000,168900,164900,159000,158765,155990,155000,156900,157990,159500,159999,160441,164794.5,162000,160000,159900,160000,175000,176700,175000,180000,185000,189500,190000,194900,194500,192755,194500,196495,192400,194990,194500,199000,204519,212245,218000,215000,215000,219900,219900,219000,219000,225000,228990,234989,239900,245000,245000,245000,247900,249000,249700,249900,249990,255000,252990,244000
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310400,310000,325000,327000,319900,319000,299999,299000,294900,293000,299000,299000,299000,299000,319000,315000,310490,309900,305000,299500,299000,299000,299000,299000,295000,294000,299900,299999,3e+05,299900,299900,298888,289000,284900,284900,282000,280000,285000,286930
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214900,214900,210000,219000,219900,222000,219900,219000,224999,225000,225000,225000,224900,223100,225000,234900,231990,230000,235000,238900,239000,245000,249900,249900,254900,254900,255000,259322.5
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155900,164900,169992.5,179900,185000,189900,189000,185000,180000,179900,175000,169900,169000,174900,184900,189900,199900,199900,199900,195000,190000,189900,186900,179900,179500,184900
"Pennsylvania",6,165000,169000,173900,174900,174900,170000,174700,170000,174900,169900,169900,168000,165000,167970,165000,165000,159900,160000,169900,164900,159500,161900,162000,159900,160000,159900,160490,164900,164900,161900,159900,155777,150000,150000,169900,168000,169000,169900,174900,175500,183900,184900,179900,175000,176090,174900,170000,179000,170000,174000,177500,184900,187900,187500,182500,179900,179900,179900,176372,173150,174900,175000,179900,185000,189900,189000,184900,179900,184900,179000,177400,172500,169900,169000
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,122500,120000,124900,129900,132000,135000,139850,137900,134900,134000,130000,129000,124900,126900,129900,134900,139000,139900,139900,139900,139000,138000,134900,132900,129900,129900,129900
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,117900,114900,115000,119900,129000,132900,135000,135000,134900,133500,129900,124999,119900,120000,125000,129900,134900,139900,139900,139900,139900,139900,135000,134000,129900,128500,126900
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,170000,169900,165000,169900,175000,180000,184990,189000,189000,185000,181505,179900,179000,174000,175000,179900,180000,185000,189500,189900,190000,190000,189900,189800,189000,189000,189000,184900
"North Carolina",10,187141,189000,189900,189900,189000,187900,185000,184000,186395,179900,175000,169990,169000,168000,168000,168900,169900,173900,174900,170167.5,169900,169000,165900,165000,170000,170000,174500,172000,169900,169777,169000,168000,164900,165000,179900,180000,181000,185000,189000,192300,195000,199000,198888,198000,198000,198000,190000,195000,189900,190000,198000,199500,199999,2e+05,199900,199900,199900,199700,199500,197922.5,198400,199900,199900,209000,215000,219000,218000,217300,215000,215990,215000,213400,215000,215000
