"RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"California",1,2.03125,2.03125,2,2,1.99545454545455,2,2,2.07286432160804,2.09473684210526,2.07317073170732,2.09090909090909,1.98541666666667,1.9475,1.98333333333333,2.13895216400911,2.2,2.34362139917695,2.32383720930233,2.34448998178506,2.40719521604938,2.42857142857143,2.33333333333333,2.33333333333333,2.33333333333333,2.3125,2.33333333333333,2.28125,2.30172659817352,2.40899357601713,2.38486842105263,2.39619252873563,2.33333333333333,2.30978260869565,2.35483870967742,2.31032608695652,2.32371794871795,2.21929552503323,2.38888888888889,2.45216836734694,2.46225865209472,2.43658810325477,2.5425,2.59771986970684,2.5,2.64108879905155,2.62172284644195,2.66522359563615,2.72873194221509,2.77943397902968,2.83198924731183,2.85111308548046,2.90319185059423,2.9547423979833,2.93884297520661,2.97590235871431,2.98739810169878,3,3.05816135084428,3.06396103896104,3.05198439423144,3.02785923753666
"Texas",2,,,,,,,,,,,,,,,1.22222222222222,1.2687969924812,1.37032818532819,1.2725,1.43686868686869,1.39557116812664,1.37142857142857,1.38427197802198,1.3707323362558,1.29682997118156,1.36551724137931,1.33333333333333,1.33333333333333,1.3175,1.43686868686869,1.435,1.43686868686869,1.38461538461538,1.50136612021858,1.49446494464945,1.49314516129032,1.44402673350042,1.53846153846154,1.39620503892379,1.37351778656126,1.41666666666667,1.45328719723183,1.47761194029851,1.4875,1.55373386150235,1.5962441314554,1.63957620426428,1.55555555555556,1.59074074074074,1.57824933687003,1.55698844267066,1.52266023823029,1.5449494949495,1.56578947368421,1.55963302752294,1.6,1.65,1.63636363636364,1.64373088685015,1.60539215686275,1.70398009950249,1.95902688860435
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69411764705882,4.58333333333333,4.63636363636364,4.58333333333333,4.5,4.5,4.53862660944206,4.5353982300885,4.52817743331822,4.56174570036783,4.4,4.35353535353535,4.36507936507936,4.32692307692308,4.2828870096312,4.22222222222222,4.28571428571429
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,1.51785714285714,1.5,1.34461538461538,1.36363636363636,1.44444444444444,1.44337606837607,1.50240384615385,1.5625,1.71428571428571,1.65382458738891,1.79078222462381,1.80082843945584,1.9462481962482,1.99489795918367,1.875,1.81436965811966,1.8,1.76666666666667,1.94736842105263,1.95017730496454,1.875,1.96965795034337,2.15265457434132,2.1,2.02824133504493,2.1,2.10686340263805,2.1502688172043,2.19022556390977,2.10232233983612,2.17324258629071,2.3,2.3134328358209,2.33333333333333,2.22739202346403,2.28825192751751,2.25806451612903
"Illinois",5,,,,,,,,,,,2.32469512195122,2.30714285714286,2.30769230769231,2.31794871794872,2.27272727272727,2.20727272727273,2.17333333333333,2.19047619047619,2.36842105263158,2.33333333333333,2.3431855500821,2.4114671163575,2.42857142857143,2.38097758405978,2.36937898933382,2.41917808219178,2.44703143189756,2.56323777403035,2.56531036739273,2.60455205883675,2.64220183486239,2.63238095238095,2.65945756371288,2.6271186440678,2.65660377358491,2.60357126024832,2.57915057915058,2.59984662576687,2.58880308880309,2.55780368280368,2.61437908496732,2.64734844546116,2.72142857142857,2.80295542168675,2.87306382774661,2.72584622829894,2.86284259034684,2.79566695319215,2.65034013605442,2.53069306930693,2.65714285714286,2.81666666666667,2.7318718381113,2.69230769230769,2.73831775700935,2.72572402044293,2.7219288277512,2.61359447004608,2.66863905325444,2.68244575936884,2.69836065573771
"Pennsylvania",6,,,,,,,,,,,,,,,,,,,,,,,,,1.32916666666667,1.25,1.3,1.25978260869565,1.44444444444444,1.5,1.6390756302521,1.59,1.5,1.44545454545455,1.3825,1.5,1.66666666666667,1.58426616915423,1.48576512455516,1.46153846153846,1.5421686746988,1.6,1.72513089005236,1.76649928263989,1.73121627231216,1.66666666666667,1.6,1.6,1.58115671641791,1.57991293532338,1.61969993476843,1.75,1.88609467455621,1.98041206105722,2.24740361919748,2.29807692307692,2.1,1.91987179487179,1.74444444444444,1.875,2.04301075268817
"New Jersey",7,,,,,,,,,,,,,,,,,,,,,,,,,2.35044642857143,2.34,2.45421073254912,2.52986876870534,2.74193548387097,2.45678092399404,2.26851851851852,2.2,2.23429951690821,2.34343848373557,2.3828125,2.35849056603774,2.71535580524345,2.65151515151515,2.55536626916525,2.71139705882353,2.71794871794872,2.7262969588551,2.75657894736842,2.92177419354839,2.77573529411765,2.67957068672218,2.64674439017803,2.63333333333333,2.34375,2.4,2.5,2.57879656160458,2.5,2.71139705882353,2.61145782512062,2.57879656160458,2.44444444444444,2.34375,2.31550925925926,2.4,2.475158674189
"Virginia",8,,,,,,,,,,,,,,,,,,,,,2.4156089193825,2.40237691001698,2.50639386189258,2.50900163666121,2.40189873417722,2.42824074074074,2.5169527078566,2.5632183908046,2.62045081967213,2.60338345864662,2.53080612324798,2.54274993299384,2.38427942212826,2.38689217758985,2.49462365591398,2.3780487804878,2.24932065217391,2.2046783625731,2.33333333333333,2.32342896174863,2.33333333333333,2.44859813084112,2.47222783756466,2.61733419364004,2.57491289198606,2.62522522522523,2.67198578821349,2.55555555555556,2.5618144923069,2.55142642642643,2.52099404355043,2.5187969924812,2.55831571529246,2.56409017713366,2.58148148148148,2.64073083778966,2.62083626967348,2.63127413127413,2.56400052621193,2.4983606557377,2.52398462263283
"Washington",9,,,,,,,,,,,,,,,,1.79,1.87777777777778,1.88285714285714,1.93675889328063,1.93628246753247,1.93469684385382,1.9594867793364,1.93278463648834,2.02947845804989,2.08205128205128,1.98344776111901,1.9433465085639,1.94701715960927,2.07792207792208,1.94852941176471,2.02678698308938,2.06015639721123,2.10958097928437,2.1,2.13994565217391,2.13678784190044,2.07813499680102,2.19957081545064,2.16899122807018,2.2,2.16049382716049,2.3010353227771,2.42956069460299,2.4632273415531,2.52471057495865,2.55077134986226,2.61937724072116,2.502,2.50439367311072,2.46195652173913,2.44757281553398,2.53056768558952,2.57309941520468,2.63620386643234,2.63975155279503,2.71523185608083,2.73131955484897,2.70717131474104,2.73133533518119,2.70172003340765,2.73440643863179
"Arizona",10,,,,,,,,,,,,,,,,,,,,1.15434782608696,1.14888400219901,1.21669626998224,1.22,1.18127053669222,1.16255864789934,1.14463840399003,1.14463840399003,1.16856060606061,1.18208955223881,1.16839157293011,1.125,1.1339804434989,1.12547709923664,1.12634408602151,1.08108108108108,1.08966598373378,1.08974358974359,1.13676731793961,1.13266937325552,1.11733333333333,1.08225108225108,1.13083459532223,1.16666666666667,1.16666666666667,1.18,1.12761276127613,1.1267834798747,1.1395652173913,1.17915783898305,1.171875,1.15541571319603,1.16666666666667,1.16666666666667,1.2375,1.24875,1.2675,1.22710622710623,1.23076923076923,1.21156052782559,1.31628787878788,1.49565217391304
"Missouri",11,,,,,,,,,,,,,,,,,1.10565110565111,1.10565110565111,1.12,1.12,1.12,1.15007012622721,1.11666666666667,1.10565110565111,1.09756097560976,1.09756097560976,1.08333333333333,1.07369232526268,1.09324561403509,1.09702610183997,1.1280625119539,1.16470588235294,1.164095371669,1.08225108225108,0.972222222222222,1.04,1.09824561403509,1.09649122807018,1.098,1.17777777777778,1.16279069767442,1.19613096677468,1.27777777777778,1.27777777777778,1.27777777777778,1.27777777777778,1.22080059857838,1.16279069767442,1.07142857142857,1.16279069767442,1.22,1.20869565217391,1.20056497175141,1.18367346938776,1.23626373626374,1.3125,1.27614379084967,1.26019417475728,1.33333333333333,1.31515251261795,1.25571895424837
"Maryland",12,,,,,,,,,,,,,,,,,,,,,,,,,2.27136431784108,2.30684326710817,2.34727272727273,2.51457725947522,2.36644418348272,2.48188405797101,2.47334596130429,2.4005525886367,2.1652719665272,2.4125,2.1041257367387,2.17485265225933,2.31857589038336,2.52134485463721,2.58638862415663,2.6,2.6,2.6,2.55084347263857,2.562,2.5561797752809,2.49499332443258,2.46349206349206,2.45134228187919,2.46506550218341,2.5,2.34467592592593,2.45134228187919,2.44489256970394,2.3656462585034,2.40235934664247,2.40339027447752,2.4020618556701,2.43831615120275,2.40204429301533,2.29411764705882,2.36285714285714
"Wisconsin",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43338954468803,1.37090909090909,1.37257500903723,1.28617363344051,1.31,1.34803921568627,1.27450980392157,1.27450980392157,1.27450980392157,1.2983660130719,1.27450980392157,1.34864774464832,1.34396024464832,1.42487046632124,1.42307692307692,1.48342059336824,1.41666666666667,1.4499584717608,1.69
