"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,2100,2100,2000,1995,1950,1950,1995,1995,1700,1695,1675,1705,1522.5,1585,1575,1600,1600,1600,1595,1600,1550,1500,1500,1500,1500,1500,1555,1526,1500,1525,1505,1550,1580,1565,1546.5,1530,1505,1550,1570,1550,1550,1515,1550,1540,1635,1645,1545,1695,1700,1650,1619,1682,1795,1800,1800,1805,1850,1895,1895,1910,1922,1950,1975,2000,2005,2030,2050,2095,2100,2100,2150,2150,2170,2195
"Texas",2,,985,995,1025,995,1010,995,995,925,965,950,950,949,935,936,900,902.5,932.5,920,900,899,885,899,925,948,968,989,950,960,968.5,967,995,1004,899,999,1030,1031,995,1024,1040,1053,1050,1075,1040,1100,1125,1149,1137,1154,1110,1104.5,1150,1131.5,1139,1118,1121,1120,1124,1118,1114,1125,1125,1130.5,1175,1175,1190,1180,1190,1189,1183,1250,1248,1250,1245
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2565,2525,2500,2500,2500,2500,2500,2550,2600,2595,2500,2500,2500,2500,2495,2450,2400,2475
"Florida",4,,,,,,,,,,,,,,1300,1300,1300,1300,1250,1250,1250,1275,1250,1245,1250,1200,1243,1250,1250,1232,1250,1250,1250,1212,1200,1200,1200,1175,1200,1200,1200,1200,1223,1300,1300,1345,1350,1400,1400,1375,1350,1300,1300,1350,1350,1350,1350,1375,1375,1350,1350,1330,1355,1395,1369,1400,1400,1500,1500,1500,1500,1545,1550,1550,1582
"Illinois",5,,,1300,1350,1350,1352.5,1325,1300,1350,1400,1400,1500,1450,1495,1499,1525,1525,1600,1595,1550,1575,1500,1455,1477.5,1475,1460,1450,1400,1425,1499,1475,1490,1488,1500,1440,1473.5,1439.5,1500,1500,1500,1585,1600,1650,1650,1642.5,1550,1590,1630,1500,1475,1500,1500,1595,1600,1656,1595,1650,1600,1550,1450,1488,1595,1509,1575,1595,1575,1575,1575,1600,1575,1600,1550,1500,1600
"Pennsylvania",6,,,1200,1199.5,1200,1200,1250,1300,1200,1150,1150,1095,1050,1000,1012.5,1061,1075,1050,1050,1070,1050,1000,1045,1060,1100,1115,1150,1175,1200,1200,1182.5,1150,1100,1100,1060,1040,1025,1050,1095,1100,1175,1195,1120,1100,1100,1075,1050,1080,1050,1050,1071,1100,1175,1195,1150,1102,1100,1095,1095,1095,1100,1100,1170,1195,1200,1200,1195,1150,1100,1100,1150,1150,1200,1200
"Ohio",7,,,,,900,825,850,804.5,679,696,695,700,675,662.5,650,700,717.5,695,700,700,700,695,700,725,750,734,725,695,685,685,675,700,700,705,725,700,685,699,710,700,700,700,690,685,700,700,675,750,700,700,700,720,725,725,700,715,749,765,795,780,775,799,825,835,850,825,805,800,800,805,850,850,838,825
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,680,699.5,715,715,730,750,750,719,715,735,750,750,750,700,680.5,730,750,740,750,750,750,750,850,850,825,850,850,840,835,850,900,900,885,900,900,900,900,900,900,900,900,950,950,970,900,900,900,925,959,950,939,900
"North Carolina",9,,,800,800,825,799,847.5,825,850,845,820,850,750,775,775,775,765,775,775,775,750,750,750,750,760,775,795,795,795,785,795,800,795,795,795,775,783.5,800,825,830,825,800,815,795,780,785,770,785,795,795,790,800,805,809,800,800,800,800,800,800,800,802,825,850,850,850,850,850,850,850,946,925,930,919
"New Jersey",10,,1450,1500,1500,1500,1450,1400,1397.5,1350,1400,1400,1450,1495,1495,1461,1475,1500,1500,1550,1500,1500,1495,1500,1525,1550,1525,1600,1650,1650,1650,1650,1600,1600,1595,1550,1600,1600,1605,1675,1685,1700,1700,1675,1600,1600,1600,1650,1625,1600,1600,1600,1665,1750,1750,1850,1900,2050,2200,2000,1650,1650,1700,1660,1750,1750,1750,1750,1735,1700,1695,1700,1725,1800,1800
